
Gurobi 10.0.0 (linux64) logging started Sun Dec  4 07:24:49 2022

Set parameter LogFile to value "../results/k04_n100_d005/k04_n100_d009_band100_4_tight_CR-QUBO_log.txt"
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads

Optimize a model with 0 rows, 300 columns and 0 nonzeros
Model fingerprint: 0xe54c2c0a
Model has 4665 quadratic objective terms
Variable types: 0 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [1e+00, 5e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [0e+00, 0e+00]
Found heuristic solution: objective -0.0000000
Found heuristic solution: objective 109.0000000
Found heuristic solution: objective 112.0000000
Presolve time: 0.04s
Presolved: 4665 rows, 4965 columns, 13995 nonzeros
Variable types: 0 continuous, 4965 integer (4965 binary)

Root relaxation: objective 1.455000e+03, 326 iterations, 0.02 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1455.00000    0  300  112.00000 1455.00000  1199%     -    0s
     0     0 1059.16667    0  848  112.00000 1059.16667   846%     -    1s
     0     0  767.54167    0 1353  112.00000  767.54167   585%     -    2s
     0     0  644.32982    0 1853  112.00000  644.32982   475%     -    2s
     0     0  641.42661    0 1847  112.00000  641.42661   473%     -    3s
     0     0  506.27321    0 2659  112.00000  506.27321   352%     -   11s
     0     0  506.27321    0 2576  112.00000  506.27321   352%     -   11s
     0     2  506.21323    0 2556  112.00000  506.21323   352%     -   12s
     3     8  438.61576    2 2759  112.00000  498.67141   345%  4103   18s
    15    26  397.59263    4 3124  112.00000  437.78331   291%  4742   33s
    25    36  392.49370    5 3074  112.00000  436.38503   290%  7459   40s
    35    46  389.71574    5 3111  112.00000  436.38503   290%  5960   47s
    66    79  385.16746    7 3078  112.00000  432.56286   286%  3799   57s
    78    89  379.66517    8 3037  112.00000  432.56286   286%  3428   61s
   116   131  375.31879    9 2976  112.00000  432.56286   286%  2701   66s
   159   177  369.92078   11 2906  112.00000  432.56286   286%  2245   72s
   193   216  365.57538   12 2876  112.00000  432.56286   286%  2033   75s
   263   290  360.59329   13 2887  112.00000  432.56286   286%  1727   81s
   320   349  360.73030   15 2827  112.00000  432.56286   286%  1545   86s
   352   375  355.64844   15 2851  112.00000  432.56286   286%  1463   91s
   382   393  356.60897   16 2856  112.00000  432.56286   286%  1426   95s
   424   445  354.47913   17 2831  112.00000  432.56286   286%  1434  102s
   489   519  352.42379   18 2807  112.00000  432.56286   286%  1347  109s
   526   563  350.61494   19 2812  112.00000  432.56286   286%  1316  112s
   570   610  346.79514   20 2773  112.00000  432.56286   286%  1268  116s
   673   704  343.19866   22 2735  112.00000  432.56286   286%  1156  124s
   729   734  340.77082   23 2702  112.00000  432.56286   286%  1105  128s
   772   756  339.23607   24 2680  112.00000  432.56286   286%  1084  132s
   809   781  332.61787   25 2657  112.00000  432.56286   286%  1069  138s
   849   806  330.78780   26 2660  112.00000  432.56286   286%  1070  142s
   874   845  333.69133   27 2638  112.00000  432.56286   286%  1071  146s
   954   937  324.72727   31 2518  112.00000  432.56286   286%  1067  153s
  1005   999  318.85913   35 2420  112.00000  432.56286   286%  1059  157s
  1067  1083  315.19818   37 2379  112.00000  432.56286   286%  1044  161s
  1151  1183  310.51956   39 2317  112.00000  432.56286   286%  1018  165s
  1364  1392  293.93799   44 2196  112.00000  432.56286   286%   940  176s
  1479  1472  290.80977   47 2167  112.00000  432.56286   286%   910  182s
  1561  1582  282.81197   50 2120  112.00000  432.56286   286%   904  186s
  1671  1716  278.32430   53 2104  112.00000  432.56286   286%   885  190s
  1950  2053  259.85792   61 1965  112.00000  432.56286   286%   823  202s
  2164  2250  243.26712   69 1882  112.00000  432.56286   286%   780  207s
  2361  2465  230.45122   80 1802  112.00000  432.56286   286%   741  214s
  2590  2694  216.37042   89 1609  112.00000  432.56286   286%   703  219s
  2820  2876  191.95348  106 1357  112.00000  432.56286   286%   666  232s
  3054  3185  149.86147  143  805  112.00000  432.56286   286%   643  238s
  3364  3186  395.24603    8 2333  112.00000  432.56286   286%   605  278s
  3366  3187  149.75414  144  300  112.00000  432.56286   286%   605  280s
  3372  3191  386.92643    6 2936  112.00000  430.67091   285%   604  287s
  3373  3192  123.40909  141 2982  112.00000  423.25071   278%   604  290s
  3374  3193  258.54793   55 3004  112.00000  400.29783   257%   603  296s
  3376  3194  363.89350   19 3162  112.00000  383.56463   242%   603  304s
  3377  3195  310.27851   39 3144  112.00000  378.52225   238%   603  308s
  3378  3195  174.62913  133 3199  112.00000  376.63144   236%   603  310s
  3389  3203  179.87150  127 3368  112.00000  374.93410   235%   601  315s
  3390  3203  325.32738   25 3327  112.00000  349.05642   212%   601  324s
  3391  3204  178.71060   86 3365  112.00000  342.74315   206%   600  330s
  3393  3205  120.71821  144 3471  112.00000  339.41686   203%   600  337s
  3396  3207  151.67005   86 3566  112.00000  338.67666   202%   600  340s
  3399  3209  320.32295   34 3435  112.00000  320.32295   186%   599  356s
  3400  3210  298.30016   14 3414  112.00000  298.30016   166%   599  372s
  3401  3211  159.68088  135 3522  112.00000  291.06882   160%   599  385s
  3402  3211  169.00496   86 3520  112.00000  285.47123   155%   598  395s
  3403  3212  278.48481   28 3602  112.00000  278.48481   149%   598  404s
  3404  3213  119.46821  145 3652  112.00000  278.48481   149%   598  408s
  3405  3213  277.61434   28 3667  112.00000  277.61434   148%   598  410s
  3410  3217  268.29143   41 3716  112.00000  268.29143   140%   597  415s
  3412  3218  262.79736   55 3677  112.00000  262.79736   135%   597  428s
  3413  3219  163.83750  145 3739  112.00000  262.79736   135%   597  434s
  3414  3219  149.70632  153 3772  112.00000  262.79736   135%   596  437s
  3416  3221  168.67500  140 3857  112.00000  255.73759   128%   596  441s
  3420  3223  124.23889  176 3924  112.00000  252.06019   125%   595  450s
  3421  3224  186.38750  125 3683  112.00000  247.44860   121%   595  469s
  3422  3225  176.86617  118 3724  112.00000  242.68894   117%   595  488s
  3423  3225  141.26448  153 3783  112.00000  241.79924   116%   595  499s
  3424  3226  123.90556  177 3848  112.00000  238.07782   113%   595  509s
  3425  3227  238.07782   73 3889  112.00000  238.07782   113%   594  516s
  3426  3227  178.12177  121 3950  112.00000  237.63077   112%   594  521s
  3428  3229  156.47500  150 3976  112.00000  237.04962   112%   594  526s
  3430  3230  147.18842  157 4006  112.00000  236.51266   111%   594  541s
  3431  3231  163.30494   79 3735  112.00000  228.72088   104%   593  561s
  3432  3231  161.90141  134 3821  112.00000  224.87159   101%   593  572s
  3433  3232  223.03866   13 3895  112.00000  223.03866  99.1%   593  581s
  3434  3233  222.06885   15 3938  112.00000  222.06885  98.3%   593  591s
  3435  3233  221.17612   31 4015  112.00000  221.17612  97.5%   593  599s
  3436  3234  220.56687   46 4029  112.00000  220.56687  96.9%   593  603s
  3437  3235  136.58907  133 4069  112.00000  220.30139  96.7%   592  606s
  3440  3237  219.99866   14 4114  112.00000  219.99866  96.4%   592  610s
  3441  3237  121.40150  137 4134  112.00000  219.97639  96.4%   592  624s
  3442  3238  214.67108   33 3843  112.00000  214.67108  91.7%   592  647s
  3443  3239  212.90465   40 3893  112.00000  212.90465  90.1%   591  657s
  3444  3239  212.02548   36 3927  112.00000  212.02548  89.3%   591  665s
  3445  3240  183.76391  125 3955  112.00000  211.31554  88.7%   591  671s
  3447  3241  210.57258   44 4042  112.00000  210.57258  88.0%   591  677s
  3449  3243  210.33091   12 4108  112.00000  210.33091  87.8%   590  681s
  3451  3244  210.24805   83 4140  112.00000  210.24805  87.7%   590  696s
  3452  3245  206.47430   33 3821  112.00000  206.47430  84.4%   590  711s
  3453  3245  205.22384   39 3882  112.00000  205.22384  83.2%   590  720s
  3455  3247  148.60525  154 3973  112.00000  204.16273  82.3%   589  728s
  3456  3247  203.87490   34 4018  112.00000  203.87490  82.0%   589  733s
  3457  3248  203.58701   22 4041  112.00000  203.58701  81.8%   589  737s
  3458  3249  203.43639   37 4100  112.00000  203.43639  81.6%   589  740s
  3460  3250  203.32242   21 4139  112.00000  203.32242  81.5%   588  756s
  3461  3251  194.49537  120 3863  112.00000  200.54349  79.1%   588  774s
  3462  3251  199.66998   37 3860  112.00000  199.66998  78.3%   588  782s
  3463  3252  123.00638  120 3926  112.00000  199.30213  77.9%   588  788s
  3464  3253  199.03158    8 3981  112.00000  199.03158  77.7%   588  792s
  3465  3253  144.39867   87 3983  112.00000  198.71709  77.4%   588  797s
  3466  3254  149.75414  144 4032  112.00000  198.54708  77.3%   587  800s
  3469  3256  198.33897   42 4093  112.00000  198.33897  77.1%   587  820s
  3470  3257  196.70386   68 3882  112.00000  196.70386  75.6%   587  828s
  3471  3257  196.24169  108 3935  112.00000  196.24169  75.2%   587  834s
  3472  3258  196.05488    6 3978  112.00000  196.05488  75.0%   586  838s
  3473  3259  123.40909  141 4018  112.00000  195.98401  75.0%   586  840s
  3474  3259  195.94714   55 4041  112.00000  195.94714  75.0%   586  851s
  3475  3260  195.03498   41 3924  112.00000  195.03498  74.1%   586  860s
  3476  3261  194.42631   19 3921  112.00000  194.42631  73.6%   586  868s
  3477  3261  194.18618   39 3965  112.00000  194.18618  73.4%   586  873s
  3478  3262  174.62913  133 3979  112.00000  194.07869  73.3%   585  876s
  3480  3263  118.40909  144 4031  112.00000  193.96657  73.2%   585  888s
  3481  3264  192.83937   63 3914  112.00000  192.83937  72.2%   585  897s
  3482  3265  192.42989   44 3942  112.00000  192.42989  71.8%   585  903s
  3483  3265  192.22385   25 3958  112.00000  192.22385  71.6%   585  909s
  3484  3266  192.07771   15 3984  112.00000  192.07771  71.5%   584  913s
  3485  3267  140.41157  163 4023  112.00000  192.01279  71.4%   584  916s
  3487  3268  191.91560   23 4038  112.00000  191.91560  71.4%   584  927s
  3488  3269  191.22175   12 3866  112.00000  191.22175  70.7%   584  933s
  3489  3269  179.87150  127 3933  112.00000  190.77355  70.3%   584  940s
  3490  3270  190.60009   25 3980  112.00000  190.60009  70.2%   583  945s
  3491  3271  178.71060   86 3983  112.00000  190.44213  70.0%   583  950s
  3493  3272  120.71821  144 4024  112.00000  190.23663  69.9%   583  956s
  3494  3273  190.19268   13 4026  112.00000  190.19268  69.8%   583  966s
  3495  3273  189.67228   59 3928  112.00000  189.67228  69.4%   583  973s
  3496  3274  151.67005   86 3961  112.00000  189.43432  69.1%   582  979s
  3497  3275  166.98750  143 3993  112.00000  189.28439  69.0%   582  985s
  3499  3276  189.08648   34 4035  112.00000  189.08648  68.8%   582  991s
  3500  3277  189.02800   14 4054  112.00000  189.02800  68.8%   582 1002s
  3501  3277  159.68088  135 3930  112.00000  188.53342  68.3%   582 1009s
  3502  3278  169.00496   86 3976  112.00000  188.31294  68.1%   581 1013s
  3503  3279  188.15850   28 3998  112.00000  188.15850  68.0%   581 1016s
  3505  3280  188.02019   28 4047  112.00000  188.02019  67.9%   581 1030s
  3506  3281  187.61311    7 3956  112.00000  187.61311  67.5%   581 1035s
  3508  3282  125.90153   93 4023  112.00000  187.25102  67.2%   580 1042s
  3509  3283  163.30494   79 4029  112.00000  187.13838  67.1%   580 1045s
  3512  3285  186.95456   55 4071  112.00000  186.95456  66.9%   580 1063s
  3513  3285  163.83750  145 3919  112.00000  186.46467  66.5%   580 1070s
  3514  3286  149.70632  153 3978  112.00000  186.27945  66.3%   579 1075s
  3515  3287  121.27236   96 3996  112.00000  186.16882  66.2%   579 1080s
  3517  3288  165.44807  141 4038  112.00000  186.03482  66.1%   579 1087s
  3518  3289  141.81044  159 4043  112.00000  185.96575  66.0%   579 1090s
  3519  3289  185.92273   37 4079  112.00000  185.92273  66.0%   579 1101s
  3521  3291  185.56042  125 3955  112.00000  185.56042  65.7%   578 1108s
  3522  3291  176.86617  118 4020  112.00000  185.49075  65.6%   578 1110s
  3524  3293  123.90556  177 4032  112.00000  185.37066  65.5%   578 1125s
  3525  3293  184.97029   73 3946  112.00000  184.97029  65.2%   578 1131s
  3526  3294  178.12177  121 3970  112.00000  184.85293  65.0%   577 1136s
  3528  3295  156.47500  150 4052  112.00000  184.72542  64.9%   577 1152s
  3529  3296  184.53934   82 3988  112.00000  184.53934  64.8%   577 1156s
  3531  3297  163.30494   79 4047  112.00000  184.41828  64.7%   577 1166s
  3532  3298  161.90141  134 4018  112.00000  184.25934  64.5%   576 1171s
  3533  3299  184.25934   13 3918  112.00000  184.25934  64.5%   576 1178s
  3534  3299  184.25934   15 3918  112.00000  184.25934  64.5%   576 1225s
  3535  3303  183.95092   14 3767  112.00000  184.25795  64.5%   729 1241s
  3537  3306  183.35060   15 3816  112.00000  183.95013  64.2%   731 1265s
  3541  3313  182.19496   16 3852  112.00000  183.35057  63.7%   738 1295s
  3549  3320  179.13929   17 3831  112.00000  182.19410  62.7%   756 1327s
  3559  3327  178.52995   18 3835  112.00000  180.66676  61.3%   778 1341s
  3569  3334  176.00543   18 3819  112.00000  179.89230  60.6%   794 1357s
  3579  3340  177.95935   19 3752  112.00000  179.89148  60.6%   802 1367s
  3589  3349  177.00037   19 3717  112.00000  179.89148  60.6%   810 1381s
  3601  3355  177.43855   20 3616  112.00000  179.89148  60.6%   817 1391s
  3611  3362  175.84342   20 3670  112.00000  179.89148  60.6%   826 1404s
  3621  3375  176.82325   21 3558  112.00000  179.89148  60.6%   832 1410s
  3638  3384  175.58779   21 3593  112.00000  179.89148  60.6%   834 1416s
  3652  3399  176.07327   22 3424  112.00000  179.89148  60.6%   836 1424s
  3672  3410  175.78184   23 3377  112.00000  179.89148  60.6%   838 1434s
  3690  3424  175.33263   24 3280  112.00000  179.89148  60.6%   845 1440s
  3710  3438  173.43913   24 3273  112.00000  179.89148  60.6%   847 1449s
  3730  3454  173.08133   25 3207  112.00000  179.89148  60.6%   850 1456s
  3753  3471  172.46666   25 3263  112.00000  179.89148  60.6%   853 1463s
  3778  3486  172.34644   26 3117  112.00000  179.89148  60.6%   855 1469s
  3801  3506  170.99161   27 3088  112.00000  179.89148  60.6%   858 1476s
  3829  3522  170.12675   28 2982  112.00000  179.89148  60.6%   860 1482s
  3858  3536  168.53311   29 2943  112.00000  179.89148  60.6%   861 1500s
  3889  3538  167.92138   30 2933  112.00000  179.89148  60.6%   864 1506s
  3901  3559  166.19565   30 2969  112.00000  179.89148  60.6%   872 1512s
  3926  3589  167.36406   31 2852  112.00000  179.89148  60.6%   875 1519s
  3964  3616  166.47519   32 2772  112.00000  179.89148  60.6%   876 1526s
  4004  3642  164.78531   33 2721  112.00000  179.89148  60.6%   876 1543s
  4043  3682  163.13847   34 2643  112.00000  179.89148  60.6%   876 1549s
  4096  3710  162.44685   35 2591  112.00000  179.89148  60.6%   874 1555s
H 4137  3528                     113.0000000  179.89148  59.2%   872 1555s
  4151  3570  161.49845   36 2537  113.00000  179.89148  59.2%   872 1576s
  4212  3584  159.41670   37 2535  113.00000  179.89148  59.2%   871 1585s
  4247  3615  158.29836   38 2500  113.00000  179.89148  59.2%   878 1615s
  4303  3628  155.54315   39 2446  113.00000  179.89148  59.2%   881 1624s
  4341  3654  154.52357   40 2415  113.00000  179.89148  59.2%   887 1660s
  4390  3670  151.20390   41 2381  113.00000  179.89148  59.2%   891 1671s
  4432  3705  151.52103   42 2355  113.00000  179.89148  59.2%   898 1726s
  4489  3721  150.35803   44 2332  113.00000  179.89148  59.2%   903 1738s
  4524  3770  149.81332   45 2336  113.00000  179.89148  59.2%   911 1751s
  4585  3825  147.08925   47 2205  113.00000  179.89148  59.2%   911 1760s
  4660  3902  144.81850   49 2072  113.00000  179.89148  59.2%   910 1771s
  4762  3985  142.58156   51 2012  113.00000  179.89148  59.2%   905 1782s
  4893  4049  135.63298   55 1824  113.00000  179.89148  59.2%   897 1821s
  5013  4115  131.62559   59 1759  113.00000  179.89148  59.2%   895 1832s
  5128  4150  129.67598   62 1666  113.00000  179.89148  59.2%   893 1885s
  5229  4184  124.86683   68 1516  113.00000  179.89148  59.2%   896 1901s
  5305  4222  122.71815   73 1458  113.00000  179.89148  59.2%   902 1931s
  5382  4258  119.17021   80 1327  113.00000  179.89148  59.2%   907 1947s
  5444  4327  113.09338   88 1184  113.00000  179.50286  58.9%   914 1997s
  5551  4371  175.64413   19 3826  113.00000  179.50286  58.9%   917 2013s
  5631  4480  172.85514   24 3421  113.00000  179.50286  58.9%   922 2031s
H 5698  4269                     114.0000000  179.50286  57.5%   920 2031s
  5767  4420  167.65396   30 3145  114.00000  179.50286  57.5%   918 2059s
  5957  4521  159.15984   40 2896  114.00000  179.50286  57.5%   910 2107s
  6143  4566  150.73974   47 2631  114.00000  179.50286  57.5%   908 2162s
  6322  4584  139.54453   60 2288  114.00000  179.50286  57.5%   911 2183s
  6400  4698  129.07502   74 1948  114.00000  178.27763  56.4%   917 2233s
  6556  4787  176.36213   20 3770  114.00000  178.27763  56.4%   916 2254s
  6697  5012  171.78482   29 3275  114.00000  178.27763  56.4%   918 2276s
  6969  5082  164.64485   42 2799  114.00000  178.27763  56.4%   905 2320s
  7181  5195  157.04107   53 2453  114.00000  178.27763  56.4%   896 2371s
  7429  5245  140.01170   77 1964  114.00000  177.01041  55.3%   894 2420s
  7572  5316  173.99632   21 3610  114.00000  177.01041  55.3%   901 2450s
  7691  5468  168.39867   28 3292  114.00000  177.01041  55.3%   907 2479s
  7882  5805  151.61208   43 2566  114.00000  177.01041  55.3%   906 2520s
  8302  5851  123.31130   75 1435  114.00000  176.99998  55.3%   890 2571s
  8557  5966  173.97590   24 3643  114.00000  176.73486  55.0%   890 2606s
  8757  6085  169.61818   29 3300  114.00000  176.73486  55.0%   890 2656s
  8965  6213  163.60446   42 2766  114.00000  176.73486  55.0%   887 2771s
  9191  6284  158.27579   46 2632  114.00000  176.73486  55.0%   884 2810s
  9349  6467  151.93541   56 2411  114.00000  176.73486  55.0%   892 2838s
  9585  6787  145.30488   65 2163  114.00000  176.73486  55.0%   895 2884s
 10017  7217  131.17203   90 1671  114.00000  176.73320  55.0%   887 2939s
 10653  7272  174.68482   21 3626  114.00000  176.73320  55.0%   871 2996s
 10929  7588  153.62396   39 2725  114.00000  176.46744  54.8%   875 3087s
 11447  7652  174.02957   21 3624  114.00000  176.46744  54.8%   873 3137s
 11683  8062  158.29485   44 2694  114.00000  176.46744  54.8%   878 3201s
 12227  8224  117.46351  107 1530  114.00000  176.03655  54.4%   867 3238s
 12672  8510  172.93307   20 3731  114.00000  176.03655  54.4%   861 3280s
 13065  9069  154.54142   47 2559  114.00000  175.88596  54.3%   861 3326s
 13730  9467  171.53460   23 3595  114.00000  175.88596  54.3%   851 3385s
 14193  9830  147.47379   48 2478  114.00000  175.73522  54.2%   853 3453s
 14649 10243  172.75298   22 3634  114.00000  175.73522  54.2%   853 3531s
 15092 10778  151.28979   52 2420  114.00000  175.73522  54.2%   853 3600s

Cutting planes:
  Gomory: 3
  Cover: 2
  MIR: 742
  StrongCG: 1
  Flow cover: 2265
  Zero half: 241
  RLT: 1833
  BQP: 2292
  PSD: 222

Explored 15740 nodes (13289199 simplex iterations) in 3600.05 seconds (3182.29 work units)
Thread count was 10 (of 40 available processors)

Solution count 5: 114 113 112 ... -0

Time limit reached
Best objective 1.140000000000e+02, best bound 1.757300000000e+02, gap 54.1491%
