
Gurobi 9.1.1 (linux64) logging started Wed Oct 20 23:46:09 2021

Changed value of parameter LogFile to results/max4cut_numv100/max4cut_numv100_band100_4_weighted_con_BQO_log.txt
   Prev:   Default: 
Gurobi Optimizer version 9.1.1 build v9.1.1rc0 (linux64)
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads
Optimize a model with 100 rows, 400 columns and 400 nonzeros
Model fingerprint: 0x28f168ae
Model has 2340 quadratic objective terms
Variable types: 0 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [5e+01, 5e+01]
  QObjective range [2e+00, 1e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 1 rows and 4 columns
Presolve time: 0.00s
Presolved: 2019 rows, 2316 columns, 6156 nonzeros
Variable types: 0 continuous, 2316 integer (2316 binary)

Root relaxation: objective -4.850000e+02, 205 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  485.00000    0  168   -0.00000  485.00000      -     -    0s
H    0     0                     417.0000000  485.00000  16.3%     -    0s
H    0     0                     430.0000000  485.00000  12.8%     -    0s
     0     0  485.00000    0  286  430.00000  485.00000  12.8%     -    0s
     0     0  484.00000    0  182  430.00000  484.00000  12.6%     -    0s
     0     0  484.00000    0  182  430.00000  484.00000  12.6%     -    0s
     0     2  484.00000    0  182  430.00000  484.00000  12.6%     -    0s
H   76    86                     432.0000000  484.00000  12.0%  74.5    0s
H  781   805                     434.0000000  484.00000  11.5%  25.1    0s
H  829   920                     435.0000000  484.00000  11.3%  24.7    0s
H 1397  1385                     437.0000000  484.00000  10.8%  23.1    1s
H 1398  1374                     438.0000000  484.00000  10.5%  23.1    1s
H 1399  1364                     440.0000000  484.00000  10.0%  23.1    1s
H 1849  1826                     441.0000000  484.00000  9.75%  23.3    1s
H 4403  3632                     442.0000000  484.00000  9.50%  19.8    2s
H 6358  4601                     443.0000000  483.00000  9.03%  17.0    2s
 33448 26274  460.50000   75 1010  443.00000  482.00000  8.80%  11.3    6s
 33499 26319  480.40058   35  310  443.00000  481.00000  8.58%  11.9   10s
 35957 27947  459.40909  125  225  443.00000  481.00000  8.58%  20.2   15s
 38778 29534  467.70335   79  286  443.00000  480.28971  8.42%  28.8   20s
 43297 32232  472.13897   59  301  443.00000  479.09801  8.15%  39.6   25s
 47348 34632  462.72673   63  255  443.00000  478.78242  8.08%  48.1   30s
 51977 37367  447.90000  158  179  443.00000  478.59009  8.03%  56.6   35s
 56379 39977  460.73684   80  217  443.00000  478.29583  7.97%  61.7   40s
 61035 42512  453.42500  172  137  443.00000  478.23299  7.95%  65.8   45s
 66177 45529  452.92623  132  182  443.00000  478.08725  7.92%  69.0   50s
 72465 48487  476.46849   45  331  443.00000  477.97180  7.89%  71.9   56s
 75922 50776  454.51389  149  148  443.00000  477.93713  7.89%  74.1   60s
 82168 53856  452.60868  143  193  443.00000  477.77102  7.85%  76.5   65s
 84792 55368  472.30357   50  279  443.00000  477.71647  7.84%  78.3   70s
 89714 58004  470.99778   51  304  443.00000  477.67486  7.83%  81.8   75s
 93654 60754  476.41565   45  321  443.00000  477.63626  7.82%  84.8   80s
 98376 63184  461.16667   99  194  443.00000  477.55376  7.80%  85.8   85s
 101979 64602  458.57143  109  187  443.00000  477.50000  7.79%  86.3   90s
 106988 67884  464.13095   95  222  443.00000  477.45833  7.78%  86.9   95s
 111578 70478  469.80208   63  283  443.00000  477.40040  7.77%  87.8  100s
 116867 74905  475.15941   47  319  443.00000  477.35155  7.75%  88.9  105s
 121058 78943  453.10784  172  171  443.00000  477.31117  7.75%  90.4  110s
 126294 82935  470.54167   48  262  443.00000  477.25000  7.73%  91.3  115s
 129883 86038  474.58333   45  285  443.00000  477.25000  7.73%  92.7  120s
 135119 90722  472.37869   47  321  443.00000  477.23159  7.73%  93.2  125s
 138915 94254  475.27500   43  297  443.00000  477.19167  7.72%  93.9  130s
 144293 99009  456.98624  101  239  443.00000  477.13271  7.70%  94.4  135s
 149400 103463  476.11905   42  291  443.00000  477.09683  7.70%  94.9  140s
 154952 108400  456.80667  124  203  443.00000  477.03697  7.68%  95.1  145s
 159307 111919  462.13345   91  216  443.00000  477.00970  7.68%  95.7  150s
