
Gurobi 10.0.0 (linux64) logging started Thu Nov 24 04:21:02 2022

Set parameter LogFile to value "../results/k03_n050_d015/k03_n080_d020_GEOM80b_binary_BQO_log.txt"
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads

Optimize a model with 80 rows, 240 columns and 240 nonzeros
Model fingerprint: 0xa9eeefc4
Model has 1989 quadratic objective terms
Variable types: 0 continuous, 240 integer (240 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [2e+00, 2e+01]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 1 rows and 3 columns
Presolve time: 0.02s
Presolved: 2020 rows, 2178 columns, 6060 nonzeros
Variable types: 0 continuous, 2178 integer (2178 binary)

Root relaxation: objective 3.415000e+03, 165 iterations, 0.01 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 3415.00000    0  155   -0.00000 3415.00000      -     -    0s
H    0     0                    2429.0000000 3415.00000  40.6%     -    0s
H    0     0                    2555.0000000 3415.00000  33.7%     -    0s
     0     0 3299.26829    0  334 2555.00000 3299.26829  29.1%     -    0s
     0     0 3294.25603    0  324 2555.00000 3294.25603  28.9%     -    0s
     0     0 3293.56761    0  331 2555.00000 3293.56761  28.9%     -    0s
     0     0 3070.13442    0  500 2555.00000 3070.13442  20.2%     -    2s
     0     0 3070.13442    0  482 2555.00000 3070.13442  20.2%     -    2s
     0     2 3070.12023    0  477 2555.00000 3070.12023  20.2%     -    2s
    25    36 2973.64143    5  661 2555.00000 3028.44701  18.5%  1673    5s
H  178   194                    2557.0000000 3014.96074  17.9%   769    9s
H  183   194                    2559.0000000 3014.96074  17.8%   768    9s
   213   240 2901.30728   12  632 2559.00000 3014.96074  17.8%   719   10s
H  233   240                    2562.0000000 3014.96074  17.7%   684   10s
H  270   303                    2565.0000000 3014.96074  17.5%   629   10s
H  360   362                    2573.0000000 3014.96074  17.2%   532   11s
H  409   410                    2577.0000000 3014.96074  17.0%   501   12s
H  462   456                    2578.0000000 3014.96074  16.9%   474   14s
H  463   456                    2580.0000000 3014.96074  16.9%   475   14s
H  464   456                    2582.0000000 3014.96074  16.8%   475   14s
H  470   456                    2586.0000000 3014.96074  16.6%   472   14s
H  505   480                    2589.0000000 3014.96074  16.5%   461   15s
H  509   480                    2592.0000000 3014.96074  16.3%   460   15s
H  512   480                    2594.0000000 3014.96074  16.2%   460   15s
H  524   480                    2600.0000000 3014.96074  16.0%   450   15s
H  555   516                    2606.0000000 3014.96074  15.7%   446   16s
H  561   516                    2608.0000000 3014.96074  15.6%   444   16s
  1150  1132 2979.39894    6  500 2608.00000 3013.61742  15.6%   359   20s
H 1486  1397                    2611.0000000 3013.61742  15.4%   335   24s
  1543  1572 2781.46446   33  475 2611.00000 3013.61742  15.4%   332   25s
H 1722  1495                    2613.0000000 3013.61742  15.3%   313   26s
  1734  1503 2863.65128   22  774 2613.00000 2924.65339  11.9%   311   30s
  1742  1508 2892.31438   21  954 2613.00000 2892.31438  10.7%   310   35s
  1746  1511 2797.27776   32 1015 2613.00000 2844.10270  8.84%   309   40s
  1748  1512 2682.75000   69 1182 2613.00000 2820.04783  7.92%   309   45s
  1754  1516 2804.61167   23 1331 2613.00000 2804.61167  7.33%   307   60s
  1755  1517 2729.20238   43 1326 2613.00000 2787.92472  6.69%   307   66s
  1756  1517 2776.61574   33 1455 2613.00000 2776.61574  6.26%   307   72s
  1757  1518 2702.80328   58 1564 2613.00000 2770.07090  6.01%   307   77s
  1758  1519 2762.45802   37 1605 2613.00000 2762.45802  5.72%   307   83s
  1759  1519 2758.50870   27 1679 2613.00000 2758.50870  5.57%   307   88s
  1760  1520 2705.49074   60 1733 2613.00000 2756.69781  5.50%   306   92s
  1762  1521 2755.24183   12 1762 2613.00000 2755.24183  5.44%   306  100s
  1766  1524 2746.41146   40 1812 2613.00000 2753.97692  5.40%   305  138s
  1767  1525 2749.07649   22 1749 2613.00000 2749.07649  5.21%   305  145s
  1769  1526 2746.28009   28 1789 2613.00000 2746.28009  5.10%   305  151s
  1772  1528 2745.50158   20 1851 2613.00000 2745.50158  5.07%   304  174s
  1773  1529 2742.28430   21 1824 2613.00000 2742.28430  4.95%   304  183s
  1774  1529 2739.92934   29 1839 2613.00000 2739.92934  4.86%   304  189s
  1775  1530 2696.05556   71 1863 2613.00000 2738.68330  4.81%   304  195s
  1776  1531 2737.80934   12 1884 2613.00000 2737.80934  4.78%   304  200s
  1779  1533 2736.40422   37 1882 2613.00000 2736.40422  4.72%   303  206s
  1782  1535 2734.96501   28 1874 2613.00000 2734.96501  4.67%   303  212s
  1783  1535 2733.88275   44 1885 2613.00000 2733.88275  4.63%   302  216s
  1785  1537 2732.15297   11 1892 2613.00000 2732.15297  4.56%   302  223s
  1786  1537 2731.61147   11 1889 2613.00000 2731.61147  4.54%   302  225s
  1788  1539 2730.38887   25 1915 2613.00000 2730.38887  4.49%   302  231s
  1789  1539 2729.44772   50 1898 2613.00000 2729.44772  4.46%   301  237s
  1790  1540 2695.70000   60 1905 2613.00000 2728.86620  4.43%   301  244s
  1791  1541 2728.66125   26 1922 2613.00000 2728.66125  4.43%   301  249s
  1792  1541 2728.52464   10 1930 2613.00000 2728.52464  4.42%   301  255s
  1793  1542 2727.30578   34 1871 2613.00000 2727.30578  4.37%   301  264s
  1794  1543 2726.47083   22 1831 2613.00000 2726.47083  4.34%   301  268s
  1795  1543 2650.15741   53 1859 2613.00000 2725.98015  4.32%   300  271s
  1798  1545 2724.32525   31 1845 2613.00000 2724.32525  4.26%   300  278s
  1799  1546 2722.68631   39 1804 2613.00000 2722.68631  4.20%   300  282s
  1801  1547 2721.17584   23 1823 2613.00000 2721.17584  4.14%   299  287s
  1802  1548 2649.50000   60 1843 2613.00000 2720.77746  4.12%   299  290s
  1805  1550 2719.52999   41 1814 2613.00000 2719.52999  4.08%   299  295s
  1807  1551 2718.20027   40 1826 2613.00000 2718.20027  4.03%   298  305s
  1808  1552 2625.41667   60 1808 2613.00000 2717.05654  3.98%   298  310s
  1810  1553 2715.53157   52 1843 2613.00000 2715.53157  3.92%   298  318s
  1811  1554 2715.00696   20 1836 2613.00000 2715.00696  3.90%   298  324s
  1812  1555 2714.29128   57 1806 2613.00000 2714.29128  3.88%   298  331s
  1814  1556 2713.52251   45 1839 2613.00000 2713.52251  3.85%   297  335s
  1816  1557 2712.43895   13 1835 2613.00000 2712.43895  3.81%   297  340s
H 1816  1477                    2617.0000000 2712.43895  3.65%   297  343s
H 1816  1402                    2629.0000000 2712.43895  3.17%   297  343s
  1818  1404 2710.82431   48 1831 2629.00000 2710.82431  3.11%   297  346s
