==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         3

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.0_naive_noise_0.01
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.06160e+01     -1.06160e+01      1.20000e+01     19s
     1     -1.04843e+01     -1.04843e+01      1.20000e+01     38s
     2     -1.03353e+01     -1.03353e+01      1.20000e+01     56s
     3     -1.05837e+01     -1.03353e+01      1.20000e+01     75s
     4     -1.04766e+01     -1.03353e+01      1.20000e+01     94s
     5     -1.05952e+01     -1.03353e+01      1.20000e+01    113s
     6     -1.06421e+01     -1.03353e+01      1.20000e+01    131s
     7     -1.04692e+01     -1.03353e+01      1.20000e+01    150s
     8     -1.07183e+01     -1.03353e+01      1.20000e+01    167s
     9     -1.03928e+01     -1.03353e+01      1.20000e+01    185s
    10     -1.05499e+01     -1.03353e+01      1.20000e+01    204s
    11     -1.06530e+01     -1.03353e+01      1.20000e+01    223s
    12     -1.05876e+01     -1.03353e+01      1.20000e+01    242s
    13     -1.05024e+01     -1.03353e+01      1.20000e+01    261s
    14     -1.05176e+01     -1.03353e+01      1.20000e+01    280s
    15     -1.04743e+01     -1.03353e+01      1.20000e+01    299s
    16     -1.03734e+01     -1.03353e+01      1.20000e+01    318s
    17     -1.09302e+01     -1.03353e+01      1.20000e+01    337s
    18     -1.03869e+01     -1.03353e+01      1.20000e+01    356s
    19     -1.06212e+01     -1.03353e+01      1.20000e+01    375s
    20     -1.03852e+01     -1.03353e+01      1.20000e+01    393s
    21     -1.05211e+01     -1.03353e+01      1.20000e+01    411s
    22     -1.03638e+01     -1.03353e+01      1.20000e+01    429s
    23     -1.05437e+01     -1.03353e+01      1.20000e+01    448s
