==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         3

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.8_tight_noise_0.01
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -9.53630e+00     -9.53630e+00      0.00000e+00     15s
     1     -9.52660e+00     -9.52660e+00      0.00000e+00     31s
     2     -9.44040e+00     -9.44040e+00      0.00000e+00     45s
     3     -9.48620e+00     -9.44040e+00      0.00000e+00     59s
     4     -9.51420e+00     -9.44040e+00      0.00000e+00     73s
     5     -9.48890e+00     -9.44040e+00      0.00000e+00     87s
     6     -9.47770e+00     -9.44040e+00      0.00000e+00    102s
     7     -9.49930e+00     -9.44040e+00      0.00000e+00    116s
     8     -9.55920e+00     -9.44040e+00      0.00000e+00    131s
     9     -9.49280e+00     -9.44040e+00      0.00000e+00    145s
    10     -9.47770e+00     -9.44040e+00      0.00000e+00    160s
    11     -9.53400e+00     -9.44040e+00      0.00000e+00    174s
    12     -9.55620e+00     -9.44040e+00      0.00000e+00    188s
    13     -9.49650e+00     -9.44040e+00      0.00000e+00    203s
    14     -9.50590e+00     -9.44040e+00      0.00000e+00    217s
    15     -9.46970e+00     -9.44040e+00      0.00000e+00    231s
    16     -9.43850e+00     -9.43850e+00      0.00000e+00    245s
    17     -9.51010e+00     -9.43850e+00      0.00000e+00    263s
    18     -9.50620e+00     -9.43850e+00      0.00000e+00    278s
    19     -9.55280e+00     -9.43850e+00      0.00000e+00    293s
    20     -9.47150e+00     -9.43850e+00      0.00000e+00    308s
    21     -9.54470e+00     -9.43850e+00      0.00000e+00    322s
    22     -9.50830e+00     -9.43850e+00      0.00000e+00    339s
    23     -9.52920e+00     -9.43850e+00      0.00000e+00    353s
    24     -9.47650e+00     -9.43850e+00      0.00000e+00    368s
    25     -9.43860e+00     -9.43850e+00      0.00000e+00    383s
    26     -9.46950e+00     -9.43850e+00      0.00000e+00    397s
    27     -9.48360e+00     -9.43850e+00      0.00000e+00    411s
    28     -9.52210e+00     -9.43850e+00      0.00000e+00    425s
    29     -9.51510e+00     -9.43850e+00      0.00000e+00    440s
    30     -9.47860e+00     -9.43850e+00      0.00000e+00    454s
    31     -9.53500e+00     -9.43850e+00      0.00000e+00    468s
    32     -9.50170e+00     -9.43850e+00      0.00000e+00    483s
    33     -9.47650e+00     -9.43850e+00      0.00000e+00    496s
    34     -9.44410e+00     -9.43850e+00      0.00000e+00    511s
    35     -9.52120e+00     -9.43850e+00      0.00000e+00    524s
    36     -9.51530e+00     -9.43850e+00      0.00000e+00    539s
    37     -9.54470e+00     -9.43850e+00      0.00000e+00    552s
    38     -9.55570e+00     -9.43850e+00      0.00000e+00    568s
    39     -9.48870e+00     -9.43850e+00      0.00000e+00    581s
    40     -9.47290e+00     -9.43850e+00      0.00000e+00    597s
    41     -9.40890e+00     -9.40890e+00      0.00000e+00    612s
    42     -9.49460e+00     -9.40890e+00      0.00000e+00    627s
    43     -9.51970e+00     -9.40890e+00      0.00000e+00    642s
    44     -9.50850e+00     -9.40890e+00      0.00000e+00    655s
    45     -9.46090e+00     -9.40890e+00      0.00000e+00    672s
    46     -9.55990e+00     -9.40890e+00      0.00000e+00    684s
    47     -9.54910e+00     -9.40890e+00      0.00000e+00    698s
    48     -9.45210e+00     -9.40890e+00      0.00000e+00    708s
    49     -9.49860e+00     -9.40890e+00      0.00000e+00    717s
    50     -9.43410e+00     -9.40890e+00      0.00000e+00    726s
    51     -9.30510e+00     -9.30510e+00      0.00000e+00    744s
    52     -9.13800e+00     -9.13800e+00      0.00000e+00    762s
    53     -9.11120e+00     -9.11120e+00      0.00000e+00    780s
    54     -8.92170e+00     -8.92170e+00      0.00000e+00    797s
    55     -8.84970e+00     -8.84970e+00      0.00000e+00    813s
    56     -8.88650e+00     -8.84970e+00      0.00000e+00    831s
    57     -8.81880e+00     -8.81880e+00      0.00000e+00    850s
    58     -8.94440e+00     -8.81880e+00      0.00000e+00    869s
    59     -9.03130e+00     -8.81880e+00      0.00000e+00    886s
    60     -9.12070e+00     -8.81880e+00      0.00000e+00    903s
    61     -9.32430e+00     -8.81880e+00      0.00000e+00    922s
    62     -9.40220e+00     -8.81880e+00      0.00000e+00    939s
    63     -9.63390e+00     -8.81880e+00      0.00000e+00    956s
    64     -9.76480e+00     -8.81880e+00      0.00000e+00    974s
    65     -9.95130e+00     -8.81880e+00      0.00000e+00    991s
    66     -1.00581e+01     -8.81880e+00      0.00000e+00   1010s
    67     -1.01299e+01     -8.81880e+00      0.00000e+00   1026s
    68     -1.01039e+01     -8.81880e+00      0.00000e+00   1041s
    69     -1.01626e+01     -8.81880e+00      0.00000e+00   1060s
    70     -1.00380e+01     -8.81880e+00      0.00000e+00   1076s
    71     -9.99030e+00     -8.81880e+00      0.00000e+00   1094s
    72     -9.90030e+00     -8.81880e+00      0.00000e+00   1110s
    73     -9.75550e+00     -8.81880e+00      0.00000e+00   1126s
    74     -9.64410e+00     -8.81880e+00      0.00000e+00   1145s
    75     -9.45930e+00     -8.81880e+00      0.00000e+00   1162s
    76     -9.24280e+00     -8.81880e+00      0.00000e+00   1181s
    77     -9.09900e+00     -8.81880e+00      0.00000e+00   1197s
    78     -9.03050e+00     -8.81880e+00      0.00000e+00   1214s
    79     -8.96180e+00     -8.81880e+00      0.00000e+00   1232s
    80     -8.92320e+00     -8.81880e+00      0.00000e+00   1249s
    81     -8.89290e+00     -8.81880e+00      0.00000e+00   1266s
    82     -8.98110e+00     -8.81880e+00      0.00000e+00   1283s
    83     -9.10030e+00     -8.81880e+00      0.00000e+00   1299s
    84     -9.15460e+00     -8.81880e+00      0.00000e+00   1318s
    85     -9.28560e+00     -8.81880e+00      0.00000e+00   1335s
    86     -9.46930e+00     -8.81880e+00      0.00000e+00   1352s
    87     -9.66400e+00     -8.81880e+00      0.00000e+00   1369s
    88     -9.78200e+00     -8.81880e+00      0.00000e+00   1385s
    89     -9.93290e+00     -8.81880e+00      0.00000e+00   1403s
    90     -1.00794e+01     -8.81880e+00      0.00000e+00   1422s
    91     -1.01177e+01     -8.81880e+00      0.00000e+00   1441s
    92     -1.02091e+01     -8.81880e+00      0.00000e+00   1458s
    93     -1.02697e+01     -8.81880e+00      0.00000e+00   1475s
    94     -1.01977e+01     -8.81880e+00      0.00000e+00   1496s
    95     -1.00366e+01     -8.81880e+00      0.00000e+00   1512s
    96     -1.00294e+01     -8.81880e+00      0.00000e+00   1528s
    97     -9.85630e+00     -8.81880e+00      0.00000e+00   1546s
    98     -9.69660e+00     -8.81880e+00      0.00000e+00   1564s
    99     -9.54120e+00     -8.81880e+00      0.00000e+00   1583s
   100     -9.52180e+00     -8.81880e+00      0.00000e+00   1600s
   101     -9.13870e+00     -8.81880e+00      0.00000e+00   1617s
   102     -8.86060e+00     -8.81880e+00      0.00000e+00   1638s
   103     -8.53530e+00     -8.53530e+00      0.00000e+00   1654s
   104     -8.46540e+00     -8.46540e+00      0.00000e+00   1672s
   105     -8.35020e+00     -8.35020e+00      0.00000e+00   1689s
   106     -8.31650e+00     -8.31650e+00      0.00000e+00   1706s
   107     -8.32150e+00     -8.31650e+00      0.00000e+00   1724s
   108     -8.45960e+00     -8.31650e+00      0.00000e+00   1740s
   109     -8.62920e+00     -8.31650e+00      0.00000e+00   1757s
   110     -8.88200e+00     -8.31650e+00      0.00000e+00   1774s
   111     -9.16940e+00     -8.31650e+00      0.00000e+00   1791s
   112     -9.49190e+00     -8.31650e+00      0.00000e+00   1810s
   113     -9.76550e+00     -8.31650e+00      0.00000e+00   1827s
   114     -1.00995e+01     -8.31650e+00      0.00000e+00   1845s
   115     -1.03859e+01     -8.31650e+00      0.00000e+00   1863s
   116     -1.05904e+01     -8.31650e+00      0.00000e+00   1880s
   117     -1.06989e+01     -8.31650e+00      0.00000e+00   1898s
   118     -1.08206e+01     -8.31650e+00      0.00000e+00   1914s
   119     -1.06931e+01     -8.31650e+00      0.00000e+00   1933s
   120     -1.06167e+01     -8.31650e+00      0.00000e+00   1949s
   121     -1.04973e+01     -8.31650e+00      0.00000e+00   1967s
   122     -1.02638e+01     -8.31650e+00      0.00000e+00   1987s
   123     -9.93080e+00     -8.31650e+00      0.00000e+00   2004s
   124     -9.68610e+00     -8.31650e+00      0.00000e+00   2021s
   125     -9.36840e+00     -8.31650e+00      0.00000e+00   2038s
   126     -9.06570e+00     -8.31650e+00      0.00000e+00   2054s
   127     -8.77030e+00     -8.31650e+00      0.00000e+00   2069s
   128     -8.58600e+00     -8.31650e+00      0.00000e+00   2081s
   129     -8.47030e+00     -8.31650e+00      0.00000e+00   2092s
   130     -8.37010e+00     -8.31650e+00      0.00000e+00   2101s
   131     -8.44250e+00     -8.31650e+00      0.00000e+00   2111s
   132     -8.52680e+00     -8.31650e+00      0.00000e+00   2124s
   133     -8.70130e+00     -8.31650e+00      0.00000e+00   2144s
   134     -8.93450e+00     -8.31650e+00      0.00000e+00   2160s
   135     -9.24640e+00     -8.31650e+00      0.00000e+00   2177s
   136     -9.49970e+00     -8.31650e+00      0.00000e+00   2194s
   137     -9.87030e+00     -8.31650e+00      0.00000e+00   2211s
   138     -1.01641e+01     -8.31650e+00      0.00000e+00   2230s
   139     -1.04222e+01     -8.31650e+00      0.00000e+00   2248s
   140     -1.06320e+01     -8.31650e+00      0.00000e+00   2265s
   141     -1.07363e+01     -8.31650e+00      0.00000e+00   2285s
   142     -1.09061e+01     -8.31650e+00      0.00000e+00   2303s
   143     -1.08957e+01     -8.31650e+00      0.00000e+00   2320s
   144     -1.07703e+01     -8.31650e+00      0.00000e+00   2339s
   145     -1.07169e+01     -8.31650e+00      0.00000e+00   2356s
   146     -1.04348e+01     -8.31650e+00      0.00000e+00   2374s
   147     -1.01263e+01     -8.31650e+00      0.00000e+00   2391s
   148     -9.83380e+00     -8.31650e+00      0.00000e+00   2407s
   149     -9.52970e+00     -8.31650e+00      0.00000e+00   2426s
   150     -9.48230e+00     -8.31650e+00      0.00000e+00   2443s
   151     -9.01470e+00     -8.31650e+00      0.00000e+00   2459s
   152     -8.67890e+00     -8.31650e+00      0.00000e+00   2479s
   153     -8.29240e+00     -8.29240e+00      0.00000e+00   2497s
   154     -8.03980e+00     -8.03980e+00      0.00000e+00   2515s
   155     -7.82530e+00     -7.82530e+00      0.00000e+00   2533s
   156     -7.79280e+00     -7.79280e+00      0.00000e+00   2550s
   157     -7.89030e+00     -7.79280e+00      0.00000e+00   2568s
   158     -8.09480e+00     -7.79280e+00      0.00000e+00   2584s
   159     -8.41340e+00     -7.79280e+00      0.00000e+00   2601s
   160     -8.75030e+00     -7.79280e+00      0.00000e+00   2621s
   161     -9.20180e+00     -7.79280e+00      0.00000e+00   2637s
   162     -9.64640e+00     -7.79280e+00      0.00000e+00   2656s
   163     -1.00662e+01     -7.79280e+00      0.00000e+00   2672s
   164     -1.04836e+01     -7.79280e+00      0.00000e+00   2689s
   165     -1.08649e+01     -7.79280e+00      0.00000e+00   2707s
   166     -1.11445e+01     -7.79280e+00      0.00000e+00   2724s
