==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.65732e+01     -1.65732e+01      0.00000e+00      2s
     1     -1.64896e+01     -1.64896e+01      0.00000e+00      3s
     3     -1.65021e+01     -1.64896e+01      0.00000e+00      4s
     5     -1.64196e+01     -1.64196e+01      0.00000e+00      6s
     7     -1.64442e+01     -1.64196e+01      0.00000e+00      8s
     9     -1.65125e+01     -1.64196e+01      0.00000e+00     10s
    11     -1.64188e+01     -1.64188e+01      0.00000e+00     12s
    13     -1.65268e+01     -1.64188e+01      0.00000e+00     13s
    15     -1.65232e+01     -1.64188e+01      0.00000e+00     15s
    17     -1.66066e+01     -1.64188e+01      0.00000e+00     17s
    18     -1.64607e+01     -1.64188e+01      0.00000e+00     18s
    20     -1.64560e+01     -1.64188e+01      0.00000e+00     20s
    22     -1.65518e+01     -1.64188e+01      0.00000e+00     21s
    24     -1.65184e+01     -1.64188e+01      0.00000e+00     23s
    26     -1.65584e+01     -1.64188e+01      0.00000e+00     25s
    28     -1.65455e+01     -1.64188e+01      0.00000e+00     27s
    30     -1.64982e+01     -1.64188e+01      0.00000e+00     29s
    32     -1.65138e+01     -1.64188e+01      0.00000e+00     30s
    34     -1.64862e+01     -1.64157e+01      0.00000e+00     32s
    36     -1.65247e+01     -1.64157e+01      0.00000e+00     34s
    38     -1.65352e+01     -1.64157e+01      0.00000e+00     36s
    40     -1.64600e+01     -1.64157e+01      0.00000e+00     38s
    42     -1.65957e+01     -1.64157e+01      0.00000e+00     40s
    44     -1.63982e+01     -1.63982e+01      0.00000e+00     41s
    46     -1.65095e+01     -1.63982e+01      0.00000e+00     43s
    48     -1.64127e+01     -1.63982e+01      0.00000e+00     45s
    50     -1.64941e+01     -1.63982e+01      0.00000e+00     47s
    52     -1.52429e+01     -1.52429e+01      0.00000e+00     49s
    54     -1.43671e+01     -1.43671e+01      0.00000e+00     51s
    56     -1.39362e+01     -1.39362e+01      0.00000e+00     52s
    58     -1.44204e+01     -1.39362e+01      0.00000e+00     54s
    60     -1.50164e+01     -1.39362e+01      0.00000e+00     56s
    62     -1.63077e+01     -1.39362e+01      0.00000e+00     57s
    64     -1.73860e+01     -1.39362e+01      0.00000e+00     59s
    66     -1.82836e+01     -1.39362e+01      0.00000e+00     61s
    68     -1.86920e+01     -1.39362e+01      0.00000e+00     63s
    70     -1.84907e+01     -1.39362e+01      0.00000e+00     64s
    72     -1.77472e+01     -1.39362e+01      0.00000e+00     66s
    74     -1.67838e+01     -1.39362e+01      0.00000e+00     68s
    76     -1.57236e+01     -1.39362e+01      0.00000e+00     70s
    77     -1.52243e+01     -1.39362e+01      0.00000e+00     71s
    79     -1.47013e+01     -1.39362e+01      0.00000e+00     73s
    81     -1.46709e+01     -1.39362e+01      0.00000e+00     74s
    83     -1.51131e+01     -1.39362e+01      0.00000e+00     76s
    85     -1.61254e+01     -1.39362e+01      0.00000e+00     78s
    87     -1.73891e+01     -1.39362e+01      0.00000e+00     80s
    89     -1.83935e+01     -1.39362e+01      0.00000e+00     81s
    91     -1.91940e+01     -1.39362e+01      0.00000e+00     83s
    93     -1.93486e+01     -1.39362e+01      0.00000e+00     85s
    95     -1.86946e+01     -1.39362e+01      0.00000e+00     86s
    97     -1.78231e+01     -1.39362e+01      0.00000e+00     88s
    99     -1.64679e+01     -1.39362e+01      0.00000e+00     90s
   101     -1.54100e+01     -1.39362e+01      0.00000e+00     92s
   103     -1.34779e+01     -1.34779e+01      0.00000e+00     94s
   105     -1.23169e+01     -1.23169e+01      0.00000e+00     95s
   107     -1.24268e+01     -1.22404e+01      0.00000e+00     96s
   109     -1.35341e+01     -1.22404e+01      0.00000e+00     98s
   111     -1.55597e+01     -1.22404e+01      0.00000e+00     99s
   113     -1.76109e+01     -1.22404e+01      0.00000e+00    101s
   115     -1.96154e+01     -1.22404e+01      0.00000e+00    102s
   117     -2.06348e+01     -1.22404e+01      0.00000e+00    104s
   119     -2.07075e+01     -1.22404e+01      0.00000e+00    105s
   121     -1.98342e+01     -1.22404e+01      0.00000e+00    107s
   123     -1.80758e+01     -1.22404e+01      0.00000e+00    108s
   125     -1.59373e+01     -1.22404e+01      0.00000e+00    110s
   127     -1.42308e+01     -1.22404e+01      0.00000e+00    112s
   129     -1.33505e+01     -1.22404e+01      0.00000e+00    113s
   131     -1.34866e+01     -1.22404e+01      0.00000e+00    115s
   133     -1.45070e+01     -1.22404e+01      0.00000e+00    116s
