==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8_tight_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.65108e+01     -1.65108e+01      0.00000e+00     13s
     1     -1.64580e+01     -1.64580e+01      0.00000e+00     26s
     2     -1.65280e+01     -1.64580e+01      0.00000e+00     39s
     3     -1.65048e+01     -1.64580e+01      0.00000e+00     53s
     4     -1.64478e+01     -1.64478e+01      0.00000e+00     67s
     5     -1.65569e+01     -1.64478e+01      0.00000e+00     81s
     6     -1.65084e+01     -1.64478e+01      0.00000e+00     94s
     7     -1.65192e+01     -1.64478e+01      0.00000e+00    107s
     8     -1.65005e+01     -1.64478e+01      0.00000e+00    120s
     9     -1.64481e+01     -1.64478e+01      0.00000e+00    132s
    10     -1.64916e+01     -1.64478e+01      0.00000e+00    143s
    11     -1.64633e+01     -1.64478e+01      0.00000e+00    153s
    12     -1.64996e+01     -1.64478e+01      0.00000e+00    161s
    13     -1.65006e+01     -1.64478e+01      0.00000e+00    170s
    14     -1.65079e+01     -1.64478e+01      0.00000e+00    177s
    15     -1.64694e+01     -1.64478e+01      0.00000e+00    184s
    16     -1.65105e+01     -1.64478e+01      0.00000e+00    199s
    17     -1.63712e+01     -1.63712e+01      0.00000e+00    213s
    18     -1.64541e+01     -1.63712e+01      0.00000e+00    226s
    19     -1.64439e+01     -1.63712e+01      0.00000e+00    240s
    20     -1.65644e+01     -1.63712e+01      0.00000e+00    253s
    21     -1.64867e+01     -1.63712e+01      0.00000e+00    267s
    22     -1.65264e+01     -1.63712e+01      0.00000e+00    280s
    23     -1.65003e+01     -1.63712e+01      0.00000e+00    295s
    24     -1.65953e+01     -1.63712e+01      0.00000e+00    308s
    25     -1.66252e+01     -1.63712e+01      0.00000e+00    321s
    26     -1.64882e+01     -1.63712e+01      0.00000e+00    335s
    27     -1.65115e+01     -1.63712e+01      0.00000e+00    349s
    28     -1.65815e+01     -1.63712e+01      0.00000e+00    362s
    29     -1.64948e+01     -1.63712e+01      0.00000e+00    375s
    30     -1.64392e+01     -1.63712e+01      0.00000e+00    388s
    31     -1.64706e+01     -1.63712e+01      0.00000e+00    401s
    32     -1.66354e+01     -1.63712e+01      0.00000e+00    414s
    33     -1.65058e+01     -1.63712e+01      0.00000e+00    427s
    34     -1.65246e+01     -1.63712e+01      0.00000e+00    441s
    35     -1.65052e+01     -1.63712e+01      0.00000e+00    454s
    36     -1.63934e+01     -1.63712e+01      0.00000e+00    468s
    37     -1.65168e+01     -1.63712e+01      0.00000e+00    482s
    38     -1.64743e+01     -1.63712e+01      0.00000e+00    495s
    39     -1.64588e+01     -1.63712e+01      0.00000e+00    508s
    40     -1.65071e+01     -1.63712e+01      0.00000e+00    521s
    41     -1.64887e+01     -1.63712e+01      0.00000e+00    534s
    42     -1.64636e+01     -1.63712e+01      0.00000e+00    548s
    43     -1.65579e+01     -1.63712e+01      0.00000e+00    561s
    44     -1.65039e+01     -1.63712e+01      0.00000e+00    575s
    45     -1.64541e+01     -1.63712e+01      0.00000e+00    588s
    46     -1.64642e+01     -1.63712e+01      0.00000e+00    601s
    47     -1.65200e+01     -1.63712e+01      0.00000e+00    614s
    48     -1.65610e+01     -1.63712e+01      0.00000e+00    627s
    49     -1.64730e+01     -1.63712e+01      0.00000e+00    640s
    50     -1.64631e+01     -1.63712e+01      0.00000e+00    657s
    51     -1.60070e+01     -1.60070e+01      0.00000e+00    674s
    52     -1.53221e+01     -1.53221e+01      0.00000e+00    691s
    53     -1.49264e+01     -1.49264e+01      0.00000e+00    708s
    54     -1.44764e+01     -1.44764e+01      0.00000e+00    725s
    55     -1.43656e+01     -1.43656e+01      0.00000e+00    743s
    56     -1.41739e+01     -1.41739e+01      0.00000e+00    761s
    57     -1.42045e+01     -1.41739e+01      0.00000e+00    778s
    58     -1.43705e+01     -1.41739e+01      0.00000e+00    796s
    59     -1.47379e+01     -1.41739e+01      0.00000e+00    813s
    60     -1.52158e+01     -1.41739e+01      0.00000e+00    831s
    61     -1.56990e+01     -1.41739e+01      0.00000e+00    850s
    62     -1.61156e+01     -1.41739e+01      0.00000e+00    867s
    63     -1.68317e+01     -1.41739e+01      0.00000e+00    885s
    64     -1.73479e+01     -1.41739e+01      0.00000e+00    901s
    65     -1.78103e+01     -1.41739e+01      0.00000e+00    919s
    66     -1.81928e+01     -1.41739e+01      0.00000e+00    936s
    67     -1.83560e+01     -1.41739e+01      0.00000e+00    953s
    68     -1.84841e+01     -1.41739e+01      0.00000e+00    970s
    69     -1.85623e+01     -1.41739e+01      0.00000e+00    986s
    70     -1.82677e+01     -1.41739e+01      0.00000e+00   1003s
    71     -1.80766e+01     -1.41739e+01      0.00000e+00   1021s
    72     -1.77148e+01     -1.41739e+01      0.00000e+00   1038s
    73     -1.72179e+01     -1.41739e+01      0.00000e+00   1055s
    74     -1.67074e+01     -1.41739e+01      0.00000e+00   1071s
    75     -1.62966e+01     -1.41739e+01      0.00000e+00   1090s
    76     -1.57624e+01     -1.41739e+01      0.00000e+00   1107s
    77     -1.53181e+01     -1.41739e+01      0.00000e+00   1124s
    78     -1.50232e+01     -1.41739e+01      0.00000e+00   1140s
    79     -1.47817e+01     -1.41739e+01      0.00000e+00   1157s
    80     -1.47848e+01     -1.41739e+01      0.00000e+00   1174s
    81     -1.48274e+01     -1.41739e+01      0.00000e+00   1191s
    82     -1.49626e+01     -1.41739e+01      0.00000e+00   1207s
    83     -1.52885e+01     -1.41739e+01      0.00000e+00   1223s
    84     -1.57507e+01     -1.41739e+01      0.00000e+00   1240s
    85     -1.63124e+01     -1.41739e+01      0.00000e+00   1257s
    86     -1.67907e+01     -1.41739e+01      0.00000e+00   1274s
    87     -1.72452e+01     -1.41739e+01      0.00000e+00   1291s
    88     -1.77823e+01     -1.41739e+01      0.00000e+00   1308s
    89     -1.82299e+01     -1.41739e+01      0.00000e+00   1325s
    90     -1.87184e+01     -1.41739e+01      0.00000e+00   1337s
    91     -1.88723e+01     -1.41739e+01      0.00000e+00   1347s
    92     -1.89729e+01     -1.41739e+01      0.00000e+00   1356s
    93     -1.90366e+01     -1.41739e+01      0.00000e+00   1371s
    94     -1.88267e+01     -1.41739e+01      0.00000e+00   1391s
    95     -1.86390e+01     -1.41739e+01      0.00000e+00   1411s
    96     -1.81724e+01     -1.41739e+01      0.00000e+00   1429s
    97     -1.76579e+01     -1.41739e+01      0.00000e+00   1447s
    98     -1.71231e+01     -1.41739e+01      0.00000e+00   1464s
    99     -1.64579e+01     -1.41739e+01      0.00000e+00   1481s
   100     -1.64607e+01     -1.41739e+01      0.00000e+00   1498s
   101     -1.54909e+01     -1.41739e+01      0.00000e+00   1515s
   102     -1.45059e+01     -1.41739e+01      0.00000e+00   1534s
   103     -1.37082e+01     -1.37082e+01      0.00000e+00   1550s
   104     -1.30116e+01     -1.30116e+01      0.00000e+00   1567s
   105     -1.26644e+01     -1.26644e+01      0.00000e+00   1584s
   106     -1.26722e+01     -1.26644e+01      0.00000e+00   1601s
