==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8naive_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.39286e+01     -4.39286e+01     -3.00000e+00   1464s
     1     -4.44742e+01     -4.39286e+01     -3.00000e+00   2980s
     2     -4.42479e+01     -4.39286e+01     -3.00000e+00   4520s
     3     -4.41353e+01     -4.39286e+01     -3.00000e+00   6042s
     4     -4.40601e+01     -4.39286e+01     -3.00000e+00   7554s
     5     -4.42660e+01     -4.39286e+01      0.00000e+00   9089s
     6     -4.43560e+01     -4.39286e+01      0.00000e+00  10614s
     7     -4.43895e+01     -4.39286e+01      0.00000e+00  12133s
     8     -4.39777e+01     -4.39286e+01      0.00000e+00  13664s
     9     -4.41826e+01     -4.39286e+01      0.00000e+00  15187s
    10     -4.42550e+01     -4.39286e+01      0.00000e+00  16724s
    11     -4.41824e+01     -4.39286e+01      0.00000e+00  18233s
    12     -4.42737e+01     -4.39286e+01      0.00000e+00  19752s
    13     -4.43562e+01     -4.39286e+01      0.00000e+00  21275s
    14     -4.43370e+01     -4.39286e+01      0.00000e+00  22805s
    15     -4.40891e+01     -4.39286e+01      0.00000e+00  24349s
    16     -4.42920e+01     -4.39286e+01      0.00000e+00  25875s
    17     -4.42812e+01     -4.39286e+01      0.00000e+00  27399s
    18     -4.42891e+01     -4.39286e+01      0.00000e+00  28925s
    19     -4.41324e+01     -4.39286e+01      0.00000e+00  30443s
    20     -4.41314e+01     -4.39286e+01      0.00000e+00  31990s
    21     -4.42007e+01     -4.39286e+01      0.00000e+00  33517s
    22     -4.41433e+01     -4.39286e+01      0.00000e+00  35043s
