==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8tight_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.04550e+01     -2.04550e+01     -2.60000e+00   1463s
     1     -2.04247e+01     -2.04247e+01     -2.60000e+00   2980s
     2     -2.03969e+01     -2.03969e+01     -2.20000e+00   4515s
     3     -2.04274e+01     -2.03969e+01     -2.20000e+00   6039s
     4     -2.04519e+01     -2.03969e+01     -2.20000e+00   7557s
     5     -2.04683e+01     -2.03969e+01     -2.20000e+00   9089s
     6     -2.04925e+01     -2.03969e+01     -2.20000e+00  10600s
     7     -2.04085e+01     -2.03969e+01     -1.60000e+00  12135s
     8     -2.04763e+01     -2.03969e+01     -1.60000e+00  13640s
     9     -2.04131e+01     -2.03969e+01     -1.60000e+00  15163s
    10     -2.04528e+01     -2.03969e+01     -1.60000e+00  16693s
    11     -2.03942e+01     -2.03942e+01     -1.60000e+00  18213s
    12     -2.04980e+01     -2.03942e+01     -1.60000e+00  19735s
    13     -2.06021e+01     -2.03942e+01     -1.60000e+00  21280s
    14     -2.06172e+01     -2.03942e+01     -1.60000e+00  22805s
    15     -2.04433e+01     -2.03942e+01     -1.60000e+00  24345s
    16     -2.05836e+01     -2.03942e+01     -1.60000e+00  25872s
    17     -2.04360e+01     -2.03942e+01     -1.60000e+00  27405s
    18     -2.04710e+01     -2.03942e+01     -1.60000e+00  28953s
    19     -2.03633e+01     -2.03633e+01     -1.60000e+00  30474s
    20     -2.04808e+01     -2.03633e+01     -1.00000e+00  32016s
    21     -2.03598e+01     -2.03598e+01     -1.00000e+00  33533s
    22     -2.04677e+01     -2.03598e+01     -1.00000e+00  35063s
    23     -2.03756e+01     -2.03598e+01     -1.00000e+00  36606s
    24     -2.04633e+01     -2.03598e+01     -1.00000e+00  38060s
    25     -2.03998e+01     -2.03598e+01     -1.00000e+00  39603s
    26     -1.69853e+01     -1.69853e+01     -1.00000e+00  41179s
    27     -1.46588e+01     -1.46588e+01     -1.00000e+00  42740s
    28     -1.41029e+01     -1.41029e+01     -1.00000e+00  44313s
    29     -1.55332e+01     -1.41029e+01     -1.00000e+00  45867s
    30     -1.84490e+01     -1.41029e+01     -1.00000e+00  47418s
    31     -2.21248e+01     -1.41029e+01     -1.00000e+00  48988s
    32     -2.52957e+01     -1.41029e+01     -1.00000e+00  50540s
    33     -2.76233e+01     -1.41029e+01     -1.00000e+00  52092s
    34     -2.81853e+01     -1.41029e+01     -1.00000e+00  53665s
    35     -2.66190e+01     -1.41029e+01     -1.00000e+00  55223s
    36     -2.38227e+01     -1.41029e+01     -1.00000e+00  56795s
    37     -2.04275e+01     -1.41029e+01     -1.00000e+00  58342s
    38     -1.73286e+01     -1.41029e+01     -1.00000e+00  59900s
    39     -1.52899e+01     -1.41029e+01     -1.00000e+00  61472s
    40     -1.51569e+01     -1.41029e+01     -1.00000e+00  63023s
    41     -1.67277e+01     -1.41029e+01     -1.00000e+00  64582s
    42     -1.99488e+01     -1.41029e+01     -1.00000e+00  66156s
    43     -2.34284e+01     -1.41029e+01     -1.00000e+00  67710s
    44     -2.67139e+01     -1.41029e+01     -1.00000e+00  69280s
    45     -2.89251e+01     -1.41029e+01     -1.00000e+00  70830s
    46     -2.91560e+01     -1.41029e+01     -1.00000e+00  72386s
    47     -2.74344e+01     -1.41029e+01     -1.00000e+00  73960s
    48     -2.42904e+01     -1.41029e+01     -1.00000e+00  75518s
    49     -2.03355e+01     -1.41029e+01     -1.00000e+00  77064s
    50     -2.02735e+01     -1.41029e+01     -1.00000e+00  78612s
    51     -1.54427e+01     -1.41029e+01     -1.00000e+00  80176s
    52     -1.26333e+01     -1.26333e+01     -1.00000e+00  81750s
    53     -1.28304e+01     -1.26333e+01      0.00000e+00  83289s
    54     -1.59685e+01     -1.26333e+01      0.00000e+00  84841s
    55     -2.12106e+01     -1.26333e+01      0.00000e+00  86400s
    56     -2.69704e+01     -1.26333e+01      0.00000e+00  87960s
    57     -3.17944e+01     -1.26333e+01      0.00000e+00  89513s
    58     -3.43430e+01     -1.26333e+01      0.00000e+00  91086s
    59     -3.43371e+01     -1.26333e+01      0.00000e+00  92634s
    60     -3.10938e+01     -1.26333e+01      0.00000e+00  94204s
    61     -2.60818e+01     -1.26333e+01      0.00000e+00  95762s
    62     -2.04747e+01     -1.26333e+01      0.00000e+00  97302s
    63     -1.58921e+01     -1.26333e+01      0.00000e+00  98874s
    64     -1.35936e+01     -1.26333e+01      0.00000e+00  100423s
    65     -1.42731e+01     -1.26333e+01      0.00000e+00  101979s
    66     -1.77673e+01     -1.26333e+01      0.00000e+00  103552s
    67     -2.30523e+01     -1.26333e+01      0.00000e+00  105104s
    68     -2.89480e+01     -1.26333e+01      0.00000e+00  106673s
    69     -3.37572e+01     -1.26333e+01      0.00000e+00  108223s
    70     -3.62748e+01     -1.26333e+01      0.00000e+00  109779s
    71     -3.55497e+01     -1.26333e+01      0.00000e+00  111350s
    72     -3.21679e+01     -1.26333e+01      0.00000e+00  112903s
    73     -2.65274e+01     -1.26333e+01      0.00000e+00  114460s
    74     -2.06027e+01     -1.26333e+01      0.00000e+00  116024s
    75     -2.04234e+01     -1.26333e+01      0.00000e+00  117554s
    76     -1.61369e+01     -1.26333e+01      0.00000e+00  119125s
    77     -1.46340e+01     -1.26333e+01      0.00000e+00  120679s
    78     -1.60225e+01     -1.26333e+01      0.00000e+00  122224s
    79     -2.00575e+01     -1.26333e+01      0.00000e+00  123794s
    80     -2.56516e+01     -1.26333e+01      0.00000e+00  125340s
    81     -3.12092e+01     -1.26333e+01      0.00000e+00  126889s
    82     -3.51716e+01     -1.26333e+01      0.00000e+00  128445s
    83     -3.67486e+01     -1.26333e+01      0.00000e+00  129998s
