==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -8.89986e+01     -8.89986e+01      0.00000e+00     18s
     1     -8.96505e+01     -8.89986e+01      0.00000e+00     35s
     2     -8.97498e+01     -8.89986e+01      1.00000e+00     52s
     3     -8.93631e+01     -8.89986e+01      3.00000e+00     68s
     4     -8.98177e+01     -8.89986e+01      3.00000e+00     87s
     5     -8.94378e+01     -8.89986e+01      3.00000e+00    104s
     6     -8.92974e+01     -8.89986e+01      3.00000e+00    124s
     7     -8.96419e+01     -8.89986e+01      3.00000e+00    142s
     8     -8.93382e+01     -8.89986e+01      3.00000e+00    161s
     9     -8.95786e+01     -8.89986e+01      3.00000e+00    177s
    10     -8.89666e+01     -8.89666e+01      4.00000e+00    196s
    11     -8.88532e+01     -8.88532e+01      4.00000e+00    212s
    12     -8.97480e+01     -8.88532e+01      4.00000e+00    233s
    13     -8.93168e+01     -8.88532e+01      4.00000e+00    255s
    14     -8.93521e+01     -8.88532e+01      4.00000e+00    272s
    15     -8.98983e+01     -8.88532e+01      4.00000e+00    290s
    16     -8.95474e+01     -8.88532e+01      4.00000e+00    306s
    17     -8.96533e+01     -8.88532e+01      4.00000e+00    327s
    18     -8.92592e+01     -8.88532e+01      4.00000e+00    348s
    19     -8.92258e+01     -8.88532e+01      4.00000e+00    368s
    20     -8.96395e+01     -8.88532e+01      4.00000e+00    385s
    21     -8.94433e+01     -8.88532e+01      4.00000e+00    406s
    22     -9.02409e+01     -8.88532e+01      4.00000e+00    427s
    23     -8.90003e+01     -8.88532e+01      5.00000e+00    447s
    24     -8.99008e+01     -8.88532e+01      5.00000e+00    468s
    25     -8.96311e+01     -8.88532e+01      5.00000e+00    488s
    26     -8.95964e+01     -8.88532e+01      5.00000e+00    507s
