==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              25
Number of partitions:         4

Density (%):                  89
Name of instance:             seed1_band_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.34916e+02     -1.34916e+02      6.00000e+00      4s
     1     -1.33669e+02     -1.33669e+02      6.00000e+00      7s
     2     -1.34135e+02     -1.33669e+02      6.00000e+00     11s
     3     -1.34760e+02     -1.33669e+02      6.00000e+00     16s
     4     -1.33710e+02     -1.33669e+02      7.00000e+00     20s
     5     -1.34859e+02     -1.33669e+02      7.00000e+00     23s
     6     -1.34549e+02     -1.33669e+02      7.00000e+00     26s
     7     -1.34379e+02     -1.33669e+02      7.00000e+00     30s
     8     -1.34219e+02     -1.33669e+02      7.00000e+00     34s
     9     -1.34967e+02     -1.33669e+02      7.00000e+00     38s
    10     -1.33346e+02     -1.33346e+02      7.00000e+00     41s
    11     -1.34008e+02     -1.33346e+02      7.00000e+00     44s
    12     -1.34302e+02     -1.33346e+02      7.00000e+00     48s
    13     -1.34092e+02     -1.33346e+02      7.00000e+00     52s
    14     -1.34808e+02     -1.33346e+02      7.00000e+00     57s
    15     -1.33626e+02     -1.33346e+02      7.00000e+00     59s
    16     -1.34242e+02     -1.33346e+02      7.00000e+00     63s
    17     -1.34560e+02     -1.33346e+02      7.00000e+00     67s
    18     -1.35087e+02     -1.33346e+02      7.00000e+00     71s
    19     -1.34043e+02     -1.33346e+02      7.00000e+00     75s
    20     -1.34328e+02     -1.33346e+02      7.00000e+00     77s
    21     -1.34170e+02     -1.33346e+02      7.00000e+00     81s
    22     -1.34330e+02     -1.33346e+02      7.00000e+00     85s
    23     -1.35106e+02     -1.33346e+02      7.00000e+00     89s
    24     -1.34713e+02     -1.33346e+02      7.00000e+00     93s
    25     -1.34470e+02     -1.33346e+02      7.00000e+00     95s
    26     -1.34050e+02     -1.33346e+02      7.00000e+00     99s
    27     -1.34588e+02     -1.33346e+02      7.00000e+00    103s
    28     -1.33676e+02     -1.33346e+02      7.00000e+00    107s
    29     -1.34428e+02     -1.33346e+02      7.00000e+00    110s
    30     -1.34047e+02     -1.33346e+02      7.00000e+00    113s
    31     -1.35610e+02     -1.33346e+02      7.00000e+00    118s
    32     -1.35098e+02     -1.33346e+02      7.00000e+00    121s
    33     -1.35234e+02     -1.33346e+02      7.00000e+00    125s
    34     -1.34176e+02     -1.33346e+02      7.00000e+00    129s
    35     -1.34244e+02     -1.33346e+02      7.00000e+00    132s
    36     -1.34595e+02     -1.33346e+02      7.00000e+00    136s
    37     -1.35425e+02     -1.33346e+02      7.00000e+00    139s
    38     -1.33881e+02     -1.33346e+02      7.00000e+00    143s
    39     -1.34771e+02     -1.33346e+02      7.00000e+00    146s
    40     -1.34658e+02     -1.33346e+02      7.00000e+00    150s
    41     -1.34625e+02     -1.33346e+02      7.00000e+00    153s
    42     -1.34048e+02     -1.33346e+02      7.00000e+00    157s
    43     -1.33310e+02     -1.33310e+02      7.00000e+00    161s
    44     -1.34811e+02     -1.33310e+02      7.00000e+00    165s
    45     -1.35794e+02     -1.33310e+02      7.00000e+00    168s
    46     -1.34756e+02     -1.33310e+02      7.00000e+00    172s
    47     -1.33939e+02     -1.33310e+02      7.00000e+00    175s
    48     -1.35315e+02     -1.33310e+02      7.00000e+00    179s
    49     -1.34796e+02     -1.33310e+02      7.00000e+00    182s
    50     -1.33571e+02     -1.33310e+02      7.00000e+00    185s
    51     -1.35695e+02     -1.33310e+02      7.00000e+00    189s
    52     -1.50643e+02     -1.33310e+02      7.00000e+00    194s
    53     -1.74112e+02     -1.33310e+02      7.00000e+00    197s
    54     -2.00799e+02     -1.33310e+02      7.00000e+00    201s
    55     -2.24734e+02     -1.33310e+02      7.00000e+00    203s
    56     -2.35830e+02     -1.33310e+02      7.00000e+00    206s
    57     -2.33502e+02     -1.33310e+02      7.00000e+00    209s
    58     -2.20330e+02     -1.33310e+02      7.00000e+00    212s
    59     -1.98264e+02     -1.33310e+02      7.00000e+00    216s
    60     -1.74433e+02     -1.33310e+02      7.00000e+00    219s
    61     -1.50605e+02     -1.33310e+02      7.00000e+00    223s
    62     -1.35485e+02     -1.33310e+02      7.00000e+00    227s
    63     -1.34597e+02     -1.33310e+02      7.00000e+00    230s
    64     -1.45504e+02     -1.33310e+02      7.00000e+00    234s
    65     -1.66492e+02     -1.33310e+02      7.00000e+00    238s
    66     -1.91598e+02     -1.33310e+02      7.00000e+00    242s
    67     -2.16808e+02     -1.33310e+02      7.00000e+00    244s
    68     -2.32847e+02     -1.33310e+02      7.00000e+00    247s
    69     -2.35277e+02     -1.33310e+02      7.00000e+00    250s
    70     -2.24587e+02     -1.33310e+02      7.00000e+00    254s
    71     -2.04148e+02     -1.33310e+02      7.00000e+00    257s
    72     -1.79931e+02     -1.33310e+02      7.00000e+00    261s
    73     -1.54565e+02     -1.33310e+02      7.00000e+00    264s
    74     -1.38067e+02     -1.33310e+02      7.00000e+00    268s
    75     -1.33799e+02     -1.33310e+02      7.00000e+00    272s
    76     -1.41749e+02     -1.33310e+02      7.00000e+00    276s
    77     -1.60857e+02     -1.33310e+02      7.00000e+00    279s
    78     -1.87435e+02     -1.33310e+02      7.00000e+00    283s
    79     -2.12220e+02     -1.33310e+02      7.00000e+00    287s
    80     -2.30945e+02     -1.33310e+02      7.00000e+00    290s
    81     -2.37374e+02     -1.33310e+02      7.00000e+00    293s
    82     -2.28935e+02     -1.33310e+02      7.00000e+00    296s
    83     -2.11558e+02     -1.33310e+02      7.00000e+00    299s
