==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              7
Number of partitions:         4

Density (%):                  25
Name of instance:             seed1_rand_p0.2_neg0.0_tight
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -7.41683e+00     -7.41683e+00      7.00000e+00      9s
     1     -7.31280e+00     -7.31280e+00      7.00000e+00     16s
     2     -7.51367e+00     -7.31280e+00      7.00000e+00     22s
     3     -7.45992e+00     -7.31280e+00      7.00000e+00     29s
     4     -7.37919e+00     -7.31280e+00      7.00000e+00     36s
     5     -7.57983e+00     -7.31280e+00      7.00000e+00     43s
     6     -7.44508e+00     -7.31280e+00      7.00000e+00     49s
     7     -7.37364e+00     -7.31280e+00      7.00000e+00     56s
     8     -7.35379e+00     -7.31280e+00      7.00000e+00     63s
     9     -7.37396e+00     -7.31280e+00      7.00000e+00     70s
    10     -7.33148e+00     -7.31280e+00      7.00000e+00     76s
    11     -7.29236e+00     -7.29236e+00      7.00000e+00     83s
    12     -7.37108e+00     -7.29236e+00      7.00000e+00     90s
    13     -7.53706e+00     -7.29236e+00      7.00000e+00     96s
    14     -7.35933e+00     -7.29236e+00      7.00000e+00    103s
    15     -7.34845e+00     -7.29236e+00      7.00000e+00    110s
    16     -7.39527e+00     -7.29236e+00      7.00000e+00    117s
    17     -7.35200e+00     -7.29236e+00      7.00000e+00    123s
    18     -7.47929e+00     -7.29236e+00      7.00000e+00    130s
    19     -7.35122e+00     -7.29236e+00      7.00000e+00    137s
    20     -7.36174e+00     -7.29236e+00      7.00000e+00    144s
    21     -7.41758e+00     -7.29236e+00      7.00000e+00    150s
    22     -7.48846e+00     -7.29236e+00      7.00000e+00    157s
    23     -7.42685e+00     -7.29236e+00      7.00000e+00    164s
    24     -7.40418e+00     -7.29236e+00      7.00000e+00    170s
    25     -7.42631e+00     -7.29236e+00      7.00000e+00    176s
    26     -5.19411e+00     -5.19411e+00      7.00000e+00    183s
    27     -3.13788e+00     -3.13788e+00      7.00000e+00    189s
    28     -1.95855e+00     -1.95855e+00      7.00000e+00    196s
    29     -1.28345e+00     -1.28345e+00      7.00000e+00    203s
    30     -1.18095e+00     -1.18095e+00      7.00000e+00    210s
    31     -1.58309e+00     -1.18095e+00      7.00000e+00    216s
    32     -2.11337e+00     -1.18095e+00      7.00000e+00    223s
    33     -2.97198e+00     -1.18095e+00      7.00000e+00    230s
    34     -3.93697e+00     -1.18095e+00      7.00000e+00    237s
    35     -4.95612e+00     -1.18095e+00      7.00000e+00    243s
    36     -6.19277e+00     -1.18095e+00      7.00000e+00    250s
    37     -7.52575e+00     -1.18095e+00      7.00000e+00    257s
    38     -8.88989e+00     -1.18095e+00      7.00000e+00    264s
    39     -1.06422e+01     -1.18095e+00      7.00000e+00    271s
    40     -1.24007e+01     -1.18095e+00      7.00000e+00    278s
    41     -1.42551e+01     -1.18095e+00      7.00000e+00    285s
    42     -1.56787e+01     -1.18095e+00      7.00000e+00    292s
    43     -1.66229e+01     -1.18095e+00      7.00000e+00    299s
    44     -1.65877e+01     -1.18095e+00      7.00000e+00    306s
    45     -1.60675e+01     -1.18095e+00      7.00000e+00    313s
    46     -1.45728e+01     -1.18095e+00      7.00000e+00    320s
    47     -1.24079e+01     -1.18095e+00      7.00000e+00    326s
    48     -9.98313e+00     -1.18095e+00      7.00000e+00    333s
    49     -7.40413e+00     -1.18095e+00      7.00000e+00    339s
    50     -7.30203e+00     -1.18095e+00      7.00000e+00    345s
    51     -3.64665e+00     -1.18095e+00      7.00000e+00    352s
    52     -7.07500e-01     -7.07500e-01      7.00000e+00    359s
    53      1.05959e+00      1.05959e+00      7.00000e+00    365s
    54      1.73911e+00      1.73911e+00      7.00000e+00    372s
    55      1.63166e+00      1.73911e+00      7.00000e+00    379s
    56      9.58150e-01      1.73911e+00      7.00000e+00    386s
    57      6.29350e-02      1.73911e+00      7.00000e+00    392s
    58     -9.87625e-01      1.73911e+00      7.00000e+00    399s
    59     -1.92817e+00      1.73911e+00      7.00000e+00    405s
    60     -3.43833e+00      1.73911e+00      7.00000e+00    412s
    61     -5.15358e+00      1.73911e+00      7.00000e+00    419s
    62     -7.53979e+00      1.73911e+00      7.00000e+00    426s
    63     -1.04936e+01      1.73911e+00      7.00000e+00    432s
    64     -1.38780e+01      1.73911e+00      7.00000e+00    440s
    65     -1.75319e+01      1.73911e+00      7.00000e+00    446s
    66     -2.10387e+01      1.73911e+00      7.00000e+00    453s
    67     -2.38449e+01      1.73911e+00      7.00000e+00    460s
    68     -2.52426e+01      1.73911e+00      7.00000e+00    467s
    69     -2.54088e+01      1.73911e+00      7.00000e+00    474s
    70     -2.37878e+01      1.73911e+00      7.00000e+00    481s
    71     -2.06153e+01      1.73911e+00      7.00000e+00    488s
    72     -1.65138e+01      1.73911e+00      7.00000e+00    495s
    73     -1.18968e+01      1.73911e+00      7.00000e+00    502s
    74     -7.43698e+00      1.73911e+00      7.00000e+00    508s
    75     -7.42517e+00      1.73911e+00      7.00000e+00    514s
    76     -2.89741e+00      1.73911e+00      7.00000e+00    521s
    77      2.06025e-01      1.73911e+00      7.00000e+00    527s
    78      1.97407e+00      1.97407e+00      7.00000e+00    534s
    79      2.61811e+00      2.61811e+00      7.00000e+00    540s
    80      2.51824e+00      2.61811e+00      7.00000e+00    547s
    81      1.86746e+00      2.61811e+00      7.00000e+00    554s
    82      1.02188e+00      2.61811e+00      7.00000e+00    560s
    83      3.01040e-01      2.61811e+00      7.00000e+00    567s
    84     -8.36265e-01      2.61811e+00      7.00000e+00    574s
    85     -2.29808e+00      2.61811e+00      7.00000e+00    580s
    86     -4.37949e+00      2.61811e+00      7.00000e+00    587s
    87     -7.41378e+00      2.61811e+00      7.00000e+00    594s
    88     -1.13970e+01      2.61811e+00      7.00000e+00    601s
    89     -1.58254e+01      2.61811e+00      7.00000e+00    608s
    90     -2.08276e+01      2.61811e+00      7.00000e+00    615s
    91     -2.51674e+01      2.61811e+00      7.00000e+00    621s
    92     -2.84904e+01      2.61811e+00      7.00000e+00    629s
    93     -3.03159e+01      2.61811e+00      7.00000e+00    635s
    94     -3.00316e+01      2.61811e+00      7.00000e+00    642s
    95     -2.77016e+01      2.61811e+00      7.00000e+00    649s
    96     -2.35815e+01      2.61811e+00      7.00000e+00    656s
    97     -1.84013e+01      2.61811e+00      7.00000e+00    663s
    98     -1.27849e+01      2.61811e+00      7.00000e+00    670s
    99     -7.45836e+00      2.61811e+00      7.00000e+00    676s
   100     -7.45382e+00      2.61811e+00      7.00000e+00    682s
   101     -3.28743e+00      2.61811e+00      7.00000e+00    688s
   102     -1.23940e-01      2.61811e+00      7.00000e+00    695s
   103      1.53777e+00      2.61811e+00      7.00000e+00    702s
   104      2.12810e+00      2.61811e+00      7.00000e+00    709s
   105      2.18751e+00      2.61811e+00      7.00000e+00    715s
   106      1.72656e+00      2.61811e+00      7.00000e+00    722s
   107      1.28541e+00      2.61811e+00      7.00000e+00    728s
   108      6.27850e-01      2.61811e+00      7.00000e+00    735s
   109     -1.35945e-01      2.61811e+00      7.00000e+00    742s
   110     -1.75023e+00      2.61811e+00      7.00000e+00    749s
   111     -4.05881e+00      2.61811e+00      7.00000e+00    755s
   112     -7.39873e+00      2.61811e+00      7.00000e+00    762s
   113     -1.18825e+01      2.61811e+00      7.00000e+00    769s
   114     -1.68327e+01      2.61811e+00      7.00000e+00    776s
   115     -2.19965e+01      2.61811e+00      7.00000e+00    783s
   116     -2.65718e+01      2.61811e+00      7.00000e+00    790s
   117     -3.00678e+01      2.61811e+00      7.00000e+00    797s
   118     -3.15330e+01      2.61811e+00      7.00000e+00    804s
   119     -3.08873e+01      2.61811e+00      7.00000e+00    811s
   120     -2.81090e+01      2.61811e+00      7.00000e+00    818s
   121     -2.38688e+01      2.61811e+00      7.00000e+00    825s
   122     -1.85823e+01      2.61811e+00      7.00000e+00    832s
   123     -1.26244e+01      2.61811e+00      7.00000e+00    839s
   124     -7.41168e+00      2.61811e+00      7.00000e+00    845s
   125     -7.37671e+00      2.61811e+00      7.00000e+00    851s
   126     -3.67199e+00      2.61811e+00      7.00000e+00    858s
   127     -9.55385e-01      2.61811e+00      7.00000e+00    864s
   128      4.51640e-01      2.61811e+00      7.00000e+00    871s
   129      9.79490e-01      2.61811e+00      7.00000e+00    877s
   130      1.03577e+00      2.61811e+00      7.00000e+00    884s
   131      8.84040e-01      2.61811e+00      7.00000e+00    890s
   132      6.94665e-01      2.61811e+00      7.00000e+00    897s
   133      3.99595e-01      2.61811e+00      7.00000e+00    903s
   134     -4.02145e-01      2.61811e+00      7.00000e+00    910s
   135     -1.57194e+00      2.61811e+00      7.00000e+00    917s
   136     -3.93077e+00      2.61811e+00      7.00000e+00    924s
   137     -7.56986e+00      2.61811e+00      7.00000e+00    931s
   138     -1.18735e+01      2.61811e+00      7.00000e+00    938s
   139     -1.69072e+01      2.61811e+00      7.00000e+00    944s
   140     -2.18543e+01      2.61811e+00      7.00000e+00    951s
   141     -2.62161e+01      2.61811e+00      7.00000e+00    958s
   142     -2.94709e+01      2.61811e+00      7.00000e+00    965s
   143     -3.05509e+01      2.61811e+00      7.00000e+00    972s
   144     -2.98417e+01      2.61811e+00      7.00000e+00    979s
   145     -2.68589e+01      2.61811e+00      7.00000e+00    986s
   146     -2.26830e+01      2.61811e+00      7.00000e+00    993s
   147     -1.74035e+01      2.61811e+00      7.00000e+00   1000s
   148     -1.21081e+01      2.61811e+00      7.00000e+00   1007s
   149     -7.47757e+00      2.61811e+00      7.00000e+00   1013s
   150     -7.34859e+00      2.61811e+00      7.00000e+00   1019s
   151     -4.36229e+00      2.61811e+00      7.00000e+00   1026s
   152     -2.12698e+00      2.61811e+00      7.00000e+00   1033s
   153     -8.61170e-01      2.61811e+00      7.00000e+00   1040s
   154     -3.75215e-01      2.61811e+00      7.00000e+00   1046s
   155     -1.70350e-01      2.61811e+00      7.00000e+00   1053s
   156     -1.46390e-01      2.61811e+00      7.00000e+00   1060s
   157     -8.49750e-02      2.61811e+00      7.00000e+00   1066s
   158     -2.49690e-01      2.61811e+00      7.00000e+00   1073s
   159     -7.68880e-01      2.61811e+00      7.00000e+00   1080s
   160     -2.00333e+00      2.61811e+00      7.00000e+00   1087s
   161     -4.12432e+00      2.61811e+00      7.00000e+00   1094s
   162     -7.39824e+00      2.61811e+00      7.00000e+00   1101s
   163     -1.16702e+01      2.61811e+00      7.00000e+00   1108s
   164     -1.63291e+01      2.61811e+00      7.00000e+00   1115s
   165     -2.09467e+01      2.61811e+00      7.00000e+00   1122s
   166     -2.50649e+01      2.61811e+00      7.00000e+00   1129s
   167     -2.78118e+01      2.61811e+00      7.00000e+00   1136s
   168     -2.89021e+01      2.61811e+00      7.00000e+00   1143s
   169     -2.78746e+01      2.61811e+00      7.00000e+00   1150s
   170     -2.49600e+01      2.61811e+00      7.00000e+00   1157s
   171     -2.10685e+01      2.61811e+00      7.00000e+00   1164s
   172     -1.61644e+01      2.61811e+00      7.00000e+00   1171s
   173     -1.14766e+01      2.61811e+00      7.00000e+00   1178s
   174     -7.29244e+00      2.61811e+00      7.00000e+00   1184s
   175     -7.42796e+00      2.61811e+00      7.00000e+00   1190s
   176     -4.76343e+00      2.61811e+00      7.00000e+00   1197s
   177     -2.90042e+00      2.61811e+00      7.00000e+00   1204s
   178     -1.98895e+00      2.61811e+00      7.00000e+00   1210s
   179     -1.49163e+00      2.61811e+00      7.00000e+00   1217s
   180     -1.23601e+00      2.61811e+00      7.00000e+00   1223s
The brute search stopped after 181 iterations.

==================================================
Summary of results QAOA
--------------------------------------------------
Avg of QAOA obj (BQO obj):    5.32
Avg of QAOA obj (penalty):    -2.70
Avg of constraint violation:  4.07

Feasible percentage (%):      0.68
Avg of pure feasible obj:     5.47

Avg of QAOA obj:              2.62
STD of QAOA obj:              0.50

Avg of QAOA obj (feasible):   5.94
STD of QAOA obj (feasible):   0.10

Gamma angles:                 0.39
Beta angles:                  0.52

Best QAOA obj:                7.00
Modified best QAOA obj:       7.00
Best QAOA obj (feasible):     7.00

QAOA total time:              1223.40s
QAOA circuit depth:           13
==================================================

==================================================
Summary of results of 0-S8
--------------------------------------------------
Number of vertices:           8
Number of edges:              7

Vertex num in largest comp:   8
Edge num in largest comp:     7

Pre-processing running time:  0.00
Total solver time:            1223.40
Running time:                 1226.23

Upper bound:                  7.00
Objective value:              7.00

Partition 0:                  0, 6                
Partition 1:                  1, 2, 5             
Partition 2:                  4                   
Partition 3:                  3, 7                
==================================================
