==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              7
Number of partitions:         4

Density (%):                  25
Name of instance:             seed1_rand_p0.2_neg0.4_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -7.89920e+01     -7.89920e+01      1.00000e+00      7s
     1     -7.95142e+01     -7.89920e+01      4.00000e+00     13s
     2     -7.86263e+01     -7.86263e+01      4.00000e+00     20s
     3     -7.86348e+01     -7.86263e+01      4.00000e+00     27s
     4     -7.90583e+01     -7.86263e+01      4.00000e+00     34s
     5     -7.89664e+01     -7.86263e+01      4.00000e+00     41s
     6     -7.84715e+01     -7.84715e+01      4.00000e+00     47s
     7     -7.86385e+01     -7.84715e+01      4.00000e+00     54s
     8     -7.86310e+01     -7.84715e+01      4.00000e+00     61s
     9     -7.79702e+01     -7.79702e+01      4.00000e+00     67s
    10     -7.88638e+01     -7.79702e+01      4.00000e+00     74s
    11     -7.85785e+01     -7.79702e+01      4.00000e+00     81s
    12     -7.82486e+01     -7.79702e+01      4.00000e+00     88s
    13     -7.87654e+01     -7.79702e+01      4.00000e+00     94s
    14     -7.90610e+01     -7.79702e+01      4.00000e+00    101s
    15     -7.91329e+01     -7.79702e+01      5.00000e+00    108s
    16     -7.91265e+01     -7.79702e+01      5.00000e+00    114s
    17     -7.89705e+01     -7.79702e+01      5.00000e+00    121s
    18     -7.88577e+01     -7.79702e+01      5.00000e+00    128s
    19     -7.84147e+01     -7.79702e+01      5.00000e+00    134s
    20     -7.86325e+01     -7.79702e+01      5.00000e+00    141s
    21     -7.82760e+01     -7.79702e+01      5.00000e+00    148s
    22     -7.84289e+01     -7.79702e+01      5.00000e+00    154s
    23     -7.86890e+01     -7.79702e+01      5.00000e+00    161s
    24     -7.90852e+01     -7.79702e+01      5.00000e+00    167s
    25     -7.85756e+01     -7.79702e+01      5.00000e+00    173s
    26     -6.21455e+01     -6.21455e+01      5.00000e+00    180s
    27     -5.20502e+01     -5.20502e+01      5.00000e+00    186s
    28     -5.14367e+01     -5.14367e+01      5.00000e+00    193s
    29     -5.55342e+01     -5.14367e+01      5.00000e+00    200s
    30     -6.18330e+01     -5.14367e+01      5.00000e+00    207s
    31     -6.75037e+01     -5.14367e+01      5.00000e+00    213s
    32     -7.19229e+01     -5.14367e+01      5.00000e+00    220s
    33     -7.17146e+01     -5.14367e+01      5.00000e+00    227s
    34     -7.06094e+01     -5.14367e+01      5.00000e+00    233s
    35     -6.88993e+01     -5.14367e+01      5.00000e+00    240s
    36     -7.04210e+01     -5.14367e+01      5.00000e+00    247s
    37     -7.81240e+01     -5.14367e+01      5.00000e+00    254s
    38     -9.28040e+01     -5.14367e+01      5.00000e+00    261s
    39     -1.12937e+02     -5.14367e+01      5.00000e+00    268s
    40     -1.38570e+02     -5.14367e+01      5.00000e+00    275s
    41     -1.61861e+02     -5.14367e+01      5.00000e+00    282s
    42     -1.80583e+02     -5.14367e+01      5.00000e+00    289s
    43     -1.90055e+02     -5.14367e+01      5.00000e+00    296s
