==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         4

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.0_new_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.27805e+01     -4.27805e+01      8.00000e+00     27s
     1     -4.30167e+01     -4.27805e+01      9.00000e+00     56s
     2     -4.28638e+01     -4.27805e+01      9.00000e+00     86s
     3     -4.30668e+01     -4.27805e+01      1.20000e+01    113s
     4     -4.27746e+01     -4.27746e+01      1.20000e+01    141s
     5     -4.33823e+01     -4.27746e+01      1.20000e+01    169s
     6     -4.34089e+01     -4.27746e+01      1.20000e+01    197s
     7     -4.26876e+01     -4.26876e+01      1.20000e+01    226s
     8     -4.31003e+01     -4.26876e+01      1.20000e+01    254s
     9     -4.27220e+01     -4.26876e+01      1.20000e+01    283s
    10     -4.26092e+01     -4.26092e+01      1.20000e+01    310s
    11     -4.29254e+01     -4.26092e+01      1.20000e+01    331s
    12     -4.28586e+01     -4.26092e+01      1.20000e+01    351s
    13     -4.31130e+01     -4.26092e+01      1.20000e+01    370s
    14     -4.28813e+01     -4.26092e+01      1.20000e+01    392s
    15     -4.29216e+01     -4.26092e+01      1.20000e+01    414s
    16     -4.29908e+01     -4.26092e+01      1.20000e+01    440s
    17     -4.29519e+01     -4.26092e+01      1.20000e+01    462s
    18     -4.31929e+01     -4.26092e+01      1.20000e+01    486s
    19     -4.25964e+01     -4.25964e+01      1.20000e+01    513s
    20     -4.30806e+01     -4.25964e+01      1.20000e+01    535s
    21     -4.28707e+01     -4.25964e+01      1.20000e+01    558s
    22     -4.27977e+01     -4.25964e+01      1.20000e+01    584s
    23     -4.32501e+01     -4.25964e+01      1.20000e+01    611s
    24     -4.32809e+01     -4.25964e+01      1.20000e+01    634s
    25     -4.32410e+01     -4.25964e+01      1.20000e+01    660s
    26     -2.34449e+01     -2.34449e+01      1.20000e+01    684s
    27     -1.06864e+01     -1.06864e+01      1.20000e+01    708s
    28     -5.34110e+00     -5.34110e+00      1.20000e+01    732s
    29     -5.77530e+00     -5.34110e+00      1.20000e+01    757s
    30     -9.85260e+00     -5.34110e+00      1.20000e+01    785s
    31     -1.55846e+01     -5.34110e+00      1.20000e+01    813s
    32     -2.08096e+01     -5.34110e+00      1.20000e+01    838s
    33     -2.38153e+01     -5.34110e+00      1.20000e+01    863s
    34     -2.62430e+01     -5.34110e+00      1.20000e+01    888s
    35     -2.87285e+01     -5.34110e+00      1.20000e+01    915s
    36     -3.36816e+01     -5.34110e+00      1.20000e+01    945s
    37     -4.34305e+01     -5.34110e+00      1.20000e+01    973s
    38     -5.70620e+01     -5.34110e+00      1.20000e+01   1001s
    39     -7.56064e+01     -5.34110e+00      1.20000e+01   1028s
    40     -9.73641e+01     -5.34110e+00      1.20000e+01   1056s
    41     -1.19746e+02     -5.34110e+00      1.20000e+01   1085s
    42     -1.36116e+02     -5.34110e+00      1.20000e+01   1112s
    43     -1.45332e+02     -5.34110e+00      1.20000e+01   1138s
    44     -1.46645e+02     -5.34110e+00      1.20000e+01   1167s
    45     -1.36980e+02     -5.34110e+00      1.20000e+01   1195s
    46     -1.18651e+02     -5.34110e+00      1.20000e+01   1224s
    47     -9.44039e+01     -5.34110e+00      1.20000e+01   1253s
    48     -6.82728e+01     -5.34110e+00      1.20000e+01   1281s
    49     -4.26990e+01     -5.34110e+00      1.20000e+01   1311s
    50     -4.33469e+01     -5.34110e+00      1.20000e+01   1336s
    51     -3.78675e+01     -5.34110e+00      1.20000e+01   1366s
    52     -3.68312e+01     -5.34110e+00      1.20000e+01   1396s
    53     -3.85579e+01     -5.34110e+00      1.20000e+01   1424s
    54     -4.00658e+01     -5.34110e+00      1.20000e+01   1454s
    55     -4.11592e+01     -5.34110e+00      1.20000e+01   1483s
    56     -4.01718e+01     -5.34110e+00      1.20000e+01   1510s
    57     -3.67908e+01     -5.34110e+00      1.20000e+01   1537s
    58     -3.29366e+01     -5.34110e+00      1.20000e+01   1562s
    59     -2.93124e+01     -5.34110e+00      1.20000e+01   1591s
    60     -2.94120e+01     -5.34110e+00      1.20000e+01   1618s
    61     -3.35471e+01     -5.34110e+00      1.20000e+01   1647s
    62     -4.33358e+01     -5.34110e+00      1.20000e+01   1675s
    63     -5.71021e+01     -5.34110e+00      1.20000e+01   1703s
    64     -7.35491e+01     -5.34110e+00      1.20000e+01   1730s
    65     -9.04300e+01     -5.34110e+00      1.20000e+01   1750s
    66     -1.03463e+02     -5.34110e+00      1.20000e+01   1770s
    67     -1.11501e+02     -5.34110e+00      1.20000e+01   1797s
    68     -1.13373e+02     -5.34110e+00      1.20000e+01   1825s
    69     -1.07682e+02     -5.34110e+00      1.20000e+01   1858s
    70     -9.61186e+01     -5.34110e+00      1.20000e+01   1887s
    71     -8.16864e+01     -5.34110e+00      1.20000e+01   1916s
    72     -6.65430e+01     -5.34110e+00      1.20000e+01   1945s
    73     -5.19912e+01     -5.34110e+00      1.20000e+01   1973s
    74     -4.32617e+01     -5.34110e+00      1.20000e+01   2003s
    75     -4.31516e+01     -5.34110e+00      1.20000e+01   2028s
    76     -4.39174e+01     -5.34110e+00      1.20000e+01   2059s
    77     -4.78235e+01     -5.34110e+00      1.20000e+01   2091s
    78     -5.12399e+01     -5.34110e+00      1.20000e+01   2119s
    79     -5.50156e+01     -5.34110e+00      1.20000e+01   2150s
    80     -5.59656e+01     -5.34110e+00      1.20000e+01   2181s
    81     -5.50668e+01     -5.34110e+00      1.20000e+01   2210s
    82     -5.06444e+01     -5.34110e+00      1.20000e+01   2237s
    83     -4.56274e+01     -5.34110e+00      1.20000e+01   2267s
    84     -4.10356e+01     -5.34110e+00      1.20000e+01   2294s
    85     -3.80239e+01     -5.34110e+00      1.20000e+01   2323s
    86     -3.87378e+01     -5.34110e+00      1.20000e+01   2346s
    87     -4.29707e+01     -5.34110e+00      1.20000e+01   2377s
    88     -5.08907e+01     -5.34110e+00      1.20000e+01   2407s
    89     -6.05533e+01     -5.34110e+00      1.20000e+01   2436s
    90     -6.99708e+01     -5.34110e+00      1.20000e+01   2466s
    91     -7.72996e+01     -5.34110e+00      1.20000e+01   2495s
    92     -8.20374e+01     -5.34110e+00      1.20000e+01   2522s
    93     -7.97931e+01     -5.34110e+00      1.20000e+01   2551s
    94     -7.66674e+01     -5.34110e+00      1.20000e+01   2580s
    95     -6.84415e+01     -5.34110e+00      1.20000e+01   2610s
    96     -5.94605e+01     -5.34110e+00      1.20000e+01   2640s
    97     -5.18679e+01     -5.34110e+00      1.20000e+01   2668s
    98     -4.54073e+01     -5.34110e+00      1.20000e+01   2697s
    99     -4.28408e+01     -5.34110e+00      1.20000e+01   2727s
   100     -4.28202e+01     -5.34110e+00      1.20000e+01   2752s
   101     -4.43363e+01     -5.34110e+00      1.20000e+01   2785s
   102     -4.84849e+01     -5.34110e+00      1.20000e+01   2812s
   103     -5.41197e+01     -5.34110e+00      1.20000e+01   2842s
   104     -5.89847e+01     -5.34110e+00      1.20000e+01   2871s
   105     -6.29743e+01     -5.34110e+00      1.20000e+01   2899s
   106     -6.23098e+01     -5.34110e+00      1.20000e+01   2929s
   107     -5.99273e+01     -5.34110e+00      1.20000e+01   2961s
   108     -5.55080e+01     -5.34110e+00      1.20000e+01   2992s
   109     -4.89393e+01     -5.34110e+00      1.20000e+01   3024s
   110     -4.48053e+01     -5.34110e+00      1.20000e+01   3052s
   111     -4.19647e+01     -5.34110e+00      1.20000e+01   3084s
   112     -4.26917e+01     -5.34110e+00      1.20000e+01   3110s
   113     -4.72357e+01     -5.34110e+00      1.20000e+01   3128s
   114     -5.49229e+01     -5.34110e+00      1.20000e+01   3145s
   115     -6.25467e+01     -5.34110e+00      1.20000e+01   3176s
   116     -7.00980e+01     -5.34110e+00      1.20000e+01   3206s
   117     -7.36086e+01     -5.34110e+00      1.20000e+01   3234s
   118     -7.49795e+01     -5.34110e+00      1.20000e+01   3262s
   119     -7.19041e+01     -5.34110e+00      1.20000e+01   3293s
   120     -6.60015e+01     -5.34110e+00      1.20000e+01   3322s
   121     -5.80338e+01     -5.34110e+00      1.20000e+01   3352s
   122     -5.09372e+01     -5.34110e+00      1.20000e+01   3385s
   123     -4.51703e+01     -5.34110e+00      1.20000e+01   3413s
   124     -4.28612e+01     -5.34110e+00      1.20000e+01   3439s
   125     -4.27233e+01     -5.34110e+00      1.20000e+01   3470s
   126     -4.17248e+01     -5.34110e+00      1.20000e+01   3498s
   127     -4.40040e+01     -5.34110e+00      1.20000e+01   3527s
   128     -4.86543e+01     -5.34110e+00      1.20000e+01   3558s
   129     -5.39052e+01     -5.34110e+00      1.20000e+01   3586s
The brute search stopped after 130 iterations.

==================================================
Summary of results QAOA
--------------------------------------------------
Avg of QAOA obj (BQO obj):    8.23
Avg of QAOA obj (penalty):    -13.57
Avg of constraint violation:  3.17

Feasible percentage (%):      4.05
Avg of pure feasible obj:     9.22

Avg of QAOA obj:              -5.34
STD of QAOA obj:              3.10

Avg of QAOA obj (feasible):   9.59
STD of QAOA obj (feasible):   0.15

Gamma angles:                 0.13
Beta angles:                  0.39

Best QAOA obj:                12.00
Modified best QAOA obj:       12.00
Best QAOA obj (feasible):     12.00

QAOA total time:              3585.56s
QAOA circuit depth:           16
==================================================

==================================================
Summary of results of 0-S8
--------------------------------------------------
Number of vertices:           8
Number of edges:              12

Vertex num in largest comp:   8
Edge num in largest comp:     12

Pre-processing running time:  0.00
Total solver time:            3585.56
Running time:                 3597.26

Upper bound:                  12.00
Objective value:              12.00

Partition 0:                  0, 5                
Partition 1:                  1, 6                
Partition 2:                  3, 4                
Partition 3:                  2, 7                
==================================================
