==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         4

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.4_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -6.68301e+01     -6.68301e+01      6.00000e+00      2s
     1     -6.54514e+01     -6.54514e+01      6.00000e+00      3s
     2     -6.56637e+01     -6.54514e+01      6.00000e+00      4s
     3     -6.69870e+01     -6.54514e+01      6.00000e+00      5s
     4     -6.61618e+01     -6.54514e+01      6.00000e+00      6s
     5     -6.54686e+01     -6.54514e+01      6.00000e+00      7s
     6     -6.59930e+01     -6.54514e+01      6.00000e+00      8s
     7     -6.53907e+01     -6.53907e+01      6.00000e+00      9s
     8     -6.54661e+01     -6.53907e+01      6.00000e+00     11s
     9     -6.58798e+01     -6.53907e+01      6.00000e+00     12s
    10     -6.57348e+01     -6.53907e+01      6.00000e+00     13s
    11     -6.55280e+01     -6.53907e+01      6.00000e+00     14s
    12     -6.55945e+01     -6.53907e+01      6.00000e+00     15s
    13     -6.59853e+01     -6.53907e+01      6.00000e+00     16s
    14     -6.59558e+01     -6.53907e+01      6.00000e+00     17s
    15     -6.59416e+01     -6.53907e+01      6.00000e+00     18s
    16     -6.58938e+01     -6.53907e+01      6.00000e+00     19s
    17     -6.66381e+01     -6.53907e+01      6.00000e+00     21s
    18     -6.61347e+01     -6.53907e+01      6.00000e+00     22s
    19     -6.60033e+01     -6.53907e+01      6.00000e+00     23s
    20     -6.59436e+01     -6.53907e+01      6.00000e+00     24s
    21     -6.60276e+01     -6.53907e+01      6.00000e+00     25s
    22     -6.55993e+01     -6.53907e+01      6.00000e+00     26s
    23     -6.64722e+01     -6.53907e+01      6.00000e+00     27s
