==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         4

Density (%):                  64
Name of instance:             seed1_rand_p0.6_neg0.4_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -9.62779e+01     -9.62779e+01      9.00000e+00      2s
     1     -9.63671e+01     -9.62779e+01      9.00000e+00      3s
     2     -9.61046e+01     -9.61046e+01      9.00000e+00      4s
     3     -9.73411e+01     -9.61046e+01      9.00000e+00      5s
     4     -9.60862e+01     -9.60862e+01      9.00000e+00      7s
     5     -9.63759e+01     -9.60862e+01      1.00000e+01      8s
     6     -9.58707e+01     -9.58707e+01      1.00000e+01      9s
     7     -9.59290e+01     -9.58707e+01      1.00000e+01     11s
     8     -9.62364e+01     -9.58707e+01      1.00000e+01     12s
     9     -9.63307e+01     -9.58707e+01      1.00000e+01     13s
    10     -9.60496e+01     -9.58707e+01      1.00000e+01     14s
    11     -9.58644e+01     -9.58644e+01      1.00000e+01     15s
    12     -9.64214e+01     -9.58644e+01      1.00000e+01     17s
    13     -9.55618e+01     -9.55618e+01      1.00000e+01     18s
    14     -9.51198e+01     -9.51198e+01      1.00000e+01     19s
    15     -9.62689e+01     -9.51198e+01      1.00000e+01     20s
    16     -9.64985e+01     -9.51198e+01      1.00000e+01     21s
    17     -9.56805e+01     -9.51198e+01      1.00000e+01     23s
    18     -9.52699e+01     -9.51198e+01      1.00000e+01     24s
    19     -9.57392e+01     -9.51198e+01      1.00000e+01     25s
    20     -9.63149e+01     -9.51198e+01      1.00000e+01     26s
    21     -9.65325e+01     -9.51198e+01      1.00000e+01     28s
    22     -9.57032e+01     -9.51198e+01      1.00000e+01     29s
    23     -9.57594e+01     -9.51198e+01      1.00000e+01     30s
    24     -9.52138e+01     -9.51198e+01      1.00000e+01     31s
    25     -9.65698e+01     -9.51198e+01      1.00000e+01     33s
    26     -9.57573e+01     -9.51198e+01      1.00000e+01     34s
    27     -9.52583e+01     -9.51198e+01      1.00000e+01     35s
    28     -9.59835e+01     -9.51198e+01      1.00000e+01     37s
    29     -9.62849e+01     -9.51198e+01      1.00000e+01     38s
