==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         4

Density (%):                  64
Name of instance:             seed1_rand_p0.6_neg0.4_new_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -6.41458e+01     -6.41458e+01      1.00000e+00     29s
     1     -6.44200e+01     -6.41458e+01      3.00000e+00     60s
     2     -6.42071e+01     -6.41458e+01      3.00000e+00     87s
     3     -6.38836e+01     -6.38836e+01      6.00000e+00    113s
     4     -6.39774e+01     -6.38836e+01      6.00000e+00    134s
     5     -6.39017e+01     -6.38836e+01      6.00000e+00    158s
     6     -6.34789e+01     -6.34789e+01      6.00000e+00    186s
     7     -6.34993e+01     -6.34789e+01      6.00000e+00    217s
     8     -6.38157e+01     -6.34789e+01      6.00000e+00    246s
     9     -6.40320e+01     -6.34789e+01      6.00000e+00    278s
    10     -6.40758e+01     -6.34789e+01      6.00000e+00    309s
    11     -6.44614e+01     -6.34789e+01      6.00000e+00    342s
    12     -6.35462e+01     -6.34789e+01      6.00000e+00    372s
    13     -6.37053e+01     -6.34789e+01      6.00000e+00    401s
    14     -6.42822e+01     -6.34789e+01      6.00000e+00    432s
    15     -6.43011e+01     -6.34789e+01      6.00000e+00    459s
    16     -6.44076e+01     -6.34789e+01      6.00000e+00    488s
    17     -6.41254e+01     -6.34789e+01      6.00000e+00    515s
    18     -6.40098e+01     -6.34789e+01      6.00000e+00    542s
    19     -6.40813e+01     -6.34789e+01      6.00000e+00    573s
    20     -6.38436e+01     -6.34789e+01      6.00000e+00    604s
    21     -6.43291e+01     -6.34789e+01      6.00000e+00    635s
    22     -6.39811e+01     -6.34789e+01      6.00000e+00    665s
    23     -6.35481e+01     -6.34789e+01      6.00000e+00    698s
    24     -6.35865e+01     -6.34789e+01      6.00000e+00    724s
    25     -6.39980e+01     -6.34789e+01      6.00000e+00    746s
    26     -4.32227e+01     -4.32227e+01      8.00000e+00    776s
    27     -3.19581e+01     -3.19581e+01      1.00000e+01    802s
    28     -2.84001e+01     -2.84001e+01      1.00000e+01    832s
    29     -3.13164e+01     -2.84001e+01      1.00000e+01    862s
    30     -3.79461e+01     -2.84001e+01      1.00000e+01    894s
    31     -4.42085e+01     -2.84001e+01      1.00000e+01    922s
    32     -4.87435e+01     -2.84001e+01      1.00000e+01    947s
    33     -5.04159e+01     -2.84001e+01      1.00000e+01    975s
    34     -5.02093e+01     -2.84001e+01      1.00000e+01   1003s
    35     -5.03510e+01     -2.84001e+01      1.00000e+01   1030s
    36     -5.42348e+01     -2.84001e+01      1.00000e+01   1061s
    37     -6.36403e+01     -2.84001e+01      1.00000e+01   1092s
    38     -8.10344e+01     -2.84001e+01      1.00000e+01   1123s
    39     -1.04499e+02     -2.84001e+01      1.00000e+01   1153s
    40     -1.30413e+02     -2.84001e+01      1.00000e+01   1180s
    41     -1.57408e+02     -2.84001e+01      1.00000e+01   1211s
