==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         4

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.40343e+02     -2.40343e+02     -2.10000e+01     10s
     1     -2.42737e+02     -2.40343e+02     -8.00000e+00     17s
     2     -2.41197e+02     -2.40343e+02     -8.00000e+00     25s
     3     -2.41580e+02     -2.40343e+02     -8.00000e+00     33s
     4     -2.44786e+02     -2.40343e+02     -8.00000e+00     41s
     5     -2.43532e+02     -2.40343e+02     -8.00000e+00     49s
     6     -2.40634e+02     -2.40343e+02     -6.00000e+00     56s
     7     -2.41493e+02     -2.40343e+02     -6.00000e+00     64s
     8     -2.42340e+02     -2.40343e+02     -6.00000e+00     72s
     9     -2.41532e+02     -2.40343e+02     -6.00000e+00     80s
    10     -2.41150e+02     -2.40343e+02     -6.00000e+00     87s
    11     -2.41174e+02     -2.40343e+02     -6.00000e+00     95s
    12     -2.41125e+02     -2.40343e+02     -6.00000e+00    103s
    13     -2.42528e+02     -2.40343e+02     -6.00000e+00    111s
    14     -2.42928e+02     -2.40343e+02     -6.00000e+00    119s
    15     -2.41236e+02     -2.40343e+02     -6.00000e+00    127s
    16     -2.41874e+02     -2.40343e+02     -6.00000e+00    135s
    17     -2.41484e+02     -2.40343e+02     -6.00000e+00    143s
    18     -2.43429e+02     -2.40343e+02     -6.00000e+00    151s
    19     -2.42639e+02     -2.40343e+02     -6.00000e+00    159s
    20     -2.42297e+02     -2.40343e+02     -6.00000e+00    168s
    21     -2.42368e+02     -2.40343e+02     -6.00000e+00    175s
    22     -2.42431e+02     -2.40343e+02     -6.00000e+00    183s
    23     -2.40759e+02     -2.40343e+02     -6.00000e+00    191s
    24     -2.42017e+02     -2.40343e+02     -6.00000e+00    198s
    25     -2.42067e+02     -2.40343e+02     -6.00000e+00    205s
    26     -2.30587e+02     -2.30587e+02     -3.00000e+00    212s
    27     -2.42154e+02     -2.30587e+02     -3.00000e+00    220s
    28     -2.60140e+02     -2.30587e+02     -2.00000e+00    228s
    29     -2.81432e+02     -2.30587e+02     -2.00000e+00    236s
    30     -2.92421e+02     -2.30587e+02     -2.00000e+00    244s
    31     -2.92122e+02     -2.30587e+02     -2.00000e+00    252s
    32     -2.77771e+02     -2.30587e+02     -2.00000e+00    260s
    33     -2.52612e+02     -2.30587e+02     -2.00000e+00    267s
    34     -2.27950e+02     -2.27950e+02     -2.00000e+00    275s
    35     -2.13479e+02     -2.13479e+02     -2.00000e+00    283s
    36     -2.14824e+02     -2.13479e+02     -2.00000e+00    291s
    37     -2.42994e+02     -2.13479e+02     -2.00000e+00    299s
    38     -2.89055e+02     -2.13479e+02     -2.00000e+00    307s
    39     -3.48837e+02     -2.13479e+02     -2.00000e+00    315s
    40     -4.15182e+02     -2.13479e+02     -2.00000e+00    323s
    41     -4.69177e+02     -2.13479e+02     -2.00000e+00    331s
    42     -5.00181e+02     -2.13479e+02     -2.00000e+00    338s
    43     -5.09147e+02     -2.13479e+02     -2.00000e+00    346s
    44     -4.86449e+02     -2.13479e+02     -2.00000e+00    354s
    45     -4.40191e+02     -2.13479e+02     -2.00000e+00    362s
    46     -3.81032e+02     -2.13479e+02     -2.00000e+00    370s
    47     -3.21237e+02     -2.13479e+02     -2.00000e+00    377s
    48     -2.71871e+02     -2.13479e+02     -2.00000e+00    385s
    49     -2.43666e+02     -2.13479e+02     -2.00000e+00    392s
    50     -2.41284e+02     -2.13479e+02     -2.00000e+00    399s
    51     -2.80990e+02     -2.13479e+02     -2.00000e+00    407s
    52     -3.28367e+02     -2.13479e+02     -2.00000e+00    416s
    53     -3.72091e+02     -2.13479e+02     -2.00000e+00    424s
    54     -4.11301e+02     -2.13479e+02     -2.00000e+00    432s
    55     -4.29501e+02     -2.13479e+02     -2.00000e+00    440s
    56     -4.24726e+02     -2.13479e+02     -2.00000e+00    448s
    57     -4.06355e+02     -2.13479e+02     -2.00000e+00    457s
    58     -3.70385e+02     -2.13479e+02     -2.00000e+00    465s
    59     -3.27311e+02     -2.13479e+02     -2.00000e+00    473s
    60     -2.87680e+02     -2.13479e+02     -2.00000e+00    481s
    61     -2.59483e+02     -2.13479e+02     -2.00000e+00    488s
    62     -2.43599e+02     -2.13479e+02     -2.00000e+00    496s
    63     -2.41778e+02     -2.13479e+02     -2.00000e+00    504s
    64     -2.50905e+02     -2.13479e+02     -2.00000e+00    512s
    65     -2.64697e+02     -2.13479e+02     -2.00000e+00    520s
    66     -2.75599e+02     -2.13479e+02     -2.00000e+00    527s
    67     -2.79570e+02     -2.13479e+02     -2.00000e+00    535s
    68     -2.71677e+02     -2.13479e+02     -2.00000e+00    543s
    69     -2.56296e+02     -2.13479e+02     -2.00000e+00    551s
    70     -2.36725e+02     -2.13479e+02     -2.00000e+00    558s
    71     -2.17685e+02     -2.13479e+02     -2.00000e+00    566s
    72     -2.09052e+02     -2.09052e+02     -2.00000e+00    574s
    73     -2.17067e+02     -2.09052e+02     -2.00000e+00    582s
    74     -2.42621e+02     -2.09052e+02     -2.00000e+00    589s
    75     -2.41848e+02     -2.09052e+02     -2.00000e+00    596s
    76     -2.70558e+02     -2.09052e+02      0.00000e+00    605s
    77     -3.20237e+02     -2.09052e+02      0.00000e+00    613s
