==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         4

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.8_naive_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.21786e+02     -1.21786e+02     -3.00000e+00    905s
     1     -1.21816e+02     -1.21786e+02     -3.00000e+00   1849s
     2     -1.22075e+02     -1.21786e+02     -3.00000e+00   2786s
     3     -1.21849e+02     -1.21786e+02     -3.00000e+00   3730s
     4     -1.21696e+02     -1.21696e+02     -3.00000e+00   4669s
     5     -1.22362e+02     -1.21696e+02     -2.00000e+00   5620s
     6     -1.21905e+02     -1.21696e+02     -2.00000e+00   6562s
     7     -1.20683e+02     -1.20683e+02     -2.00000e+00   7506s
     8     -1.21933e+02     -1.20683e+02     -2.00000e+00   8447s
     9     -1.22936e+02     -1.20683e+02     -1.00000e+00   9390s
    10     -1.22101e+02     -1.20683e+02     -1.00000e+00  10339s
    11     -1.22516e+02     -1.20683e+02     -1.00000e+00  11283s
    12     -1.21757e+02     -1.20683e+02      0.00000e+00  12227s
    13     -1.23066e+02     -1.20683e+02      0.00000e+00  13167s
    14     -1.22305e+02     -1.20683e+02      0.00000e+00  14108s
    15     -1.22298e+02     -1.20683e+02      0.00000e+00  15050s
    16     -1.22122e+02     -1.20683e+02      0.00000e+00  15997s
    17     -1.22015e+02     -1.20683e+02      0.00000e+00  16939s
    18     -1.21449e+02     -1.20683e+02      0.00000e+00  17881s
    19     -1.22188e+02     -1.20683e+02      0.00000e+00  18823s
    20     -1.21316e+02     -1.20683e+02      0.00000e+00  19769s
    21     -1.21850e+02     -1.20683e+02      0.00000e+00  20713s
    22     -1.22813e+02     -1.20683e+02      0.00000e+00  21654s
    23     -1.23734e+02     -1.20683e+02      0.00000e+00  22597s
    24     -1.21300e+02     -1.20683e+02      0.00000e+00  23536s
    25     -1.22286e+02     -1.20683e+02      0.00000e+00  24482s
    26     -1.21667e+02     -1.20683e+02      0.00000e+00  25421s
    27     -1.21183e+02     -1.20683e+02      0.00000e+00  26364s
    28     -1.21065e+02     -1.20683e+02      0.00000e+00  27310s
    29     -1.22636e+02     -1.20683e+02      0.00000e+00  28273s
    30     -1.21490e+02     -1.20683e+02      0.00000e+00  29338s
    31     -1.21713e+02     -1.20683e+02      0.00000e+00  30417s
    32     -1.21581e+02     -1.20683e+02      0.00000e+00  31522s
    33     -1.22152e+02     -1.20683e+02      0.00000e+00  32466s
    34     -1.22101e+02     -1.20683e+02      0.00000e+00  33417s
    35     -1.21725e+02     -1.20683e+02      0.00000e+00  34356s
    36     -1.21768e+02     -1.20683e+02      0.00000e+00  35298s
    37     -1.23034e+02     -1.20683e+02      0.00000e+00  36241s
