==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           17
Number of edges:              45
Number of partitions:         2

Density (%):                  33
Name of instance:             seed1_band_fold_noise0.0
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

Penalty Multiplier:           1.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2      2.79400e+00      2.92800e+00      1.50000e+01      1s
     8      3.11000e+00      3.22500e+00      1.60000e+01      2s
    14      3.11400e+00      3.22500e+00      1.60000e+01      3s
    20      3.05700e+00      3.22500e+00      1.60000e+01      4s
    26      3.07900e+00      3.22500e+00      1.60000e+01      6s
    32      3.11100e+00      3.22500e+00      1.60000e+01      7s
    38      3.06100e+00      3.23100e+00      1.60000e+01      8s
    44      2.95200e+00      3.23100e+00      1.60000e+01      9s
    50      3.04900e+00      3.23100e+00      1.60000e+01     10s
    56      2.91200e+00      3.86700e+00      1.60000e+01     11s
    62      2.99300e+00      3.86700e+00      1.60000e+01     12s
    68      3.20600e+00      3.90500e+00      1.60000e+01     14s
    74      2.92500e+00      3.90500e+00      1.60000e+01     15s
    80      3.17500e+00      4.00300e+00      1.60000e+01     16s
    86      2.83700e+00      4.00300e+00      1.60000e+01     17s
    92      3.04700e+00      4.00300e+00      1.60000e+01     18s
    98      2.51400e+00      4.00300e+00      1.60000e+01     19s
   104      4.09400e+00      4.31700e+00      1.60000e+01     20s
   110      1.55000e+00      4.31700e+00      1.60000e+01     22s
   116      4.31100e+00      4.31700e+00      1.60000e+01     23s
   122      1.57300e+00      4.31700e+00      1.60000e+01     24s
   128      4.45000e+00      4.45000e+00      1.60000e+01     25s
   134      1.56700e+00      4.45000e+00      1.60000e+01     26s
   140      4.11600e+00      4.45000e+00      1.60000e+01     27s
   146      1.34100e+00      4.45000e+00      1.60000e+01     28s
   152      4.26500e+00      4.45000e+00      1.60000e+01     29s
   158      1.32400e+00      4.45000e+00      1.60000e+01     30s
   164      3.85000e+00      4.45000e+00      1.60000e+01     31s
   170      1.46900e+00      4.45000e+00      1.60000e+01     32s
   176      3.98500e+00      4.45000e+00      1.60000e+01     33s
   182      1.73100e+00      4.54400e+00      1.60000e+01     34s
   188      3.78600e+00      4.54400e+00      1.60000e+01     35s
   194      1.56500e+00      4.54400e+00      1.60000e+01     36s
   200      3.07500e+00      4.54400e+00      1.60000e+01     38s
   206      2.33200e+00      4.54400e+00      1.60000e+01     39s
   212      2.86800e+00      4.54400e+00      1.60000e+01     40s
   218      2.62000e+00      4.54400e+00      1.60000e+01     41s
   224      2.70500e+00      4.54400e+00      1.60000e+01     42s
   230      2.97100e+00      4.54400e+00      1.60000e+01     43s
   236      2.55600e+00      4.54400e+00      1.60000e+01     44s
   242      2.93900e+00      4.54400e+00      1.60000e+01     45s
   248      2.26900e+00      4.54400e+00      1.60000e+01     46s
   254      3.32100e+00      4.54400e+00      1.60000e+01     47s
   260      1.63800e+00      4.54400e+00      1.60000e+01     48s
   266      3.38100e+00      4.54400e+00      1.60000e+01     49s
   272      1.45100e+00      4.54400e+00      1.60000e+01     50s
   278      3.56500e+00      4.54400e+00      1.60000e+01     51s
   284      1.76700e+00      4.54400e+00      1.60000e+01     52s
   290      3.68700e+00      4.54400e+00      1.60000e+01     53s
   296      1.57300e+00      4.54400e+00      1.60000e+01     54s
   302      3.48300e+00      4.54400e+00      1.60000e+01     56s
   308      1.83900e+00      4.54400e+00      1.60000e+01     57s
   314      3.51300e+00      4.54400e+00      1.60000e+01     58s
   320      1.71600e+00      4.54400e+00      1.60000e+01     59s
   326      3.24600e+00      4.54400e+00      1.60000e+01     60s
   332      1.90300e+00      4.54400e+00      1.60000e+01     61s
   338      3.50900e+00      4.54400e+00      1.60000e+01     62s
   344      1.80800e+00      4.54400e+00      1.60000e+01     63s
   350      3.14800e+00      4.54400e+00      1.60000e+01     64s
   356      2.57500e+00      4.54400e+00      1.60000e+01     65s
   362      3.12000e+00      4.54400e+00      1.60000e+01     66s
   368      2.63900e+00      4.54400e+00      1.60000e+01     67s
   374      2.91100e+00      4.54400e+00      1.60000e+01     68s
   380      2.37100e+00      4.54400e+00      1.60000e+01     69s
   386      2.98500e+00      4.54400e+00      1.60000e+01     71s
   392      2.74500e+00      4.54400e+00      1.60000e+01     72s
   398      2.54000e+00      4.54400e+00      1.60000e+01     73s
   404      3.32200e+00      4.54400e+00      1.60000e+01     74s
   410      2.33600e+00      4.54400e+00      1.60000e+01     75s
   416      3.09700e+00      4.54400e+00      1.60000e+01     76s
   422      2.41500e+00      4.54400e+00      1.60000e+01     77s
   428      3.32900e+00      4.54400e+00      1.60000e+01     78s
   434      2.47300e+00      4.54400e+00      1.60000e+01     79s
   440      3.18600e+00      4.54400e+00      1.60000e+01     81s
   446      2.16700e+00      4.54400e+00      1.60000e+01     82s
   451      3.18000e+00      4.54400e+00      1.60000e+01     83s
   457      2.32000e+00      4.54400e+00      1.60000e+01     84s
   463      2.81500e+00      4.54400e+00      1.60000e+01     85s
   469      2.72000e+00      4.54400e+00      1.60000e+01     86s
   475      2.90900e+00      4.54400e+00      1.60000e+01     87s
   481      2.59500e+00      4.54400e+00      1.60000e+01     88s
   487      3.32900e+00      4.54400e+00      1.60000e+01     89s
   493      2.78000e+00      4.54400e+00      1.60000e+01     90s
   498      2.69000e+00      4.54400e+00      1.60000e+01     91s
   504      2.77900e+00      4.54400e+00      1.60000e+01     93s
   510      2.79500e+00      4.54400e+00      1.60000e+01     94s
   516      2.92500e+00      4.54400e+00      1.60000e+01     95s
   522      2.82200e+00      4.54400e+00      1.60000e+01     96s
   528      2.80400e+00      4.54400e+00      1.60000e+01     97s
   534      2.71200e+00      4.54400e+00      1.60000e+01     98s
   540      2.82300e+00      4.54400e+00      1.60000e+01     99s
   546      2.90100e+00      4.54400e+00      1.60000e+01    100s
   552      2.78800e+00      4.54400e+00      1.60000e+01    101s
   558      2.88900e+00      4.54400e+00      1.60000e+01    103s
   564      2.93500e+00      4.54400e+00      1.60000e+01    104s
   570      2.90500e+00      4.54400e+00      1.60000e+01    105s
   576      2.91000e+00      4.54400e+00      1.60000e+01    106s
   582      2.85600e+00      4.54400e+00      1.60000e+01    107s
   588      2.89700e+00      4.54400e+00      1.60000e+01    108s
   594      2.98100e+00      4.54400e+00      1.60000e+01    109s
   600      2.99000e+00      4.54400e+00      1.60000e+01    110s
   606      2.86600e+00      4.54400e+00      1.60000e+01    111s
   612      3.11100e+00      4.54400e+00      1.60000e+01    113s
   618      2.90300e+00      4.54400e+00      1.60000e+01    114s
   624      2.98700e+00      4.54400e+00      1.60000e+01    115s
   630      3.00200e+00      4.54400e+00      1.60000e+01    116s
   636      3.23000e+00      4.54400e+00      1.60000e+01    117s
   642      2.76300e+00      4.54400e+00      1.60000e+01    118s
   648      3.10300e+00      4.54400e+00      1.60000e+01    119s
   654      2.84400e+00      4.54400e+00      1.60000e+01    120s
   660      3.27700e+00      4.54400e+00      1.60000e+01    121s
   666      3.09600e+00      4.54400e+00      1.60000e+01    123s
   672      3.22300e+00      4.54400e+00      1.60000e+01    124s
   678      3.00400e+00      4.54400e+00      1.60000e+01    125s
   684      3.25400e+00      4.54400e+00      1.60000e+01    126s
   690      2.72900e+00      4.54400e+00      1.60000e+01    127s
   695      3.20100e+00      4.54400e+00      1.60000e+01    128s
   701      3.02400e+00      4.54400e+00      1.60000e+01    129s
   707      3.21000e+00      4.54400e+00      1.60000e+01    130s
   713      2.82000e+00      4.54400e+00      1.60000e+01    131s
   719      3.10900e+00      4.54400e+00      1.60000e+01    132s
   725      2.93000e+00      4.54400e+00      1.60000e+01    133s
   731      3.48800e+00      4.54400e+00      1.60000e+01    135s
   737      2.98400e+00      4.54400e+00      1.60000e+01    136s
