==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           23
Number of edges:              63
Number of partitions:         2

Density (%):                  25
Name of instance:             seed1_band_fold_noise0.01
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

Penalty Multiplier:           1.0
Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      4.90200e+00      4.90200e+00      1.80000e+01      7s
     1      5.30900e+00      5.30900e+00      2.00000e+01     14s
     2      4.81800e+00      5.30900e+00      2.00000e+01     20s
     3      5.10000e+00      5.30900e+00      2.00000e+01     25s
     4      5.07900e+00      5.30900e+00      2.00000e+01     31s
     5      5.19200e+00      5.30900e+00      2.00000e+01     38s
     6      4.87800e+00      5.30900e+00      2.00000e+01     44s
     7      4.89500e+00      5.30900e+00      2.00000e+01     50s
     8      4.94500e+00      5.30900e+00      2.00000e+01     56s
     9      4.99300e+00      5.30900e+00      2.00000e+01     61s
    10      4.93300e+00      5.30900e+00      2.00000e+01     68s
    11      5.19200e+00      5.30900e+00      2.00000e+01     73s
    12      4.67600e+00      5.30900e+00      2.00000e+01     80s
    13      5.02700e+00      5.30900e+00      2.00000e+01     86s
    14      5.05500e+00      5.30900e+00      2.00000e+01     92s
    15      4.92600e+00      5.30900e+00      2.00000e+01     98s
    16      5.02600e+00      5.30900e+00      2.00000e+01    104s
    17      4.93300e+00      5.30900e+00      2.00000e+01    109s
    18      4.98100e+00      5.30900e+00      2.00000e+01    113s
    19      5.27200e+00      5.30900e+00      2.00000e+01    118s
    20      5.10400e+00      5.30900e+00      2.00000e+01    125s
    21      5.00500e+00      5.30900e+00      2.00000e+01    131s
    22      5.05800e+00      5.30900e+00      2.00000e+01    137s
    23      5.04600e+00      5.30900e+00      2.00000e+01    143s
    24      4.88600e+00      5.30900e+00      2.00000e+01    149s
    25      5.11000e+00      5.30900e+00      2.00000e+01    155s
    26      5.18500e+00      5.30900e+00      2.00000e+01    161s
