==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen1.0_noise0.0
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     6     -4.01000e+00     -3.68600e+00      7.00000e+00      1s
    19     -4.13800e+00     -3.68600e+00      7.00000e+00      2s
    32     -3.94300e+00     -3.59400e+00      7.00000e+00      3s
    45     -3.79800e+00     -3.59400e+00      7.00000e+00      4s
    58     -2.05000e+00      1.07400e+00      7.00000e+00      5s
    68     -1.11100e+01      1.07400e+00      7.00000e+00      6s
    80      2.63000e-01      1.07400e+00      7.00000e+00      7s
    90     -7.26000e+00      1.07400e+00      7.00000e+00      8s
   101     -1.19200e+00      1.07400e+00      7.00000e+00      9s
   113     -4.53700e+00      1.45600e+00      7.00000e+00     10s
   126     -3.25000e-01      1.45600e+00      7.00000e+00     11s
   138     -5.42300e+00      1.63600e+00      7.00000e+00     12s
   151     -2.36500e+00      1.63600e+00      7.00000e+00     13s
   167     -1.16740e+01      1.63600e+00      7.00000e+00     14s
   185     -3.34200e+00      1.63600e+00      7.00000e+00     16s
   199     -4.08600e+00      1.63600e+00      7.00000e+00     17s
   213     -4.59700e+00      1.63600e+00      7.00000e+00     18s
   227     -3.47600e+00      1.63600e+00      7.00000e+00     19s
   243     -8.98100e+00      1.63600e+00      7.00000e+00     20s
   257     -5.44000e+00      1.63600e+00      7.00000e+00     21s
   266     -6.24200e+00      1.63600e+00      7.00000e+00     22s
   277     -5.19900e+00      1.63600e+00      7.00000e+00     23s
   293     -6.12200e+00      1.63600e+00      7.00000e+00     24s
   307     -5.10700e+00      1.63600e+00      7.00000e+00     25s
   320     -4.49300e+00      1.63600e+00      7.00000e+00     26s
   334     -3.95800e+00      1.63600e+00      7.00000e+00     27s
   348     -3.70400e+00      1.63600e+00      7.00000e+00     28s
   362     -4.11100e+00      1.63600e+00      7.00000e+00     29s
   375     -4.13000e+00      1.63600e+00      7.00000e+00     30s
   389     -4.14400e+00      1.63600e+00      7.00000e+00     31s
   403     -4.26700e+00      1.63600e+00      7.00000e+00     32s
   417     -4.48400e+00      1.63600e+00      7.00000e+00     33s
   430     -4.74600e+00      1.63600e+00      7.00000e+00     34s
   443     -4.76700e+00      1.63600e+00      7.00000e+00     36s
   456     -4.30200e+00      1.63600e+00      7.00000e+00     37s
   470     -4.35700e+00      1.63600e+00      7.00000e+00     38s
   483     -3.99700e+00      1.63600e+00      7.00000e+00     39s
   496     -3.83700e+00      1.63600e+00      7.00000e+00     40s
   508     -3.83900e+00      1.63600e+00      7.00000e+00     41s
   522     -3.80000e+00      1.63600e+00      7.00000e+00     42s
   536     -3.90900e+00      1.63600e+00      7.00000e+00     43s
   548     -4.41100e+00      1.63600e+00      7.00000e+00     44s
   561     -3.95400e+00      1.63600e+00      7.00000e+00     45s
   575     -3.69600e+00      1.63600e+00      7.00000e+00     46s
   589     -4.01500e+00      1.63600e+00      7.00000e+00     47s
   601     -4.14500e+00      1.63600e+00      7.00000e+00     48s
   614     -3.70100e+00      1.63600e+00      7.00000e+00     49s
   628     -4.38000e+00      1.63600e+00      7.00000e+00     50s
   642     -4.19500e+00      1.63600e+00      7.00000e+00     51s
   653     -4.09900e+00      1.63600e+00      7.00000e+00     52s
   663     -4.09300e+00      1.63600e+00      7.00000e+00     53s
   675     -4.02500e+00      1.63600e+00      7.00000e+00     54s
   687     -3.81100e+00      1.63600e+00      7.00000e+00     55s
   699     -4.20500e+00      1.63600e+00      7.00000e+00     57s
   711     -4.00100e+00      1.63600e+00      7.00000e+00     58s
   723     -4.02500e+00      1.63600e+00      7.00000e+00     59s
   735     -4.00000e+00      1.63600e+00      7.00000e+00     60s
   747     -4.02100e+00      1.63600e+00      7.00000e+00     61s
   759     -3.29100e+00      1.63600e+00      7.00000e+00     62s
   771     -3.18500e+00      1.63600e+00      7.00000e+00     63s
   782     -3.03000e+00      1.63600e+00      7.00000e+00     64s
   794     -3.05300e+00      1.63600e+00      7.00000e+00     65s
   806     -2.27700e+00      1.63600e+00      7.00000e+00     66s
   818     -2.72200e+00      1.63600e+00      7.00000e+00     67s
   830     -2.44700e+00      1.63600e+00      7.00000e+00     68s
   842     -2.32800e+00      1.63600e+00      7.00000e+00     69s
   854     -3.40000e+00      1.63600e+00      7.00000e+00     70s
   866     -3.53700e+00      1.63600e+00      7.00000e+00     71s
   878     -3.83000e+00      1.63600e+00      7.00000e+00     72s
   890     -3.62200e+00      1.63600e+00      7.00000e+00     73s
   902     -3.97100e+00      1.63600e+00      7.00000e+00     74s
   914     -4.42500e+00      1.63600e+00      7.00000e+00     76s
   926     -4.36300e+00      1.63600e+00      7.00000e+00     77s
   938     -3.57600e+00      1.63600e+00      7.00000e+00     78s
   950     -4.06800e+00      1.63600e+00      7.00000e+00     79s
   962     -3.76100e+00      1.63600e+00      7.00000e+00     80s
   974     -4.00100e+00      1.63600e+00      7.00000e+00     81s
   986     -3.97000e+00      1.63600e+00      7.00000e+00     82s
   998     -3.82500e+00      1.63600e+00      7.00000e+00     83s
  1010     -4.27000e+00      1.63600e+00      7.00000e+00     84s
  1022     -4.08500e+00      1.63600e+00      7.00000e+00     85s
  1034     -4.06500e+00      1.63600e+00      7.00000e+00     86s
  1046     -4.18100e+00      1.63600e+00      7.00000e+00     87s
  1058     -3.96000e+00      1.63600e+00      7.00000e+00     88s
  1070     -4.03800e+00      1.63600e+00      7.00000e+00     90s
  1082     -4.33100e+00      1.63600e+00      7.00000e+00     91s
  1094     -3.78000e+00      1.63600e+00      7.00000e+00     92s
  1106     -4.19600e+00      1.63600e+00      7.00000e+00     93s
  1118     -4.14400e+00      1.63600e+00      7.00000e+00     94s
  1130     -4.16500e+00      1.63600e+00      7.00000e+00     95s
  1142     -4.04200e+00      1.63600e+00      7.00000e+00     96s
  1154     -4.12100e+00      1.63600e+00      7.00000e+00     97s
  1166     -4.06200e+00      1.63600e+00      7.00000e+00     98s
  1178     -3.83200e+00      1.63600e+00      7.00000e+00     99s
  1190     -4.26000e+00      1.63600e+00      7.00000e+00    100s
  1202     -3.96000e+00      1.63600e+00      7.00000e+00    101s
  1213     -4.17400e+00      1.63600e+00      7.00000e+00    102s
  1224     -3.86900e+00      1.63600e+00      7.00000e+00    103s
  1235     -3.97200e+00      1.63600e+00      7.00000e+00    104s
  1246     -4.05300e+00      1.63600e+00      7.00000e+00    105s
  1257     -3.89900e+00      1.63600e+00      7.00000e+00    106s
  1268     -3.74700e+00      1.63600e+00      7.00000e+00    107s
  1279     -3.73200e+00      1.63600e+00      7.00000e+00    108s
  1290     -4.11900e+00      1.63600e+00      7.00000e+00    109s
  1300     -3.90900e+00      1.63600e+00      7.00000e+00    110s
  1312     -3.90500e+00      1.63600e+00      7.00000e+00    111s
  1324     -4.05800e+00      1.63600e+00      7.00000e+00    112s
  1336     -4.15700e+00      1.63600e+00      7.00000e+00    113s
  1348     -3.73100e+00      1.63600e+00      7.00000e+00    114s
  1360     -4.02400e+00      1.63600e+00      7.00000e+00    115s
  1372     -4.30900e+00      1.63600e+00      7.00000e+00    116s
  1384     -3.94700e+00      1.63600e+00      7.00000e+00    117s
  1396     -3.79800e+00      1.63600e+00      7.00000e+00    118s
  1408     -3.97900e+00      1.63600e+00      7.00000e+00    120s
  1420     -3.91100e+00      1.63600e+00      7.00000e+00    121s
  1432     -3.75900e+00      1.63600e+00      7.00000e+00    122s
  1444     -3.86200e+00      1.63600e+00      7.00000e+00    123s
  1456     -4.08900e+00      1.63600e+00      7.00000e+00    124s
  1468     -4.09000e+00      1.63600e+00      7.00000e+00    125s
  1480     -3.96200e+00      1.63600e+00      7.00000e+00    126s
  1492     -3.97000e+00      1.63600e+00      7.00000e+00    127s
  1503     -4.14700e+00      1.63600e+00      7.00000e+00    128s
  1515     -4.09000e+00      1.63600e+00      7.00000e+00    129s
  1527     -4.23700e+00      1.63600e+00      7.00000e+00    130s
  1539     -4.22300e+00      1.63600e+00      7.00000e+00    131s
  1550     -4.00400e+00      1.63600e+00      7.00000e+00    132s
