==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pen_1.0_noise0.02
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.02
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -7.81567e+00     -7.81567e+00      6.00000e+00     34s
     1     -7.92367e+00     -7.81567e+00      6.00000e+00     69s
     2     -7.79167e+00     -7.79167e+00      6.00000e+00    101s
     3     -7.73583e+00     -7.73583e+00      8.00000e+00    137s
     4     -7.53333e+00     -7.53333e+00      8.00000e+00    172s
     5     -8.09833e+00     -7.53333e+00      8.00000e+00    203s
     6     -7.73883e+00     -7.53333e+00      8.00000e+00    236s
     7     -7.83650e+00     -7.53333e+00      8.00000e+00    270s
     8     -7.98433e+00     -7.53333e+00      8.00000e+00    304s
     9     -7.78500e+00     -7.53333e+00      8.00000e+00    337s
    10     -7.89067e+00     -7.53333e+00      8.00000e+00    370s
    11     -7.72100e+00     -7.53333e+00      8.00000e+00    406s
    12     -7.60733e+00     -7.53333e+00      8.00000e+00    441s
    13     -8.01800e+00     -7.53333e+00      8.00000e+00    474s
    14     -7.59383e+00     -7.53333e+00      8.00000e+00    510s
    15     -7.77633e+00     -7.53333e+00      8.00000e+00    543s
    16     -7.95250e+00     -7.53333e+00      8.00000e+00    578s
    17     -8.05667e+00     -7.53333e+00      8.00000e+00    611s
    18     -7.83433e+00     -7.53333e+00      8.00000e+00    648s
    19     -7.48367e+00     -7.48367e+00      8.00000e+00    683s
    20     -8.00683e+00     -7.48367e+00      8.00000e+00    717s
    21     -7.68817e+00     -7.48367e+00      8.00000e+00    752s
    22     -7.75617e+00     -7.48367e+00      8.00000e+00    788s
    23     -7.84050e+00     -7.48367e+00      8.00000e+00    823s
    24     -8.07067e+00     -7.48367e+00      8.00000e+00    858s
    25     -7.67700e+00     -7.48367e+00      8.00000e+00    894s
    26     -7.72917e+00     -7.48367e+00      8.00000e+00    928s
    27     -7.68400e+00     -7.48367e+00      8.00000e+00    963s
    28     -7.95017e+00     -7.48367e+00      8.00000e+00    997s
    29     -7.96633e+00     -7.48367e+00      8.00000e+00   1033s
    30     -7.83850e+00     -7.48367e+00      8.00000e+00   1069s
    31     -7.98433e+00     -7.48367e+00      8.00000e+00   1103s
    32     -8.04117e+00     -7.48367e+00      8.00000e+00   1137s
    33     -7.47067e+00     -7.47067e+00      8.00000e+00   1173s
    34     -7.83583e+00     -7.47067e+00      8.00000e+00   1207s
    35     -7.69317e+00     -7.47067e+00      8.00000e+00   1242s
    36     -7.85333e+00     -7.47067e+00      8.00000e+00   1276s
    37     -8.07950e+00     -7.47067e+00      8.00000e+00   1311s
    38     -7.67817e+00     -7.47067e+00      8.00000e+00   1348s
    39     -7.67983e+00     -7.47067e+00      8.00000e+00   1381s
    40     -7.73133e+00     -7.47067e+00      8.00000e+00   1417s
    41     -7.99017e+00     -7.47067e+00      8.00000e+00   1453s
    42     -7.75800e+00     -7.47067e+00      8.00000e+00   1488s
    43     -7.64183e+00     -7.47067e+00      8.00000e+00   1523s
    44     -7.89467e+00     -7.47067e+00      8.00000e+00   1558s
    45     -7.91783e+00     -7.47067e+00      8.00000e+00   1592s
    46     -7.54850e+00     -7.47067e+00      8.00000e+00   1627s
    47     -7.64733e+00     -7.47067e+00      8.00000e+00   1659s
    48     -7.44367e+00     -7.44367e+00      8.00000e+00   1697s
    49     -7.62200e+00     -7.44367e+00      8.00000e+00   1729s
    50     -7.87917e+00     -7.44367e+00      8.00000e+00   1763s
    51     -5.52383e+00     -5.52383e+00      8.00000e+00   1799s
    52     -4.20200e+00     -4.20200e+00      8.00000e+00   1836s
    53     -3.10517e+00     -3.10517e+00      8.00000e+00   1871s
    54     -2.93283e+00     -2.93283e+00      8.00000e+00   1910s
    55     -3.64017e+00     -2.93283e+00      8.00000e+00   1948s
    56     -4.50850e+00     -2.93283e+00      8.00000e+00   1984s
    57     -5.78517e+00     -2.93283e+00      8.00000e+00   2021s
    58     -6.95433e+00     -2.93283e+00      8.00000e+00   2059s
    59     -7.53267e+00     -2.93283e+00      8.00000e+00   2095s
    60     -7.90900e+00     -2.93283e+00      8.00000e+00   2132s
    61     -7.79650e+00     -2.93283e+00      8.00000e+00   2169s
    62     -7.83967e+00     -2.93283e+00      8.00000e+00   2205s
    63     -7.95217e+00     -2.93283e+00      8.00000e+00   2242s
    64     -8.11233e+00     -2.93283e+00      8.00000e+00   2280s
    65     -9.18200e+00     -2.93283e+00      8.00000e+00   2318s
    66     -1.06783e+01     -2.93283e+00      8.00000e+00   2353s
    67     -1.16075e+01     -2.93283e+00      8.00000e+00   2389s
    68     -1.33923e+01     -2.93283e+00      8.00000e+00   2428s
    69     -1.46138e+01     -2.93283e+00      8.00000e+00   2464s
    70     -1.55880e+01     -2.93283e+00      8.00000e+00   2500s
    71     -1.47947e+01     -2.93283e+00      8.00000e+00   2537s
    72     -1.36600e+01     -2.93283e+00      8.00000e+00   2571s
    73     -1.12430e+01     -2.93283e+00      8.00000e+00   2606s
    75     -6.52567e+00     -2.93283e+00      8.00000e+00   2679s
    76     -4.56350e+00     -2.93283e+00      8.00000e+00   2715s
    77     -3.30750e+00     -2.93283e+00      8.00000e+00   2752s
    78     -2.89833e+00     -2.89833e+00      8.00000e+00   2785s
    79     -2.90000e+00     -2.89833e+00      8.00000e+00   2820s
    80     -4.30917e+00     -2.89833e+00      8.00000e+00   2859s
    81     -5.16650e+00     -2.89833e+00      8.00000e+00   2894s
    82     -6.30917e+00     -2.89833e+00      8.00000e+00   2930s
    83     -7.17117e+00     -2.89833e+00      8.00000e+00   2968s
    84     -7.91017e+00     -2.89833e+00      8.00000e+00   3004s
    85     -8.32400e+00     -2.89833e+00      8.00000e+00   3041s
    86     -7.81383e+00     -2.89833e+00      8.00000e+00   3078s
    87     -8.20250e+00     -2.89833e+00      8.00000e+00   3108s
    88     -8.07700e+00     -2.89833e+00      8.00000e+00   3139s
    89     -8.64667e+00     -2.89833e+00      8.00000e+00   3177s
    90     -9.92283e+00     -2.89833e+00      8.00000e+00   3211s
    91     -1.12427e+01     -2.89833e+00      8.00000e+00   3248s
    92     -1.31387e+01     -2.89833e+00      8.00000e+00   3284s
    93     -1.38988e+01     -2.89833e+00      8.00000e+00   3320s
    94     -1.48057e+01     -2.89833e+00      8.00000e+00   3355s
    95     -1.49777e+01     -2.89833e+00      8.00000e+00   3390s
    96     -1.43287e+01     -2.89833e+00      8.00000e+00   3426s
    97     -1.21058e+01     -2.89833e+00      8.00000e+00   3463s
    98     -1.01755e+01     -2.89833e+00      8.00000e+00   3499s
    99     -8.04383e+00     -2.89833e+00      8.00000e+00   3534s
   100     -8.09100e+00     -2.89833e+00      8.00000e+00   3570s
   101     -4.26583e+00     -2.89833e+00      8.00000e+00   3606s
   102     -2.37167e+00     -2.37167e+00      8.00000e+00   3639s
   103     -1.04733e+00     -1.04733e+00      8.00000e+00   3674s
   104     -1.40583e+00     -1.04733e+00      8.00000e+00   3710s
   105     -2.64017e+00     -1.04733e+00      8.00000e+00   3746s
   106     -4.32250e+00     -1.04733e+00      8.00000e+00   3782s
   107     -6.34233e+00     -1.04733e+00      8.00000e+00   3814s
   108     -7.35317e+00     -1.04733e+00      8.00000e+00   3849s
   109     -8.12733e+00     -1.04733e+00      8.00000e+00   3881s
   110     -8.16783e+00     -1.04733e+00      8.00000e+00   3909s
   111     -8.22667e+00     -1.04733e+00      8.00000e+00   3941s
   112     -7.41150e+00     -1.04733e+00      8.00000e+00   3978s
   113     -8.40567e+00     -1.04733e+00      8.00000e+00   4017s
   114     -9.23217e+00     -1.04733e+00      8.00000e+00   4050s
   115     -1.11240e+01     -1.04733e+00      8.00000e+00   4087s
   116     -1.35508e+01     -1.04733e+00      8.00000e+00   4123s
   117     -1.66733e+01     -1.04733e+00      8.00000e+00   4158s
   118     -1.92557e+01     -1.04733e+00      8.00000e+00   4194s
   119     -2.12758e+01     -1.04733e+00      8.00000e+00   4229s
   120     -2.14958e+01     -1.04733e+00      8.00000e+00   4263s
   121     -2.02288e+01     -1.04733e+00      8.00000e+00   4301s
   122     -1.73663e+01     -1.04733e+00      8.00000e+00   4334s
   123     -1.41587e+01     -1.04733e+00      8.00000e+00   4370s
   124     -9.52583e+00     -1.04733e+00      8.00000e+00   4407s
   125     -5.83517e+00     -1.04733e+00      8.00000e+00   4441s
   126     -3.08917e+00     -1.04733e+00      8.00000e+00   4476s
   127     -1.52300e+00     -1.04733e+00      8.00000e+00   4515s
   128     -1.14267e+00     -1.04733e+00      8.00000e+00   4548s
   129     -2.01200e+00     -1.04733e+00      8.00000e+00   4585s
   130     -3.37550e+00     -1.04733e+00      8.00000e+00   4626s
   131     -5.28617e+00     -1.04733e+00      8.00000e+00   4659s
   132     -6.73417e+00     -1.04733e+00      8.00000e+00   4696s
   133     -8.08150e+00     -1.04733e+00      8.00000e+00   4735s
   134     -8.43217e+00     -1.04733e+00      8.00000e+00   4769s
   135     -7.83833e+00     -1.04733e+00      8.00000e+00   4805s
   136     -7.42650e+00     -1.04733e+00      8.00000e+00   4845s
   137     -7.91967e+00     -1.04733e+00      8.00000e+00   4879s
   138     -8.70133e+00     -1.04733e+00      8.00000e+00   4915s
   139     -1.01358e+01     -1.04733e+00      8.00000e+00   4953s
   140     -1.25005e+01     -1.04733e+00      8.00000e+00   4985s
   141     -1.51538e+01     -1.04733e+00      8.00000e+00   5021s
   142     -1.75080e+01     -1.04733e+00      8.00000e+00   5055s
   143     -1.97637e+01     -1.04733e+00      8.00000e+00   5088s
   144     -2.06812e+01     -1.04733e+00      8.00000e+00   5122s
   145     -2.00680e+01     -1.04733e+00      8.00000e+00   5153s
   146     -1.85772e+01     -1.04733e+00      8.00000e+00   5188s
   147     -1.57588e+01     -1.04733e+00      8.00000e+00   5223s
   148     -1.10358e+01     -1.04733e+00      8.00000e+00   5255s
   149     -7.69067e+00     -1.04733e+00      8.00000e+00   5289s
   150     -7.49500e+00     -1.04733e+00      8.00000e+00   5321s
   151     -4.61883e+00     -1.04733e+00      8.00000e+00   5357s
   152     -2.35700e+00     -1.04733e+00      8.00000e+00   5389s
   153     -1.74217e+00     -1.04733e+00      8.00000e+00   5422s
   154     -2.20367e+00     -1.04733e+00      8.00000e+00   5456s
   155     -3.73483e+00     -1.04733e+00      8.00000e+00   5490s
   156     -5.42983e+00     -1.04733e+00      8.00000e+00   5526s
   157     -6.66067e+00     -1.04733e+00      8.00000e+00   5561s
   158     -7.96917e+00     -1.04733e+00      8.00000e+00   5595s
   159     -8.31017e+00     -1.04733e+00      8.00000e+00   5627s
   160     -8.07767e+00     -1.04733e+00      8.00000e+00   5662s
   161     -7.39800e+00     -1.04733e+00      8.00000e+00   5696s
   162     -7.60567e+00     -1.04733e+00      8.00000e+00   5728s
   163     -8.24017e+00     -1.04733e+00      8.00000e+00   5763s
   164     -1.02430e+01     -1.04733e+00      8.00000e+00   5798s
   165     -1.25408e+01     -1.04733e+00      8.00000e+00   5835s
   166     -1.56178e+01     -1.04733e+00      8.00000e+00   5869s
   167     -1.86320e+01     -1.04733e+00      8.00000e+00   5902s
   168     -2.16097e+01     -1.04733e+00      8.00000e+00   5932s
   169     -2.29953e+01     -1.04733e+00      8.00000e+00   5966s
   170     -2.31492e+01     -1.04733e+00      8.00000e+00   6002s
   171     -2.19260e+01     -1.04733e+00      8.00000e+00   6033s
   172     -1.84298e+01     -1.04733e+00      8.00000e+00   6066s
   173     -1.41003e+01     -1.04733e+00      8.00000e+00   6100s
   174     -9.71267e+00     -1.04733e+00      8.00000e+00   6136s
   175     -5.78067e+00     -1.04733e+00      8.00000e+00   6171s
   176     -3.11517e+00     -1.04733e+00      8.00000e+00   6201s
   177     -1.79050e+00     -1.04733e+00      8.00000e+00   6236s
   178     -1.77333e+00     -1.04733e+00      8.00000e+00   6272s
   179     -2.92800e+00     -1.04733e+00      8.00000e+00   6304s
   180     -4.58467e+00     -1.04733e+00      8.00000e+00   6342s
   181     -6.56083e+00     -1.04733e+00      8.00000e+00   6371s
   182     -7.49533e+00     -1.04733e+00      8.00000e+00   6405s
   183     -8.18833e+00     -1.04733e+00      8.00000e+00   6440s
