==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              22
Number of partitions:         3

Density (%):                  79
Name of instance:             seed1_band_pen3.5_noise0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           3.5
Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.41585e+01     -3.41585e+01      8.00000e+00      4s
     1     -3.36405e+01     -3.36405e+01      8.00000e+00      8s
     2     -3.48245e+01     -3.36405e+01      8.00000e+00     11s
     3     -3.46015e+01     -3.36405e+01      8.00000e+00     14s
     4     -3.45555e+01     -3.36405e+01      8.00000e+00     16s
     5     -3.44980e+01     -3.36405e+01      8.00000e+00     19s
     6     -3.47730e+01     -3.36405e+01      8.00000e+00     21s
     7     -3.31085e+01     -3.31085e+01      8.00000e+00     24s
     8     -3.40790e+01     -3.31085e+01      8.00000e+00     26s
     9     -3.38120e+01     -3.31085e+01      8.00000e+00     29s
    10     -3.45255e+01     -3.31085e+01      8.00000e+00     31s
    11     -3.44450e+01     -3.31085e+01      8.00000e+00     33s
    12     -3.45630e+01     -3.31085e+01      8.00000e+00     35s
    13     -3.46330e+01     -3.31085e+01      8.00000e+00     37s
    14     -3.39930e+01     -3.31085e+01      8.00000e+00     40s
    15     -3.28765e+01     -3.28765e+01      8.00000e+00     43s
    16     -3.47185e+01     -3.28765e+01      8.00000e+00     46s
    17     -3.52655e+01     -3.28765e+01      8.00000e+00     48s
    18     -3.39825e+01     -3.28765e+01      8.00000e+00     51s
    19     -3.47390e+01     -3.28765e+01      8.00000e+00     53s
    20     -3.54170e+01     -3.28765e+01      8.00000e+00     55s
    21     -3.35035e+01     -3.28765e+01      8.00000e+00     58s
    22     -3.36225e+01     -3.28765e+01      8.00000e+00     61s
