
Gurobi 9.1.1 (linux64) logging started Fri Oct 22 04:19:01 2021

Changed value of parameter LogFile to results/max3cut_numv169/max3cut_numv169_spinglass2pm_1313_RP-MILO_log.txt
   Prev:   Default: 
Changed value of parameter LazyConstraints to 1
   Prev: 0  Min: 0  Max: 1  Default: 0
Gurobi Optimizer version 9.1.1 build v9.1.1rc0 (linux64)
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads
Optimize a model with 242993 rows, 4474 columns and 1181444 nonzeros
Model fingerprint: 0x8976066a
Variable types: 0 continuous, 4474 integer (4474 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Found heuristic solution: objective 15.0000000
Presolve removed 126934 rows and 0 columns
Presolve time: 1.61s
Presolved: 116059 rows, 4474 columns, 585060 nonzeros
Crushed 0 out of 338 user cuts to presolved model
Variable types: 0 continuous, 4474 integer (4474 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    1428    1.6899993e+02   5.732257e+04   0.000000e+00      5s
    2698    1.6599980e+02   1.754593e+05   0.000000e+00     10s
    3828    1.6599972e+02   7.363099e+04   0.000000e+00     15s
Warning: Markowitz tolerance tightened to 0.125
    4968    1.6599965e+02   1.720568e+05   0.000000e+00     20s
    6298    1.6299963e+02   1.443313e+05   0.000000e+00     25s
    7478    1.6299958e+02   3.487462e+04   0.000000e+00     30s
    8678    1.6299953e+02   5.215454e+04   0.000000e+00     35s
    9888    1.6299949e+02   6.173532e+04   0.000000e+00     40s
   11048    1.6299945e+02   6.497874e+04   0.000000e+00     45s
   12168    1.6299942e+02   3.903334e+04   0.000000e+00     50s
   13428    1.6299938e+02   3.075529e+04   0.000000e+00     55s
   14698    1.6299934e+02   1.329756e+05   0.000000e+00     60s
   15838    1.6299929e+02   1.405050e+05   0.000000e+00     65s
   17058    1.6199925e+02   7.542049e+04   0.000000e+00     70s
   18298    1.6199921e+02   7.150571e+04   0.000000e+00     75s
   19418    1.6199917e+02   7.368471e+04   0.000000e+00     80s
   20678    1.6199913e+02   3.147151e+04   0.000000e+00     85s
   21808    1.6199908e+02   2.125388e+04   0.000000e+00     90s
   23028    1.6199902e+02   1.879793e+05   0.000000e+00     95s
   24278    1.6199897e+02   2.599904e+04   0.000000e+00    100s
   25488    1.6199892e+02   6.564902e+04   0.000000e+00    105s
   26688    1.6199887e+02   1.200376e+05   0.000000e+00    110s
   27968    1.6199883e+02   9.453323e+04   0.000000e+00    115s
   29248    1.6199878e+02   2.621417e+05   0.000000e+00    120s
   30378    1.6199874e+02   4.813613e+04   0.000000e+00    125s
   31588    1.5999880e+02   3.439085e+05   0.000000e+00    130s
   32838    1.5999876e+02   3.356306e+04   0.000000e+00    135s
   34058    1.5699888e+02   1.559046e+05   0.000000e+00    140s
   35258    1.5699882e+02   5.324520e+04   0.000000e+00    145s
   36518    1.5699878e+02   6.485117e+04   0.000000e+00    150s
   37768    1.5699874e+02   2.358816e+04   0.000000e+00    155s
   38898    1.5599874e+02   7.227298e+04   0.000000e+00    160s
   40118    1.5499896e+02   1.592399e+05   0.000000e+00    165s
   41228    1.5499889e+02   3.184955e+05   0.000000e+00    170s
   42348    1.5399898e+02   4.030670e+05   0.000000e+00    175s
   43468    1.5399893e+02   5.918833e+04   0.000000e+00    180s
   44618    1.5099899e+02   5.526509e+04   0.000000e+00    185s
   45878    1.5099893e+02   3.032355e+05   0.000000e+00    190s
   47098    1.5099889e+02   2.272106e+04   0.000000e+00    195s
   48218    1.5099885e+02   1.596031e+04   0.000000e+00    200s
   49438    1.4799895e+02   4.488780e+04   0.000000e+00    205s
   50608    1.4649899e+02   3.008937e+04   0.000000e+00    210s
   51748    1.4549902e+02   3.390058e+04   0.000000e+00    215s
   52888    1.4449905e+02   1.982679e+05   0.000000e+00    220s
   54108    1.4449901e+02   1.103317e+05   0.000000e+00    225s
   55238    1.4449896e+02   5.677584e+04   0.000000e+00    230s
   56448    1.4399895e+02   6.133370e+05   0.000000e+00    235s
   57598    1.4299895e+02   4.355511e+04   0.000000e+00    240s
   58818    1.4183232e+02   1.111571e+05   0.000000e+00    246s
   59858    1.4183230e+02   2.522037e+04   0.000000e+00    250s
   61108    1.4099900e+02   2.055307e+05   0.000000e+00    255s
   62218    1.4099898e+02   4.530181e+04   0.000000e+00    260s
