
Gurobi 9.1.1 (linux64) logging started Fri Oct 22 14:27:59 2021

Changed value of parameter LogFile to results/max3cut_numv225/max3cut_numv225_spinglass2pm_1515_RP-MILO_log.txt
   Prev:   Default: 
Changed value of parameter LazyConstraints to 1
   Prev: 0  Min: 0  Max: 1  Default: 0
Gurobi Optimizer version 9.1.1 build v9.1.1rc0 (linux64)
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads
Optimize a model with 407865 rows, 6662 columns and 2030346 nonzeros
Model fingerprint: 0x8fc5295e
Variable types: 0 continuous, 6662 integer (6662 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Found heuristic solution: objective 11.0000000
Presolve removed 186755 rows and 0 columns
Presolve time: 3.36s
Presolved: 221110 rows, 6662 columns, 1140027 nonzeros
Crushed 0 out of 450 user cuts to presolved model
Variable types: 0 continuous, 6662 integer (6662 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
     646    2.2499997e+02   6.536979e+05   0.000000e+00      6s
    1556    2.2499993e+02   5.782695e+05   0.000000e+00     10s
    2516    2.2499991e+02   2.306514e+06   0.000000e+00     15s
    3136    2.2499981e+02   6.303806e+05   0.000000e+00     20s
    3786    2.2499975e+02   1.794660e+06   0.000000e+00     25s
    4436    2.2499970e+02   3.798659e+05   0.000000e+00     31s
    4936    2.2499967e+02   3.411877e+05   0.000000e+00     35s
    5556    2.2499963e+02   1.906486e+06   0.000000e+00     40s
    6146    2.2499961e+02   2.300174e+05   0.000000e+00     45s
    6706    2.2499958e+02   4.495541e+05   0.000000e+00     51s
    7326    2.2499955e+02   2.412195e+05   0.000000e+00     56s
    7746    2.2499952e+02   1.569488e+05   0.000000e+00     60s
    8306    2.2499951e+02   1.471574e+05   0.000000e+00     65s
    8866    2.2499948e+02   4.404194e+05   0.000000e+00     71s
    9336    2.2499947e+02   6.496719e+05   0.000000e+00     75s
Warning: Markowitz tolerance tightened to 0.03125
    9926    2.2499945e+02   3.307976e+07   0.000000e+00     81s
   10426    2.2499943e+02   1.447018e+06   0.000000e+00     85s
   10926    2.2499942e+02   7.783741e+04   0.000000e+00     90s
   11466    2.2499940e+02   1.263374e+06   0.000000e+00     96s
   12006    2.2499939e+02   7.156253e+04   0.000000e+00    101s
   12486    2.2499937e+02   2.639217e+05   0.000000e+00    105s
   13086    2.2499936e+02   3.697657e+05   0.000000e+00    111s
   13486    2.2499935e+02   1.667211e+05   0.000000e+00    115s
   13996    2.2499933e+02   2.003731e+05   0.000000e+00    120s
   14506    2.2499932e+02   2.377967e+06   0.000000e+00    125s
   15096    2.2499930e+02   3.014637e+05   0.000000e+00    131s
   15686    2.2499929e+02   2.141245e+05   0.000000e+00    137s
   16106    2.2499928e+02   7.432895e+04   0.000000e+00    141s
   16686    2.2499927e+02   1.401403e+05   0.000000e+00    146s
   17181    2.2499925e+02   2.519245e+05   0.000000e+00    151s
   17691    2.2499924e+02   5.645977e+04   0.000000e+00    156s
   18201    2.2499923e+02   2.158584e+05   0.000000e+00    161s
   18711    2.2499922e+02   1.794694e+05   0.000000e+00    166s
   19221    2.2499921e+02   1.185185e+05   0.000000e+00    171s
   19731    2.2499920e+02   7.268408e+04   0.000000e+00    176s
   20241    2.2499919e+02   6.801129e+04   0.000000e+00    181s
   20751    2.2499918e+02   2.043454e+05   0.000000e+00    186s
   21261    2.2499917e+02   5.287808e+04   0.000000e+00    191s
   21771    2.2499916e+02   1.595234e+05   0.000000e+00    196s
   22281    2.2499915e+02   1.051869e+05   0.000000e+00    201s
   22791    2.2499914e+02   6.964705e+04   0.000000e+00    206s
   23301    2.2499913e+02   9.207046e+04   0.000000e+00    211s
   23811    2.2499912e+02   1.647652e+05   0.000000e+00    216s
   24321    2.2499911e+02   7.455125e+04   0.000000e+00    221s
   24831    2.2499910e+02   1.437855e+05   0.000000e+00    226s
   25341    2.2499909e+02   4.644860e+04   0.000000e+00    231s
   25851    2.2499908e+02   1.801839e+05   0.000000e+00    236s
   26361    2.2499907e+02   5.298609e+05   0.000000e+00    241s
   26871    2.2499906e+02   7.424313e+04   0.000000e+00    246s
   27381    2.2499905e+02   5.525459e+04   0.000000e+00    251s
   27891    2.2499904e+02   3.484460e+04   0.000000e+00    256s
   28401    2.2499903e+02   2.778431e+05   0.000000e+00    261s
   28911    2.2499902e+02   8.006637e+04   0.000000e+00    266s
   29421    2.2499901e+02   2.364849e+05   0.000000e+00    272s
   29931    2.2499900e+02   7.967318e+04   0.000000e+00    277s
   30441    2.2199902e+02   4.424057e+04   0.000000e+00    282s
   30951    2.2199901e+02   2.342546e+05   0.000000e+00    287s
   31461    2.2199900e+02   3.783670e+05   0.000000e+00    292s
   31971    2.2199899e+02   1.629089e+05   0.000000e+00    297s
   32226    2.2199898e+02   1.566133e+05   0.000000e+00    300s
   32736    2.2199896e+02   1.492398e+05   0.000000e+00    306s
   33246    2.2199895e+02   2.661977e+05   0.000000e+00    311s
   33756    2.2199893e+02   2.425821e+05   0.000000e+00    316s
   34266    2.2199892e+02   1.983935e+05   0.000000e+00    322s
   34776    2.2199891e+02   8.918181e+04   0.000000e+00    327s
   35286    2.2199890e+02   9.249473e+04   0.000000e+00    332s
   35796    2.2199888e+02   1.115724e+05   0.000000e+00    338s
   36051    2.2199887e+02   2.317625e+05   0.000000e+00    341s
   36561    2.2199886e+02   1.912798e+05   0.000000e+00    346s
   37071    2.2199885e+02   1.273090e+05   0.000000e+00    351s
   37581    2.2199884e+02   1.898458e+05   0.000000e+00    356s
   38091    2.2199883e+02   1.240365e+05   0.000000e+00    361s
   38601    2.2199882e+02   1.317942e+05   0.000000e+00    366s
   39111    2.2199881e+02   2.227708e+05   0.000000e+00    372s
   39366    2.2199880e+02   1.467781e+05   0.000000e+00    375s
   39876    2.2199879e+02   1.136298e+05   0.000000e+00    381s
   40386    2.2199878e+02   8.465564e+04   0.000000e+00    386s
   40896    2.2199876e+02   2.267340e+05   0.000000e+00    391s
   41406    2.2199874e+02   9.204703e+04   0.000000e+00    397s
   41916    2.2199873e+02   1.016799e+05   0.000000e+00    402s
   42171    2.2199872e+02   2.154645e+05   0.000000e+00    405s
   42681    2.2199871e+02   7.386084e+04   0.000000e+00    410s
   43191    2.2199870e+02   1.385155e+05   0.000000e+00    416s
   43701    2.2199869e+02   2.179162e+05   0.000000e+00    421s
   44211    2.2199868e+02   9.345497e+04   0.000000e+00    427s
   44721    2.2199867e+02   2.472845e+05   0.000000e+00    433s
   44976    2.2199866e+02   1.195416e+05   0.000000e+00    435s
   45486    2.2199865e+02   1.073783e+05   0.000000e+00    440s
   45996    2.2199864e+02   1.858110e+05   0.000000e+00    446s
   46506    2.2199863e+02   1.713334e+05   0.000000e+00    452s
   47016    2.2199862e+02   5.045100e+04   0.000000e+00    457s
   47526    2.2199861e+02   1.388127e+05   0.000000e+00    462s
   48036    2.2199860e+02   3.794528e+05   0.000000e+00    467s
   48546    2.2199859e+02   8.922096e+04   0.000000e+00    472s
   49056    2.2199858e+02   8.568053e+04   0.000000e+00    477s
   49566    2.2199857e+02   1.015778e+05   0.000000e+00    482s
   50076    2.2199855e+02   5.124913e+04   0.000000e+00    487s
   50586    2.2199855e+02   5.066650e+04   0.000000e+00    492s
   51096    2.2199854e+02   3.572031e+04   0.000000e+00    497s
   51606    2.2199853e+02   2.409385e+05   0.000000e+00    502s
   52116    2.2199852e+02   9.879856e+04   0.000000e+00    507s
   52626    2.2199851e+02   2.031608e+05   0.000000e+00    512s
   53136    2.2199850e+02   1.495152e+05   0.000000e+00    517s
   53646    2.2199849e+02   2.263981e+05   0.000000e+00    522s
   54156    2.2199847e+02   8.881565e+04   0.000000e+00    527s
   54666    2.2199846e+02   9.397182e+04   0.000000e+00    532s
   55176    2.2199845e+02   7.259344e+04   0.000000e+00    537s
   55686    2.2199844e+02   9.651003e+04   0.000000e+00    542s
   56196    2.2199843e+02   1.324906e+05   0.000000e+00    547s
   56706    2.2199842e+02   3.974241e+05   0.000000e+00    552s
   56961    2.2199841e+02   3.947666e+04   0.000000e+00    555s
   57726    2.2199840e+02   8.341273e+04   0.000000e+00    562s
   58236    2.2199838e+02   2.064046e+05   0.000000e+00    568s
   58491    2.2199837e+02   1.509358e+05   0.000000e+00    570s
   59001    2.2199835e+02   3.847602e+04   0.000000e+00    575s
   59511    2.2199833e+02   3.241625e+06   0.000000e+00    581s
   60021    2.2199832e+02   4.635942e+04   0.000000e+00    586s
   60531    2.2199830e+02   1.382770e+05   0.000000e+00    591s
   61041    2.2199829e+02   2.023547e+05   0.000000e+00    596s
   61551    2.2199827e+02   2.233072e+05   0.000000e+00    601s
   62061    2.2199826e+02   2.275524e+05   0.000000e+00    607s
   62571    2.2199824e+02   1.659611e+05   0.000000e+00    612s
   63081    2.2199822e+02   1.632824e+05   0.000000e+00    617s
   63591    2.2199821e+02   1.496196e+05   0.000000e+00    622s
   64101    2.2199819e+02   1.174901e+06   0.000000e+00    627s
   64611    2.2199817e+02   2.196913e+05   0.000000e+00    632s
   64866    2.2199816e+02   4.750684e+05   0.000000e+00    635s
   65376    2.2199815e+02   5.164483e+05   0.000000e+00    640s
   65886    2.2199813e+02   2.374776e+05   0.000000e+00    645s
   66396    2.2199811e+02   2.312777e+05   0.000000e+00    651s
   66906    2.2199808e+02   2.021166e+05   0.000000e+00    656s
   67416    2.2199804e+02   5.831151e+05   0.000000e+00    661s
   67926    2.2199802e+02   3.203894e+05   0.000000e+00    666s
   68436    2.2199799e+02   5.941904e+05   0.000000e+00    672s
   68946    2.2199796e+02   2.431772e+05   0.000000e+00    677s
   69456    2.2174822e+02   1.740449e+05   0.000000e+00    682s
   69966    2.2174820e+02   1.494114e+05   0.000000e+00    687s
   70476    2.2174819e+02   1.678576e+05   0.000000e+00    692s
   70731    2.2174818e+02   1.940899e+05   0.000000e+00    695s
   71241    2.2174817e+02   8.345457e+04   0.000000e+00    700s
   71751    2.2174816e+02   1.077022e+05   0.000000e+00    705s
   72261    2.2174814e+02   4.254094e+05   0.000000e+00    711s
   72771    2.2131067e+02   6.879187e+05   0.000000e+00    716s
   73281    2.2131065e+02   7.706832e+05   0.000000e+00    721s
   73791    2.2131060e+02   2.337012e+05   0.000000e+00    727s
   74301    2.2131056e+02   7.263520e+05   0.000000e+00    732s
   74811    2.2126461e+02   1.156858e+05   0.000000e+00    737s
   75321    2.2126459e+02   1.037467e+05   0.000000e+00    742s
   75576    2.2126459e+02   9.406969e+04   0.000000e+00    745s
   76086    2.2116539e+02   1.029747e+06   0.000000e+00    750s
   76596    2.2116518e+02   2.145802e+06   0.000000e+00    756s
   77106    2.2116504e+02   7.596557e+05   0.000000e+00    761s
   77616    2.2116498e+02   6.608190e+05   0.000000e+00    767s
   78126    2.2116494e+02   8.288765e+05   0.000000e+00    772s
   78381    2.2116493e+02   1.229743e+06   0.000000e+00    775s
   78891    2.2116491e+02   2.698013e+05   0.000000e+00    780s
   79401    2.2116490e+02   7.093828e+04   0.000000e+00    786s
   79911    2.2116489e+02   1.518142e+05   0.000000e+00    791s
   80421    2.2116487e+02   8.105924e+04   0.000000e+00    796s
   80931    2.2116486e+02   5.345033e+04   0.000000e+00    802s
   81441    2.2116485e+02   1.302005e+05   0.000000e+00    807s
   81951    2.2116484e+02   5.192829e+05   0.000000e+00    812s
   82461    2.2116482e+02   1.496604e+05   0.000000e+00    817s
   82971    2.2116481e+02   1.556856e+05   0.000000e+00    822s
   83481    2.2116480e+02   2.160914e+05   0.000000e+00    827s
   83736    2.2116480e+02   1.768068e+05   0.000000e+00    830s
   84246    2.2116479e+02   1.302937e+05   0.000000e+00    835s
   84756    2.2116478e+02   1.233089e+05   0.000000e+00    840s
   85266    2.1999840e+02   8.733268e+05   0.000000e+00    846s
   85776    2.1999835e+02   2.812303e+05   0.000000e+00    851s
   86286    2.1999833e+02   2.677187e+05   0.000000e+00    857s
   86796    2.1999830e+02   2.437804e+05   0.000000e+00    862s
   87306    2.1999828e+02   2.564172e+05   0.000000e+00    867s
   87816    2.1999826e+02   5.437479e+04   0.000000e+00    873s
   88071    2.1999825e+02   7.225878e+04   0.000000e+00    875s
   88581    2.1999824e+02   8.226421e+04   0.000000e+00    880s
   89091    2.1799832e+02   1.134521e+05   0.000000e+00    886s
   89601    2.1799830e+02   2.099358e+05   0.000000e+00    891s
   90111    2.1799829e+02   7.807720e+05   0.000000e+00    896s
   90621    2.1799827e+02   1.775274e+05   0.000000e+00    901s
   91131    2.1799826e+02   1.697273e+05   0.000000e+00    907s
   91641    2.1799825e+02   2.892930e+05   0.000000e+00    912s
   92151    2.1799823e+02   1.122195e+05   0.000000e+00    917s
   92661    2.1799822e+02   1.601783e+05   0.000000e+00    923s
   92916    2.1799821e+02   4.660963e+04   0.000000e+00    925s
   93426    2.1799820e+02   4.769967e+04   0.000000e+00    930s
   93936    2.1799819e+02   5.492145e+04   0.000000e+00    935s
   94446    2.1799818e+02   9.726553e+04   0.000000e+00    940s
   94956    2.1799817e+02   1.741940e+05   0.000000e+00    946s
   95466    2.1799815e+02   7.679865e+04   0.000000e+00    951s
