
Gurobi 9.1.1 (linux64) logging started Thu Oct 21 04:14:09 2021

Changed value of parameter LogFile to results/max4cut_numv150/max4cut_numv150_band150_4_weighted_con_BQO_log.txt
   Prev:   Default: 
Gurobi Optimizer version 9.1.1 build v9.1.1rc0 (linux64)
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads
Optimize a model with 150 rows, 600 columns and 600 nonzeros
Model fingerprint: 0x3d620110
Model has 3540 quadratic objective terms
Variable types: 0 continuous, 600 integer (600 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [8e+01, 8e+01]
  QObjective range [2e+00, 2e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 1 rows and 4 columns
Presolve time: 0.00s
Presolved: 3069 rows, 3516 columns, 9356 nonzeros
Variable types: 0 continuous, 3516 integer (3516 binary)

Root relaxation: objective -7.350000e+02, 308 iterations, 0.01 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  735.00000    0  240   -0.00000  735.00000      -     -    0s
H    0     0                     634.0000000  735.00000  15.9%     -    0s
H    0     0                     646.0000000  735.00000  13.8%     -    0s
H    0     0                     653.0000000  735.00000  12.6%     -    0s
     0     0  735.00000    0  368  653.00000  735.00000  12.6%     -    0s
     0     0  734.00000    0  347  653.00000  734.00000  12.4%     -    0s
     0     0  734.00000    0  294  653.00000  734.00000  12.4%     -    0s
     0     2  734.00000    0  265  653.00000  734.00000  12.4%     -    0s
H  941   968                     654.0000000  734.00000  12.2%  25.5    1s
H 1103  1103                     656.0000000  734.00000  11.9%  24.1    1s
H 3671  3638                     657.0000000  734.00000  11.7%  18.4    1s
H 4128  3873                     661.0000000  734.00000  11.0%  18.8    2s
H 4137  3792                     664.0000000  734.00000  10.5%  18.8    2s
H 4138  3768                     665.0000000  734.00000  10.4%  18.8    2s
H 4153  3741                     666.0000000  734.00000  10.2%  18.8    2s
H 5620  4702                     667.0000000  733.00000  9.90%  21.0    4s
H 5632  4490                     668.0000000  733.00000  9.73%  21.0    4s
 10513  7704  722.00000   63  246  668.00000  733.00000  9.73%  17.3    5s
H10793  7371                     670.0000000  733.00000  9.40%  17.2    5s
H10797  7139                     671.0000000  733.00000  9.24%  17.2    6s
H20562 15046                     672.0000000  733.00000  9.08%  14.9    8s
 33689 26136  678.00000  184 1535  672.00000  733.00000  9.08%  13.6   12s
 33708 26149  730.00000   35  455  672.00000  730.97366  8.78%  13.6   15s
 33759 26183  675.00000  172  591  672.00000  729.56185  8.57%  13.5   20s
 33803 26212  710.00000   70  612  672.00000  728.50871  8.41%  13.5   25s
 33842 26238  692.00000  129  668  672.00000  720.00426  7.14%  13.5   30s
 33901 26277  719.15893   49  712  672.00000  719.15893  7.02%  13.5   35s
 33955 26313  689.00000  116  726  672.00000  718.29197  6.89%  13.5   40s
 34008 26349  717.56993   35  732  672.00000  717.56993  6.78%  13.4   45s
 34057 26383  704.00000   96  729  672.00000  717.21082  6.73%  15.0   50s
 34097 26410  710.00000   88  748  672.00000  716.68032  6.65%  15.0   55s
 34121 26426  709.00000   99  747  672.00000  711.33050  5.85%  15.0   60s
 34153 26447  707.96380   29  776  672.00000  707.96380  5.35%  15.0   65s
 34289 26556  704.47161   45  754  672.00000  705.21984  4.94%  16.7   70s
 34732 26879  699.89193   59  677  672.00000  705.18474  4.94%  18.8   75s
 35605 27453  696.00131   85  588  672.00000  705.18474  4.94%  23.2   80s
 36716 28179  684.50616  138  520  672.00000  705.18474  4.94%  27.7   85s
 38033 28984  701.58434   51  752  672.00000  705.02421  4.91%  33.0   90s
 39232 29574  700.92580   56  728  672.00000  705.00094  4.91%  37.8   97s
 39713 29921  688.28174   96  641  672.00000  705.00094  4.91%  39.7  100s
 40739 30751  686.25941   84  587  672.00000  704.69281  4.87%  42.9  105s
 42071 31389  681.75852  118  573  672.00000  704.55931  4.85%  46.8  110s
 43034 31983  673.08439  128  345  672.00000  704.47439  4.83%  50.3  115s
H43823 30622                     673.0000000  704.47439  4.68%  52.6  130s
 44690 31580  693.75615   66  673  673.00000  704.39209  4.66%  55.1  135s
 45692 31967  698.33280   63  713  673.00000  704.27745  4.65%  57.4  140s
 46951 32664  697.27287   55  713  673.00000  704.27203  4.65%  61.4  145s
 47896 33271  683.45759   83  598  673.00000  704.20200  4.64%  64.6  150s
 48991 33959  685.77261   97  613  673.00000  704.08551  4.62%  67.3  155s
 50125 34648  682.66968  106  599  673.00000  704.06487  4.62%  69.9  160s
 51480 35393  702.94038   45  749  673.00000  703.98742  4.60%  72.8  167s
 52176 35815  679.62148  101  525  673.00000  703.90415  4.59%  74.4  170s
 53664 36319  701.01951   44  754  673.00000  703.86606  4.59%  77.5  177s
 54115 36759  697.62688   57  721  673.00000  703.86606  4.59%  79.3  180s
 55596 37982  686.19802  100  598  673.00000  703.86606  4.59%  84.0  188s
 56530 38681  678.82004  129  393  673.00000  703.86472  4.59%  86.6  193s
 57707 39152  691.84462   77  690  673.00000  703.76266  4.57%  88.7  197s
 58683 39660  693.80363   77  678  673.00000  703.76169  4.57%  90.3  201s
 59661 40145  697.29574   66  739  673.00000  703.73332  4.57%  91.8  205s
 61113 41091  698.08692   62  731  673.00000  703.70050  4.56%  96.4  214s
 62041 42313  690.98572   86  684  673.00000  703.70050  4.56%  99.1  220s
 64768 43314  699.82792   52  762  673.00000  703.62634  4.55%   103  247s
 65838 43551  696.97301   54  731  673.00000  703.58544  4.54%   104  252s
 66536 43772  699.47431   51  720  673.00000  703.56763  4.54%   106  256s
 66989 46260  697.52160   61  735  673.00000  703.56499  4.54%   108  267s
 69747 46224  700.98615   55  774  673.00000  703.56388  4.54%   113  271s
 70762 46701  680.53063  121  610  673.00000  703.48910  4.53%   114  276s
 71683 47095  685.18087   86  625  673.00000  703.47102  4.53%   115  280s
 73038 48023  691.91956   82  670  673.00000  703.44934  4.52%   118  289s
 73887 48862  684.94552  108  608  673.00000  703.44934  4.52%   120  295s
 75055 49630  677.21036  137  551  673.00000  703.44917  4.52%   122  300s
 77417 50581  702.24086   46  750  673.00000  703.38824  4.52%   124  309s
 78443 50926  701.51620   49  758  673.00000  703.33032  4.51%   125  313s
 79274 51196  700.72635   53  730  673.00000  703.29827  4.50%   126  318s
 79821 51962  694.31887   74  690  673.00000  703.29827  4.50%   128  323s
 80770 53254  685.29839  107  626  673.00000  703.29645  4.50%   130  329s
 82505 53613  697.26245   60  754  673.00000  703.28348  4.50%   131  333s
 83603 54090  694.18445   73  667  673.00000  703.26229  4.50%   132  338s
 84564 54759  688.93024   90  686  673.00000  703.25449  4.50%   133  343s
 85675 55273  681.15169   95  613  673.00000  703.21903  4.49%   134  348s
 86698 55842  683.61495  103  645  673.00000  703.20419  4.49%   134  353s
 87786 56451  674.02437  121  230  673.00000  703.18554  4.49%   135  358s
 88888 56936  700.90229   54  763  673.00000  703.16391  4.48%   136  362s
 89867 57594  698.29425   61  725  673.00000  703.14481  4.48%   137  367s
 91017 58065  692.85667   69  733  673.00000  703.12671  4.48%   137  372s
 92007 58628  694.53660   66  718  673.00000  703.09780  4.47%   138  376s
 93037 59210  695.22431   60  715  673.00000  703.06673  4.47%   139  381s
 94106 59639  693.80543   70  698  673.00000  703.04997  4.47%   140  385s
 95001 60034  697.40901   56  731  673.00000  703.02610  4.46%   140  390s
 95695 60894  687.85271   90  650  673.00000  703.02592  4.46%   142  395s
 96895 61365  694.16345   67  723  673.00000  703.00952  4.46%   143  400s
 97870 62002  692.32936   78  715  673.00000  702.99495  4.46%   144  405s
 98947 62505  696.34942   67  740  673.00000  702.97544  4.45%   144  410s
 99960 62987  697.61644   55  717  673.00000  702.95471  4.45%   145  415s
 100799 64154  690.52484   79  637  673.00000  702.94762  4.45%   147  421s
 102404 64430  695.04388   72  696  673.00000  702.93443  4.45%   148  426s
 103347 65006  694.95821   63  738  673.00000  702.91324  4.44%   148  430s
 104368 65438  697.17943   58  723  673.00000  702.90389  4.44%   149  435s
 105259 65649  700.69140   48  751  673.00000  702.89085  4.44%   149  440s
 105767 66395  695.79234   61  736  673.00000  702.89085  4.44%   151  445s
 106682 67591  690.35951   80  666  673.00000  702.89085  4.44%   152  451s
 108349 67945  679.74500  125  547  673.00000  702.88370  4.44%   153  456s
 109410 68401  693.21735   75  635  673.00000  702.86874  4.44%   153  461s
 110367 69185  690.56834   77  685  673.00000  702.84737  4.43%   154  466s
 111323 70139  688.60599   83  647  673.00000  702.83243  4.43%   154  471s
 112402 70960  688.92543   88  673  673.00000  702.81284  4.43%   155  475s
 113359 71555  685.88462   89  663  673.00000  702.80187  4.43%   156  481s
 114072 72056  697.87342   59  715  673.00000  702.79794  4.43%   156  485s
 114591 72955  692.45909   75  667  673.00000  702.79794  4.43%   157  491s
 115504 74387  681.78929  114  558  673.00000  702.78720  4.43%   158  496s
 117089 75006  699.64329   64  719  673.00000  702.78720  4.43%   159  501s
 117761 76468  694.60702   74  697  673.00000  702.78720  4.43%   160  509s
 119292 77741  684.49288  113  571  673.00000  702.77398  4.42%   162  516s
 120729 78536  699.76853   51  748  673.00000  702.77042  4.42%   162  521s
 121616 79439  696.96665   65  709  673.00000  702.75418  4.42%   163  526s
 122618 80339  686.41588   85  584  673.00000  702.74427  4.42%   163  532s
 123640 81286  685.95183  103  677  673.00000  702.73603  4.42%   164  537s
 124717 82240  700.31621   45  752  673.00000  702.72167  4.42%   164  542s
 125797 83391  700.05134   54  738  673.00000  702.70815  4.41%   165  548s
 127048 84423  697.02318   59  719  673.00000  702.68447  4.41%   165  553s
 128227 85219  696.30528   66  703  673.00000  702.66230  4.41%   165  559s
 129165 85818  700.00365   51  760  673.00000  702.65038  4.41%   166  564s
 129798 86976  690.87109   79  702  673.00000  702.63985  4.40%   167  569s
 131084 88054  698.28276   56  673  673.00000  702.63412  4.40%   168  575s
 132299 88942  696.09504   61  718  673.00000  702.62094  4.40%   168  580s
 133317 89776  693.31359   76  688  673.00000  702.60935  4.40%   168  585s
 134281 90825  697.30111   61  712  673.00000  702.60214  4.40%   169  591s
 135378 92085  685.65734  101  601  673.00000  702.60040  4.40%   170  597s
 136775 93014  687.10257   89  638  673.00000  702.59394  4.40%   170  602s
 137823 93949  692.09162   85  695  673.00000  702.58619  4.40%   171  607s
 138879 94760  691.49035   73  707  673.00000  702.57314  4.39%   171  612s
 139824 95525  693.15791   60  715  673.00000  702.56520  4.39%   171  618s
 140674 96446  699.24490   55  738  673.00000  702.56331  4.39%   172  623s
 141803 97318     cutoff   88       673.00000  702.54816  4.39%   172  628s
 142829 98288  696.21596   53  739  673.00000  702.53816  4.39%   173  634s
 143975 99063  690.89657   75  685  673.00000  702.53359  4.39%   173  639s
 144878 99717  677.22755  111  511  673.00000  702.52038  4.39%   174  644s
 145626 100387  698.65891   62  724  673.00000  702.52038  4.39%   174  649s
 146296 101616  692.82637   82  692  673.00000  702.52038  4.39%   175  655s
 147584 102816  682.76988  120  607  673.00000  702.51269  4.39%   176  662s
 148897 103647  695.50940   63  707  673.00000  702.51210  4.39%   176  667s
 149858 104415  695.59445   62  677  673.00000  702.48773  4.38%   176  672s
 150741 105499  690.76690   80  655  673.00000  702.47937  4.38%   177  678s
 151965 106418  683.04744   97  603  673.00000  702.46529  4.38%   177  683s
 153008 107560  700.29428   53  761  673.00000  702.46138  4.38%   178  689s
 154306 108525  697.21522   63  717  673.00000  702.44325  4.37%   178  695s
 155420 109352  693.56653   71  704  673.00000  702.43185  4.37%   178  700s
 156391 110276  691.24498   72  668  673.00000  702.42175  4.37%   178  706s
 157473 111069  674.44627  114  537  673.00000  702.40566  4.37%   178  711s
 158475 111813  697.95309   58  726  673.00000  702.38972  4.37%   178  717s
 159376 112682  699.15379   55  751  673.00000  702.38510  4.37%   179  723s
 160262 113895  688.55626   84  635  673.00000  702.38450  4.37%   180  729s
 161755 114816  691.24618   79  667  673.00000  702.37807  4.37%   180  734s
 162787 115829  689.16127   93  696  673.00000  702.37163  4.36%   181  739s
 163936 116817  677.66363  126  557  673.00000  702.36578  4.36%   181  744s
 165107 117784  695.62674   59  726  673.00000  702.35516  4.36%   181  750s
 166240 118692  678.75676  102  414  673.00000  702.34539  4.36%   181  755s
 167330 119532     cutoff  122       673.00000  702.33968  4.36%   181  760s
 168334 120159  699.49608   51  725  673.00000  702.33237  4.36%   181  766s
 169057 121078  693.66455   71  705  673.00000  702.33237  4.36%   182  771s
 170041 122352  684.93739  106  550  673.00000  702.33214  4.36%   182  778s
 171440 123262  691.17931   70  677  673.00000  702.31093  4.36%   183  783s
 172513 124217  689.47632   88  684  673.00000  702.29979  4.35%   183  789s
 173598 125281  690.61654   67  677  673.00000  702.29274  4.35%   183  794s
 174807 126360  696.41570   62  731  673.00000  702.27637  4.35%   184  800s
 176016 127335  690.24778   73  685  673.00000  702.26438  4.35%   184  805s
 177159 128227  679.14237  111  511  673.00000  702.25826  4.35%   184  811s
 178156 129211  678.93521  121  607  673.00000  702.24936  4.35%   184  817s
 179272 130191  700.47979   56  762  673.00000  702.23823  4.34%   184  822s
 180393 131225  690.42255   65  629  673.00000  702.23278  4.34%   184  828s
 181594 132229  679.80942  117  566  673.00000  702.22693  4.34%   184  833s
 182780 133203  697.59324   54  715  673.00000  702.21678  4.34%   185  838s
 183901 134173  693.65809   74  655  673.00000  702.20664  4.34%   185  844s
 185033 135038  685.00075   83  624  673.00000  702.19756  4.34%   185  849s
 186033 136023  681.03391   87  589  673.00000  702.19070  4.34%   185  854s
 187214 136797  699.68505   55  754  673.00000  702.18283  4.34%   185  860s
 188109 137764  701.04487   50  759  673.00000  702.17608  4.34%   185  865s
 189242 138786  699.16774   61  740  673.00000  702.16790  4.33%   185  871s
 190373 139848  688.05048   89  668  673.00000  702.16252  4.33%   186  876s
 191615 140610     cutoff  146       673.00000  702.15822  4.33%   186  882s
 192507 141139  695.05497   66  739  673.00000  702.14859  4.33%   186  887s
 193036 142357  688.94154   87  677  673.00000  702.14859  4.33%   187  893s
 194274 143798  678.19899  123  605  673.00000  702.14761  4.33%   187  900s
 196463 145463  690.42340   82  640  673.00000  702.14306  4.33%   188  911s
 197618 146522  674.44276  145  323  673.00000  702.14238  4.33%   188  917s
 198799 147490  694.36407   63  680  673.00000  702.14177  4.33%   189  922s
 199921 148280  698.15143   57  716  673.00000  702.13124  4.33%   189  928s
 200847 149469  699.54872   54  739  673.00000  702.12225  4.33%   189  935s
 202231 150353  683.68897  102  586  673.00000  702.11373  4.33%   189  940s
 203221 151085  697.83886   57  722  673.00000  702.10946  4.33%   189  946s
 203978 152560  688.40716   82  654  673.00000  702.10766  4.33%   190  952s
 205508 153636  698.52019   56  749  673.00000  702.10742  4.33%   190  959s
