
Gurobi 9.1.1 (linux64) logging started Thu Oct 21 09:39:04 2021

Changed value of parameter LogFile to results/max4cut_numv196/max4cut_numv196_spinglass2g_1414_RP-MILO_log.txt
   Prev:   Default: 
Changed value of parameter LazyConstraints to 1
   Prev: 0  Min: 0  Max: 1  Default: 0
Gurobi Optimizer version 9.1.1 build v9.1.1rc0 (linux64)
Thread count: 20 physical cores, 40 logical processors, using up to 10 threads
Optimize a model with 970924 rows, 4744 columns and 9032515 nonzeros
Model fingerprint: 0xa0db9bca
Variable types: 0 continuous, 4744 integer (4744 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [4e+02, 3e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective -0.0000000
Found heuristic solution: objective 5387925.0000
Presolve removed 300072 rows and 0 columns (presolve time = 5s) ...
Presolve removed 300072 rows and 0 columns (presolve time = 10s) ...
Presolve removed 300072 rows and 0 columns (presolve time = 16s) ...
Presolve removed 300072 rows and 0 columns
Presolve time: 15.58s
Presolved: 670852 rows, 4744 columns, 6389299 nonzeros
Crushed 0 out of 392 user cuts to presolved model
Variable types: 0 continuous, 4744 integer (4744 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.6637340e+07   6.252860e+05   0.000000e+00     21s
     598    1.6637340e+07   2.525090e+05   0.000000e+00     25s
     748    1.6637340e+07   6.973966e+06   0.000000e+00     32s
     808    1.6637340e+07   2.050952e+07   0.000000e+00     35s
    1028    1.6637340e+07   2.878031e+06   0.000000e+00     42s
    1168    1.6637340e+07   3.550476e+05   0.000000e+00     46s
    1308    1.6637340e+07   9.777676e+05   0.000000e+00     53s
    1378    1.6637340e+07   1.428514e+06   0.000000e+00     56s
    1528    1.6637340e+07   1.791615e+06   0.000000e+00     62s
    1608    1.6637340e+07   9.949591e+05   0.000000e+00     65s
    1768    1.6637340e+07   5.511937e+05   0.000000e+00     72s
    1928    1.6637340e+07   3.247209e+06   0.000000e+00     78s
    2018    1.6637340e+07   5.951656e+05   0.000000e+00     82s
    2098    1.6637340e+07   1.424647e+06   0.000000e+00     85s
    2348    1.6637340e+07   1.425071e+06   0.000000e+00     96s
    2518    1.6637340e+07   1.060725e+06   0.000000e+00    103s
    2608    1.6637340e+07   2.018006e+06   0.000000e+00    106s
    2698    1.6637340e+07   7.422236e+05   0.000000e+00    110s
    2878    1.6637340e+07   4.143891e+05   0.000000e+00    118s
    3068    1.6637340e+07   1.345068e+06   0.000000e+00    125s
