==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           20
Number of edges:              54
Number of partitions:         2

Density (%):                  28
Name of instance:             seed1_band_fold_noise0.0
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      3.87900e+00      3.87900e+00      1.60000e+01      1s
     3      3.62800e+00      3.87900e+00      1.60000e+01      2s
     7      3.43600e+00      3.87900e+00      1.70000e+01      4s
    10      3.35200e+00      3.87900e+00      1.70000e+01      5s
    14      3.47800e+00      3.87900e+00      1.70000e+01      6s
    18      3.67100e+00      3.87900e+00      1.70000e+01      8s
    21      3.33400e+00      3.87900e+00      1.70000e+01      9s
    24      3.22300e+00      3.87900e+00      1.70000e+01     10s
    27      3.33600e+00      3.87900e+00      1.70000e+01     11s
    30      3.35500e+00      3.87900e+00      1.70000e+01     12s
    34      3.26100e+00      3.87900e+00      1.80000e+01     13s
    38      3.54600e+00      3.87900e+00      1.80000e+01     15s
    42      3.54700e+00      3.87900e+00      1.80000e+01     16s
    46      3.53800e+00      3.87900e+00      1.80000e+01     17s
    50      3.39100e+00      3.87900e+00      1.80000e+01     19s
    53      1.73800e+00      3.87900e+00      1.80000e+01     20s
    56      3.29200e+00      3.87900e+00      1.80000e+01     21s
    60      4.81900e+00      5.12900e+00      1.80000e+01     23s
    63      2.86400e+00      5.12900e+00      1.80000e+01     24s
    66      2.33400e+00      5.12900e+00      1.80000e+01     25s
    69      4.01200e+00      5.12900e+00      1.80000e+01     26s
    72      4.89800e+00      5.22800e+00      1.80000e+01     28s
    75      2.94300e+00      5.22800e+00      1.80000e+01     29s
    79      2.29200e+00      5.22800e+00      1.80000e+01     30s
    82      4.33700e+00      5.22800e+00      1.80000e+01     32s
    86      4.10000e+00      5.24000e+00      1.80000e+01     33s
    89      2.04300e+00      5.24000e+00      1.80000e+01     34s
    92      2.74100e+00      5.24000e+00      1.80000e+01     35s
    96      5.01500e+00      5.24000e+00      1.80000e+01     37s
   100      3.31800e+00      5.24000e+00      1.80000e+01     38s
   104      1.41500e+00      5.24000e+00      1.80000e+01     39s
   108      5.71900e+00      5.71900e+00      1.80000e+01     40s
   112      3.82500e+00      5.92700e+00      1.80000e+01     42s
   116      1.17900e+00      5.92700e+00      1.80000e+01     43s
   120      5.24300e+00      5.92700e+00      1.80000e+01     44s
   124      4.21200e+00      5.92700e+00      1.80000e+01     46s
   127      1.16200e+00      5.92700e+00      1.80000e+01     47s
   131      3.83800e+00      5.92700e+00      1.80000e+01     48s
   135      5.37600e+00      5.92700e+00      1.80000e+01     49s
   138      1.94400e+00      5.92700e+00      1.80000e+01     51s
   142      2.54300e+00      5.92700e+00      1.80000e+01     52s
   146      5.90000e+00      5.92700e+00      1.80000e+01     53s
   150      3.46000e+00      5.92700e+00      1.80000e+01     54s
   154      1.36800e+00      5.92700e+00      1.80000e+01     56s
   158      5.36800e+00      5.92700e+00      1.80000e+01     57s
   162      3.73400e+00      5.92700e+00      1.80000e+01     58s
   165      1.36000e+00      5.92700e+00      1.80000e+01     60s
   169      4.05700e+00      5.92700e+00      1.80000e+01     61s
   172      5.33800e+00      5.92700e+00      1.80000e+01     62s
   175      2.84800e+00      5.92700e+00      1.80000e+01     63s
   179      1.77100e+00      5.92700e+00      1.80000e+01     64s
   183      5.51400e+00      5.92700e+00      1.80000e+01     65s
   187      3.08200e+00      5.92700e+00      1.80000e+01     67s
   191      1.71800e+00      5.92700e+00      1.80000e+01     68s
   195      5.31600e+00      5.92700e+00      1.80000e+01     69s
   198      4.34100e+00      5.92700e+00      1.80000e+01     70s
   201      2.85100e+00      5.92700e+00      1.80000e+01     72s
   204      2.21800e+00      5.92700e+00      1.80000e+01     73s
   208      4.07300e+00      5.92700e+00      1.80000e+01     74s
