==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen_1.0_noise0.0
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     4     -4.60567e+00     -4.44233e+00      6.00000e+00      1s
    12     -4.62900e+00     -4.44233e+00      6.00000e+00      2s
    21     -4.68600e+00     -4.44233e+00      6.00000e+00      3s
    30     -4.83867e+00     -4.44233e+00      7.00000e+00      4s
    38     -4.70633e+00     -4.35033e+00      7.00000e+00      5s
    46     -4.66633e+00     -4.35033e+00      7.00000e+00      6s
    55     -1.71700e+00     -1.70733e+00      7.00000e+00      8s
    64     -4.98967e+00     -1.70733e+00      7.00000e+00      9s
    72     -7.54167e+00     -1.70733e+00      7.00000e+00     10s
    79     -1.79667e+00     -1.61167e+00      7.00000e+00     11s
    87     -4.64433e+00     -1.61167e+00      7.00000e+00     12s
    94     -8.89167e+00     -1.61167e+00      7.00000e+00     13s
   101     -2.59333e+00     -1.61167e+00      7.00000e+00     14s
   110     -4.44233e+00     -2.77000e-01      7.00000e+00     15s
   118     -1.08860e+01     -2.77000e-01      7.00000e+00     16s
   125     -3.69300e+00     -2.77000e-01      7.00000e+00     17s
   132     -3.20033e+00     -2.77000e-01      7.00000e+00     18s
   140     -7.28867e+00     -2.77000e-01      7.00000e+00     19s
   148     -6.90100e+00     -2.77000e-01      7.00000e+00     20s
   155     -6.56667e-01      1.49667e-01      7.00000e+00     21s
   163     -5.34867e+00      1.49667e-01      7.00000e+00     22s
   171     -1.30330e+01      1.49667e-01      7.00000e+00     24s
   179     -4.29000e-01      1.49667e-01      7.00000e+00     25s
   188     -5.78400e+00      1.49667e-01      7.00000e+00     26s
   196     -1.24947e+01      1.49667e-01      7.00000e+00     27s
   203     -3.79333e-01      1.49667e-01      7.00000e+00     28s
   212     -4.56400e+00      1.49667e-01      7.00000e+00     29s
   221     -1.28183e+01      1.49667e-01      7.00000e+00     30s
   229     -7.84333e-01      1.49667e-01      7.00000e+00     31s
   236     -4.31833e+00      1.49667e-01      7.00000e+00     32s
   243     -1.36150e+01      1.49667e-01      7.00000e+00     33s
   251     -2.88300e+00      1.49667e-01      7.00000e+00     34s
   259     -4.48700e+00      1.49667e-01      7.00000e+00     36s
   266     -9.60567e+00      1.49667e-01      7.00000e+00     37s
   273     -8.29467e+00      1.49667e-01      7.00000e+00     38s
   281     -3.10267e+00      1.49667e-01      7.00000e+00     39s
   289     -7.08467e+00      1.49667e-01      7.00000e+00     40s
   297     -9.28900e+00      1.49667e-01      7.00000e+00     41s
   303     -2.12200e+00      1.49667e-01      7.00000e+00     42s
   310     -4.23967e+00      1.49667e-01      7.00000e+00     43s
   318     -1.11980e+01      1.49667e-01      7.00000e+00     44s
   326     -2.88833e+00      1.49667e-01      7.00000e+00     45s
   334     -4.66067e+00      1.49667e-01      7.00000e+00     46s
   341     -9.54167e+00      1.49667e-01      7.00000e+00     47s
   350     -4.74233e+00      1.49667e-01      7.00000e+00     48s
   358     -3.93533e+00      1.49667e-01      7.00000e+00     49s
   365     -6.37133e+00      1.49667e-01      7.00000e+00     50s
   372     -7.61667e+00      1.49667e-01      7.00000e+00     51s
   379     -3.04967e+00      1.49667e-01      7.00000e+00     53s
   388     -5.28700e+00      1.49667e-01      7.00000e+00     54s
   397     -7.22467e+00      1.49667e-01      7.00000e+00     55s
   404     -3.61867e+00      1.49667e-01      7.00000e+00     56s
   411     -4.33167e+00      1.49667e-01      7.00000e+00     57s
   419     -7.32267e+00      1.49667e-01      7.00000e+00     58s
   428     -2.95767e+00      1.49667e-01      7.00000e+00     59s
   435     -4.28367e+00      1.49667e-01      7.00000e+00     60s
   443     -7.19333e+00      1.49667e-01      7.00000e+00     61s
   452     -4.42500e+00      1.49667e-01      7.00000e+00     62s
   461     -4.59433e+00      1.49667e-01      7.00000e+00     63s
   470     -5.83667e+00      1.49667e-01      7.00000e+00     64s
   479     -3.90333e+00      1.49667e-01      7.00000e+00     66s
   488     -4.74033e+00      1.49667e-01      7.00000e+00     67s
   497     -5.26667e+00      1.49667e-01      7.00000e+00     68s
   506     -4.60800e+00      1.49667e-01      7.00000e+00     69s
   515     -5.10500e+00      1.49667e-01      7.00000e+00     70s
   524     -4.68333e+00      1.49667e-01      7.00000e+00     71s
   533     -4.12800e+00      1.49667e-01      7.00000e+00     72s
   542     -4.91400e+00      1.49667e-01      7.00000e+00     73s
   551     -4.89267e+00      1.49667e-01      7.00000e+00     74s
   560     -4.60933e+00      1.49667e-01      7.00000e+00     75s
   569     -4.58567e+00      1.49667e-01      7.00000e+00     76s
   578     -5.01467e+00      1.49667e-01      7.00000e+00     77s
   587     -4.83533e+00      1.49667e-01      7.00000e+00     78s
   596     -4.51200e+00      1.49667e-01      7.00000e+00     79s
   605     -5.01000e+00      1.49667e-01      7.00000e+00     80s
   613     -4.39567e+00      1.49667e-01      7.00000e+00     81s
   622     -4.69500e+00      1.49667e-01      7.00000e+00     83s
   630     -4.68600e+00      1.49667e-01      7.00000e+00     84s
   638     -4.71233e+00      1.49667e-01      7.00000e+00     85s
   647     -4.25267e+00      1.49667e-01      7.00000e+00     86s
   656     -4.88633e+00      1.49667e-01      7.00000e+00     87s
   664     -4.76200e+00      1.49667e-01      7.00000e+00     88s
   673     -4.99367e+00      1.49667e-01      7.00000e+00     89s
   681     -4.45867e+00      1.49667e-01      7.00000e+00     90s
   689     -4.71267e+00      1.49667e-01      7.00000e+00     91s
   697     -4.91833e+00      1.49667e-01      7.00000e+00     92s
   706     -4.94467e+00      1.49667e-01      7.00000e+00     93s
   714     -4.54200e+00      1.49667e-01      7.00000e+00     94s
   722     -4.62433e+00      1.49667e-01      7.00000e+00     95s
   731     -4.64567e+00      1.49667e-01      7.00000e+00     96s
   740     -4.59233e+00      1.49667e-01      7.00000e+00     97s
   749     -4.79000e+00      1.49667e-01      7.00000e+00     98s
   758     -4.82167e+00      1.49667e-01      7.00000e+00    100s
   766     -4.76567e+00      1.49667e-01      7.00000e+00    101s
   775     -4.78133e+00      1.49667e-01      7.00000e+00    102s
   783     -4.42967e+00      1.49667e-01      7.00000e+00    103s
   791     -4.67767e+00      1.49667e-01      7.00000e+00    104s
   800     -4.74600e+00      1.49667e-01      7.00000e+00    105s
   809     -4.70367e+00      1.49667e-01      7.00000e+00    106s
   818     -4.77533e+00      1.49667e-01      7.00000e+00    107s
   827     -4.65000e+00      1.49667e-01      7.00000e+00    108s
   835     -4.71100e+00      1.49667e-01      7.00000e+00    109s
   844     -5.06567e+00      1.49667e-01      7.00000e+00    110s
   853     -4.75533e+00      1.49667e-01      7.00000e+00    111s
   862     -4.63333e+00      1.49667e-01      7.00000e+00    112s
   871     -4.60800e+00      1.49667e-01      7.00000e+00    113s
   880     -4.68500e+00      1.49667e-01      7.00000e+00    115s
   889     -4.51800e+00      1.49667e-01      7.00000e+00    116s
   897     -4.72067e+00      1.49667e-01      7.00000e+00    117s
   906     -4.66733e+00      1.49667e-01      7.00000e+00    118s
