==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen_4.5_noise0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           4.5
Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.44720e+01     -2.44720e+01      6.00000e+00      3s
     1     -2.48450e+01     -2.44720e+01      6.00000e+00      5s
     2     -2.46600e+01     -2.44720e+01      6.00000e+00      7s
     3     -2.49650e+01     -2.44720e+01      6.00000e+00     10s
     4     -2.45090e+01     -2.44720e+01      6.00000e+00     12s
     5     -2.40830e+01     -2.40830e+01      6.00000e+00     14s
     6     -2.31480e+01     -2.31480e+01      6.00000e+00     17s
     7     -2.52005e+01     -2.31480e+01      6.00000e+00     18s
     8     -2.42645e+01     -2.31480e+01      6.00000e+00     20s
     9     -2.43245e+01     -2.31480e+01      6.00000e+00     23s
    10     -2.46360e+01     -2.31480e+01      7.00000e+00     25s
    11     -2.45890e+01     -2.31480e+01      7.00000e+00     28s
    12     -2.43865e+01     -2.31480e+01      7.00000e+00     30s
    13     -2.41660e+01     -2.31480e+01      7.00000e+00     33s
    14     -2.36355e+01     -2.31480e+01      7.00000e+00     36s
    15     -2.41990e+01     -2.31480e+01      7.00000e+00     37s
    16     -2.37545e+01     -2.31480e+01      7.00000e+00     41s
    17     -2.43410e+01     -2.31480e+01      7.00000e+00     42s
    18     -2.31150e+01     -2.31150e+01      7.00000e+00     44s
    19     -2.45795e+01     -2.31150e+01      7.00000e+00     47s
    20     -2.52495e+01     -2.31150e+01      7.00000e+00     49s
    21     -2.49680e+01     -2.31150e+01      7.00000e+00     52s
    22     -2.52425e+01     -2.31150e+01      7.00000e+00     54s
    23     -2.37285e+01     -2.31150e+01      7.00000e+00     56s
    24     -2.39765e+01     -2.31150e+01      7.00000e+00     59s
    25     -2.54515e+01     -2.31150e+01      7.00000e+00     61s
    26     -2.52035e+01     -2.31150e+01      7.00000e+00     63s
    27     -2.45765e+01     -2.31150e+01      7.00000e+00     66s
    28     -2.41060e+01     -2.31150e+01      7.00000e+00     67s
    29     -2.45260e+01     -2.31150e+01      7.00000e+00     71s
    30     -2.38365e+01     -2.31150e+01      7.00000e+00     72s
    31     -2.41240e+01     -2.31150e+01      7.00000e+00     75s
