==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              22
Number of partitions:         3

Density (%):                  79
Name of instance:             seed1_band_pen4.0_noise0.02
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           4.0
Gates Error Probability:      0.02
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.01480e+01     -4.01480e+01      6.00000e+00      6s
     1     -3.99020e+01     -3.99020e+01      8.00000e+00     11s
     2     -3.80980e+01     -3.80980e+01      8.00000e+00     15s
     3     -3.85890e+01     -3.80980e+01      8.00000e+00     19s
     4     -3.98400e+01     -3.80980e+01      8.00000e+00     24s
     5     -3.86160e+01     -3.80980e+01      8.00000e+00     28s
     6     -3.86440e+01     -3.80980e+01      8.00000e+00     31s
     7     -3.94860e+01     -3.80980e+01      8.00000e+00     36s
     8     -3.96010e+01     -3.80980e+01      8.00000e+00     40s
     9     -3.79810e+01     -3.79810e+01      8.00000e+00     43s
    10     -3.80280e+01     -3.79810e+01      8.00000e+00     48s
    11     -3.70840e+01     -3.70840e+01      8.00000e+00     53s
    12     -3.92250e+01     -3.70840e+01      8.00000e+00     57s
    13     -3.84720e+01     -3.70840e+01      8.00000e+00     62s
    14     -3.78560e+01     -3.70840e+01      8.00000e+00     66s
    15     -3.90980e+01     -3.70840e+01      8.00000e+00     70s
    16     -4.03110e+01     -3.70840e+01      8.00000e+00     75s
    17     -3.97980e+01     -3.70840e+01      8.00000e+00     79s
    18     -3.86300e+01     -3.70840e+01      8.00000e+00     83s
    19     -3.84370e+01     -3.70840e+01      8.00000e+00     87s
    20     -4.09660e+01     -3.70840e+01      8.00000e+00     91s
    21     -3.81530e+01     -3.70840e+01      8.00000e+00     95s
    22     -3.94170e+01     -3.70840e+01      8.00000e+00     99s
    23     -3.92520e+01     -3.70840e+01      8.00000e+00    104s
    24     -3.84230e+01     -3.70840e+01      8.00000e+00    108s
    25     -4.01160e+01     -3.70840e+01      8.00000e+00    111s
    26     -4.05200e+01     -3.70840e+01      8.00000e+00    115s
    27     -3.72930e+01     -3.70840e+01      8.00000e+00    119s
    28     -3.86560e+01     -3.70840e+01      8.00000e+00    123s
    29     -3.78690e+01     -3.70840e+01      8.00000e+00    127s
    30     -3.92430e+01     -3.70840e+01      8.00000e+00    132s
    31     -3.92510e+01     -3.70840e+01      8.00000e+00    136s
    32     -3.93640e+01     -3.70840e+01      8.00000e+00    140s
    33     -3.71910e+01     -3.70840e+01      8.00000e+00    145s
    34     -3.98700e+01     -3.70840e+01      8.00000e+00    149s
    35     -4.01650e+01     -3.70840e+01      8.00000e+00    152s
    36     -3.90350e+01     -3.70840e+01      8.00000e+00    157s
    37     -3.80940e+01     -3.70840e+01      8.00000e+00    160s
    38     -3.91740e+01     -3.70840e+01      8.00000e+00    165s
    39     -3.81840e+01     -3.70840e+01      8.00000e+00    169s
    40     -3.97540e+01     -3.70840e+01      8.00000e+00    173s
    41     -3.87910e+01     -3.70840e+01      8.00000e+00    177s
    42     -4.09760e+01     -3.70840e+01      8.00000e+00    181s
    43     -4.00300e+01     -3.70840e+01      8.00000e+00    186s
    44     -3.79640e+01     -3.70840e+01      8.00000e+00    190s
    45     -3.86340e+01     -3.70840e+01      8.00000e+00    193s
    46     -3.92710e+01     -3.70840e+01      8.00000e+00    198s
    47     -4.09530e+01     -3.70840e+01      8.00000e+00    201s
    48     -3.91640e+01     -3.70840e+01      8.00000e+00    205s
    49     -3.92230e+01     -3.70840e+01      8.00000e+00    210s
    50     -3.88860e+01     -3.70840e+01      8.00000e+00    215s
    51     -3.79090e+01     -3.70840e+01      8.00000e+00    220s
    52     -4.17290e+01     -3.70840e+01      8.00000e+00    225s
    53     -4.52960e+01     -3.70840e+01      8.00000e+00    231s
    54     -5.20670e+01     -3.70840e+01      8.00000e+00    235s
    55     -5.61340e+01     -3.70840e+01      8.00000e+00    239s
    56     -5.92250e+01     -3.70840e+01      8.00000e+00    243s
    57     -5.93730e+01     -3.70840e+01      8.00000e+00    249s
    58     -5.49230e+01     -3.70840e+01      8.00000e+00    254s
    59     -5.22950e+01     -3.70840e+01      8.00000e+00    259s
    60     -4.42150e+01     -3.70840e+01      8.00000e+00    264s
    61     -4.09790e+01     -3.70840e+01      8.00000e+00    269s
    62     -3.87970e+01     -3.70840e+01      8.00000e+00    273s
    63     -4.06600e+01     -3.70840e+01      8.00000e+00    278s
    64     -4.52590e+01     -3.70840e+01      8.00000e+00    283s
    65     -5.04410e+01     -3.70840e+01      8.00000e+00    289s
    66     -6.02560e+01     -3.70840e+01      8.00000e+00    295s
    67     -6.51040e+01     -3.70840e+01      8.00000e+00    300s
    68     -7.11590e+01     -3.70840e+01      8.00000e+00    305s
    69     -6.99690e+01     -3.70840e+01      8.00000e+00    310s
    70     -6.83700e+01     -3.70840e+01      8.00000e+00    315s
    71     -6.02390e+01     -3.70840e+01      8.00000e+00    321s
    72     -5.28490e+01     -3.70840e+01      8.00000e+00    326s
    73     -4.76100e+01     -3.70840e+01      8.00000e+00    331s
    74     -4.13620e+01     -3.70840e+01      8.00000e+00    336s
    75     -3.70610e+01     -3.70610e+01      8.00000e+00    342s
    76     -3.91180e+01     -3.70610e+01      8.00000e+00    348s
    77     -4.26590e+01     -3.70610e+01      8.00000e+00    353s
    78     -4.78560e+01     -3.70610e+01      8.00000e+00    358s
    79     -5.47750e+01     -3.70610e+01      8.00000e+00    363s
    80     -6.00860e+01     -3.70610e+01      8.00000e+00    368s
    81     -5.69720e+01     -3.70610e+01      8.00000e+00    373s
    82     -5.81730e+01     -3.70610e+01      8.00000e+00    378s
    83     -5.46750e+01     -3.70610e+01      8.00000e+00    383s
    84     -4.81260e+01     -3.70610e+01      8.00000e+00    389s
    85     -4.09120e+01     -3.70610e+01      8.00000e+00    394s
    86     -3.83710e+01     -3.70610e+01      8.00000e+00    399s
    87     -3.91430e+01     -3.70610e+01      8.00000e+00    403s
    88     -4.24670e+01     -3.70610e+01      8.00000e+00    408s
    89     -4.73720e+01     -3.70610e+01      8.00000e+00    414s
    90     -5.54000e+01     -3.70610e+01      8.00000e+00    419s
    91     -6.43980e+01     -3.70610e+01      8.00000e+00    424s
    92     -6.71800e+01     -3.70610e+01      8.00000e+00    430s
    93     -7.16200e+01     -3.70610e+01      8.00000e+00    435s
    94     -6.93810e+01     -3.70610e+01      8.00000e+00    440s
    95     -6.50220e+01     -3.70610e+01      8.00000e+00    445s
    96     -5.78500e+01     -3.70610e+01      8.00000e+00    450s
    97     -4.95730e+01     -3.70610e+01      8.00000e+00    454s
    98     -4.31180e+01     -3.70610e+01      8.00000e+00    459s
    99     -3.88590e+01     -3.70610e+01      8.00000e+00    465s
   100     -3.84050e+01     -3.70610e+01      8.00000e+00    470s
   101     -4.11360e+01     -3.70610e+01      8.00000e+00    476s
   102     -4.41270e+01     -3.70610e+01      8.00000e+00    481s
   103     -4.89250e+01     -3.70610e+01      8.00000e+00    486s
   104     -5.20370e+01     -3.70610e+01      8.00000e+00    491s
   105     -5.26320e+01     -3.70610e+01      8.00000e+00    495s
   106     -5.31210e+01     -3.70610e+01      8.00000e+00    500s
   107     -4.90720e+01     -3.70610e+01      8.00000e+00    505s
   108     -4.73820e+01     -3.70610e+01      8.00000e+00    511s
   109     -4.42610e+01     -3.70610e+01      8.00000e+00    516s
   110     -4.13610e+01     -3.70610e+01      8.00000e+00    520s
   111     -3.96150e+01     -3.70610e+01      8.00000e+00    525s
   112     -3.96230e+01     -3.70610e+01      8.00000e+00    530s
