==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           22
Number of edges:              60
Number of partitions:         2

Density (%):                  26
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2      4.27700e+00      4.47800e+00      1.90000e+01      1s
     7      4.64600e+00      4.64600e+00      2.00000e+01      2s
    12      4.32600e+00      4.64600e+00      2.00000e+01      3s
    17      4.43300e+00      4.70800e+00      2.00000e+01      4s
    22      4.51800e+00      4.75800e+00      2.00000e+01      5s
    27      4.53200e+00      4.81600e+00      2.00000e+01      7s
    32      4.40500e+00      4.81600e+00      2.00000e+01      8s
    37      4.61000e+00      4.81600e+00      2.00000e+01      9s
    42      4.57300e+00      4.81600e+00      2.00000e+01     10s
    47      4.39700e+00      4.81600e+00      2.10000e+01     11s
    52      2.99200e+00      4.81600e+00      2.10000e+01     12s
    57      5.09400e+00      5.09400e+00      2.10000e+01     13s
    62      4.62000e+00      6.40200e+00      2.10000e+01     14s
    67      3.19300e+00      6.40200e+00      2.10000e+01     15s
    72      6.33400e+00      6.40200e+00      2.10000e+01     16s
    77      2.75000e+00      6.40200e+00      2.10000e+01     17s
    82      5.71100e+00      6.40200e+00      2.10000e+01     18s
    87      4.14900e+00      6.40200e+00      2.10000e+01     19s
    92      3.81100e+00      6.40200e+00      2.10000e+01     20s
    97      6.33900e+00      6.61900e+00      2.10000e+01     22s
   102      1.87500e+00      6.61900e+00      2.10000e+01     23s
   107      5.70000e+00      6.61900e+00      2.10000e+01     24s
   112      4.57600e+00      7.32500e+00      2.10000e+01     25s
   117      2.23800e+00      7.32500e+00      2.10000e+01     26s
   122      7.15300e+00      7.32500e+00      2.10000e+01     27s
   127      1.69500e+00      7.32500e+00      2.10000e+01     28s
   132      6.10400e+00      7.32500e+00      2.10000e+01     29s
   137      4.31300e+00      7.33200e+00      2.10000e+01     30s
   142      3.14700e+00      7.33200e+00      2.10000e+01     31s
   147      6.83400e+00      7.33200e+00      2.10000e+01     32s
   152      1.93400e+00      7.33200e+00      2.10000e+01     33s
   157      5.38000e+00      7.33200e+00      2.10000e+01     34s
   162      4.78900e+00      7.33200e+00      2.10000e+01     35s
   167      2.40100e+00      7.33200e+00      2.10000e+01     36s
   172      7.16200e+00      7.33200e+00      2.10000e+01     37s
   177      1.51000e+00      7.33200e+00      2.10000e+01     39s
   182      6.01000e+00      7.33200e+00      2.10000e+01     40s
   187      4.05800e+00      7.33200e+00      2.10000e+01     41s
   192      3.08400e+00      7.33200e+00      2.10000e+01     42s
   197      6.89300e+00      7.33200e+00      2.10000e+01     43s
   202      2.73800e+00      7.33200e+00      2.10000e+01     44s
   207      4.64100e+00      7.33200e+00      2.10000e+01     45s
   212      4.57200e+00      7.33200e+00      2.10000e+01     46s
   217      2.85200e+00      7.33200e+00      2.10000e+01     47s
   222      6.22800e+00      7.33200e+00      2.10000e+01     48s
   227      2.39700e+00      7.33200e+00      2.10000e+01     49s
   232      5.16200e+00      7.33200e+00      2.10000e+01     50s
   237      4.60400e+00      7.33200e+00      2.10000e+01     51s
   242      2.88700e+00      7.33200e+00      2.10000e+01     52s
   247      5.73300e+00      7.33200e+00      2.10000e+01     53s
   252      3.49700e+00      7.33200e+00      2.10000e+01     55s
   257      4.12200e+00      7.33200e+00      2.10000e+01     56s
   262      4.64200e+00      7.33200e+00      2.10000e+01     57s
   267      2.73900e+00      7.33200e+00      2.10000e+01     58s
   272      4.80200e+00      7.33200e+00      2.10000e+01     59s
   277      3.03400e+00      7.33200e+00      2.10000e+01     60s
   282      4.58700e+00      7.33200e+00      2.10000e+01     61s
   287      4.21200e+00      7.33200e+00      2.10000e+01     62s
   292      3.09200e+00      7.33200e+00      2.10000e+01     63s
   297      5.21300e+00      7.33200e+00      2.10000e+01     64s
   302      3.91900e+00      7.33200e+00      2.10000e+01     65s
   307      3.91200e+00      7.33200e+00      2.10000e+01     66s
   312      4.46900e+00      7.33200e+00      2.10000e+01     67s
   317      3.69700e+00      7.33200e+00      2.10000e+01     68s
   322      4.59900e+00      7.33200e+00      2.10000e+01     70s
   327      3.98200e+00      7.33200e+00      2.10000e+01     71s
   332      3.76700e+00      7.33200e+00      2.10000e+01     72s
   337      4.44100e+00      7.33200e+00      2.10000e+01     73s
   342      3.56300e+00      7.33200e+00      2.10000e+01     74s
   347      4.65600e+00      7.33200e+00      2.10000e+01     75s
   352      4.71200e+00      7.33200e+00      2.10000e+01     76s
   357      3.83900e+00      7.33200e+00      2.10000e+01     77s
   362      4.26600e+00      7.33200e+00      2.10000e+01     78s
   367      4.33800e+00      7.33200e+00      2.10000e+01     79s
   372      3.84800e+00      7.33200e+00      2.10000e+01     80s
   377      4.49500e+00      7.33200e+00      2.10000e+01     81s
   382      3.94500e+00      7.33200e+00      2.10000e+01     82s
   387      4.51400e+00      7.33200e+00      2.10000e+01     83s
   392      4.17600e+00      7.33200e+00      2.10000e+01     85s
   397      4.33500e+00      7.33200e+00      2.10000e+01     86s
   402      4.68900e+00      7.33200e+00      2.10000e+01     87s
   407      4.12200e+00      7.33200e+00      2.10000e+01     88s
   412      4.32100e+00      7.33200e+00      2.10000e+01     89s
   417      4.88300e+00      7.33200e+00      2.10000e+01     90s
   422      3.99500e+00      7.33200e+00      2.10000e+01     91s
   427      4.86800e+00      7.33200e+00      2.10000e+01     92s
   432      4.43700e+00      7.33200e+00      2.10000e+01     93s
   437      4.41500e+00      7.33200e+00      2.10000e+01     94s
   442      4.89100e+00      7.33200e+00      2.10000e+01     95s
   447      4.23600e+00      7.33200e+00      2.10000e+01     96s
   452      5.11900e+00      7.33200e+00      2.10000e+01     97s
   457      4.47000e+00      7.33200e+00      2.10000e+01     98s
   462      4.30900e+00      7.33200e+00      2.10000e+01    100s
   467      4.86700e+00      7.33200e+00      2.10000e+01    101s
   472      3.93700e+00      7.33200e+00      2.10000e+01    102s
   477      4.80800e+00      7.33200e+00      2.10000e+01    103s
   482      4.20100e+00      7.33200e+00      2.10000e+01    104s
   487      4.77100e+00      7.33200e+00      2.10000e+01    105s
   492      5.02400e+00      7.33200e+00      2.10000e+01    106s
   497      4.15600e+00      7.33200e+00      2.10000e+01    107s
   502      4.45900e+00      7.33200e+00      2.10000e+01    108s
   507      4.91900e+00      7.33200e+00      2.10000e+01    109s
   512      4.43000e+00      7.33200e+00      2.10000e+01    110s
   517      4.77600e+00      7.33200e+00      2.10000e+01    111s
   522      4.59700e+00      7.33200e+00      2.10000e+01    112s
   527      4.57900e+00      7.33200e+00      2.10000e+01    113s
   532      4.78500e+00      7.33200e+00      2.10000e+01    115s
   537      4.71500e+00      7.33200e+00      2.10000e+01    116s
   542      4.75400e+00      7.33200e+00      2.10000e+01    117s
   547      4.33100e+00      7.33200e+00      2.10000e+01    118s
   552      4.45300e+00      7.33200e+00      2.10000e+01    119s
   557      4.73100e+00      7.33200e+00      2.10000e+01    120s
   562      4.56700e+00      7.33200e+00      2.10000e+01    121s
   567      4.62000e+00      7.33200e+00      2.10000e+01    122s
   572      4.84100e+00      7.33200e+00      2.10000e+01    123s
   577      4.65700e+00      7.33200e+00      2.10000e+01    124s
   582      4.73900e+00      7.33200e+00      2.10000e+01    125s
   587      4.60400e+00      7.33200e+00      2.10000e+01    126s
   592      4.68500e+00      7.33200e+00      2.10000e+01    127s
   597      4.61100e+00      7.33200e+00      2.10000e+01    128s
   602      4.53100e+00      7.33200e+00      2.10000e+01    130s
   607      4.50800e+00      7.33200e+00      2.10000e+01    131s
   612      4.46100e+00      7.33200e+00      2.10000e+01    132s
   617      4.67400e+00      7.33200e+00      2.10000e+01    133s
   622      4.52600e+00      7.33200e+00      2.10000e+01    134s
   627      4.56400e+00      7.33200e+00      2.10000e+01    135s
   632      4.47400e+00      7.33200e+00      2.10000e+01    136s
   637      4.40700e+00      7.33200e+00      2.10000e+01    137s
   642      4.53500e+00      7.33200e+00      2.10000e+01    138s
   647      4.21600e+00      7.33200e+00      2.10000e+01    139s
   652      4.39100e+00      7.33200e+00      2.10000e+01    140s
   657      4.35100e+00      7.33200e+00      2.10000e+01    141s
   662      4.54200e+00      7.33200e+00      2.10000e+01    142s
   667      4.76100e+00      7.33200e+00      2.10000e+01    144s
   672      4.38000e+00      7.33200e+00      2.10000e+01    145s
   677      4.50900e+00      7.33200e+00      2.10000e+01    146s
   682      4.15400e+00      7.33200e+00      2.10000e+01    147s
   687      4.45100e+00      7.33200e+00      2.10000e+01    148s
   692      4.26900e+00      7.33200e+00      2.10000e+01    149s
   697      4.42500e+00      7.33200e+00      2.10000e+01    150s
   702      4.42500e+00      7.33200e+00      2.10000e+01    151s
   707      4.08500e+00      7.33200e+00      2.10000e+01    152s
   712      4.24900e+00      7.33200e+00      2.10000e+01    153s
   717      4.57900e+00      7.33200e+00      2.10000e+01    154s
   722      4.10700e+00      7.33200e+00      2.10000e+01    156s
   727      5.05000e+00      7.33200e+00      2.10000e+01    157s
   732      4.14600e+00      7.33200e+00      2.10000e+01    158s
   737      4.38200e+00      7.33200e+00      2.10000e+01    159s
   742      4.44100e+00      7.33200e+00      2.10000e+01    160s
   747      4.18600e+00      7.33200e+00      2.10000e+01    161s
   752      5.01600e+00      7.33200e+00      2.10000e+01    162s
   757      4.16200e+00      7.33200e+00      2.10000e+01    163s
   762      4.34400e+00      7.33200e+00      2.10000e+01    164s
   767      4.72600e+00      7.33200e+00      2.10000e+01    165s
   772      4.07800e+00      7.33200e+00      2.10000e+01    166s
   777      4.99800e+00      7.33200e+00      2.10000e+01    167s
   782      4.01100e+00      7.33200e+00      2.10000e+01    168s
   787      4.37900e+00      7.33200e+00      2.10000e+01    170s
   792      4.49000e+00      7.33200e+00      2.10000e+01    171s
   797      4.09500e+00      7.33200e+00      2.10000e+01    172s
   802      4.96500e+00      7.33200e+00      2.10000e+01    173s
   807      4.34100e+00      7.33200e+00      2.10000e+01    174s
   812      4.57400e+00      7.33200e+00      2.10000e+01    175s
   817      4.90000e+00      7.33200e+00      2.10000e+01    176s
   822      4.36000e+00      7.33200e+00      2.10000e+01    177s
   827      4.66100e+00      7.33200e+00      2.10000e+01    178s
   832      4.51300e+00      7.33200e+00      2.10000e+01    179s
   837      4.62100e+00      7.33200e+00      2.10000e+01    180s
   842      4.67600e+00      7.33200e+00      2.10000e+01    181s
   847      4.07400e+00      7.33200e+00      2.10000e+01    183s
   852      5.13800e+00      7.33200e+00      2.10000e+01    184s
   857      4.32000e+00      7.33200e+00      2.10000e+01    185s
   862      4.49300e+00      7.33200e+00      2.10000e+01    186s
   867      4.76200e+00      7.33200e+00      2.10000e+01    187s
   872      3.84200e+00      7.33200e+00      2.10000e+01    188s
   877      5.09400e+00      7.33200e+00      2.10000e+01    189s
   882      4.19900e+00      7.33200e+00      2.10000e+01    190s
   887      4.39400e+00      7.33200e+00      2.10000e+01    191s
   892      4.78300e+00      7.33200e+00      2.10000e+01    192s
   897      4.30600e+00      7.33200e+00      2.10000e+01    194s
   902      4.90900e+00      7.33200e+00      2.10000e+01    195s
   907      4.23500e+00      7.33200e+00      2.10000e+01    196s
   912      4.64900e+00      7.33200e+00      2.10000e+01    197s
   917      4.36300e+00      7.33200e+00      2.10000e+01    198s
   922      3.96500e+00      7.33200e+00      2.10000e+01    199s
   927      4.66200e+00      7.33200e+00      2.10000e+01    200s
   932      4.09000e+00      7.33200e+00      2.10000e+01    201s
   937      4.50900e+00      7.33200e+00      2.10000e+01    202s
   942      4.56900e+00      7.33200e+00      2.10000e+01    203s
   947      4.06600e+00      7.33200e+00      2.10000e+01    204s
   952      5.22000e+00      7.33200e+00      2.10000e+01    205s
