==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           32
Number of edges:              90
Number of partitions:         2

Density (%):                  18
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      3.83900e+00      3.83900e+00      1.80000e+01     62s
     1      4.11500e+00      4.11500e+00      1.80000e+01    122s
     2      4.14500e+00      4.14500e+00      2.00000e+01    180s
     3      3.82600e+00      4.14500e+00      2.10000e+01    238s
     4      3.74900e+00      4.14500e+00      2.10000e+01    295s
     5      4.00200e+00      4.14500e+00      2.20000e+01    354s
     6      3.85200e+00      4.14500e+00      2.20000e+01    413s
     7      4.09500e+00      4.14500e+00      2.20000e+01    474s
     8      3.97100e+00      4.14500e+00      2.20000e+01    533s
     9      3.93000e+00      4.14500e+00      2.20000e+01    591s
    10      3.94800e+00      4.14500e+00      2.40000e+01    654s
    11      3.96900e+00      4.14500e+00      2.40000e+01    714s
    12      4.06300e+00      4.14500e+00      2.40000e+01    772s
    13      3.99600e+00      4.14500e+00      2.40000e+01    833s
    14      3.94800e+00      4.14500e+00      2.40000e+01    891s
    15      4.11600e+00      4.14500e+00      2.40000e+01    948s
    16      4.05900e+00      4.14500e+00      2.40000e+01   1012s
    17      4.39800e+00      4.39800e+00      2.40000e+01   1072s
    18      3.71900e+00      4.39800e+00      2.40000e+01   1133s
    19      4.03400e+00      4.39800e+00      2.40000e+01   1193s
    20      4.10600e+00      4.39800e+00      2.40000e+01   1251s
    21      4.30900e+00      4.39800e+00      2.40000e+01   1310s
    22      3.79000e+00      4.39800e+00      2.40000e+01   1373s
    23      3.91400e+00      4.39800e+00      2.40000e+01   1429s
    24      3.87100e+00      4.39800e+00      2.50000e+01   1490s
    25      3.96600e+00      4.39800e+00      2.50000e+01   1547s
    26      3.86400e+00      4.39800e+00      2.50000e+01   1609s
    27      4.32400e+00      4.39800e+00      2.50000e+01   1667s
    28      3.77900e+00      4.39800e+00      2.50000e+01   1727s
    29      4.15200e+00      4.39800e+00      2.50000e+01   1785s
    30      3.96500e+00      4.39800e+00      2.50000e+01   1845s
    31      3.97600e+00      4.39800e+00      2.50000e+01   1905s
    32      4.15100e+00      4.39800e+00      2.50000e+01   1963s
    33      4.09700e+00      4.39800e+00      2.50000e+01   2024s
    34      3.98500e+00      4.39800e+00      2.50000e+01   2088s
    35      3.84100e+00      4.39800e+00      2.50000e+01   2144s
    36      3.88900e+00      4.39800e+00      2.50000e+01   2206s
    37      4.17000e+00      4.39800e+00      2.50000e+01   2267s
    38      4.22100e+00      4.39800e+00      2.50000e+01   2325s
    39      3.98800e+00      4.39800e+00      2.50000e+01   2384s
    40      4.08600e+00      4.39800e+00      2.50000e+01   2440s
    41      4.08200e+00      4.39800e+00      2.50000e+01   2498s
    42      3.94800e+00      4.39800e+00      2.50000e+01   2556s
    43      4.27700e+00      4.39800e+00      2.50000e+01   2617s
    44      3.90100e+00      4.39800e+00      2.50000e+01   2680s
    45      4.16400e+00      4.39800e+00      2.50000e+01   2737s
    46      4.14000e+00      4.39800e+00      2.50000e+01   2797s
    47      4.07800e+00      4.39800e+00      2.50000e+01   2855s
    48      4.12600e+00      4.39800e+00      2.50000e+01   2913s
    49      3.86800e+00      4.39800e+00      2.50000e+01   2970s
    50      4.14600e+00      4.39800e+00      2.50000e+01   3029s
    51      3.79500e+00      4.39800e+00      2.50000e+01   3090s
    52      3.28600e+00      4.39800e+00      2.50000e+01   3150s
    53      2.82300e+00      4.39800e+00      2.50000e+01   3207s
    54      3.29800e+00      4.39800e+00      2.50000e+01   3269s
    55      3.52300e+00      4.39800e+00      2.50000e+01   3329s
    56      3.79500e+00      4.39800e+00      2.50000e+01   3390s
    57      4.26300e+00      4.39800e+00      2.50000e+01   3447s
    58      4.35500e+00      4.39800e+00      2.50000e+01   3506s
    59      4.73300e+00      4.73300e+00      2.50000e+01   3564s
    60      4.83800e+00      4.83800e+00      2.50000e+01   3623s
    61      4.41700e+00      4.83800e+00      2.50000e+01   3682s
    62      4.15400e+00      4.83800e+00      2.50000e+01   3744s
    63      3.67200e+00      4.83800e+00      2.50000e+01   3804s
    64      3.54100e+00      4.83800e+00      2.50000e+01   3864s
    65      3.12300e+00      4.83800e+00      2.50000e+01   3924s
    66      3.48900e+00      4.83800e+00      2.50000e+01   3984s
    67      3.59600e+00      4.83800e+00      2.50000e+01   4043s
    68      3.61400e+00      4.83800e+00      2.50000e+01   4106s
    69      4.25700e+00      4.83800e+00      2.50000e+01   4169s
    70      4.89500e+00      4.89500e+00      2.50000e+01   4229s
    71      4.68800e+00      4.89500e+00      2.50000e+01   4285s
    72      4.93700e+00      4.93700e+00      2.50000e+01   4344s
    73      4.81000e+00      4.93700e+00      2.50000e+01   4404s
    74      3.98100e+00      4.93700e+00      2.50000e+01   4460s
    75      3.45000e+00      4.93700e+00      2.50000e+01   4517s
    76      3.50000e+00      4.93700e+00      2.50000e+01   4574s
    77      3.08600e+00      4.93700e+00      2.50000e+01   4632s
    78      3.31600e+00      4.93700e+00      2.50000e+01   4692s
    79      3.37100e+00      4.93700e+00      2.50000e+01   4757s
    80      3.89600e+00      4.93700e+00      2.50000e+01   4815s
    81      4.07600e+00      4.93700e+00      2.50000e+01   4871s
    82      4.48600e+00      4.93700e+00      2.50000e+01   4929s
    83      4.75700e+00      4.93700e+00      2.50000e+01   4986s
    84      4.79300e+00      4.93700e+00      2.50000e+01   5045s
    85      4.77800e+00      4.93700e+00      2.50000e+01   5103s
    86      4.50200e+00      4.93700e+00      2.50000e+01   5160s
    87      3.71900e+00      4.93700e+00      2.50000e+01   5217s
    88      3.60000e+00      4.93700e+00      2.50000e+01   5277s
    89      3.29100e+00      4.93700e+00      2.50000e+01   5337s
    90      2.89100e+00      4.93700e+00      2.50000e+01   5395s
    91      3.51800e+00      4.93700e+00      2.50000e+01   5455s
    92      3.61600e+00      4.93700e+00      2.50000e+01   5513s
    93      4.08600e+00      4.93700e+00      2.50000e+01   5573s
    94      4.36200e+00      4.93700e+00      2.50000e+01   5632s
    95      4.43800e+00      4.93700e+00      2.50000e+01   5692s
    96      4.70000e+00      4.93700e+00      2.50000e+01   5751s
    97      4.73400e+00      4.93700e+00      2.50000e+01   5813s
    98      4.31300e+00      4.93700e+00      2.50000e+01   5873s
    99      3.96000e+00      4.93700e+00      2.50000e+01   5931s
   100      4.04000e+00      4.93700e+00      2.50000e+01   5990s
   101      3.40800e+00      4.93700e+00      2.50000e+01   6046s
   102      2.71800e+00      4.93700e+00      2.50000e+01   6104s
   103      2.39900e+00      4.93700e+00      2.50000e+01   6166s
   104      2.78500e+00      4.93700e+00      2.50000e+01   6228s
   105      3.29500e+00      4.93700e+00      2.50000e+01   6285s
   106      3.77400e+00      4.93700e+00      2.50000e+01   6347s
   107      4.62300e+00      4.93700e+00      2.60000e+01   6404s
   108      4.96600e+00      4.96600e+00      2.60000e+01   6466s
   109      5.46800e+00      5.46800e+00      2.60000e+01   6524s
   110      5.40300e+00      5.46800e+00      2.60000e+01   6583s
   111      4.87200e+00      5.46800e+00      2.60000e+01   6646s
   112      3.98700e+00      5.46800e+00      2.60000e+01   6707s
   113      3.33500e+00      5.46800e+00      2.60000e+01   6764s
   114      3.24900e+00      5.46800e+00      2.60000e+01   6821s
   115      2.55700e+00      5.46800e+00      2.60000e+01   6879s
   116      2.49900e+00      5.46800e+00      2.60000e+01   6938s
   117      3.29000e+00      5.46800e+00      2.60000e+01   6997s
   118      3.74000e+00      5.46800e+00      2.60000e+01   7055s
   119      4.49700e+00      5.46800e+00      2.60000e+01   7110s
   120      5.07700e+00      5.46800e+00      2.60000e+01   7168s
   121      5.22200e+00      5.46800e+00      2.60000e+01   7228s
