==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              12
Number of partitions:         2

Density (%):                  80
Name of instance:             seed1_band_pen1.8
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.72940e+00     -4.72940e+00      7.00000e+00      1s
     7     -4.83230e+00     -4.49360e+00      7.00000e+00      2s
    13     -4.77340e+00     -4.49360e+00      7.00000e+00      3s
    20     -4.67450e+00     -4.49360e+00      7.00000e+00      4s
    29     -4.69100e+00     -4.49360e+00      7.00000e+00      5s
    36     -4.54180e+00     -4.49360e+00      7.00000e+00      6s
    43     -4.62160e+00     -4.49360e+00      7.00000e+00      8s
    52     -2.69180e+00     -2.69180e+00      7.00000e+00      9s
    60     -6.43350e+00     -2.17800e+00      7.00000e+00     10s
    66     -3.41100e+00     -2.17800e+00      7.00000e+00     11s
    74     -5.51610e+00     -2.17800e+00      7.00000e+00     12s
    82     -5.83300e+00     -2.17800e+00      7.00000e+00     13s
    89     -3.05040e+00     -2.17800e+00      7.00000e+00     14s
    98     -6.12430e+00     -2.17800e+00      7.00000e+00     15s
   106     -4.36680e+00     -6.61000e-01      7.00000e+00     16s
   113     -3.65000e+00     -6.61000e-01      7.00000e+00     17s
   124     -5.90290e+00     -6.61000e-01      7.00000e+00     18s
   131     -5.12860e+00     -6.61000e-01      7.00000e+00     19s
   138     -2.84110e+00     -6.61000e-01      7.00000e+00     21s
   148     -6.79190e+00     -6.61000e-01      7.00000e+00     22s
   156     -4.41890e+00      1.68800e-01      7.00000e+00     23s
   164     -1.42960e+00      1.68800e-01      7.00000e+00     24s
   175     -3.66200e+00      1.68800e-01      7.00000e+00     25s
   183     -9.17080e+00      1.68800e-01      7.00000e+00     26s
   191     -1.98910e+00      1.68800e-01      7.00000e+00     27s
   201     -2.57490e+00      1.68800e-01      7.00000e+00     28s
   209     -1.00743e+01      1.68800e-01      7.00000e+00     29s
   216     -8.98200e-01      1.68800e-01      7.00000e+00     30s
   227     -4.85200e-01      1.68800e-01      7.00000e+00     31s
   236     -6.38410e+00      1.68800e-01      7.00000e+00     32s
   243     -6.19830e+00      1.68800e-01      7.00000e+00     33s
   253     -1.67230e+00      1.68800e-01      7.00000e+00     35s
   262     -5.33720e+00      1.68800e-01      7.00000e+00     36s
   270     -8.41790e+00      1.68800e-01      7.00000e+00     37s
   279     -2.96500e+00      1.68800e-01      7.00000e+00     38s
   287     -4.14910e+00      1.68800e-01      7.00000e+00     39s
   294     -7.57250e+00      1.68800e-01      7.00000e+00     40s
   304     -3.97950e+00      1.68800e-01      7.00000e+00     41s
   311     -7.26920e+00      1.68800e-01      7.00000e+00     42s
   318     -4.95190e+00      1.68800e-01      7.00000e+00     43s
   328     -3.01200e+00      1.68800e-01      7.00000e+00     44s
   336     -6.21320e+00      1.68800e-01      7.00000e+00     45s
   343     -5.46870e+00      1.68800e-01      7.00000e+00     46s
   353     -4.04340e+00      1.68800e-01      7.00000e+00     47s
   361     -7.02170e+00      1.68800e-01      7.00000e+00     48s
   369     -6.05830e+00      1.68800e-01      7.00000e+00     50s
   379     -5.67890e+00      1.68800e-01      7.00000e+00     51s
   387     -4.34120e+00      1.68800e-01      7.00000e+00     52s
   394     -6.43860e+00      1.68800e-01      7.00000e+00     53s
   403     -5.21180e+00      1.68800e-01      7.00000e+00     54s
   412     -5.15220e+00      1.68800e-01      7.00000e+00     55s
   421     -6.12380e+00      1.68800e-01      7.00000e+00     56s
   431     -8.19040e+00      1.68800e-01      7.00000e+00     57s
   439     -3.18960e+00      1.68800e-01      7.00000e+00     58s
   447     -5.82110e+00      1.68800e-01      7.00000e+00     59s
   457     -7.54540e+00      1.68800e-01      7.00000e+00     60s
   465     -3.53300e+00      1.68800e-01      7.00000e+00     61s
   473     -4.99920e+00      1.68800e-01      7.00000e+00     62s
   483     -7.48270e+00      1.68800e-01      7.00000e+00     63s
   491     -3.85180e+00      1.68800e-01      7.00000e+00     64s
   498     -5.12280e+00      1.68800e-01      7.00000e+00     65s
   507     -6.79320e+00      1.68800e-01      7.00000e+00     66s
   514     -4.12650e+00      1.68800e-01      7.00000e+00     68s
   522     -5.09330e+00      1.68800e-01      7.00000e+00     69s
   531     -6.75320e+00      1.68800e-01      7.00000e+00     70s
   538     -4.00240e+00      1.68800e-01      7.00000e+00     71s
   544     -4.74610e+00      1.68800e-01      7.00000e+00     72s
   552     -4.75720e+00      1.68800e-01      7.00000e+00     73s
   560     -5.48150e+00      1.68800e-01      7.00000e+00     74s
   566     -4.17420e+00      1.68800e-01      7.00000e+00     75s
   575     -4.65660e+00      1.68800e-01      7.00000e+00     76s
   584     -5.74050e+00      1.68800e-01      7.00000e+00     77s
   592     -4.49100e+00      1.68800e-01      7.00000e+00     78s
   601     -5.02170e+00      1.68800e-01      7.00000e+00     79s
   610     -5.35470e+00      1.68800e-01      7.00000e+00     80s
   617     -4.41360e+00      1.68800e-01      7.00000e+00     81s
   626     -4.83510e+00      1.68800e-01      7.00000e+00     82s
   633     -5.44350e+00      1.68800e-01      7.00000e+00     84s
   640     -4.43770e+00      1.68800e-01      7.00000e+00     85s
   649     -4.71700e+00      1.68800e-01      7.00000e+00     86s
   657     -5.24330e+00      1.68800e-01      7.00000e+00     87s
   664     -4.55230e+00      1.68800e-01      7.00000e+00     88s
   671     -4.79500e+00      1.68800e-01      7.00000e+00     89s
   679     -5.16050e+00      1.68800e-01      7.00000e+00     90s
   686     -4.89020e+00      1.68800e-01      7.00000e+00     91s
   693     -4.67650e+00      1.68800e-01      7.00000e+00     92s
   702     -4.65130e+00      1.68800e-01      7.00000e+00     93s
   710     -4.58910e+00      1.68800e-01      7.00000e+00     94s
   716     -4.66760e+00      1.68800e-01      7.00000e+00     95s
   725     -4.88290e+00      1.68800e-01      7.00000e+00     96s
   732     -5.11570e+00      1.68800e-01      7.00000e+00     97s
   739     -4.64370e+00      1.68800e-01      7.00000e+00     98s
   748     -4.67320e+00      1.68800e-01      7.00000e+00     99s
   755     -4.96630e+00      1.68800e-01      7.00000e+00    100s
   762     -4.83540e+00      1.68800e-01      7.00000e+00    102s
   771     -4.73880e+00      1.68800e-01      7.00000e+00    103s
   778     -4.83590e+00      1.68800e-01      7.00000e+00    104s
   784     -4.85840e+00      1.68800e-01      7.00000e+00    105s
   791     -4.95870e+00      1.68800e-01      7.00000e+00    106s
   799     -4.86390e+00      1.68800e-01      7.00000e+00    107s
   805     -4.77380e+00      1.68800e-01      7.00000e+00    108s
   814     -4.70900e+00      1.68800e-01      7.00000e+00    109s
   822     -4.63240e+00      1.68800e-01      7.00000e+00    110s
   828     -4.85180e+00      1.68800e-01      7.00000e+00    111s
   837     -4.81700e+00      1.68800e-01      7.00000e+00    112s
   846     -4.71130e+00      1.68800e-01      7.00000e+00    113s
   853     -4.67990e+00      1.68800e-01      7.00000e+00    114s
   862     -4.79080e+00      1.68800e-01      7.00000e+00    115s
   868     -4.84280e+00      1.68800e-01      7.00000e+00    117s
   875     -4.77680e+00      1.68800e-01      7.00000e+00    118s
   883     -4.79080e+00      1.68800e-01      7.00000e+00    119s
   890     -5.17840e+00      1.68800e-01      7.00000e+00    120s
   898     -4.87040e+00      1.68800e-01      7.00000e+00    121s
   908     -4.87830e+00      1.68800e-01      7.00000e+00    122s
   915     -4.93650e+00      1.68800e-01      7.00000e+00    123s
