==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen1.0
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.26200e+00     -4.26200e+00      6.00000e+00      1s
     5     -4.04300e+00     -3.75100e+00      7.00000e+00      2s
     9     -3.90500e+00     -3.75100e+00      7.00000e+00      3s
    14     -3.72000e+00     -3.61400e+00      7.00000e+00      5s
    17     -4.10800e+00     -3.61400e+00      7.00000e+00      6s
    21     -3.83100e+00     -3.61400e+00      7.00000e+00      7s
    25     -3.97700e+00     -3.61400e+00      7.00000e+00      8s
    29     -4.03900e+00     -3.61400e+00      7.00000e+00      9s
    34     -3.89800e+00     -3.61400e+00      7.00000e+00     10s
    40     -3.66600e+00     -3.61400e+00      7.00000e+00     12s
    46     -3.86800e+00     -3.61400e+00      7.00000e+00     13s
    51     -1.87500e+00     -1.87500e+00      7.00000e+00     14s
    55      4.41000e-01      1.14400e+00      7.00000e+00     15s
    60     -2.75200e+00      1.14400e+00      7.00000e+00     17s
    65     -6.34000e+00      1.14400e+00      7.00000e+00     18s
    70     -1.14030e+01      1.14400e+00      7.00000e+00     19s
    75     -2.63100e+00      1.14400e+00      7.00000e+00     20s
    79      7.90000e-01      1.14400e+00      7.00000e+00     21s
    84     -2.91400e+00      1.14400e+00      7.00000e+00     22s
    90     -7.06700e+00      1.14400e+00      7.00000e+00     23s
    96     -1.02520e+01      1.14400e+00      7.00000e+00     24s
   101     -1.25600e+00      1.14400e+00      7.00000e+00     26s
   106     -2.30000e-01      1.54400e+00      7.00000e+00     27s
   112     -3.65300e+00      1.54400e+00      7.00000e+00     28s
   117     -1.30870e+01      1.54400e+00      7.00000e+00     29s
   122     -1.17660e+01      1.54400e+00      7.00000e+00     30s
   127      1.02600e+00      1.54400e+00      7.00000e+00     31s
   134     -2.74000e+00      1.64000e+00      7.00000e+00     32s
   137     -4.74700e+00      1.64000e+00      7.00000e+00     33s
   142     -1.42110e+01      1.64000e+00      7.00000e+00     34s
   150     -4.17300e+00      1.64000e+00      7.00000e+00     35s
   155     -1.41000e+00      1.64000e+00      7.00000e+00     36s
   162     -3.56500e+00      1.64000e+00      7.00000e+00     38s
   168     -1.26610e+01      1.64000e+00      7.00000e+00     39s
   174     -5.18900e+00      1.64000e+00      7.00000e+00     40s
   177     -5.97000e-01      1.64000e+00      7.00000e+00     41s
   182     -2.52100e+00      1.64000e+00      7.00000e+00     42s
   188     -5.32300e+00      1.64000e+00      7.00000e+00     43s
   194     -1.31180e+01      1.64000e+00      7.00000e+00     44s
   199     -4.06400e+00      1.64000e+00      7.00000e+00     45s
   203     -3.16600e+00      1.64000e+00      7.00000e+00     47s
   211     -3.26500e+00      1.64000e+00      7.00000e+00     48s
   216     -7.90600e+00      1.64000e+00      7.00000e+00     49s
   221     -6.93800e+00      1.64000e+00      7.00000e+00     50s
   226     -3.40600e+00      1.64000e+00      7.00000e+00     51s
   231     -3.90100e+00      1.64000e+00      7.00000e+00     52s
   237     -4.47100e+00      1.64000e+00      7.00000e+00     54s
   241     -8.26300e+00      1.64000e+00      7.00000e+00     55s
   246     -6.79900e+00      1.64000e+00      7.00000e+00     56s
   250     -3.95800e+00      1.64000e+00      7.00000e+00     57s
   256     -5.27100e+00      1.64000e+00      7.00000e+00     58s
   260     -4.16400e+00      1.64000e+00      7.00000e+00     59s
   266     -5.98100e+00      1.64000e+00      7.00000e+00     60s
   273     -4.01900e+00      1.64000e+00      7.00000e+00     61s
   278     -5.37900e+00      1.64000e+00      7.00000e+00     63s
   283     -4.18000e+00      1.64000e+00      7.00000e+00     64s
   287     -3.69600e+00      1.64000e+00      7.00000e+00     65s
   292     -6.18400e+00      1.64000e+00      7.00000e+00     66s
   297     -4.01700e+00      1.64000e+00      7.00000e+00     67s
   301     -4.47900e+00      1.64000e+00      7.00000e+00     68s
   306     -5.16600e+00      1.64000e+00      7.00000e+00     69s
   310     -3.93200e+00      1.64000e+00      7.00000e+00     70s
   316     -4.85000e+00      1.64000e+00      7.00000e+00     72s
   321     -4.03800e+00      1.64000e+00      7.00000e+00     73s
   326     -4.69300e+00      1.64000e+00      7.00000e+00     74s
   331     -5.10600e+00      1.64000e+00      7.00000e+00     75s
   336     -3.80300e+00      1.64000e+00      7.00000e+00     76s
   342     -5.31100e+00      1.64000e+00      7.00000e+00     77s
   347     -3.56600e+00      1.64000e+00      7.00000e+00     79s
   352     -4.26500e+00      1.64000e+00      7.00000e+00     80s
   357     -4.80100e+00      1.64000e+00      7.00000e+00     81s
   361     -3.84800e+00      1.64000e+00      7.00000e+00     82s
   367     -4.87400e+00      1.64000e+00      7.00000e+00     83s
   372     -4.17600e+00      1.64000e+00      7.00000e+00     84s
   376     -4.41700e+00      1.64000e+00      7.00000e+00     85s
   381     -4.79800e+00      1.64000e+00      7.00000e+00     87s
   387     -3.93600e+00      1.64000e+00      7.00000e+00     88s
   391     -4.95000e+00      1.64000e+00      7.00000e+00     89s
   396     -4.50000e+00      1.64000e+00      7.00000e+00     90s
   401     -4.37300e+00      1.64000e+00      7.00000e+00     91s
   406     -5.02800e+00      1.64000e+00      7.00000e+00     93s
   411     -4.11600e+00      1.64000e+00      7.00000e+00     94s
   417     -5.31000e+00      1.64000e+00      7.00000e+00     95s
   423     -4.06600e+00      1.64000e+00      7.00000e+00     96s
   428     -4.26700e+00      1.64000e+00      7.00000e+00     97s
   433     -4.58600e+00      1.64000e+00      7.00000e+00     98s
   438     -3.84500e+00      1.64000e+00      7.00000e+00     99s
   444     -4.56400e+00      1.64000e+00      7.00000e+00    100s
   448     -4.07700e+00      1.64000e+00      7.00000e+00    102s
   453     -4.24600e+00      1.64000e+00      7.00000e+00    103s
   458     -4.37900e+00      1.64000e+00      7.00000e+00    104s
   462     -4.17100e+00      1.64000e+00      7.00000e+00    105s
   466     -4.83900e+00      1.64000e+00      7.00000e+00    106s
   473     -4.15300e+00      1.64000e+00      7.00000e+00    107s
   477     -4.07300e+00      1.64000e+00      7.00000e+00    108s
   484     -4.11200e+00      1.64000e+00      7.00000e+00    109s
   489     -4.09700e+00      1.64000e+00      7.00000e+00    110s
   494     -4.84100e+00      1.64000e+00      7.00000e+00    112s
   499     -4.09000e+00      1.64000e+00      7.00000e+00    113s
   504     -4.25700e+00      1.64000e+00      7.00000e+00    114s
   510     -4.11100e+00      1.64000e+00      7.00000e+00    115s
   515     -3.96700e+00      1.64000e+00      7.00000e+00    116s
   521     -4.26800e+00      1.64000e+00      7.00000e+00    117s
   526     -4.25600e+00      1.64000e+00      7.00000e+00    118s
   534     -4.07400e+00      1.64000e+00      7.00000e+00    119s
   538     -4.28600e+00      1.64000e+00      7.00000e+00    120s
   542     -4.57200e+00      1.64000e+00      7.00000e+00    122s
   547     -3.98200e+00      1.64000e+00      7.00000e+00    123s
   552     -4.40200e+00      1.64000e+00      7.00000e+00    124s
   557     -3.82800e+00      1.64000e+00      7.00000e+00    125s
   562     -4.10800e+00      1.64000e+00      7.00000e+00    126s
   567     -4.16700e+00      1.64000e+00      7.00000e+00    127s
   571     -4.35500e+00      1.64000e+00      7.00000e+00    128s
   575     -4.36600e+00      1.64000e+00      7.00000e+00    129s
   580     -4.31600e+00      1.64000e+00      7.00000e+00    131s
   587     -3.54000e+00      1.64000e+00      7.00000e+00    132s
   592     -4.27200e+00      1.64000e+00      7.00000e+00    133s
   598     -4.07000e+00      1.64000e+00      7.00000e+00    134s
   603     -3.85200e+00      1.64000e+00      7.00000e+00    135s
   608     -3.85700e+00      1.64000e+00      7.00000e+00    136s
   613     -4.11800e+00      1.64000e+00      7.00000e+00    137s
   618     -3.61300e+00      1.64000e+00      7.00000e+00    138s
   621     -3.91200e+00      1.64000e+00      7.00000e+00    139s
   625     -4.03400e+00      1.64000e+00      7.00000e+00    141s
   629     -3.96700e+00      1.64000e+00      7.00000e+00    142s
   634     -4.03300e+00      1.64000e+00      7.00000e+00    143s
   640     -3.97100e+00      1.64000e+00      7.00000e+00    144s
   645     -4.14900e+00      1.64000e+00      7.00000e+00    145s
   650     -3.98700e+00      1.64000e+00      7.00000e+00    146s
   656     -3.97200e+00      1.64000e+00      7.00000e+00    147s
   661     -3.89700e+00      1.64000e+00      7.00000e+00    149s
   665     -4.06800e+00      1.64000e+00      7.00000e+00    150s
   669     -3.18400e+00      1.64000e+00      7.00000e+00    151s
   674     -3.88800e+00      1.64000e+00      7.00000e+00    152s
