==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           5
Number of edges:              10
Number of partitions:         4

Density (%):                  100
Name of instance:             seed1_band_pen1.6
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1     -1.26668e+01     -1.26668e+01      5.00000e+00      1s
     8     -1.29660e+01     -1.26210e+01      5.00000e+00      2s
    14     -1.27672e+01     -1.26210e+01      5.40000e+00      3s
    21     -1.24112e+01     -1.24112e+01      7.00000e+00      4s
    28     -1.26126e+01     -1.24112e+01      7.00000e+00      6s
    35     -1.28446e+01     -1.24112e+01      7.00000e+00      7s
    42     -1.25742e+01     -1.24086e+01      7.00000e+00      8s
    49     -1.25486e+01     -1.24086e+01      7.00000e+00      9s
    56     -3.34100e+00     -1.25400e+00      7.00000e+00     10s
    63     -1.46584e+01     -1.25400e+00      7.00000e+00     11s
    69     -3.56342e+01     -1.25400e+00      7.00000e+00     12s
    75     -1.01568e+01     -1.25400e+00      7.00000e+00     13s
    80     -2.54960e+00     -1.25400e+00      7.00000e+00     14s
    87     -1.32958e+01     -1.25400e+00      7.00000e+00     15s
    93     -3.46566e+01     -1.25400e+00      7.00000e+00     17s
   100     -1.29340e+01     -1.25400e+00      7.00000e+00     18s
   106     -3.96500e+00     -8.51400e-01      7.00000e+00     19s
   113     -1.57758e+01     -8.51400e-01      7.00000e+00     20s
   120     -4.48776e+01     -8.51400e-01      7.00000e+00     21s
   127     -1.88840e+00     -8.51400e-01      7.00000e+00     22s
   134     -7.31980e+00     -8.51400e-01      7.00000e+00     23s
   140     -3.23552e+01     -8.51400e-01      7.00000e+00     24s
   147     -2.91330e+01     -8.51400e-01      7.00000e+00     25s
   153     -6.49920e+00     -8.51400e-01      7.00000e+00     26s
   160     -6.77000e+00     -8.51400e-01      7.00000e+00     27s
   166     -3.28158e+01     -8.51400e-01      7.00000e+00     29s
   172     -2.61766e+01     -8.51400e-01      7.00000e+00     30s
   178     -6.53400e+00     -8.51400e-01      7.00000e+00     31s
   185     -7.16600e+00     -8.51400e-01      7.00000e+00     32s
   191     -3.49068e+01     -8.51400e-01      7.00000e+00     33s
   198     -1.74142e+01     -8.51400e-01      7.00000e+00     34s
   204     -1.43712e+01     -8.51400e-01      7.00000e+00     35s
   211     -8.73180e+00     -8.51400e-01      7.00000e+00     36s
   218     -2.93424e+01     -8.51400e-01      7.00000e+00     37s
   224     -1.33844e+01     -8.51400e-01      7.00000e+00     38s
   231     -1.20756e+01     -8.51400e-01      7.00000e+00     40s
   237     -1.38474e+01     -8.51400e-01      7.00000e+00     41s
   244     -2.52212e+01     -8.51400e-01      7.00000e+00     42s
   250     -1.19376e+01     -8.51400e-01      7.00000e+00     43s
   256     -1.67078e+01     -8.51400e-01      7.00000e+00     44s
   262     -1.23978e+01     -8.51400e-01      7.00000e+00     45s
   268     -2.08800e+01     -8.51400e-01      7.00000e+00     46s
   274     -1.21120e+01     -8.51400e-01      7.00000e+00     47s
   281     -1.69406e+01     -8.51400e-01      7.00000e+00     48s
   287     -1.29790e+01     -8.51400e-01      7.00000e+00     49s
   293     -2.09700e+01     -8.51400e-01      7.00000e+00     51s
   299     -1.24682e+01     -8.51400e-01      7.00000e+00     52s
   305     -1.71722e+01     -8.51400e-01      7.00000e+00     53s
   311     -1.24706e+01     -8.51400e-01      7.00000e+00     54s
   317     -1.68844e+01     -8.51400e-01      7.00000e+00     55s
   323     -1.26768e+01     -8.51400e-01      7.00000e+00     56s
   329     -1.65864e+01     -8.51400e-01      7.00000e+00     57s
   335     -1.27174e+01     -8.51400e-01      7.00000e+00     58s
