==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              7
Number of partitions:         3

Density (%):                  25
Name of instance:             seed1_rand_p0.2_neg0.8_naive_noise_0.01
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.22830e+01     -1.22830e+01      1.00000e+00     17s
     1     -1.20523e+01     -1.20523e+01      1.00000e+00     33s
     2     -1.22471e+01     -1.20523e+01      1.00000e+00     50s
     3     -1.22335e+01     -1.20523e+01      1.00000e+00     67s
     4     -1.21903e+01     -1.20523e+01      1.00000e+00     84s
     5     -1.22565e+01     -1.20523e+01      1.00000e+00    102s
     6     -1.21341e+01     -1.20523e+01      1.00000e+00    119s
     7     -1.22962e+01     -1.20523e+01      1.00000e+00    136s
     8     -1.22997e+01     -1.20523e+01      1.00000e+00    153s
     9     -1.21660e+01     -1.20523e+01      1.00000e+00    171s
    10     -1.23023e+01     -1.20523e+01      1.00000e+00    188s
    11     -1.23389e+01     -1.20523e+01      1.00000e+00    204s
    12     -1.23070e+01     -1.20523e+01      1.00000e+00    220s
    13     -1.23465e+01     -1.20523e+01      1.00000e+00    234s
    14     -1.23312e+01     -1.20523e+01      1.00000e+00    247s
    15     -1.21709e+01     -1.20523e+01      1.00000e+00    258s
    16     -1.22313e+01     -1.20523e+01      1.00000e+00    270s
    17     -1.22925e+01     -1.20523e+01      1.00000e+00    288s
    18     -1.22291e+01     -1.20523e+01      1.00000e+00    305s
    19     -1.23186e+01     -1.20523e+01      1.00000e+00    321s
    20     -1.23045e+01     -1.20523e+01      1.00000e+00    338s
    21     -1.23427e+01     -1.20523e+01      1.00000e+00    355s
    22     -1.23176e+01     -1.20523e+01      1.00000e+00    372s
    23     -1.22890e+01     -1.20523e+01      1.00000e+00    389s
    24     -1.22907e+01     -1.20523e+01      1.00000e+00    406s
    25     -1.21913e+01     -1.20523e+01      1.00000e+00    422s
    26     -1.22364e+01     -1.20523e+01      1.00000e+00    439s
    27     -1.23142e+01     -1.20523e+01      1.00000e+00    457s
    28     -1.23105e+01     -1.20523e+01      1.00000e+00    474s
    29     -1.21666e+01     -1.20523e+01      1.00000e+00    491s
    30     -1.22141e+01     -1.20523e+01      1.00000e+00    507s
    31     -1.21932e+01     -1.20523e+01      1.00000e+00    522s
    32     -1.22238e+01     -1.20523e+01      1.00000e+00    535s
    33     -1.23268e+01     -1.20523e+01      1.00000e+00    552s
    34     -1.23046e+01     -1.20523e+01      1.00000e+00    570s
    35     -1.21455e+01     -1.20523e+01      1.00000e+00    588s
    36     -1.22073e+01     -1.20523e+01      1.00000e+00    606s
    37     -1.23625e+01     -1.20523e+01      1.00000e+00    623s
    38     -1.21861e+01     -1.20523e+01      1.00000e+00    640s
    39     -1.22431e+01     -1.20523e+01      1.00000e+00    658s
    40     -1.22403e+01     -1.20523e+01      1.00000e+00    675s
    41     -1.22502e+01     -1.20523e+01      1.00000e+00    692s
    42     -1.22935e+01     -1.20523e+01      1.00000e+00    706s
    43     -1.21180e+01     -1.20523e+01      1.00000e+00    722s
    44     -1.23607e+01     -1.20523e+01      1.00000e+00    737s
    45     -1.22306e+01     -1.20523e+01      1.00000e+00    752s
    46     -1.22517e+01     -1.20523e+01      1.00000e+00    768s
    47     -1.22500e+01     -1.20523e+01      1.00000e+00    783s
    48     -1.22020e+01     -1.20523e+01      1.00000e+00    798s
    49     -1.22406e+01     -1.20523e+01      1.00000e+00    813s
    50     -1.22287e+01     -1.20523e+01      1.00000e+00    829s
    51     -1.16775e+01     -1.16775e+01      1.00000e+00    846s
    52     -1.09494e+01     -1.09494e+01      1.00000e+00    865s
    53     -1.04530e+01     -1.04530e+01      1.00000e+00    884s
    54     -1.00479e+01     -1.00479e+01      1.00000e+00    903s
    55     -9.63750e+00     -9.63750e+00      1.00000e+00    921s
    56     -9.43930e+00     -9.43930e+00      1.00000e+00    939s
    57     -9.30140e+00     -9.30140e+00      1.00000e+00    957s
    58     -9.38650e+00     -9.30140e+00      1.00000e+00    976s
    59     -9.43720e+00     -9.30140e+00      1.00000e+00    994s
    60     -9.84690e+00     -9.30140e+00      1.00000e+00   1013s
    61     -1.00713e+01     -9.30140e+00      1.00000e+00   1031s
    62     -1.04171e+01     -9.30140e+00      1.00000e+00   1050s
    63     -1.08911e+01     -9.30140e+00      1.00000e+00   1069s
    64     -1.12741e+01     -9.30140e+00      1.00000e+00   1086s
    65     -1.16479e+01     -9.30140e+00      1.00000e+00   1105s
    66     -1.21193e+01     -9.30140e+00      1.00000e+00   1123s
    67     -1.22971e+01     -9.30140e+00      1.00000e+00   1142s
    68     -1.26600e+01     -9.30140e+00      1.00000e+00   1160s
    69     -1.27345e+01     -9.30140e+00      1.00000e+00   1177s
    70     -1.26981e+01     -9.30140e+00      1.00000e+00   1194s
    71     -1.26051e+01     -9.30140e+00      1.00000e+00   1211s
    72     -1.25692e+01     -9.30140e+00      1.00000e+00   1231s
    73     -1.24605e+01     -9.30140e+00      1.00000e+00   1251s
    74     -1.22768e+01     -9.30140e+00      1.00000e+00   1269s
    75     -1.21356e+01     -9.30140e+00      1.00000e+00   1288s
    76     -1.20618e+01     -9.30140e+00      1.00000e+00   1307s
    77     -1.18525e+01     -9.30140e+00      1.00000e+00   1326s
    78     -1.17405e+01     -9.30140e+00      1.00000e+00   1345s
    79     -1.17924e+01     -9.30140e+00      1.00000e+00   1363s
    80     -1.18924e+01     -9.30140e+00      1.00000e+00   1382s
    81     -1.20057e+01     -9.30140e+00      1.00000e+00   1400s
    82     -1.22439e+01     -9.30140e+00      1.00000e+00   1419s
    83     -1.26296e+01     -9.30140e+00      1.00000e+00   1438s
    84     -1.30252e+01     -9.30140e+00      1.00000e+00   1457s
    85     -1.34247e+01     -9.30140e+00      1.00000e+00   1476s
    86     -1.38823e+01     -9.30140e+00      1.00000e+00   1495s
    87     -1.41769e+01     -9.30140e+00      1.00000e+00   1514s
    88     -1.47070e+01     -9.30140e+00      1.00000e+00   1533s
    89     -1.49169e+01     -9.30140e+00      1.00000e+00   1552s
    90     -1.51746e+01     -9.30140e+00      1.00000e+00   1571s
    91     -1.53182e+01     -9.30140e+00      1.00000e+00   1590s
    92     -1.53801e+01     -9.30140e+00      1.00000e+00   1608s
    93     -1.52529e+01     -9.30140e+00      1.00000e+00   1626s
    94     -1.48653e+01     -9.30140e+00      1.00000e+00   1646s
    95     -1.45576e+01     -9.30140e+00      1.00000e+00   1665s
    96     -1.39649e+01     -9.30140e+00      1.00000e+00   1684s
    97     -1.34383e+01     -9.30140e+00      1.00000e+00   1704s
    98     -1.28192e+01     -9.30140e+00      1.00000e+00   1723s
    99     -1.23154e+01     -9.30140e+00      1.00000e+00   1741s
   100     -1.24152e+01     -9.30140e+00      1.00000e+00   1759s
   101     -1.10906e+01     -9.30140e+00      1.00000e+00   1777s
   102     -1.01095e+01     -9.30140e+00      1.00000e+00   1796s
   103     -9.19270e+00     -9.19270e+00      1.00000e+00   1814s
   104     -8.47960e+00     -8.47960e+00      1.00000e+00   1832s
   105     -7.88600e+00     -7.88600e+00      1.00000e+00   1850s
   106     -7.53730e+00     -7.53730e+00      1.00000e+00   1868s
   107     -7.50830e+00     -7.50830e+00      1.00000e+00   1886s
   108     -7.33590e+00     -7.33590e+00      1.00000e+00   1904s
   109     -7.70470e+00     -7.33590e+00      1.00000e+00   1922s
   110     -8.22820e+00     -7.33590e+00      1.00000e+00   1940s
   111     -8.83850e+00     -7.33590e+00      1.00000e+00   1959s
   112     -9.42230e+00     -7.33590e+00      1.00000e+00   1976s
   113     -1.01335e+01     -7.33590e+00      1.00000e+00   1995s
   114     -1.08927e+01     -7.33590e+00      1.00000e+00   2013s
   115     -1.15705e+01     -7.33590e+00      1.00000e+00   2031s
   116     -1.21940e+01     -7.33590e+00      1.00000e+00   2049s
   117     -1.26552e+01     -7.33590e+00      1.00000e+00   2067s
   118     -1.29887e+01     -7.33590e+00      1.00000e+00   2085s
   119     -1.31538e+01     -7.33590e+00      1.00000e+00   2102s
   120     -1.31517e+01     -7.33590e+00      1.00000e+00   2120s
   121     -1.31834e+01     -7.33590e+00      1.00000e+00   2138s
   122     -1.30953e+01     -7.33590e+00      1.00000e+00   2157s
   123     -1.27112e+01     -7.33590e+00      1.00000e+00   2176s
   124     -1.24071e+01     -7.33590e+00      1.00000e+00   2194s
   125     -1.21196e+01     -7.33590e+00      1.00000e+00   2212s
   126     -1.18241e+01     -7.33590e+00      1.00000e+00   2228s
   127     -1.14747e+01     -7.33590e+00      1.00000e+00   2242s
   128     -1.15756e+01     -7.33590e+00      1.00000e+00   2255s
   129     -1.15453e+01     -7.33590e+00      1.00000e+00   2273s
   130     -1.17262e+01     -7.33590e+00      1.00000e+00   2292s
   131     -1.22717e+01     -7.33590e+00      1.00000e+00   2310s
   132     -1.26236e+01     -7.33590e+00      1.00000e+00   2326s
   133     -1.31650e+01     -7.33590e+00      1.00000e+00   2344s
   134     -1.37831e+01     -7.33590e+00      1.00000e+00   2362s
   135     -1.45423e+01     -7.33590e+00      1.00000e+00   2381s
   136     -1.52838e+01     -7.33590e+00      1.00000e+00   2399s
   137     -1.61375e+01     -7.33590e+00      1.00000e+00   2417s
   138     -1.67541e+01     -7.33590e+00      1.00000e+00   2436s
   139     -1.73097e+01     -7.33590e+00      1.00000e+00   2456s
   140     -1.76853e+01     -7.33590e+00      1.00000e+00   2473s
   141     -1.78416e+01     -7.33590e+00      1.00000e+00   2491s
   142     -1.77511e+01     -7.33590e+00      1.00000e+00   2508s
   143     -1.75072e+01     -7.33590e+00      1.00000e+00   2526s
   144     -1.69472e+01     -7.33590e+00      1.00000e+00   2545s
   145     -1.64222e+01     -7.33590e+00      1.00000e+00   2563s
   146     -1.54153e+01     -7.33590e+00      1.00000e+00   2580s
   147     -1.43787e+01     -7.33590e+00      1.00000e+00   2599s
   148     -1.33424e+01     -7.33590e+00      1.00000e+00   2618s
   149     -1.22398e+01     -7.33590e+00      1.00000e+00   2635s
   150     -1.22317e+01     -7.33590e+00      1.00000e+00   2652s
   151     -1.08998e+01     -7.33590e+00      1.00000e+00   2670s
   152     -9.76630e+00     -7.33590e+00      1.00000e+00   2689s
   153     -8.72100e+00     -7.33590e+00      1.00000e+00   2708s
   154     -7.79800e+00     -7.33590e+00      1.00000e+00   2726s
   155     -7.33830e+00     -7.33590e+00      1.00000e+00   2744s
   156     -6.92850e+00     -6.92850e+00      1.00000e+00   2762s
   157     -6.77350e+00     -6.77350e+00      1.00000e+00   2780s
   158     -7.12360e+00     -6.77350e+00      1.00000e+00   2799s
   159     -7.46970e+00     -6.77350e+00      1.00000e+00   2817s
   160     -8.11080e+00     -6.77350e+00      1.00000e+00   2835s
   161     -8.95420e+00     -6.77350e+00      1.00000e+00   2854s
   162     -9.76920e+00     -6.77350e+00      1.00000e+00   2872s
   163     -1.05576e+01     -6.77350e+00      1.00000e+00   2891s
