==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         3

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.4_tight_noise_0.01
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.50360e+00     -3.50360e+00      6.00000e+00     14s
     1     -3.52630e+00     -3.50360e+00      6.00000e+00     27s
     2     -3.48190e+00     -3.48190e+00      6.00000e+00     41s
     3     -3.45430e+00     -3.45430e+00      6.00000e+00     56s
     4     -3.45990e+00     -3.45430e+00      6.00000e+00     70s
     5     -3.51090e+00     -3.45430e+00      6.00000e+00     85s
     6     -3.41640e+00     -3.41640e+00      6.00000e+00     98s
     7     -3.47360e+00     -3.41640e+00      6.00000e+00    115s
     8     -3.44920e+00     -3.41640e+00      6.00000e+00    130s
     9     -3.44500e+00     -3.41640e+00      6.00000e+00    145s
    10     -3.52550e+00     -3.41640e+00      6.00000e+00    162s
    11     -3.52300e+00     -3.41640e+00      6.00000e+00    176s
    12     -3.46350e+00     -3.41640e+00      6.00000e+00    192s
    13     -3.51210e+00     -3.41640e+00      6.00000e+00    206s
    14     -3.49940e+00     -3.41640e+00      6.00000e+00    221s
    15     -3.50810e+00     -3.41640e+00      6.00000e+00    235s
    16     -3.44550e+00     -3.41640e+00      6.00000e+00    250s
    17     -3.32980e+00     -3.32980e+00      6.00000e+00    266s
    18     -3.50840e+00     -3.32980e+00      6.00000e+00    279s
    19     -3.48520e+00     -3.32980e+00      6.00000e+00    294s
    20     -3.37970e+00     -3.32980e+00      6.00000e+00    309s
    21     -3.51170e+00     -3.32980e+00      6.00000e+00    323s
    22     -3.55290e+00     -3.32980e+00      6.00000e+00    339s
    23     -3.35820e+00     -3.32980e+00      6.00000e+00    355s
    24     -3.47310e+00     -3.32980e+00      6.00000e+00    369s
    25     -3.53890e+00     -3.32980e+00      6.00000e+00    385s
    26     -3.62730e+00     -3.32980e+00      6.00000e+00    398s
    27     -3.54870e+00     -3.32980e+00      6.00000e+00    413s
    28     -3.56390e+00     -3.32980e+00      6.00000e+00    428s
    29     -3.44490e+00     -3.32980e+00      6.00000e+00    439s
    30     -3.42750e+00     -3.32980e+00      6.00000e+00    447s
    31     -3.50360e+00     -3.32980e+00      6.00000e+00    456s
