==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         3

Density (%):                  64
Name of instance:             seed1_rand_p0.6_neg0.0_naive_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.52090e+01     -1.52090e+01      1.60000e+01     21s
     1     -1.53587e+01     -1.52090e+01      1.60000e+01     40s
     2     -1.49418e+01     -1.49418e+01      1.60000e+01     60s
     3     -1.54389e+01     -1.49418e+01      1.60000e+01     81s
     4     -1.48402e+01     -1.48402e+01      1.60000e+01    101s
     5     -1.51738e+01     -1.48402e+01      1.60000e+01    122s
     6     -1.51427e+01     -1.48402e+01      1.60000e+01    142s
     7     -1.49876e+01     -1.48402e+01      1.60000e+01    163s
     8     -1.48951e+01     -1.48402e+01      1.60000e+01    185s
     9     -1.50787e+01     -1.48402e+01      1.60000e+01    206s
    10     -1.50580e+01     -1.48402e+01      1.60000e+01    228s
    11     -1.50543e+01     -1.48402e+01      1.60000e+01    249s
    12     -1.50578e+01     -1.48402e+01      1.60000e+01    270s
    13     -1.50700e+01     -1.48402e+01      1.60000e+01    291s
    14     -1.51035e+01     -1.48402e+01      1.60000e+01    312s
    15     -1.51332e+01     -1.48402e+01      1.60000e+01    333s
    16     -1.52866e+01     -1.48402e+01      1.60000e+01    354s
    17     -1.52334e+01     -1.48402e+01      1.60000e+01    375s
    18     -1.52453e+01     -1.48402e+01      1.60000e+01    396s
    19     -1.48218e+01     -1.48218e+01      1.60000e+01    417s
    20     -1.54568e+01     -1.48218e+01      1.60000e+01    438s
    21     -1.50979e+01     -1.48218e+01      1.60000e+01    460s
    22     -1.54812e+01     -1.48218e+01      1.60000e+01    482s
    23     -1.48639e+01     -1.48218e+01      1.60000e+01    501s
    24     -1.48877e+01     -1.48218e+01      1.60000e+01    523s
    25     -1.48540e+01     -1.48218e+01      1.60000e+01    545s
    26     -1.49852e+01     -1.48218e+01      1.60000e+01    566s
    27     -1.51128e+01     -1.48218e+01      1.60000e+01    588s
    28     -1.51694e+01     -1.48218e+01      1.60000e+01    610s
    29     -1.50950e+01     -1.48218e+01      1.60000e+01    631s
    30     -1.48299e+01     -1.48218e+01      1.60000e+01    652s
    31     -1.47825e+01     -1.47825e+01      1.60000e+01    670s
    32     -1.49345e+01     -1.47825e+01      1.60000e+01    691s
    33     -1.50620e+01     -1.47825e+01      1.60000e+01    713s
    34     -1.50527e+01     -1.47825e+01      1.60000e+01    734s
    35     -1.49896e+01     -1.47825e+01      1.60000e+01    752s
    36     -1.48526e+01     -1.47825e+01      1.60000e+01    769s
    37     -1.50725e+01     -1.47825e+01      1.60000e+01    784s
    38     -1.49074e+01     -1.47825e+01      1.60000e+01    798s
    39     -1.47643e+01     -1.47643e+01      1.60000e+01    820s
    40     -1.49498e+01     -1.47643e+01      1.60000e+01    841s
    41     -1.49951e+01     -1.47643e+01      1.60000e+01    862s
    42     -1.50639e+01     -1.47643e+01      1.60000e+01    883s
    43     -1.50460e+01     -1.47643e+01      1.60000e+01    904s
    44     -1.51965e+01     -1.47643e+01      1.60000e+01    924s
    45     -1.46979e+01     -1.46979e+01      1.60000e+01    946s
    46     -1.51856e+01     -1.46979e+01      1.60000e+01    967s
    47     -1.50796e+01     -1.46979e+01      1.60000e+01    988s
    48     -1.49437e+01     -1.46979e+01      1.60000e+01   1009s
    49     -1.47507e+01     -1.46979e+01      1.60000e+01   1029s
    50     -1.48048e+01     -1.46979e+01      1.60000e+01   1054s
    51     -9.39160e+00     -9.39160e+00      1.60000e+01   1081s
    52     -4.52790e+00     -4.52790e+00      1.60000e+01   1107s
    53     -2.99000e-01     -2.99000e-01      1.60000e+01   1132s
    54      3.28150e+00      3.28150e+00      1.60000e+01   1156s
    55      5.78940e+00      5.78940e+00      1.60000e+01   1182s
    56      7.24720e+00      7.24720e+00      1.60000e+01   1207s
    57      8.24730e+00      8.24730e+00      1.60000e+01   1231s
    58      8.45510e+00      8.45510e+00      1.60000e+01   1255s
    59      7.76550e+00      8.45510e+00      1.60000e+01   1280s
    60      6.60200e+00      8.45510e+00      1.60000e+01   1304s
    61      4.93300e+00      8.45510e+00      1.60000e+01   1329s
    62      3.28500e+00      8.45510e+00      1.60000e+01   1353s
    63      1.18800e+00      8.45510e+00      1.60000e+01   1377s
    64     -1.06330e+00      8.45510e+00      1.60000e+01   1401s
    65     -3.08520e+00      8.45510e+00      1.60000e+01   1425s
    66     -4.79310e+00      8.45510e+00      1.60000e+01   1450s
    67     -6.28070e+00      8.45510e+00      1.60000e+01   1475s
    68     -8.06110e+00      8.45510e+00      1.60000e+01   1500s
    69     -8.85280e+00      8.45510e+00      1.60000e+01   1525s
    70     -1.01394e+01      8.45510e+00      1.60000e+01   1550s
    71     -1.11454e+01      8.45510e+00      1.60000e+01   1576s
    72     -1.19496e+01      8.45510e+00      1.60000e+01   1601s
    73     -1.31619e+01      8.45510e+00      1.60000e+01   1627s
    74     -1.41465e+01      8.45510e+00      1.60000e+01   1653s
    75     -1.53176e+01      8.45510e+00      1.60000e+01   1679s
    76     -1.75505e+01      8.45510e+00      1.60000e+01   1704s
    77     -2.02464e+01      8.45510e+00      1.60000e+01   1722s
    78     -2.26226e+01      8.45510e+00      1.60000e+01   1745s
    79     -2.64419e+01      8.45510e+00      1.60000e+01   1770s
