==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.0naive_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.25529e+01     -3.25529e+01      1.90000e+01   1452s
     1     -3.26278e+01     -3.25529e+01      1.90000e+01   2991s
     2     -3.30172e+01     -3.25529e+01      1.90000e+01   4523s
     3     -3.25767e+01     -3.25529e+01      2.00000e+01   6053s
     4     -3.27281e+01     -3.25529e+01      2.00000e+01   7601s
     5     -3.27436e+01     -3.25529e+01      2.00000e+01   9117s
     6     -3.25905e+01     -3.25529e+01      2.00000e+01  10658s
     7     -3.26192e+01     -3.25529e+01      2.00000e+01  12184s
     8     -3.28169e+01     -3.25529e+01      2.00000e+01  13713s
     9     -3.24462e+01     -3.24462e+01      2.00000e+01  15252s
    10     -3.27219e+01     -3.24462e+01      2.00000e+01  16781s
    11     -3.27440e+01     -3.24462e+01      2.00000e+01  18315s
    12     -3.30858e+01     -3.24462e+01      2.00000e+01  19854s
    13     -3.26347e+01     -3.24462e+01      2.00000e+01  21392s
    14     -3.25934e+01     -3.24462e+01      2.00000e+01  22944s
    15     -3.24913e+01     -3.24462e+01      2.00000e+01  24487s
    16     -3.27856e+01     -3.24462e+01      2.00000e+01  26024s
    17     -3.25789e+01     -3.24462e+01      2.00000e+01  27579s
    18     -3.30426e+01     -3.24462e+01      2.00000e+01  29116s
    19     -3.27972e+01     -3.24462e+01      2.00000e+01  30656s
    20     -3.30130e+01     -3.24462e+01      2.00000e+01  32207s
    21     -3.30978e+01     -3.24462e+01      2.00000e+01  33750s
    22     -3.27203e+01     -3.24462e+01      2.00000e+01  35303s
    23     -3.28049e+01     -3.24462e+01      2.00000e+01  36842s
    24     -3.31470e+01     -3.24462e+01      2.00000e+01  38318s
    25     -3.22893e+01     -3.22893e+01      2.00000e+01  39874s
    26     -1.76719e+01     -1.76719e+01      2.00000e+01  41440s
    27     -8.70850e+00     -8.70850e+00      2.00000e+01  43013s
    28     -6.10320e+00     -6.10320e+00      2.00000e+01  44580s
    29     -9.65620e+00     -6.10320e+00      2.00000e+01  46142s
    30     -1.66874e+01     -6.10320e+00      2.00000e+01  47721s
    31     -2.39340e+01     -6.10320e+00      2.00000e+01  49276s
    32     -2.95595e+01     -6.10320e+00      2.00000e+01  50846s
    33     -3.28311e+01     -6.10320e+00      2.00000e+01  52433s
    34     -3.33380e+01     -6.10320e+00      2.00000e+01  53999s
    35     -3.18688e+01     -6.10320e+00      2.00000e+01  55567s
    36     -3.05572e+01     -6.10320e+00      2.00000e+01  57145s
