==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.4_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -6.31080e+00     -6.31080e+00      1.10000e+01      1s
     1     -6.45900e+00     -6.31080e+00      1.10000e+01      2s
     3     -6.47460e+00     -6.31080e+00      1.10000e+01      4s
     5     -6.59480e+00     -6.31080e+00      1.10000e+01      6s
     7     -6.39430e+00     -6.31080e+00      1.10000e+01      8s
     9     -6.58490e+00     -6.31080e+00      1.10000e+01     10s
    11     -6.49800e+00     -6.31080e+00      1.10000e+01     12s
    13     -6.49590e+00     -6.31080e+00      1.10000e+01     14s
    14     -6.55160e+00     -6.31080e+00      1.10000e+01     15s
    16     -6.46320e+00     -6.31080e+00      1.10000e+01     17s
    18     -6.44550e+00     -6.31080e+00      1.10000e+01     19s
    20     -6.51290e+00     -6.31080e+00      1.10000e+01     20s
    22     -6.43060e+00     -6.31080e+00      1.10000e+01     22s
    24     -6.38160e+00     -6.31080e+00      1.10000e+01     24s
    26     -6.48730e+00     -6.31080e+00      1.10000e+01     26s
    28     -6.56420e+00     -6.31080e+00      1.10000e+01     28s
    30     -6.48300e+00     -6.31080e+00      1.10000e+01     30s
    32     -6.37320e+00     -6.31080e+00      1.10000e+01     32s
    34     -6.55320e+00     -6.31080e+00      1.10000e+01     33s
    36     -6.45000e+00     -6.31080e+00      1.10000e+01     35s
    38     -6.40640e+00     -6.31080e+00      1.10000e+01     37s
    40     -6.50980e+00     -6.31080e+00      1.10000e+01     39s
    42     -6.35840e+00     -6.31080e+00      1.10000e+01     41s
    44     -6.42400e+00     -6.31080e+00      1.10000e+01     42s
    46     -6.47500e+00     -6.31080e+00      1.10000e+01     44s
    48     -6.45400e+00     -6.31080e+00      1.10000e+01     46s
    50     -6.51980e+00     -6.31080e+00      1.10000e+01     48s
    52     -3.70100e+00     -3.70100e+00      1.10000e+01     50s
    53     -2.75860e+00     -2.75860e+00      1.10000e+01     51s
    55     -1.06740e+00     -1.06740e+00      1.10000e+01     53s
    57     -3.41000e-01     -3.41000e-01      1.10000e+01     54s
    59     -4.28600e-01     -2.25400e-01      1.10000e+01     56s
    61     -1.29680e+00     -2.25400e-01      1.10000e+01     57s
    63     -2.69170e+00     -2.25400e-01      1.10000e+01     59s
    65     -4.01540e+00     -2.25400e-01      1.10000e+01     60s
    67     -5.18720e+00     -2.25400e-01      1.10000e+01     62s
    69     -6.02310e+00     -2.25400e-01      1.10000e+01     64s
    71     -6.51380e+00     -2.25400e-01      1.10000e+01     65s
    73     -6.43020e+00     -2.25400e-01      1.10000e+01     67s
    75     -6.46820e+00     -2.25400e-01      1.10000e+01     69s
    76     -6.54580e+00     -2.25400e-01      1.10000e+01     70s
    78     -7.15780e+00     -2.25400e-01      1.10000e+01     72s
    80     -8.12980e+00     -2.25400e-01      1.10000e+01     74s
    82     -9.54200e+00     -2.25400e-01      1.10000e+01     75s
    84     -1.11645e+01     -2.25400e-01      1.10000e+01     77s
    86     -1.29195e+01     -2.25400e-01      1.10000e+01     78s
    88     -1.42997e+01     -2.25400e-01      1.10000e+01     80s
    90     -1.45665e+01     -2.25400e-01      1.10000e+01     82s
    92     -1.42202e+01     -2.25400e-01      1.10000e+01     83s
    94     -1.29086e+01     -2.25400e-01      1.10000e+01     85s
    96     -1.06319e+01     -2.25400e-01      1.10000e+01     87s
    98     -8.06850e+00     -2.25400e-01      1.10000e+01     88s
   100     -6.55200e+00     -2.25400e-01      1.10000e+01     90s
   102     -2.09480e+00     -2.25400e-01      1.10000e+01     92s
   104      1.24380e+00      1.24380e+00      1.10000e+01     93s
   106      2.84340e+00      2.84340e+00      1.10000e+01     94s
   108      2.89610e+00      3.08970e+00      1.10000e+01     96s
   110      1.65010e+00      3.08970e+00      1.10000e+01     97s
   112     -3.07200e-01      3.08970e+00      1.10000e+01     98s
   114     -2.46850e+00      3.08970e+00      1.10000e+01     99s
   116     -4.49370e+00      3.08970e+00      1.10000e+01    100s
   118     -5.79080e+00      3.08970e+00      1.10000e+01    101s
   120     -6.29300e+00      3.08970e+00      1.10000e+01    102s
   122     -6.42860e+00      3.08970e+00      1.10000e+01    104s
   124     -6.46590e+00      3.08970e+00      1.10000e+01    105s
   126     -6.88450e+00      3.08970e+00      1.10000e+01    107s
   128     -8.25210e+00      3.08970e+00      1.10000e+01    109s
   130     -1.04567e+01      3.08970e+00      1.10000e+01    110s
   132     -1.31809e+01      3.08970e+00      1.10000e+01    111s
   134     -1.65411e+01      3.08970e+00      1.10000e+01    112s
   136     -1.95396e+01      3.08970e+00      1.10000e+01    113s
   138     -2.16699e+01      3.08970e+00      1.10000e+01    114s
   140     -2.21306e+01      3.08970e+00      1.10000e+01    115s
   142     -2.10318e+01      3.08970e+00      1.10000e+01    117s
   144     -1.80777e+01      3.08970e+00      1.10000e+01    118s
   146     -1.38343e+01      3.08970e+00      1.10000e+01    119s
   148     -8.83570e+00      3.08970e+00      1.10000e+01    121s
   150     -6.58720e+00      3.08970e+00      1.10000e+01    123s
   152     -1.45770e+00      3.08970e+00      1.10000e+01    125s
   154      1.98360e+00      3.08970e+00      1.10000e+01    126s
   156      3.68870e+00      3.68870e+00      1.10000e+01    127s
   159      2.80760e+00      3.81640e+00      1.10000e+01    129s
   162     -4.34600e-01      3.81640e+00      1.10000e+01    130s
   165     -3.89260e+00      3.81640e+00      1.10000e+01    131s
   168     -5.90520e+00      3.81640e+00      1.10000e+01    132s
   170     -6.20240e+00      3.81640e+00      1.10000e+01    133s
   172     -6.33970e+00      3.81640e+00      1.10000e+01    135s
   174     -6.35000e+00      3.81640e+00      1.10000e+01    136s
   176     -7.29560e+00      3.81640e+00      1.10000e+01    138s
   178     -8.99770e+00      3.81640e+00      1.10000e+01    139s
   180     -1.20913e+01      3.81640e+00      1.10000e+01    140s
   183     -1.82201e+01      3.81640e+00      1.10000e+01    142s
   186     -2.39133e+01      3.81640e+00      1.10000e+01    143s
   189     -2.65134e+01      3.81640e+00      1.10000e+01    144s
   192     -2.44856e+01      3.81640e+00      1.10000e+01    145s
   195     -1.82018e+01      3.81640e+00      1.10000e+01    147s
   197     -1.25348e+01      3.81640e+00      1.10000e+01    148s
   199     -6.58540e+00      3.81640e+00      1.10000e+01    150s
   201     -3.98110e+00      3.81640e+00      1.10000e+01    152s
   203     -2.47000e-01      3.81640e+00      1.10000e+01    153s
   205      2.05370e+00      3.81640e+00      1.10000e+01    155s
   207      2.57520e+00      3.81640e+00      1.10000e+01    156s
   209      1.52510e+00      3.81640e+00      1.10000e+01    157s
   212     -1.46880e+00      3.81640e+00      1.10000e+01    158s
   215     -4.41590e+00      3.81640e+00      1.10000e+01    159s
   218     -5.82700e+00      3.81640e+00      1.10000e+01    161s
   220     -6.00650e+00      3.81640e+00      1.10000e+01    162s
   222     -6.04480e+00      3.81640e+00      1.10000e+01    163s
   224     -6.34670e+00      3.81640e+00      1.10000e+01    165s
   226     -7.33920e+00      3.81640e+00      1.10000e+01    167s
   228     -9.74190e+00      3.81640e+00      1.10000e+01    168s
   230     -1.28892e+01      3.81640e+00      1.10000e+01    169s
   232     -1.69075e+01      3.81640e+00      1.10000e+01    170s
   235     -2.28689e+01      3.81640e+00      1.10000e+01    172s
   238     -2.64665e+01      3.81640e+00      1.10000e+01    173s
   241     -2.55541e+01      3.81640e+00      1.10000e+01    174s
   244     -2.01490e+01      3.81640e+00      1.10000e+01    175s
   246     -1.47853e+01      3.81640e+00      1.10000e+01    177s
   248     -8.86710e+00      3.81640e+00      1.10000e+01    179s
   250     -6.54530e+00      3.81640e+00      1.10000e+01    180s
   252     -3.10210e+00      3.81640e+00      1.10000e+01    182s
   254     -8.07800e-01      3.81640e+00      1.10000e+01    183s
   256     -4.97000e-02      3.81640e+00      1.10000e+01    185s
   258     -4.83000e-01      3.81640e+00      1.10000e+01    186s
The brute search stopped after 259 iterations.

==================================================
Summary of results QAOA
--------------------------------------------------
Avg of QAOA obj (BQO obj):    5.56
Avg of QAOA obj (penalty):    -1.75
Avg of constraint violation:  0.31

Feasible percentage (%):      75.83
Avg of pure feasible obj:     5.49

Avg of QAOA obj:              3.82
STD of QAOA obj:              0.73

Avg of QAOA obj (feasible):   5.59
STD of QAOA obj (feasible):   0.21

Gamma angles:                 0.19
Beta angles:                  0.45

Best QAOA obj:                11.00
Modified best QAOA obj:       11.00
Best QAOA obj (feasible):     11.00

QAOA total time:              185.67s
QAOA circuit depth:           32
==================================================

==================================================
Summary of results of 0-S8
--------------------------------------------------
Number of vertices:           8
Number of edges:              23

Vertex num in largest comp:   8
Edge num in largest comp:     23

Pre-processing running time:  0.00
Total solver time:            185.67
Running time:                 188.24

Upper bound:                  15.00
Objective value:              11.00

Partition 0:                  0, 2, 5             
Partition 1:                  4, 7                
Partition 2:                  1, 3, 6             
==================================================
