==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.4_tight_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -6.55170e+00     -6.55170e+00      1.10000e+01     16s
     1     -6.36480e+00     -6.36480e+00      1.10000e+01     33s
     2     -6.59940e+00     -6.36480e+00      1.10000e+01     51s
     3     -6.45200e+00     -6.36480e+00      1.10000e+01     67s
     4     -6.46780e+00     -6.36480e+00      1.10000e+01     84s
     5     -6.43440e+00     -6.36480e+00      1.10000e+01    101s
     6     -6.48170e+00     -6.36480e+00      1.10000e+01    116s
     7     -6.54680e+00     -6.36480e+00      1.10000e+01    133s
     8     -6.39020e+00     -6.36480e+00      1.10000e+01    150s
     9     -6.47820e+00     -6.36480e+00      1.10000e+01    166s
    10     -6.44640e+00     -6.36480e+00      1.10000e+01    183s
    11     -6.46310e+00     -6.36480e+00      1.10000e+01    200s
    12     -6.39490e+00     -6.36480e+00      1.10000e+01    217s
    13     -6.49840e+00     -6.36480e+00      1.10000e+01    234s
    14     -6.51760e+00     -6.36480e+00      1.10000e+01    252s
    15     -6.54970e+00     -6.36480e+00      1.10000e+01    269s
    16     -6.48570e+00     -6.36480e+00      1.10000e+01    286s
    17     -6.61530e+00     -6.36480e+00      1.10000e+01    303s
    18     -6.51530e+00     -6.36480e+00      1.10000e+01    319s
    19     -6.60790e+00     -6.36480e+00      1.10000e+01    337s
    20     -6.52550e+00     -6.36480e+00      1.10000e+01    353s
    21     -6.38660e+00     -6.36480e+00      1.10000e+01    371s
    22     -6.37830e+00     -6.36480e+00      1.10000e+01    387s
    23     -6.38860e+00     -6.36480e+00      1.10000e+01    403s
