==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         3

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.4tight_noise_0.01
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.01
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -8.64160e+00     -8.64160e+00      1.00000e+01   1459s
     1     -8.65389e+00     -8.64160e+00      1.10000e+01   2999s
     2     -8.56387e+00     -8.56387e+00      1.10000e+01   4525s
     3     -8.61347e+00     -8.56387e+00      1.10000e+01   6062s
     4     -8.65093e+00     -8.56387e+00      1.10000e+01   7588s
     5     -8.55737e+00     -8.55737e+00      1.10000e+01   9113s
     6     -8.54694e+00     -8.54694e+00      1.10000e+01  10654s
     7     -8.63962e+00     -8.54694e+00      1.10000e+01  12185s
     8     -8.44508e+00     -8.44508e+00      1.10000e+01  13713s
     9     -8.70978e+00     -8.44508e+00      1.10000e+01  15247s
    10     -8.62086e+00     -8.44508e+00      1.10000e+01  16771s
    11     -8.58347e+00     -8.44508e+00      1.10000e+01  18307s
    12     -8.64940e+00     -8.44508e+00      1.10000e+01  19834s
    13     -8.65954e+00     -8.44508e+00      1.10000e+01  21368s
    14     -8.66160e+00     -8.44508e+00      1.10000e+01  22922s
    15     -8.63228e+00     -8.44508e+00      1.10000e+01  24460s
    16     -8.61907e+00     -8.44508e+00      1.10000e+01  26004s
    17     -8.70752e+00     -8.44508e+00      1.10000e+01  27554s
    18     -8.61200e+00     -8.44508e+00      1.10000e+01  29093s
    19     -8.58622e+00     -8.44508e+00      1.10000e+01  30638s
    20     -8.62587e+00     -8.44508e+00      1.10000e+01  32186s
    21     -8.64483e+00     -8.44508e+00      1.10000e+01  33723s
    22     -8.55180e+00     -8.44508e+00      1.10000e+01  35273s
    23     -8.53919e+00     -8.44508e+00      1.10000e+01  36811s
    24     -8.59515e+00     -8.44508e+00      1.10000e+01  38282s
    25     -8.62599e+00     -8.44508e+00      1.10000e+01  39837s
    26     -5.39810e+00     -5.39810e+00      1.10000e+01  41392s
    27     -2.93938e+00     -2.93938e+00      1.10000e+01  42958s
    28     -1.65545e+00     -1.65545e+00      1.10000e+01  44530s
    29     -1.76477e+00     -1.65545e+00      1.10000e+01  46088s
    30     -2.80702e+00     -1.65545e+00      1.10000e+01  47652s
    31     -4.50704e+00     -1.65545e+00      1.10000e+01  49204s
    32     -6.39645e+00     -1.65545e+00      1.10000e+01  50763s
    33     -7.75038e+00     -1.65545e+00      1.10000e+01  52327s
