==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         4

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.0_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -6.44692e+01     -6.44692e+01      1.20000e+01      2s
     1     -6.54573e+01     -6.44692e+01      1.20000e+01      3s
     2     -6.46400e+01     -6.44692e+01      1.20000e+01      4s
     3     -6.46666e+01     -6.44692e+01      1.20000e+01      5s
     5     -6.51055e+01     -6.44692e+01      1.20000e+01      7s
     6     -6.48676e+01     -6.44692e+01      1.20000e+01      8s
     7     -6.49407e+01     -6.44692e+01      1.20000e+01      9s
     8     -6.59022e+01     -6.44692e+01      1.20000e+01     10s
     9     -6.53244e+01     -6.44692e+01      1.20000e+01     11s
    10     -6.51986e+01     -6.44692e+01      1.20000e+01     12s
    11     -6.52529e+01     -6.44692e+01      1.20000e+01     13s
    12     -6.51735e+01     -6.44692e+01      1.20000e+01     14s
    13     -6.48136e+01     -6.44692e+01      1.20000e+01     15s
    14     -6.52744e+01     -6.44692e+01      1.20000e+01     16s
    15     -6.49347e+01     -6.44692e+01      1.20000e+01     17s
    17     -6.51260e+01     -6.44692e+01      1.20000e+01     19s
    18     -6.47568e+01     -6.44692e+01      1.20000e+01     20s
    19     -6.51637e+01     -6.44692e+01      1.20000e+01     21s
    20     -6.42887e+01     -6.42887e+01      1.20000e+01     22s
    21     -6.48788e+01     -6.42887e+01      1.20000e+01     24s
    22     -6.52840e+01     -6.42887e+01      1.20000e+01     25s
    23     -6.48717e+01     -6.42887e+01      1.20000e+01     26s
    24     -6.52585e+01     -6.42887e+01      1.20000e+01     27s
    25     -6.54234e+01     -6.42887e+01      1.20000e+01     28s
    26     -6.45752e+01     -6.42887e+01      1.20000e+01     29s
    27     -6.51389e+01     -6.42887e+01      1.20000e+01     30s
    28     -6.44995e+01     -6.42887e+01      1.20000e+01     31s
    29     -6.53197e+01     -6.42887e+01      1.20000e+01     32s
    30     -6.52408e+01     -6.42887e+01      1.20000e+01     33s
    31     -6.49950e+01     -6.42887e+01      1.20000e+01     34s
    32     -6.49476e+01     -6.42887e+01      1.20000e+01     36s
    33     -6.45440e+01     -6.42887e+01      1.20000e+01     37s
    34     -6.52865e+01     -6.42887e+01      1.20000e+01     38s
    35     -6.46764e+01     -6.42887e+01      1.20000e+01     39s
    36     -6.48823e+01     -6.42887e+01      1.20000e+01     40s
    37     -6.43507e+01     -6.42887e+01      1.20000e+01     41s
    38     -6.51345e+01     -6.42887e+01      1.20000e+01     42s
    39     -6.51120e+01     -6.42887e+01      1.20000e+01     43s
    40     -6.43369e+01     -6.42887e+01      1.20000e+01     44s
    41     -6.58367e+01     -6.42887e+01      1.20000e+01     46s
    42     -6.45090e+01     -6.42887e+01      1.20000e+01     47s
    43     -6.57324e+01     -6.42887e+01      1.20000e+01     48s
    44     -6.51876e+01     -6.42887e+01      1.20000e+01     49s
    45     -6.47411e+01     -6.42887e+01      1.20000e+01     50s
    46     -6.48656e+01     -6.42887e+01      1.20000e+01     51s
    47     -6.48202e+01     -6.42887e+01      1.20000e+01     52s
    48     -6.42447e+01     -6.42447e+01      1.20000e+01     53s
    49     -6.50612e+01     -6.42447e+01      1.20000e+01     54s
    50     -6.52028e+01     -6.42447e+01      1.20000e+01     55s
    51     -4.91731e+01     -4.91731e+01      1.20000e+01     57s
    52     -3.49875e+01     -3.49875e+01      1.20000e+01     58s
    53     -2.38924e+01     -2.38924e+01      1.20000e+01     59s
    54     -1.46353e+01     -1.46353e+01      1.20000e+01     60s
    55     -8.02640e+00     -8.02640e+00      1.20000e+01     61s
    57     -9.32800e-01     -9.32800e-01      1.20000e+01     63s
    59     -9.96500e-01     -8.23000e-02      1.20000e+01     65s
    61     -4.90010e+00     -8.23000e-02      1.20000e+01     66s
    63     -1.09543e+01     -8.23000e-02      1.20000e+01     67s
    65     -1.67272e+01     -8.23000e-02      1.20000e+01     69s
    67     -2.29942e+01     -8.23000e-02      1.20000e+01     70s
    69     -2.90213e+01     -8.23000e-02      1.20000e+01     72s
    70     -3.29486e+01     -8.23000e-02      1.20000e+01     73s
    71     -3.72618e+01     -8.23000e-02      1.20000e+01     74s
    72     -4.28860e+01     -8.23000e-02      1.20000e+01     75s
    73     -5.09351e+01     -8.23000e-02      1.20000e+01     76s
    74     -5.96839e+01     -8.23000e-02      1.20000e+01     77s
    75     -7.00494e+01     -8.23000e-02      1.20000e+01     79s
    76     -8.32341e+01     -8.23000e-02      1.20000e+01     80s
    77     -9.65365e+01     -8.23000e-02      1.20000e+01     81s
    78     -1.10862e+02     -8.23000e-02      1.20000e+01     82s
    79     -1.26781e+02     -8.23000e-02      1.20000e+01     83s
    80     -1.42148e+02     -8.23000e-02      1.20000e+01     84s
    81     -1.58756e+02     -8.23000e-02      1.20000e+01     85s
    83     -1.87911e+02     -8.23000e-02      1.20000e+01     87s
    85     -2.10237e+02     -8.23000e-02      1.20000e+01     88s
    87     -2.21058e+02     -8.23000e-02      1.20000e+01     89s
    89     -2.17797e+02     -8.23000e-02      1.20000e+01     91s
    91     -2.02358e+02     -8.23000e-02      1.20000e+01     92s
    93     -1.74480e+02     -8.23000e-02      1.20000e+01     94s
    94     -1.57656e+02     -8.23000e-02      1.20000e+01     95s
    95     -1.38510e+02     -8.23000e-02      1.20000e+01     96s
    96     -1.19016e+02     -8.23000e-02      1.20000e+01     97s
    97     -1.00978e+02     -8.23000e-02      1.20000e+01     98s
    98     -8.24144e+01     -8.23000e-02      1.20000e+01     99s
    99     -6.48654e+01     -8.23000e-02      1.20000e+01    100s
   100     -6.56115e+01     -8.23000e-02      1.20000e+01    101s
   101     -5.81307e+01     -8.23000e-02      1.20000e+01    102s
   102     -5.34280e+01     -8.23000e-02      1.20000e+01    103s
   103     -4.95666e+01     -8.23000e-02      1.20000e+01    105s
   104     -4.78326e+01     -8.23000e-02      1.20000e+01    106s
   105     -4.50891e+01     -8.23000e-02      1.20000e+01    107s
   107     -4.31395e+01     -8.23000e-02      1.20000e+01    108s
   109     -4.19374e+01     -8.23000e-02      1.20000e+01    110s
   111     -3.99486e+01     -8.23000e-02      1.20000e+01    111s
   113     -3.56182e+01     -8.23000e-02      1.20000e+01    113s
   115     -3.15055e+01     -8.23000e-02      1.20000e+01    115s
   117     -2.74396e+01     -8.23000e-02      1.20000e+01    117s
   118     -2.82133e+01     -8.23000e-02      1.20000e+01    118s
   119     -2.86361e+01     -8.23000e-02      1.20000e+01    119s
   120     -3.09372e+01     -8.23000e-02      1.20000e+01    120s
   121     -3.46677e+01     -8.23000e-02      1.20000e+01    121s
   122     -4.08794e+01     -8.23000e-02      1.20000e+01    122s
   123     -4.94018e+01     -8.23000e-02      1.20000e+01    123s
   124     -5.93447e+01     -8.23000e-02      1.20000e+01    124s
   125     -7.13473e+01     -8.23000e-02      1.20000e+01    125s
   126     -8.43082e+01     -8.23000e-02      1.20000e+01    126s
   127     -9.61658e+01     -8.23000e-02      1.20000e+01    127s
   128     -1.11710e+02     -8.23000e-02      1.20000e+01    128s
   129     -1.25248e+02     -8.23000e-02      1.20000e+01    130s
   131     -1.52231e+02     -8.23000e-02      1.20000e+01    131s
   133     -1.70113e+02     -8.23000e-02      1.20000e+01    133s
   135     -1.82656e+02     -8.23000e-02      1.20000e+01    134s
   137     -1.81017e+02     -8.23000e-02      1.20000e+01    136s
   139     -1.71693e+02     -8.23000e-02      1.20000e+01    138s
   141     -1.51778e+02     -8.23000e-02      1.20000e+01    139s
   142     -1.40534e+02     -8.23000e-02      1.20000e+01    140s
   143     -1.28804e+02     -8.23000e-02      1.20000e+01    141s
