==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         4

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.8_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.31623e+02     -1.31623e+02     -1.20000e+01      9s
     1     -1.32403e+02     -1.31623e+02     -1.00000e+01     15s
     2     -1.31470e+02     -1.31470e+02     -1.00000e+01     23s
     3     -1.33026e+02     -1.31470e+02     -1.00000e+01     29s
     4     -1.31864e+02     -1.31470e+02     -1.00000e+01     36s
     5     -1.32188e+02     -1.31470e+02     -8.00000e+00     43s
     6     -1.32643e+02     -1.31470e+02     -8.00000e+00     50s
     7     -1.31469e+02     -1.31469e+02     -8.00000e+00     57s
     8     -1.32229e+02     -1.31469e+02     -4.00000e+00     64s
     9     -1.32561e+02     -1.31469e+02     -4.00000e+00     70s
    10     -1.31833e+02     -1.31469e+02     -4.00000e+00     77s
    11     -1.31612e+02     -1.31469e+02     -4.00000e+00     84s
    12     -1.32466e+02     -1.31469e+02     -4.00000e+00     91s
    13     -1.31514e+02     -1.31469e+02     -4.00000e+00     97s
    14     -1.31932e+02     -1.31469e+02     -4.00000e+00    104s
    15     -1.31720e+02     -1.31469e+02     -4.00000e+00    111s
    16     -1.31521e+02     -1.31469e+02     -4.00000e+00    117s
    17     -1.32567e+02     -1.31469e+02     -4.00000e+00    124s
    18     -1.32220e+02     -1.31469e+02     -4.00000e+00    131s
    19     -1.31092e+02     -1.31092e+02     -3.00000e+00    138s
    20     -1.32530e+02     -1.31092e+02     -3.00000e+00    145s
    21     -1.31787e+02     -1.31092e+02     -3.00000e+00    152s
    22     -1.32567e+02     -1.31092e+02     -3.00000e+00    158s
    23     -1.31632e+02     -1.31092e+02     -3.00000e+00    165s
    24     -1.31311e+02     -1.31092e+02     -3.00000e+00    171s
    25     -1.31897e+02     -1.31092e+02     -3.00000e+00    177s
    26     -1.28391e+02     -1.28391e+02     -2.00000e+00    184s
    27     -1.35953e+02     -1.28391e+02      0.00000e+00    193s
    28     -1.44587e+02     -1.28391e+02      0.00000e+00    200s
    29     -1.56618e+02     -1.28391e+02      0.00000e+00    206s
    30     -1.63298e+02     -1.28391e+02      0.00000e+00    213s
    31     -1.65462e+02     -1.28391e+02      0.00000e+00    221s
    32     -1.62355e+02     -1.28391e+02      0.00000e+00    228s
    33     -1.52478e+02     -1.28391e+02      0.00000e+00    235s
    34     -1.39299e+02     -1.28391e+02      0.00000e+00    242s
    35     -1.28930e+02     -1.28391e+02      0.00000e+00    249s
    36     -1.26845e+02     -1.26845e+02      0.00000e+00    256s
    37     -1.31600e+02     -1.26845e+02      0.00000e+00    263s
    38     -1.46704e+02     -1.26845e+02      0.00000e+00    269s
    39     -1.68840e+02     -1.26845e+02      0.00000e+00    277s
    40     -1.93597e+02     -1.26845e+02      0.00000e+00    284s
    41     -2.15448e+02     -1.26845e+02      0.00000e+00    291s
    42     -2.29960e+02     -1.26845e+02      0.00000e+00    297s
    43     -2.33286e+02     -1.26845e+02      0.00000e+00    305s
    44     -2.25748e+02     -1.26845e+02      0.00000e+00    312s
    45     -2.09155e+02     -1.26845e+02      0.00000e+00    319s
    46     -1.86124e+02     -1.26845e+02      0.00000e+00    326s
    47     -1.63237e+02     -1.26845e+02      0.00000e+00    333s
    48     -1.43560e+02     -1.26845e+02      0.00000e+00    340s
    49     -1.32248e+02     -1.26845e+02      0.00000e+00    346s
    50     -1.31770e+02     -1.26845e+02      0.00000e+00    352s
    51     -1.21194e+02     -1.21194e+02      0.00000e+00    359s
    52     -1.15741e+02     -1.15741e+02      0.00000e+00    366s
    53     -1.14048e+02     -1.14048e+02      0.00000e+00    373s
    54     -1.13078e+02     -1.13078e+02      0.00000e+00    380s
    55     -1.13666e+02     -1.13078e+02      0.00000e+00    386s
    56     -1.11942e+02     -1.11942e+02      0.00000e+00    393s
    57     -1.09560e+02     -1.09560e+02      0.00000e+00    400s
    58     -1.06430e+02     -1.06430e+02      0.00000e+00    407s
    59     -1.05274e+02     -1.05274e+02      0.00000e+00    414s
    60     -1.09400e+02     -1.05274e+02      0.00000e+00    421s
    61     -1.17004e+02     -1.05274e+02      0.00000e+00    428s
    62     -1.32599e+02     -1.05274e+02      0.00000e+00    435s
    63     -1.51753e+02     -1.05274e+02      0.00000e+00    441s
    64     -1.74726e+02     -1.05274e+02      0.00000e+00    448s
    65     -1.98352e+02     -1.05274e+02      0.00000e+00    455s
    66     -2.16412e+02     -1.05274e+02      0.00000e+00    462s
    67     -2.28245e+02     -1.05274e+02      0.00000e+00    469s
    68     -2.30910e+02     -1.05274e+02      0.00000e+00    475s
    69     -2.23875e+02     -1.05274e+02      0.00000e+00    482s
    70     -2.08942e+02     -1.05274e+02      0.00000e+00    489s
    71     -1.88861e+02     -1.05274e+02      0.00000e+00    496s
    72     -1.67161e+02     -1.05274e+02      0.00000e+00    503s
    73     -1.47563e+02     -1.05274e+02      0.00000e+00    510s
    74     -1.31531e+02     -1.05274e+02      0.00000e+00    516s
    75     -1.32176e+02     -1.05274e+02      0.00000e+00    522s
    76     -1.45523e+02     -1.05274e+02      0.00000e+00    529s
    77     -1.62932e+02     -1.05274e+02      0.00000e+00    536s
    78     -1.82524e+02     -1.05274e+02      0.00000e+00    542s
    79     -1.97677e+02     -1.05274e+02      0.00000e+00    549s
    80     -2.03353e+02     -1.05274e+02      0.00000e+00    556s
    81     -1.96906e+02     -1.05274e+02      0.00000e+00    563s
    82     -1.83232e+02     -1.05274e+02      0.00000e+00    570s
    83     -1.63381e+02     -1.05274e+02      0.00000e+00    577s
    84     -1.43262e+02     -1.05274e+02      0.00000e+00    584s
    85     -1.29241e+02     -1.05274e+02      0.00000e+00    591s
    86     -1.25273e+02     -1.05274e+02      0.00000e+00    598s
    87     -1.31458e+02     -1.05274e+02      0.00000e+00    605s
