==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              12
Number of partitions:         4

Density (%):                  43
Name of instance:             seed1_rand_p0.4_neg0.8_new_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -4.36921e+01     -4.36921e+01     -6.00000e+00     18s
     1     -4.38415e+01     -4.36921e+01     -6.00000e+00     37s
     2     -4.42103e+01     -4.36921e+01     -4.00000e+00     67s
     3     -4.37189e+01     -4.36921e+01     -4.00000e+00     96s
     4     -4.40422e+01     -4.36921e+01     -4.00000e+00    125s
     5     -4.38467e+01     -4.36921e+01     -4.00000e+00    155s
     6     -4.43977e+01     -4.36921e+01     -4.00000e+00    183s
     7     -4.37607e+01     -4.36921e+01     -3.00000e+00    211s
     8     -4.38922e+01     -4.36921e+01     -3.00000e+00    240s
     9     -4.40251e+01     -4.36921e+01     -3.00000e+00    271s
    10     -4.41436e+01     -4.36921e+01     -3.00000e+00    302s
    11     -4.40554e+01     -4.36921e+01     -3.00000e+00    332s
    12     -4.38220e+01     -4.36921e+01     -3.00000e+00    360s
    13     -4.39036e+01     -4.36921e+01     -3.00000e+00    388s
    14     -4.39080e+01     -4.36921e+01     -3.00000e+00    417s
    15     -4.39625e+01     -4.36921e+01     -3.00000e+00    445s
    16     -4.39031e+01     -4.36921e+01     -3.00000e+00    474s
    17     -4.37972e+01     -4.36921e+01     -3.00000e+00    500s
    18     -4.37758e+01     -4.36921e+01     -3.00000e+00    528s
    19     -4.37980e+01     -4.36921e+01     -3.00000e+00    558s
    20     -4.41127e+01     -4.36921e+01     -3.00000e+00    585s
    21     -4.39086e+01     -4.36921e+01     -3.00000e+00    615s
    22     -4.41605e+01     -4.36921e+01     -3.00000e+00    643s
    23     -4.39608e+01     -4.36921e+01     -3.00000e+00    669s
    24     -4.39061e+01     -4.36921e+01     -3.00000e+00    694s
    25     -4.35639e+01     -4.35639e+01     -3.00000e+00    720s
    26     -2.93685e+01     -2.93685e+01     -2.00000e+00    749s
    27     -2.03241e+01     -2.03241e+01     -1.00000e+00    776s
    28     -1.77273e+01     -1.77273e+01     -1.00000e+00    805s
    29     -2.08418e+01     -1.77273e+01     -1.00000e+00    828s
    30     -2.80963e+01     -1.77273e+01     -1.00000e+00    857s
    31     -3.64689e+01     -1.77273e+01     -1.00000e+00    884s
    32     -4.37051e+01     -1.77273e+01     -1.00000e+00    912s
    33     -4.78126e+01     -1.77273e+01     -1.00000e+00    941s
    34     -4.88349e+01     -1.77273e+01     -1.00000e+00    970s
    35     -4.79166e+01     -1.77273e+01     -1.00000e+00    997s
    36     -4.53486e+01     -1.77273e+01     -1.00000e+00   1026s
    37     -4.38907e+01     -1.77273e+01     -1.00000e+00   1052s
    38     -4.59413e+01     -1.77273e+01     -1.00000e+00   1080s
    39     -5.28282e+01     -1.77273e+01     -1.00000e+00   1108s
    40     -6.35679e+01     -1.77273e+01     -1.00000e+00   1136s
    41     -7.74307e+01     -1.77273e+01     -1.00000e+00   1163s
    42     -9.11986e+01     -1.77273e+01     -1.00000e+00   1191s
    43     -1.01407e+02     -1.77273e+01     -1.00000e+00   1220s
    44     -1.06330e+02     -1.77273e+01     -1.00000e+00   1249s
    45     -1.04397e+02     -1.77273e+01     -1.00000e+00   1276s
    46     -9.54616e+01     -1.77273e+01     -1.00000e+00   1306s
    47     -8.01990e+01     -1.77273e+01     -1.00000e+00   1334s
    48     -6.18447e+01     -1.77273e+01     -1.00000e+00   1360s
    49     -4.41918e+01     -1.77273e+01     -1.00000e+00   1386s
    50     -4.40154e+01     -1.77273e+01     -1.00000e+00   1414s
    51     -3.73444e+01     -1.77273e+01     -1.00000e+00   1443s
    52     -3.59830e+01     -1.77273e+01     -1.00000e+00   1473s
    53     -3.92833e+01     -1.77273e+01     -1.00000e+00   1503s
    54     -4.47005e+01     -1.77273e+01      0.00000e+00   1530s
    55     -5.09695e+01     -1.77273e+01      0.00000e+00   1553s
    56     -5.60890e+01     -1.77273e+01      0.00000e+00   1572s
    57     -5.74442e+01     -1.77273e+01      0.00000e+00   1598s
    58     -5.53471e+01     -1.77273e+01      0.00000e+00   1627s
    59     -5.12377e+01     -1.77273e+01      0.00000e+00   1651s
    60     -4.68881e+01     -1.77273e+01      0.00000e+00   1680s
    61     -4.35812e+01     -1.77273e+01      0.00000e+00   1708s
    62     -4.39763e+01     -1.77273e+01      0.00000e+00   1732s
    63     -4.87882e+01     -1.77273e+01      0.00000e+00   1759s
    64     -5.79986e+01     -1.77273e+01      0.00000e+00   1786s
