==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         4

Density (%):                  64
Name of instance:             seed1_rand_p0.6_neg0.8_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -9.65773e+01     -9.65773e+01     -5.00000e+00      2s
     1     -9.70489e+01     -9.65773e+01     -5.00000e+00      3s
     2     -9.72325e+01     -9.65773e+01     -3.00000e+00      4s
     3     -9.70018e+01     -9.65773e+01     -3.00000e+00      6s
     4     -9.67229e+01     -9.65773e+01     -3.00000e+00      7s
     5     -9.68523e+01     -9.65773e+01     -3.00000e+00      8s
     6     -9.68283e+01     -9.65773e+01     -3.00000e+00     10s
     7     -9.63157e+01     -9.63157e+01     -3.00000e+00     11s
     8     -9.73816e+01     -9.63157e+01     -3.00000e+00     12s
     9     -9.74080e+01     -9.63157e+01     -3.00000e+00     13s
    10     -9.74988e+01     -9.63157e+01     -3.00000e+00     14s
    11     -9.71660e+01     -9.63157e+01     -3.00000e+00     16s
    12     -9.68146e+01     -9.63157e+01     -3.00000e+00     17s
    13     -9.71325e+01     -9.63157e+01     -3.00000e+00     18s
    14     -9.72210e+01     -9.63157e+01     -3.00000e+00     19s
    15     -9.69975e+01     -9.63157e+01     -3.00000e+00     21s
    16     -9.68236e+01     -9.63157e+01     -3.00000e+00     22s
    17     -9.65134e+01     -9.63157e+01     -3.00000e+00     23s
    18     -9.70552e+01     -9.63157e+01     -3.00000e+00     24s
    19     -9.66186e+01     -9.63157e+01     -3.00000e+00     26s
    20     -9.66014e+01     -9.63157e+01     -2.00000e+00     27s
    21     -9.66176e+01     -9.63157e+01     -2.00000e+00     28s
    22     -9.73380e+01     -9.63157e+01     -2.00000e+00     29s
    23     -9.73672e+01     -9.63157e+01     -2.00000e+00     31s
    24     -9.68630e+01     -9.63157e+01     -2.00000e+00     32s
    25     -9.65414e+01     -9.63157e+01     -2.00000e+00     33s
    26     -9.72461e+01     -9.63157e+01     -2.00000e+00     34s
    27     -9.69052e+01     -9.63157e+01     -2.00000e+00     36s
    28     -9.64502e+01     -9.63157e+01     -2.00000e+00     37s
    29     -9.71838e+01     -9.63157e+01     -2.00000e+00     38s
    30     -9.69139e+01     -9.63157e+01     -2.00000e+00     39s
    31     -9.71726e+01     -9.63157e+01     -2.00000e+00     40s
    32     -9.62713e+01     -9.62713e+01     -2.00000e+00     42s
    33     -9.69798e+01     -9.62713e+01     -2.00000e+00     43s
    34     -9.68558e+01     -9.62713e+01     -2.00000e+00     44s
    35     -9.75731e+01     -9.62713e+01     -2.00000e+00     45s
    36     -9.70314e+01     -9.62713e+01     -2.00000e+00     47s
    37     -9.70219e+01     -9.62713e+01     -2.00000e+00     48s
    38     -9.75892e+01     -9.62713e+01     -2.00000e+00     49s
    39     -9.67460e+01     -9.62713e+01     -2.00000e+00     50s
    40     -9.71297e+01     -9.62713e+01     -2.00000e+00     52s
    41     -9.70484e+01     -9.62713e+01     -2.00000e+00     53s
