==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         4

Density (%):                  64
Name of instance:             seed1_rand_p0.6_neg0.8_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           False
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.94846e+01     -2.94846e+01     -6.40000e+00      8s
     1     -2.94973e+01     -2.94846e+01     -6.40000e+00     14s
     2     -2.94280e+01     -2.94280e+01     -6.40000e+00     21s
     3     -2.95429e+01     -2.94280e+01     -5.70000e+00     28s
     4     -2.93956e+01     -2.93956e+01     -5.70000e+00     35s
     5     -2.92426e+01     -2.92426e+01     -4.60000e+00     42s
     6     -2.94114e+01     -2.92426e+01     -4.60000e+00     49s
     7     -2.94499e+01     -2.92426e+01     -4.60000e+00     56s
     8     -2.93666e+01     -2.92426e+01     -4.60000e+00     62s
     9     -2.94531e+01     -2.92426e+01     -4.60000e+00     69s
    10     -2.94561e+01     -2.92426e+01     -4.60000e+00     76s
    11     -2.94986e+01     -2.92426e+01     -4.60000e+00     83s
    12     -2.93318e+01     -2.92426e+01     -4.60000e+00     89s
    13     -2.96339e+01     -2.92426e+01     -4.60000e+00     96s
    14     -2.93935e+01     -2.92426e+01     -4.60000e+00    103s
    15     -2.94179e+01     -2.92426e+01     -4.60000e+00    110s
    16     -2.93278e+01     -2.92426e+01     -4.60000e+00    117s
    17     -2.94416e+01     -2.92426e+01     -4.60000e+00    124s
    18     -2.93188e+01     -2.92426e+01     -4.60000e+00    130s
    19     -2.95194e+01     -2.92426e+01     -4.60000e+00    137s
    20     -2.96802e+01     -2.92426e+01     -4.60000e+00    144s
    21     -2.94675e+01     -2.92426e+01     -4.60000e+00    151s
    22     -2.92841e+01     -2.92426e+01     -4.60000e+00    158s
    23     -2.95437e+01     -2.92426e+01     -4.60000e+00    165s
    24     -2.93982e+01     -2.92426e+01     -4.60000e+00    170s
    25     -2.94346e+01     -2.92426e+01     -4.60000e+00    176s
    26     -2.24557e+01     -2.24557e+01     -4.60000e+00    183s
    27     -1.78754e+01     -1.78754e+01     -4.00000e+00    190s
    28     -1.62897e+01     -1.62897e+01     -4.00000e+00    197s
    29     -1.79195e+01     -1.62897e+01     -2.10000e+00    204s
    30     -2.19001e+01     -1.62897e+01     -2.10000e+00    211s
    31     -2.68118e+01     -1.62897e+01     -2.00000e+00    218s
    32     -3.15629e+01     -1.62897e+01     -2.00000e+00    224s
