==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         4

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.0_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.38990e+02     -2.38990e+02      3.00000e+00     10s
     1     -2.37107e+02     -2.37107e+02      4.00000e+00     18s
     2     -2.36218e+02     -2.36218e+02      4.00000e+00     26s
     3     -2.37912e+02     -2.36218e+02      5.00000e+00     33s
     4     -2.36946e+02     -2.36218e+02      1.80000e+01     41s
     5     -2.37664e+02     -2.36218e+02      1.80000e+01     49s
     6     -2.36141e+02     -2.36141e+02      1.80000e+01     57s
     7     -2.38083e+02     -2.36141e+02      1.80000e+01     65s
     8     -2.38414e+02     -2.36141e+02      1.80000e+01     72s
     9     -2.38619e+02     -2.36141e+02      2.00000e+01     80s
    10     -2.38679e+02     -2.36141e+02      2.00000e+01     88s
    11     -2.36174e+02     -2.36141e+02      2.00000e+01     95s
    12     -2.37468e+02     -2.36141e+02      2.10000e+01    103s
    13     -2.35956e+02     -2.35956e+02      2.10000e+01    111s
    14     -2.36429e+02     -2.35956e+02      2.10000e+01    119s
    15     -2.37318e+02     -2.35956e+02      2.10000e+01    127s
    16     -2.37105e+02     -2.35956e+02      2.10000e+01    135s
    17     -2.37546e+02     -2.35956e+02      2.10000e+01    143s
    18     -2.37239e+02     -2.35956e+02      2.10000e+01    151s
    19     -2.38036e+02     -2.35956e+02      2.10000e+01    158s
    20     -2.36557e+02     -2.35956e+02      2.10000e+01    166s
    21     -2.36102e+02     -2.35956e+02      2.10000e+01    174s
    22     -2.35952e+02     -2.35952e+02      2.10000e+01    182s
    23     -2.36409e+02     -2.35952e+02      2.10000e+01    189s
    24     -2.36819e+02     -2.35952e+02      2.10000e+01    196s
    25     -2.36242e+02     -2.35952e+02      2.10000e+01    203s
    26     -2.15459e+02     -2.15459e+02      2.10000e+01    211s
    27     -2.15615e+02     -2.15459e+02      2.10000e+01    219s
    28     -2.37874e+02     -2.15459e+02      2.10000e+01    227s
    29     -2.75602e+02     -2.15459e+02      2.10000e+01    235s
    30     -3.08201e+02     -2.15459e+02      2.10000e+01    242s
    31     -3.27750e+02     -2.15459e+02      2.10000e+01    250s
    32     -3.30382e+02     -2.15459e+02      2.10000e+01    258s
    33     -3.12219e+02     -2.15459e+02      2.10000e+01    266s
    34     -2.83612e+02     -2.15459e+02      2.10000e+01    274s
    35     -2.53990e+02     -2.15459e+02      2.10000e+01    281s
    36     -2.36915e+02     -2.15459e+02      2.10000e+01    289s
    37     -2.36228e+02     -2.15459e+02      2.10000e+01    297s
    38     -2.63883e+02     -2.15459e+02      2.10000e+01    305s
    39     -3.16751e+02     -2.15459e+02      2.10000e+01    312s
