==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              23
Number of partitions:         4

Density (%):                  82
Name of instance:             seed1_rand_p0.8_neg0.4_new_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Naive Penalty Coef:           True
Penalty Multiplier:           1

Gates Error Probability:      0.0
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -7.84510e+01     -7.84510e+01      4.00000e+00     31s
     1     -7.94534e+01     -7.84510e+01      4.00000e+00     64s
     2     -7.86769e+01     -7.84510e+01      5.00000e+00     98s
     3     -7.92178e+01     -7.84510e+01      8.00000e+00    131s
     4     -7.97232e+01     -7.84510e+01      8.00000e+00    163s
     5     -7.89055e+01     -7.84510e+01      8.00000e+00    198s
     6     -7.84981e+01     -7.84510e+01      8.00000e+00    232s
     7     -7.84494e+01     -7.84494e+01      8.00000e+00    262s
     8     -7.91387e+01     -7.84494e+01      8.00000e+00    296s
     9     -7.90048e+01     -7.84494e+01      8.00000e+00    328s
    10     -7.87601e+01     -7.84494e+01      8.00000e+00    361s
    11     -7.87654e+01     -7.84494e+01      8.00000e+00    393s
    12     -7.92217e+01     -7.84494e+01      8.00000e+00    426s
    13     -7.91492e+01     -7.84494e+01      8.00000e+00    455s
    14     -7.93057e+01     -7.84494e+01      8.00000e+00    485s
    15     -7.89665e+01     -7.84494e+01      8.00000e+00    515s
    16     -7.92606e+01     -7.84494e+01      8.00000e+00    548s
    17     -7.92026e+01     -7.84494e+01      8.00000e+00    580s
    18     -7.90402e+01     -7.84494e+01      8.00000e+00    610s
    19     -7.90733e+01     -7.84494e+01      8.00000e+00    636s
    20     -7.94375e+01     -7.84494e+01      8.00000e+00    663s
    21     -7.99128e+01     -7.84494e+01      8.00000e+00    692s
    22     -7.88867e+01     -7.84494e+01      8.00000e+00    720s
    23     -7.86350e+01     -7.84494e+01      8.00000e+00    756s
    24     -7.92218e+01     -7.84494e+01      8.00000e+00    784s
    25     -7.85799e+01     -7.84494e+01      8.00000e+00    814s
    26     -6.67581e+01     -6.67581e+01      9.00000e+00    845s
    27     -6.10313e+01     -6.10313e+01      1.10000e+01    880s
    28     -6.33680e+01     -6.10313e+01      1.10000e+01    915s
    29     -6.72836e+01     -6.10313e+01      1.10000e+01    948s
    30     -7.21785e+01     -6.10313e+01      1.10000e+01    976s
    31     -7.39541e+01     -6.10313e+01      1.10000e+01   1010s
    32     -7.21935e+01     -6.10313e+01      1.10000e+01   1046s
    33     -6.73681e+01     -6.10313e+01      1.10000e+01   1081s
    34     -6.22113e+01     -6.10313e+01      1.10000e+01   1116s
    35     -6.06158e+01     -6.06158e+01      1.10000e+01   1143s
    36     -6.55129e+01     -6.06158e+01      1.10000e+01   1178s
    37     -7.92340e+01     -6.06158e+01      1.10000e+01   1211s
    38     -1.00502e+02     -6.06158e+01      1.10000e+01   1243s
    39     -1.27645e+02     -6.06158e+01      1.10000e+01   1276s
    40     -1.57051e+02     -6.06158e+01      1.10000e+01   1313s
    41     -1.82659e+02     -6.06158e+01      1.10000e+01   1348s
