==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           19
Number of edges:              51
Number of partitions:         2

Density (%):                  30
Name of instance:             seed1_band
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      1.37800e+00      1.37800e+00      1.30000e+01      2s
     3      1.63400e+00      1.63400e+00      1.50000e+01      3s
     6      1.51900e+00      1.76400e+00      1.50000e+01      5s
     9      1.64500e+00      1.76400e+00      1.50000e+01      6s
    11      1.45400e+00      1.76400e+00      1.50000e+01      7s
    13      1.41400e+00      1.76400e+00      1.50000e+01      8s
    15      1.60400e+00      1.76400e+00      1.50000e+01     10s
    18      1.48400e+00      1.76400e+00      1.50000e+01     11s
    20      1.64600e+00      1.76400e+00      1.50000e+01     12s
    22      1.47700e+00      1.76400e+00      1.50000e+01     13s
    24      1.42700e+00      1.76400e+00      1.50000e+01     15s
    26      1.40500e+00      1.76400e+00      1.50000e+01     16s
    28      1.49800e+00      1.76400e+00      1.50000e+01     17s
    30      1.41300e+00      1.76400e+00      1.50000e+01     18s
    32      1.52300e+00      1.76400e+00      1.50000e+01     19s
    35      1.40600e+00      1.76400e+00      1.50000e+01     21s
    37      1.67200e+00      1.76400e+00      1.50000e+01     22s
    39      1.36700e+00      1.76400e+00      1.50000e+01     23s
    41      1.76000e+00      1.76400e+00      1.50000e+01     24s
    43      1.55100e+00      1.76400e+00      1.50000e+01     25s
    45      1.26100e+00      1.76400e+00      1.50000e+01     27s
    48      1.54900e+00      1.76400e+00      1.50000e+01     28s
    51      1.78100e+00      1.78100e+00      1.50000e+01     30s
    53      1.97000e+00      1.97000e+00      1.60000e+01     31s
    55      1.74400e+00      1.97000e+00      1.60000e+01     32s
    57      1.48200e+00      1.97000e+00      1.60000e+01     33s
    59      1.38900e+00      1.97000e+00      1.60000e+01     35s
    61      1.33500e+00      1.97000e+00      1.60000e+01     36s
