==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           26
Number of edges:              72
Number of partitions:         2

Density (%):                  22
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0      6.41600e+00      6.41600e+00      2.20000e+01      2s
     2      6.52600e+00      6.52600e+00      2.20000e+01      3s
     4      6.63200e+00      6.63200e+00      2.40000e+01      4s
     6      6.47900e+00      6.63200e+00      2.40000e+01      5s
     8      6.42100e+00      6.63200e+00      2.60000e+01      6s
    10      6.45500e+00      6.63200e+00      2.60000e+01      8s
    12      6.21800e+00      6.63200e+00      2.60000e+01      9s
    14      6.69500e+00      6.69500e+00      2.60000e+01     10s
    16      6.35300e+00      6.69500e+00      2.60000e+01     11s
    18      6.54300e+00      6.69500e+00      2.60000e+01     13s
    20      6.62300e+00      6.69500e+00      2.60000e+01     14s
    23      6.58600e+00      6.69500e+00      2.60000e+01     16s
    25      6.39000e+00      6.69500e+00      2.60000e+01     17s
    27      6.47200e+00      6.69500e+00      2.60000e+01     18s
    29      6.90800e+00      6.90800e+00      2.60000e+01     19s
    31      6.46700e+00      6.90800e+00      2.60000e+01     20s
    33      6.65400e+00      6.90800e+00      2.60000e+01     22s
    35      6.49800e+00      6.90800e+00      2.60000e+01     23s
    37      6.54400e+00      6.90800e+00      2.60000e+01     24s
    39      6.38800e+00      6.90800e+00      2.60000e+01     26s
    41      6.14100e+00      6.90800e+00      2.60000e+01     27s
    43      6.60100e+00      6.90800e+00      2.60000e+01     28s
    45      6.49500e+00      6.90800e+00      2.60000e+01     29s
    47      6.52500e+00      6.90800e+00      2.60000e+01     31s
    49      6.55600e+00      6.90800e+00      2.60000e+01     32s
    51      7.17800e+00      7.17800e+00      2.60000e+01     33s
    53      7.86100e+00      7.86100e+00      2.60000e+01     34s
    55      6.96200e+00      7.86500e+00      2.60000e+01     36s
    57      6.00200e+00      7.86500e+00      2.60000e+01     37s
    59      5.38200e+00      7.86500e+00      2.60000e+01     38s
    61      6.05900e+00      7.86500e+00      2.60000e+01     39s
    63      7.28500e+00      7.86500e+00      2.60000e+01     40s
    65      7.05100e+00      7.86500e+00      2.60000e+01     42s
    67      6.99800e+00      7.86500e+00      2.60000e+01     43s
    69      6.36900e+00      7.86500e+00      2.60000e+01     44s
    71      5.25000e+00      7.86500e+00      2.60000e+01     46s
    73      5.55300e+00      7.86500e+00      2.60000e+01     47s
    75      6.81800e+00      7.86500e+00      2.60000e+01     48s
    77      7.71300e+00      7.86500e+00      2.60000e+01     49s
    79      7.35000e+00      7.86700e+00      2.60000e+01     51s
    81      6.42800e+00      7.86700e+00      2.60000e+01     52s
    83      5.57600e+00      7.86700e+00      2.60000e+01     53s
    85      5.52400e+00      7.86700e+00      2.60000e+01     55s
    88      7.22100e+00      7.86700e+00      2.60000e+01     56s
    90      7.70900e+00      7.86700e+00      2.60000e+01     58s
    92      7.17000e+00      7.86700e+00      2.60000e+01     59s
    94      6.05600e+00      7.86700e+00      2.60000e+01     60s
    96      5.39800e+00      7.86700e+00      2.60000e+01     61s
    98      5.71100e+00      7.86700e+00      2.60000e+01     63s
   100      6.45700e+00      7.86700e+00      2.60000e+01     64s
   102      8.30900e+00      8.30900e+00      2.60000e+01     65s
   104      8.36600e+00      8.38900e+00      2.60000e+01     66s
   106      6.96000e+00      8.38900e+00      2.60000e+01     68s
   108      4.87200e+00      8.38900e+00      2.60000e+01     69s
   110      4.76600e+00      8.38900e+00      2.60000e+01     70s
   112      6.30400e+00      8.38900e+00      2.60000e+01     72s
   114      8.22100e+00      8.38900e+00      2.60000e+01     73s
   116      8.27100e+00      8.39200e+00      2.60000e+01     74s
   118      6.67900e+00      8.39200e+00      2.60000e+01     76s
   120      5.42300e+00      8.39200e+00      2.60000e+01     77s
   122      4.74600e+00      8.39200e+00      2.60000e+01     78s
   124      6.04900e+00      8.39200e+00      2.60000e+01     80s
   126      7.81500e+00      8.39200e+00      2.60000e+01     81s
   128      8.38400e+00      8.39200e+00      2.60000e+01     82s
   130      7.13300e+00      8.39200e+00      2.60000e+01     84s
   132      5.52800e+00      8.39200e+00      2.60000e+01     85s
   134      4.76600e+00      8.39200e+00      2.60000e+01     86s
   136      5.61800e+00      8.39200e+00      2.60000e+01     87s
   138      7.54700e+00      8.39200e+00      2.60000e+01     89s
   140      8.44500e+00      8.44500e+00      2.60000e+01     90s
   142      7.28400e+00      8.44500e+00      2.60000e+01     91s
   144      5.63300e+00      8.44500e+00      2.60000e+01     92s
   146      4.62200e+00      8.44500e+00      2.60000e+01     94s
   148      5.54100e+00      8.44500e+00      2.60000e+01     95s
   150      6.39500e+00      8.44500e+00      2.60000e+01     96s
   152      8.00100e+00      8.44500e+00      2.60000e+01     97s
   154      8.12200e+00      8.44500e+00      2.60000e+01     99s
   156      6.69600e+00      8.44500e+00      2.60000e+01    100s
   158      4.92000e+00      8.44500e+00      2.60000e+01    101s
   160      5.08600e+00      8.44500e+00      2.60000e+01    102s
   162      6.43800e+00      8.44500e+00      2.60000e+01    103s
   164      8.12400e+00      8.44500e+00      2.60000e+01    105s
   166      8.39800e+00      8.45400e+00      2.60000e+01    106s
   168      7.08900e+00      8.45400e+00      2.60000e+01    107s
   170      5.11900e+00      8.45400e+00      2.60000e+01    109s
   172      4.87200e+00      8.45400e+00      2.60000e+01    110s
   174      5.87900e+00      8.45400e+00      2.60000e+01    111s
   176      7.82800e+00      8.45400e+00      2.60000e+01    112s
   178      8.78100e+00      8.78100e+00      2.60000e+01    113s
   180      7.40000e+00      8.78100e+00      2.60000e+01    115s
   182      5.35500e+00      8.78100e+00      2.60000e+01    116s
   184      4.40800e+00      8.78100e+00      2.60000e+01    117s
   186      5.53300e+00      8.78100e+00      2.60000e+01    119s
   188      7.77500e+00      8.78100e+00      2.60000e+01    120s
   190      8.40500e+00      8.78100e+00      2.60000e+01    121s
   192      7.50400e+00      8.78100e+00      2.60000e+01    123s
   194      5.74100e+00      8.78100e+00      2.60000e+01    124s
   196      4.56500e+00      8.78100e+00      2.60000e+01    125s
   198      5.63000e+00      8.78100e+00      2.60000e+01    127s
   200      6.65500e+00      8.78100e+00      2.60000e+01    128s
   202      7.91000e+00      8.78100e+00      2.60000e+01    129s
   204      8.05900e+00      8.78100e+00      2.60000e+01    131s
   206      6.95000e+00      8.78100e+00      2.60000e+01    132s
   208      5.55100e+00      8.78100e+00      2.60000e+01    133s
   210      5.09900e+00      8.78100e+00      2.60000e+01    135s
   212      6.50700e+00      8.78100e+00      2.60000e+01    136s
   214      7.85100e+00      8.78100e+00      2.60000e+01    137s
   216      7.99100e+00      8.78100e+00      2.60000e+01    138s
   218      6.64000e+00      8.78100e+00      2.60000e+01    139s
   220      5.60100e+00      8.78100e+00      2.60000e+01    141s
   222      5.07300e+00      8.78100e+00      2.60000e+01    142s
