==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              15
Number of partitions:         2

Density (%):                  71
Name of instance:             seed1_band_pen_naive
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2     -1.04090e+01     -1.04090e+01      1.00000e+01      1s
    10     -1.12830e+01     -1.04090e+01      1.00000e+01      2s
    17     -1.08100e+01     -1.04090e+01      1.00000e+01      3s
    24     -1.08720e+01     -1.04090e+01      1.00000e+01      4s
    31     -1.10910e+01     -1.04090e+01      1.00000e+01      5s
    39     -1.08670e+01     -1.04090e+01      1.00000e+01      6s
    47     -1.11780e+01     -1.04090e+01      1.00000e+01      7s
    56     -1.03990e+01     -3.63700e+00      1.00000e+01      9s
    64     -5.26400e+00     -3.63700e+00      1.00000e+01     10s
    73     -1.61990e+01     -3.63700e+00      1.00000e+01     11s
    81     -1.23270e+01     -3.63700e+00      1.00000e+01     12s
    89     -4.75400e+00     -3.63700e+00      1.00000e+01     13s
    97     -1.75020e+01     -3.63700e+00      1.00000e+01     14s
   106     -1.05280e+01      2.10000e-01      1.00000e+01     15s
   116     -9.49000e-01      2.10000e-01      1.00000e+01     16s
   126     -3.13500e+00      2.10000e-01      1.00000e+01     17s
   136     -1.53860e+01      2.10000e-01      1.00000e+01     18s
   146     -2.30390e+01      2.10000e-01      1.00000e+01     19s
   155     -5.82500e+00      2.10000e-01      1.00000e+01     20s
   164     -3.27700e+00      2.10000e-01      1.00000e+01     21s
   173     -1.86800e+01      2.10000e-01      1.00000e+01     22s
   182     -1.87190e+01      2.10000e-01      1.00000e+01     23s
   191     -3.40400e+00      2.10000e-01      1.00000e+01     24s
   200     -1.09880e+01      2.10000e-01      1.00000e+01     26s
   210     -1.74640e+01      2.10000e-01      1.00000e+01     27s
   219     -1.48170e+01      2.10000e-01      1.00000e+01     28s
   227     -5.61100e+00      2.10000e-01      1.00000e+01     29s
   236     -1.38020e+01      2.10000e-01      1.00000e+01     30s
   244     -1.56980e+01      2.10000e-01      1.00000e+01     31s
   253     -1.15920e+01      2.10000e-01      1.00000e+01     32s
   262     -1.11890e+01      2.10000e-01      1.00000e+01     33s
   270     -1.32170e+01      2.10000e-01      1.00000e+01     34s
   279     -1.29140e+01      2.10000e-01      1.00000e+01     35s
   288     -9.80900e+00      2.10000e-01      1.00000e+01     36s
   297     -1.21480e+01      2.10000e-01      1.00000e+01     37s
   305     -1.57640e+01      2.10000e-01      1.00000e+01     38s
   314     -1.28920e+01      2.10000e-01      1.00000e+01     39s
   324     -1.02280e+01      2.10000e-01      1.00000e+01     41s
   334     -1.06000e+01      2.10000e-01      1.00000e+01     42s
   343     -1.20970e+01      2.10000e-01      1.00000e+01     43s
   352     -1.52710e+01      2.10000e-01      1.00000e+01     44s
   361     -9.58300e+00      2.10000e-01      1.00000e+01     45s
   370     -8.98400e+00      2.10000e-01      1.00000e+01     46s
   379     -1.63740e+01      2.10000e-01      1.00000e+01     47s
   388     -1.29360e+01      2.10000e-01      1.00000e+01     48s
   398     -9.04100e+00      2.10000e-01      1.00000e+01     49s
   407     -1.23440e+01      2.10000e-01      1.00000e+01     50s
   415     -1.36300e+01      2.10000e-01      1.00000e+01     51s
   423     -8.69100e+00      2.10000e-01      1.00000e+01     52s
   432     -1.13030e+01      2.10000e-01      1.00000e+01     53s
   441     -1.36510e+01      2.10000e-01      1.00000e+01     54s
   450     -1.08000e+01      2.10000e-01      1.00000e+01     56s
   459     -1.07380e+01      2.10000e-01      1.00000e+01     57s
   468     -1.14320e+01      2.10000e-01      1.00000e+01     58s
   477     -1.28810e+01      2.10000e-01      1.00000e+01     59s
   487     -1.08320e+01      2.10000e-01      1.00000e+01     60s
   496     -9.41300e+00      2.10000e-01      1.00000e+01     61s
   504     -1.15730e+01      2.10000e-01      1.00000e+01     62s
   513     -1.10870e+01      2.10000e-01      1.00000e+01     63s
   522     -1.11220e+01      2.10000e-01      1.00000e+01     64s
   530     -1.21040e+01      2.10000e-01      1.00000e+01     65s
   538     -1.12730e+01      2.10000e-01      1.00000e+01     66s
   547     -1.13420e+01      2.10000e-01      1.00000e+01     67s
   556     -1.15020e+01      2.10000e-01      1.00000e+01     69s
   565     -1.09160e+01      2.10000e-01      1.00000e+01     70s
   574     -1.14330e+01      2.10000e-01      1.00000e+01     71s
   582     -1.18920e+01      2.10000e-01      1.00000e+01     72s
   590     -1.09730e+01      2.10000e-01      1.00000e+01     73s
   599     -1.11550e+01      2.10000e-01      1.00000e+01     74s
   608     -1.09830e+01      2.10000e-01      1.00000e+01     75s
   617     -1.13400e+01      2.10000e-01      1.00000e+01     76s
   626     -1.06070e+01      2.10000e-01      1.00000e+01     77s
   635     -1.13750e+01      2.10000e-01      1.00000e+01     78s
   644     -1.18930e+01      2.10000e-01      1.00000e+01     79s
