==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              18
Number of partitions:         2

Density (%):                  64
Name of instance:             seed1_band_pen_tight
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -3.61800e+00     -3.61800e+00      6.00000e+00      1s
     6     -3.76600e+00     -3.61800e+00      8.00000e+00      2s
    12     -3.72500e+00     -3.61800e+00      8.00000e+00      3s
    18     -3.82700e+00     -3.58400e+00      9.00000e+00      4s
    23     -3.70600e+00     -3.58400e+00      9.00000e+00      6s
    29     -3.80200e+00     -3.58400e+00      9.00000e+00      7s
    35     -3.84450e+00     -3.55700e+00      9.00000e+00      8s
    41     -3.90950e+00     -3.55700e+00      9.00000e+00      9s
    47     -3.71150e+00     -3.55700e+00      9.00000e+00     10s
    52     -2.50450e+00     -2.50450e+00      9.00000e+00     11s
    58     -4.20000e+00     -2.13500e+00      9.00000e+00     12s
    64     -3.21550e+00     -2.13500e+00      9.00000e+00     13s
    70     -5.30050e+00     -2.13500e+00      9.00000e+00     15s
    75     -3.39500e+00     -2.13500e+00      9.00000e+00     16s
    80     -2.78200e+00     -1.93200e+00      9.00000e+00     17s
    86     -3.95800e+00     -1.93200e+00      9.00000e+00     18s
    92     -3.94400e+00     -1.93200e+00      9.00000e+00     19s
    98     -4.70450e+00     -1.93200e+00      9.00000e+00     20s
   103     -8.02000e-01     -8.02000e-01      9.00000e+00     21s
   109     -5.39600e+00     -8.02000e-01      9.00000e+00     23s
   115     -2.35250e+00     -8.02000e-01      9.00000e+00     24s
   121     -7.13600e+00     -8.02000e-01      9.00000e+00     25s
   126     -1.65900e+00     -8.02000e-01      9.00000e+00     26s
   131     -3.39350e+00     -8.02000e-01      9.00000e+00     27s
   137     -3.43350e+00     -8.02000e-01      9.00000e+00     28s
   143     -5.20400e+00     -8.02000e-01      9.00000e+00     29s
   148     -5.12950e+00     -8.02000e-01      9.00000e+00     30s
   152     -7.58000e-01     -7.58000e-01      9.00000e+00     31s
   159     -6.06550e+00     -2.66500e-01      9.00000e+00     32s
   166     -2.46700e+00     -2.66500e-01      9.00000e+00     33s
   172     -7.90900e+00     -2.66500e-01      9.00000e+00     34s
   178     -7.85000e-02     -7.85000e-02      9.00000e+00     35s
   185     -5.59250e+00     -7.85000e-02      9.00000e+00     37s
   192     -4.34150e+00     -7.85000e-02      9.00000e+00     38s
   198     -5.84500e+00     -7.85000e-02      9.00000e+00     39s
   204     -4.00000e-01      1.27000e-01      9.00000e+00     40s
   210     -6.30750e+00      1.27000e-01      9.00000e+00     41s
   216     -2.57700e+00      1.27000e-01      9.00000e+00     42s
   223     -6.72750e+00      1.27000e-01      9.00000e+00     43s
   229     -8.88000e-01      1.27000e-01      9.00000e+00     44s
   235     -5.85750e+00      1.27000e-01      9.00000e+00     45s
   242     -4.52250e+00      1.27000e-01      9.00000e+00     46s
   249     -3.90650e+00      1.27000e-01      9.00000e+00     48s
   255     -2.05700e+00      1.27000e-01      9.00000e+00     49s
   261     -5.41150e+00      1.27000e-01      9.00000e+00     50s
   267     -3.74250e+00      1.27000e-01      9.00000e+00     51s
   274     -4.83850e+00      1.27000e-01      9.00000e+00     52s
   280     -2.88900e+00      1.27000e-01      9.00000e+00     53s
   286     -4.76150e+00      1.27000e-01      9.00000e+00     54s
   292     -4.77450e+00      1.27000e-01      9.00000e+00     55s
   299     -3.67950e+00      1.27000e-01      9.00000e+00     56s
   305     -2.73600e+00      1.27000e-01      9.00000e+00     58s
   311     -5.12850e+00      1.27000e-01      9.00000e+00     59s
   318     -5.00050e+00      1.27000e-01      9.00000e+00     60s
   324     -4.60350e+00      1.27000e-01      9.00000e+00     61s
   330     -3.30800e+00      1.27000e-01      9.00000e+00     62s
   335     -5.54550e+00      1.27000e-01      9.00000e+00     63s
   341     -3.18050e+00      1.27000e-01      9.00000e+00     64s
   347     -6.48000e+00      1.27000e-01      9.00000e+00     65s
   352     -2.20950e+00      1.27000e-01      9.00000e+00     66s
   357     -5.33250e+00      1.27000e-01      9.00000e+00     67s
   364     -2.57950e+00      1.27000e-01      9.00000e+00     68s
   370     -6.16300e+00      1.27000e-01      9.00000e+00     69s
   376     -2.40750e+00      1.27000e-01      9.00000e+00     71s
   381     -4.96650e+00      1.27000e-01      9.00000e+00     72s
   387     -3.64100e+00      1.27000e-01      9.00000e+00     73s
   393     -5.12400e+00      1.27000e-01      9.00000e+00     74s
   399     -3.75200e+00      1.27000e-01      9.00000e+00     75s
   403     -2.69650e+00      1.27000e-01      9.00000e+00     76s
   410     -5.32500e+00      1.27000e-01      9.00000e+00     77s
   416     -2.90750e+00      1.27000e-01      9.00000e+00     78s
   422     -5.30200e+00      1.27000e-01      9.00000e+00     79s
   426     -3.04450e+00      1.27000e-01      9.00000e+00     80s
   432     -5.71200e+00      1.27000e-01      9.00000e+00     81s
   438     -2.73100e+00      1.27000e-01      9.00000e+00     82s
   444     -5.09800e+00      1.27000e-01      9.00000e+00     84s
   449     -3.67500e+00      1.27000e-01      9.00000e+00     85s
   455     -4.39350e+00      1.27000e-01      9.00000e+00     86s
   461     -4.49850e+00      1.27000e-01      9.00000e+00     87s
   466     -2.88650e+00      1.27000e-01      9.00000e+00     88s
   472     -4.61250e+00      1.27000e-01      9.00000e+00     89s
   478     -3.64700e+00      1.27000e-01      9.00000e+00     90s
   484     -5.32700e+00      1.27000e-01      9.00000e+00     91s
   490     -2.84400e+00      1.27000e-01      9.00000e+00     92s
   496     -4.76350e+00      1.27000e-01      9.00000e+00     93s
   503     -3.83000e+00      1.27000e-01      9.00000e+00     95s
   509     -5.30400e+00      1.27000e-01      9.00000e+00     96s
   514     -3.11550e+00      1.27000e-01      9.00000e+00     97s
   520     -3.97450e+00      1.27000e-01      9.00000e+00     98s
   527     -3.69050e+00      1.27000e-01      9.00000e+00     99s
   533     -5.19850e+00      1.27000e-01      9.00000e+00    100s
   538     -3.47550e+00      1.27000e-01      9.00000e+00    101s
   544     -3.79100e+00      1.27000e-01      9.00000e+00    102s
   551     -3.80200e+00      1.27000e-01      9.00000e+00    103s
   557     -4.95500e+00      1.27000e-01      9.00000e+00    104s
   563     -3.54500e+00      1.27000e-01      9.00000e+00    105s
   568     -3.22150e+00      1.27000e-01      9.00000e+00    107s
   574     -3.82050e+00      1.27000e-01      9.00000e+00    108s
   580     -4.59200e+00      1.27000e-01      9.00000e+00    109s
   586     -4.16600e+00      1.27000e-01      9.00000e+00    110s
   593     -3.45100e+00      1.27000e-01      9.00000e+00    111s
