==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           5
Number of edges:              4
Number of partitions:         3

Density (%):                  40
Name of instance:             seed1_rand_p0.4_neg0.4_tight
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Shots:               10000
QAOA Scipy Optimizer:         brute
QAOA Angles:                  [0.26, 0.38]
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2     -9.30333e-01     -8.67740e-01      4.00000e+00      1s
     7     -9.07890e-01     -8.42280e-01      4.00000e+00      2s
    12     -9.04013e-01     -8.42280e-01      4.00000e+00      3s
    17     -9.16017e-01     -8.42280e-01      4.00000e+00      4s
    22     -9.10593e-01     -8.42280e-01      4.00000e+00      5s
    27     -9.20080e-01     -8.42280e-01      4.00000e+00      7s
    32     -8.85560e-01     -8.42280e-01      4.00000e+00      8s
    37     -8.93307e-01     -8.40237e-01      4.00000e+00      9s
    42     -8.96527e-01     -8.40237e-01      4.00000e+00     10s
    47     -9.08053e-01     -8.40237e-01      4.00000e+00     11s
    52     -1.94153e-01     -1.94153e-01      4.00000e+00     12s
    57     -1.44630e-01      8.88433e-02      4.00000e+00     13s
    62     -8.97250e-01      8.88433e-02      4.00000e+00     14s
    67     -1.79334e+00      8.88433e-02      4.00000e+00     15s
    72     -1.76077e+00      8.88433e-02      4.00000e+00     16s
    77     -9.82200e-02      8.88433e-02      4.00000e+00     17s
    82     -2.22930e-01      8.88433e-02      4.00000e+00     18s
    87     -9.41077e-01      8.88433e-02      4.00000e+00     19s
    92     -1.92186e+00      8.88433e-02      4.00000e+00     20s
    97     -1.63853e+00      8.88433e-02      4.00000e+00     21s
   102      2.94877e-01      2.94877e-01      4.00000e+00     22s
   108      8.94000e-02      7.82033e-01      4.00000e+00     23s
   113     -1.11575e+00      7.82033e-01      4.00000e+00     24s
   119     -3.33428e+00      7.82033e-01      4.00000e+00     26s
   124     -1.32755e+00      7.82033e-01      4.00000e+00     27s
   130      6.52813e-01      7.82033e-01      4.00000e+00     28s
   136     -6.97350e-01      7.82033e-01      4.00000e+00     29s
   142     -2.95578e+00      7.82033e-01      4.00000e+00     30s
   148     -1.64158e+00      7.82033e-01      4.00000e+00     31s
   154      1.23099e+00      1.23099e+00      4.00000e+00     32s
   160     -2.94600e-01      1.23099e+00      4.00000e+00     33s
   165     -2.33191e+00      1.23099e+00      4.00000e+00     34s
   171     -4.01093e+00      1.23099e+00      4.00000e+00     35s
   176      4.10037e-01      1.23099e+00      4.00000e+00     37s
   183      1.12103e-01      1.24445e+00      4.00000e+00     38s
   188     -1.42987e+00      1.24445e+00      4.00000e+00     39s
   194     -4.43529e+00      1.24445e+00      4.00000e+00     40s
   200     -8.41283e-01      1.24445e+00      4.00000e+00     41s
   207      7.85003e-01      1.50909e+00      4.00000e+00     42s
   213     -1.31617e+00      1.50909e+00      4.00000e+00     43s
   219     -5.27885e+00      1.50909e+00      4.00000e+00     44s
   225     -3.74257e-01      1.50909e+00      4.00000e+00     45s
   232      6.31557e-01      1.50909e+00      4.00000e+00     46s
   238     -1.57369e+00      1.50909e+00      4.00000e+00     48s
   245     -4.93172e+00      1.50909e+00      4.00000e+00     49s
   250     -8.88707e-01      1.50909e+00      4.00000e+00     50s
   257      8.60020e-01      1.60168e+00      4.00000e+00     51s
   263     -1.34312e+00      1.60168e+00      4.00000e+00     52s
   269     -5.77264e+00      1.60168e+00      4.00000e+00     53s
   275     -3.23193e-01      1.60168e+00      4.00000e+00     54s
   282      7.12293e-01      1.60168e+00      4.00000e+00     55s
   288     -1.74482e+00      1.60168e+00      4.00000e+00     56s
   295     -5.35806e+00      1.60168e+00      4.00000e+00     58s
   301      2.19203e-01      1.60168e+00      4.00000e+00     59s
   308      5.61647e-01      1.60168e+00      4.00000e+00     60s
   314     -2.22896e+00      1.60168e+00      4.00000e+00     61s
   321     -5.16533e+00      1.60168e+00      4.00000e+00     62s
   327      1.23636e+00      1.60168e+00      4.00000e+00     63s
   334      1.76020e-01      1.60168e+00      4.00000e+00     64s
   340     -3.74124e+00      1.60168e+00      4.00000e+00     65s
   347     -3.49739e+00      1.60168e+00      4.00000e+00     67s
   352      9.39020e-01      1.60168e+00      4.00000e+00     68s
   359      2.60210e-01      1.60168e+00      4.00000e+00     69s
   365     -3.35506e+00      1.60168e+00      4.00000e+00     70s
   372     -4.10961e+00      1.60168e+00      4.00000e+00     71s
   378      1.41506e+00      1.60168e+00      4.00000e+00     72s
   385     -8.93900e-02      1.60168e+00      4.00000e+00     73s
   391     -4.90451e+00      1.60168e+00      4.00000e+00     74s
   398     -2.12181e+00      1.60168e+00      4.00000e+00     75s
   404      1.25898e+00      1.60168e+00      4.00000e+00     76s
   411     -2.98510e-01      1.60168e+00      4.00000e+00     77s
   417     -5.36275e+00      1.60168e+00      4.00000e+00     78s
   424     -1.51768e+00      1.60168e+00      4.00000e+00     80s
   430      9.90773e-01      1.60168e+00      4.00000e+00     81s
   436     -4.40310e-01      1.60168e+00      4.00000e+00     82s
   442     -5.77066e+00      1.60168e+00      4.00000e+00     83s
   449     -9.38790e-01      1.60168e+00      4.00000e+00     84s
   455      9.50763e-01      1.60168e+00      4.00000e+00     85s
   462     -7.21617e-01      1.60168e+00      4.00000e+00     86s
   468     -5.91123e+00      1.60168e+00      4.00000e+00     87s
   474     -1.47438e+00      1.60168e+00      4.00000e+00     88s
   480      8.51743e-01      1.60168e+00      4.00000e+00     89s
   486     -4.95277e-01      1.60168e+00      4.00000e+00     90s
   492     -5.67249e+00      1.60168e+00      4.00000e+00     91s
   499     -9.20047e-01      1.60168e+00      4.00000e+00     93s
