==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              14
Number of partitions:         3

Density (%):                  93
Name of instance:             seed1_band_pen_new_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -5.20910e+00     -5.20910e+00      5.00000e+00      1s
     4     -4.97610e+00     -4.93663e+00      6.00000e+00      2s
    10     -5.12630e+00     -4.93663e+00      6.00000e+00      4s
    14     -5.43933e+00     -4.93663e+00      6.00000e+00      5s
    18     -5.03947e+00     -4.93663e+00      7.00000e+00      6s
    22     -4.99550e+00     -4.93663e+00      7.00000e+00      7s
    28     -5.10263e+00     -4.93663e+00      7.00000e+00      8s
    33     -5.21440e+00     -4.93663e+00      7.00000e+00      9s
    38     -5.03973e+00     -4.93663e+00      7.00000e+00     10s
    42     -4.74217e+00     -4.74217e+00      7.00000e+00     11s
    48     -5.40637e+00     -4.74217e+00      7.00000e+00     12s
    53     -1.88463e+00     -1.88463e+00      7.00000e+00     14s
    57     -3.28987e+00     -1.88463e+00      7.00000e+00     15s
    62     -4.90547e+00     -1.88463e+00      7.00000e+00     16s
    66     -7.09357e+00     -1.88463e+00      7.00000e+00     17s
    72     -8.50017e+00     -1.88463e+00      7.00000e+00     18s
    76     -3.25803e+00     -1.88463e+00      7.00000e+00     19s
    81     -3.07150e+00     -1.88463e+00      7.00000e+00     20s
    86     -5.09297e+00     -1.88463e+00      7.00000e+00     22s
    92     -8.63647e+00     -1.88463e+00      7.00000e+00     23s
    97     -7.93677e+00     -1.88463e+00      7.00000e+00     24s
   101     -2.69337e+00     -1.88463e+00      7.00000e+00     25s
   107     -3.34100e+00     -3.21333e-01      7.00000e+00     26s
   111     -4.85077e+00     -3.21333e-01      7.00000e+00     27s
   117     -1.10398e+01     -3.21333e-01      7.00000e+00     28s
   122     -1.14647e+01     -3.21333e-01      7.00000e+00     29s
   127     -6.40033e-01     -3.21333e-01      7.00000e+00     31s
   131     -2.59380e+00     -2.34967e-01      7.00000e+00     32s
   137     -5.33557e+00     -2.34967e-01      7.00000e+00     33s
   141     -1.01264e+01     -2.34967e-01      7.00000e+00     34s
   146     -1.25216e+01     -2.34967e-01      7.00000e+00     35s
   150     -5.14623e+00     -2.34967e-01      7.00000e+00     36s
