==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              18
Number of partitions:         3

Density (%):                  86
Name of instance:             seed1_band_pentight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     4     -6.12900e+00     -5.62100e+00      8.00000e+00      1s
    13     -5.61400e+00     -5.61400e+00      8.00000e+00      2s
    22     -5.74900e+00     -5.58900e+00      8.00000e+00      3s
    31     -6.34900e+00     -5.58900e+00      8.00000e+00      4s
    40     -6.47000e+00     -5.58900e+00      8.00000e+00      5s
    47     -5.80700e+00     -5.58900e+00      8.00000e+00      6s
    56     -1.23800e+00      6.52000e-01      8.00000e+00      7s
    66     -1.02980e+01      6.52000e-01      8.00000e+00      9s
    75     -4.35500e+00      6.52000e-01      8.00000e+00     10s
    85     -5.67400e+00      9.23000e-01      8.00000e+00     11s
    94     -1.59720e+01      9.23000e-01      8.00000e+00     12s
   101     -2.66800e+00      9.23000e-01      8.00000e+00     13s
   111     -5.11600e+00      9.23000e-01      8.00000e+00     14s
   122     -1.54600e+01      9.23000e-01      8.00000e+00     15s
   130     -8.09000e-01      1.04100e+00      8.00000e+00     16s
   138     -7.48000e+00      1.04100e+00      8.00000e+00     17s
   148     -9.97600e+00      1.04100e+00      8.00000e+00     18s
   158     -5.24300e+00      1.04100e+00      8.00000e+00     19s
   165     -1.03560e+01      1.04100e+00      8.00000e+00     20s
   174     -6.63100e+00      1.04100e+00      8.00000e+00     21s
   184     -5.21800e+00      1.04100e+00      8.00000e+00     22s
   192     -1.46840e+01      1.04100e+00      8.00000e+00     23s
   200     -5.79800e+00      1.04100e+00      8.00000e+00     24s
   209     -5.57600e+00      1.04100e+00      8.00000e+00     26s
   218     -1.13710e+01      1.04100e+00      8.00000e+00     27s
   225     -5.61200e+00      1.04100e+00      8.00000e+00     28s
   234     -5.59200e+00      1.04100e+00      8.00000e+00     29s
   242     -1.08490e+01      1.04100e+00      8.00000e+00     30s
   252     -7.18700e+00      1.04100e+00      8.00000e+00     31s
   259     -5.66400e+00      1.04100e+00      8.00000e+00     32s
   267     -8.00700e+00      1.04100e+00      8.00000e+00     33s
   276     -6.93000e+00      1.04100e+00      8.00000e+00     34s
   284     -5.98800e+00      1.04100e+00      8.00000e+00     35s
   292     -8.17700e+00      1.04100e+00      8.00000e+00     36s
   300     -5.87700e+00      1.04100e+00      8.00000e+00     37s
   308     -7.10200e+00      1.04100e+00      8.00000e+00     38s
   318     -6.97600e+00      1.04100e+00      8.00000e+00     40s
   327     -7.10700e+00      1.04100e+00      8.00000e+00     41s
   334     -6.09300e+00      1.04100e+00      8.00000e+00     42s
   344     -6.80400e+00      1.04100e+00      8.00000e+00     43s
   353     -6.63800e+00      1.04100e+00      8.00000e+00     44s
   362     -5.81900e+00      1.04100e+00      8.00000e+00     45s
   371     -6.16700e+00      1.04100e+00      8.00000e+00     46s
   380     -6.64900e+00      1.04100e+00      8.00000e+00     47s
   390     -6.76500e+00      1.04100e+00      8.00000e+00     48s
   399     -6.02700e+00      1.04100e+00      8.00000e+00     49s
   408     -6.36700e+00      1.04100e+00      8.00000e+00     50s
   417     -6.71400e+00      1.04100e+00      8.00000e+00     51s
   427     -6.33200e+00      1.04100e+00      8.00000e+00     52s
   435     -6.17700e+00      1.04100e+00      8.00000e+00     53s
   444     -6.03500e+00      1.04100e+00      8.00000e+00     54s
   453     -6.26500e+00      1.04100e+00      8.00000e+00     55s
   462     -5.85000e+00      1.04100e+00      8.00000e+00     56s
   470     -5.93900e+00      1.04100e+00      8.00000e+00     57s
   480     -6.11200e+00      1.04100e+00      8.00000e+00     58s
   489     -6.29800e+00      1.04100e+00      8.00000e+00     59s
   499     -6.24200e+00      1.04100e+00      8.00000e+00     61s
   509     -6.34600e+00      1.04100e+00      8.00000e+00     62s
   519     -6.27600e+00      1.04100e+00      8.00000e+00     63s
   529     -6.54700e+00      1.04100e+00      8.00000e+00     64s
   538     -5.62900e+00      1.04100e+00      8.00000e+00     65s
   546     -6.13200e+00      1.04100e+00      8.00000e+00     66s
   555     -6.07000e+00      1.04100e+00      8.00000e+00     67s
   563     -6.38600e+00      1.04100e+00      8.00000e+00     68s
   572     -5.89900e+00      1.04100e+00      8.00000e+00     69s
   580     -6.09800e+00      1.04100e+00      8.00000e+00     70s
   588     -6.39600e+00      1.04100e+00      8.00000e+00     71s
   597     -6.10200e+00      1.04100e+00      8.00000e+00     72s
   606     -6.01900e+00      1.04100e+00      8.00000e+00     73s
   615     -6.25500e+00      1.04100e+00      8.00000e+00     74s
   624     -6.08700e+00      1.04100e+00      8.00000e+00     75s
   633     -5.90100e+00      1.04100e+00      8.00000e+00     76s
   641     -5.96900e+00      1.04100e+00      8.00000e+00     77s
   649     -6.15300e+00      1.04100e+00      8.00000e+00     78s
   658     -5.94900e+00      1.04100e+00      8.00000e+00     79s
   667     -6.32800e+00      1.04100e+00      8.00000e+00     80s
   677     -5.67700e+00      1.04100e+00      8.00000e+00     81s
   687     -5.84100e+00      1.04100e+00      8.00000e+00     82s
   696     -5.74200e+00      1.04100e+00      8.00000e+00     83s
   705     -6.40200e+00      1.04100e+00      8.00000e+00     85s
   714     -6.05200e+00      1.04100e+00      8.00000e+00     86s
   724     -5.66500e+00      1.04100e+00      8.00000e+00     87s
   732     -6.62200e+00      1.04100e+00      8.00000e+00     88s
   740     -6.16200e+00      1.04100e+00      8.00000e+00     89s
   749     -6.19400e+00      1.04100e+00      8.00000e+00     90s
   758     -6.49100e+00      1.04100e+00      8.00000e+00     91s
   766     -6.44000e+00      1.04100e+00      8.00000e+00     92s
   774     -6.24800e+00      1.04100e+00      8.00000e+00     93s
   784     -6.10900e+00      1.04100e+00      8.00000e+00     94s
   794     -6.45700e+00      1.04100e+00      8.00000e+00     95s
   804     -6.12300e+00      1.04100e+00      8.00000e+00     96s
   814     -6.13700e+00      1.04100e+00      8.00000e+00     97s
   824     -5.86100e+00      1.04100e+00      8.00000e+00     98s
   834     -6.01600e+00      1.04100e+00      8.00000e+00     99s
   843     -6.41400e+00      1.04100e+00      8.00000e+00    100s
   850     -6.02100e+00      1.04100e+00      8.00000e+00    101s
   860     -6.23100e+00      1.04100e+00      8.00000e+00    103s
   869     -5.93000e+00      1.04100e+00      8.00000e+00    104s
   879     -5.90000e+00      1.04100e+00      8.00000e+00    105s
   889     -6.26100e+00      1.04100e+00      8.00000e+00    106s
   898     -5.61400e+00      1.04100e+00      8.00000e+00    107s
   906     -5.25900e+00      1.04100e+00      8.00000e+00    108s
   915     -6.04200e+00      1.04100e+00      8.00000e+00    109s
   924     -6.80200e+00      1.04100e+00      8.00000e+00    110s
   933     -5.27900e+00      1.04100e+00      8.00000e+00    111s
   941     -5.63200e+00      1.04100e+00      8.00000e+00    112s
   950     -6.15000e+00      1.04100e+00      8.00000e+00    113s
   959     -5.99600e+00      1.04100e+00      8.00000e+00    114s
   968     -5.63400e+00      1.04100e+00      8.00000e+00    115s
   977     -5.70400e+00      1.04100e+00      8.00000e+00    116s
   986     -6.26500e+00      1.04100e+00      8.00000e+00    117s
   995     -5.78400e+00      1.04100e+00      8.00000e+00    118s
  1004     -5.70900e+00      1.04100e+00      8.00000e+00    119s
  1012     -5.98800e+00      1.04100e+00      8.00000e+00    120s
  1021     -6.27100e+00      1.04100e+00      8.00000e+00    121s
  1030     -5.52600e+00      1.04100e+00      8.00000e+00    122s
  1039     -5.97300e+00      1.04100e+00      8.00000e+00    123s
  1047     -6.14500e+00      1.04100e+00      8.00000e+00    124s
  1056     -6.18700e+00      1.04100e+00      8.00000e+00    125s
  1065     -5.62800e+00      1.04100e+00      8.00000e+00    126s
  1074     -5.74800e+00      1.04100e+00      8.00000e+00    127s
  1083     -5.95700e+00      1.04100e+00      8.00000e+00    129s
  1091     -6.01800e+00      1.04100e+00      8.00000e+00    130s
  1100     -5.49700e+00      1.04100e+00      8.00000e+00    131s
  1109     -6.01400e+00      1.04100e+00      8.00000e+00    132s
  1118     -5.94000e+00      1.04100e+00      8.00000e+00    133s
  1127     -6.08000e+00      1.04100e+00      8.00000e+00    134s
  1136     -6.19700e+00      1.04100e+00      8.00000e+00    135s
  1146     -5.81600e+00      1.04100e+00      8.00000e+00    136s
  1155     -6.02000e+00      1.04100e+00      8.00000e+00    137s
  1164     -6.14600e+00      1.04100e+00      8.00000e+00    138s
  1172     -5.94500e+00      1.04100e+00      8.00000e+00    139s
  1180     -5.79600e+00      1.04100e+00      8.00000e+00    140s
  1188     -6.25200e+00      1.04100e+00      8.00000e+00    141s
  1198     -5.81700e+00      1.04100e+00      8.00000e+00    142s
  1208     -6.24300e+00      1.04100e+00      8.00000e+00    143s
  1217     -5.88200e+00      1.04100e+00      8.00000e+00    144s
  1226     -5.83000e+00      1.04100e+00      8.00000e+00    145s
  1236     -5.96200e+00      1.04100e+00      8.00000e+00    146s
  1245     -5.92600e+00      1.04100e+00      8.00000e+00    147s
  1254     -6.16600e+00      1.04100e+00      8.00000e+00    148s
  1264     -6.06000e+00      1.04100e+00      8.00000e+00    149s
  1274     -6.00300e+00      1.04100e+00      8.00000e+00    150s
  1284     -6.03300e+00      1.04100e+00      8.00000e+00    152s
  1293     -6.03200e+00      1.04100e+00      8.00000e+00    153s
  1303     -6.11300e+00      1.04100e+00      8.00000e+00    154s
