==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              22
Number of partitions:         3

Density (%):                  79
Name of instance:             seed1_band_pen_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     2     -3.90560e+01     -3.84850e+01      5.00000e+00      1s
     6     -3.94790e+01     -3.84850e+01      5.00000e+00      2s
    10     -3.95430e+01     -3.84850e+01      5.00000e+00      3s
    14     -4.00030e+01     -3.84850e+01      7.00000e+00      4s
    18     -4.07650e+01     -3.84850e+01      7.00000e+00      6s
    22     -3.88790e+01     -3.84850e+01      7.00000e+00      7s
    26     -3.83540e+01     -3.83540e+01      7.00000e+00      8s
    30     -4.01840e+01     -3.83540e+01      7.00000e+00      9s
    34     -3.96070e+01     -3.83540e+01      7.00000e+00     10s
    38     -4.02210e+01     -3.83540e+01      7.00000e+00     11s
    42     -3.92120e+01     -3.83540e+01      7.00000e+00     12s
    46     -3.99880e+01     -3.83540e+01      7.00000e+00     13s
    50     -3.98030e+01     -3.83540e+01      7.00000e+00     15s
    54     -2.25610e+01     -1.71910e+01      8.00000e+00     16s
    58     -5.90760e+01     -1.71910e+01      8.00000e+00     17s
    62     -4.00520e+01     -1.71910e+01      8.00000e+00     18s
    66     -5.80080e+01     -1.71910e+01      8.00000e+00     19s
    70     -9.89260e+01     -1.71910e+01      8.00000e+00     20s
    74     -4.79550e+01     -1.71910e+01      8.00000e+00     21s
    78     -1.87010e+01     -1.67780e+01      8.00000e+00     22s
    82     -5.76230e+01     -1.67780e+01      8.00000e+00     23s
    86     -4.32880e+01     -1.67780e+01      8.00000e+00     24s
    90     -5.10840e+01     -1.67780e+01      8.00000e+00     26s
    94     -9.66720e+01     -1.67780e+01      8.00000e+00     27s
    98     -5.70950e+01     -1.67780e+01      8.00000e+00     28s
   102     -3.79000e+01     -1.67780e+01      8.00000e+00     29s
   106     -4.40000e+01     -1.67780e+01      8.00000e+00     30s
   110     -4.24810e+01     -1.67780e+01      8.00000e+00     31s
   114     -4.09920e+01     -1.67780e+01      8.00000e+00     32s
   118     -5.15000e+01     -1.67780e+01      8.00000e+00     33s
   122     -4.68410e+01     -1.67780e+01      8.00000e+00     34s
   126     -3.75090e+01     -1.67780e+01      8.00000e+00     35s
   130     -4.26310e+01     -1.67780e+01      8.00000e+00     37s
   134     -4.35540e+01     -1.67780e+01      8.00000e+00     38s
   138     -4.07000e+01     -1.67780e+01      8.00000e+00     39s
   142     -5.03240e+01     -1.67780e+01      8.00000e+00     40s
   146     -4.83410e+01     -1.67780e+01      8.00000e+00     41s
   150     -3.94160e+01     -1.67780e+01      8.00000e+00     42s
   154     -3.30700e+01     -1.67780e+01      8.00000e+00     43s
   158     -5.77330e+01     -1.67780e+01      8.00000e+00     44s
   162     -4.07940e+01     -1.67780e+01      8.00000e+00     45s
   166     -5.22110e+01     -1.67780e+01      8.00000e+00     47s
   170     -8.08220e+01     -1.67780e+01      8.00000e+00     48s
   174     -4.52140e+01     -1.67780e+01      8.00000e+00     49s
   178     -3.00210e+01     -1.67780e+01      8.00000e+00     50s
   182     -5.56580e+01     -1.67780e+01      8.00000e+00     51s
   186     -4.25100e+01     -1.67780e+01      8.00000e+00     52s
   190     -4.76480e+01     -1.67780e+01      8.00000e+00     53s
   194     -7.93240e+01     -1.67780e+01      8.00000e+00     54s
   198     -5.09020e+01     -1.67780e+01      8.00000e+00     55s
   202     -4.07280e+01     -1.67780e+01      8.00000e+00     56s
   206     -5.12220e+01     -1.67780e+01      8.00000e+00     57s
   210     -4.46080e+01     -1.67780e+01      8.00000e+00     59s
   214     -3.90010e+01     -1.67780e+01      8.00000e+00     60s
