==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           8
Number of edges:              22
Number of partitions:         3

Density (%):                  79
Name of instance:             seed1_band_pen_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     3     -9.25700e+00     -8.39400e+00      8.00000e+00      1s
    10     -9.18600e+00     -8.39400e+00      8.00000e+00      2s
    17     -8.74100e+00     -8.39400e+00      8.00000e+00      3s
    23     -8.79600e+00     -8.39400e+00      8.00000e+00      4s
    30     -8.21500e+00     -8.21500e+00      8.00000e+00      6s
    37     -9.17900e+00     -8.21500e+00      8.00000e+00      7s
    44     -9.03400e+00     -8.21500e+00      8.00000e+00      8s
    51     -6.41000e+00     -6.41000e+00      8.00000e+00      9s
    59     -7.35600e+00     -2.52500e+00      8.00000e+00     10s
    67     -1.57870e+01     -2.52500e+00      8.00000e+00     11s
    75     -7.44600e+00     -2.52500e+00      8.00000e+00     12s
    83     -6.75400e+00     -2.52500e+00      8.00000e+00     13s
    90     -1.28570e+01     -2.52500e+00      8.00000e+00     14s
    97     -1.46480e+01     -2.52500e+00      8.00000e+00     15s
   104     -2.71100e+00     -2.48300e+00      8.00000e+00     16s
   112     -8.99000e+00     -2.48300e+00      8.00000e+00     17s
   119     -2.23320e+01     -2.48300e+00      8.00000e+00     18s
   126     -4.52000e+00     -2.48300e+00      8.00000e+00     20s
   135     -8.31200e+00     -2.46600e+00      8.00000e+00     21s
   143     -2.15890e+01     -2.46600e+00      8.00000e+00     22s
   151     -7.35000e+00     -2.46600e+00      8.00000e+00     23s
   159     -9.25800e+00     -2.46600e+00      8.00000e+00     24s
   166     -1.45860e+01     -2.46600e+00      8.00000e+00     25s
   174     -1.03060e+01     -2.46600e+00      8.00000e+00     26s
   180     -8.29200e+00     -2.46600e+00      8.00000e+00     27s
   187     -9.02100e+00     -2.46600e+00      8.00000e+00     28s
   194     -1.86500e+01     -2.46600e+00      8.00000e+00     29s
   201     -8.93900e+00     -2.46600e+00      8.00000e+00     30s
   208     -1.09340e+01     -2.46600e+00      8.00000e+00     31s
   215     -1.07900e+01     -2.46600e+00      8.00000e+00     32s
   222     -1.09380e+01     -2.46600e+00      8.00000e+00     33s
   229     -1.07840e+01     -2.46600e+00      8.00000e+00     34s
   236     -9.28000e+00     -2.46600e+00      8.00000e+00     36s
   243     -1.35810e+01     -2.46600e+00      8.00000e+00     37s
   250     -8.68400e+00     -2.46600e+00      8.00000e+00     38s
   257     -1.18970e+01     -2.46600e+00      8.00000e+00     39s
   264     -9.37500e+00     -2.46600e+00      8.00000e+00     40s
   271     -9.26400e+00     -2.46600e+00      8.00000e+00     41s
   279     -1.22120e+01     -2.46600e+00      8.00000e+00     42s
   286     -9.15400e+00     -2.46600e+00      8.00000e+00     43s
   293     -1.09940e+01     -2.46600e+00      8.00000e+00     44s
   299     -8.97400e+00     -2.46600e+00      8.00000e+00     45s
   305     -1.15100e+01     -2.46600e+00      8.00000e+00     46s
   311     -8.86700e+00     -2.46600e+00      8.00000e+00     47s
   318     -1.15660e+01     -2.46600e+00      8.00000e+00     48s
   325     -9.41300e+00     -2.46600e+00      8.00000e+00     49s
   332     -1.09530e+01     -2.46600e+00      8.00000e+00     51s
   339     -9.85400e+00     -2.46600e+00      8.00000e+00     52s
   346     -9.40200e+00     -2.46600e+00      8.00000e+00     53s
   353     -9.72800e+00     -2.46600e+00      8.00000e+00     54s
   360     -9.44300e+00     -2.46600e+00      8.00000e+00     55s
   367     -1.04570e+01     -2.46600e+00      8.00000e+00     56s
   374     -8.46000e+00     -2.46600e+00      8.00000e+00     57s
   381     -1.08840e+01     -2.46600e+00      8.00000e+00     58s
   388     -9.24300e+00     -2.46600e+00      8.00000e+00     59s
   395     -9.65900e+00     -2.46600e+00      8.00000e+00     60s
   402     -9.00100e+00     -2.46600e+00      8.00000e+00     61s
   408     -9.56700e+00     -2.46600e+00      8.00000e+00     62s
   415     -9.70200e+00     -2.46600e+00      8.00000e+00     63s
   422     -9.43100e+00     -2.46600e+00      8.00000e+00     64s
   428     -9.69500e+00     -2.46600e+00      8.00000e+00     65s
   435     -9.38500e+00     -2.46600e+00      8.00000e+00     67s
   442     -1.01550e+01     -2.46600e+00      8.00000e+00     68s
   448     -8.87600e+00     -2.46600e+00      8.00000e+00     69s
   454     -9.22300e+00     -2.46600e+00      8.00000e+00     70s
   460     -9.19000e+00     -2.46600e+00      8.00000e+00     71s
   467     -9.68300e+00     -2.46600e+00      8.00000e+00     72s
   474     -9.24800e+00     -2.46600e+00      8.00000e+00     73s
   481     -9.46400e+00     -2.46600e+00      8.00000e+00     74s
   488     -8.64100e+00     -2.46600e+00      8.00000e+00     75s
   494     -9.74500e+00     -2.46600e+00      8.00000e+00     76s
   500     -8.88500e+00     -2.46600e+00      8.00000e+00     77s
   507     -9.69000e+00     -2.46600e+00      8.00000e+00     78s
   514     -9.05800e+00     -2.46600e+00      8.00000e+00     80s
   521     -9.16900e+00     -2.46600e+00      8.00000e+00     81s
   528     -9.01100e+00     -2.46600e+00      8.00000e+00     82s
   535     -9.44800e+00     -2.46600e+00      8.00000e+00     83s
   542     -9.84000e+00     -2.46600e+00      8.00000e+00     84s
   549     -8.96900e+00     -2.46600e+00      8.00000e+00     85s
   555     -8.91500e+00     -2.46600e+00      8.00000e+00     86s
   562     -9.66400e+00     -2.46600e+00      8.00000e+00     87s
   569     -9.33600e+00     -2.46600e+00      8.00000e+00     88s
   576     -9.04500e+00     -2.46600e+00      8.00000e+00     89s
   584     -8.78200e+00     -2.46600e+00      8.00000e+00     90s
   591     -9.48600e+00     -2.46600e+00      8.00000e+00     91s
   599     -9.18100e+00     -2.46600e+00      8.00000e+00     93s
   606     -9.09700e+00     -2.46600e+00      8.00000e+00     94s
   613     -9.30000e+00     -2.46600e+00      8.00000e+00     95s
   620     -9.20200e+00     -2.46600e+00      8.00000e+00     96s
   627     -9.24300e+00     -2.46600e+00      8.00000e+00     97s
   634     -8.86000e+00     -2.46600e+00      8.00000e+00     98s
   641     -9.15300e+00     -2.46600e+00      8.00000e+00     99s
   648     -9.16900e+00     -2.46600e+00      8.00000e+00    100s
   655     -8.93700e+00     -2.46600e+00      8.00000e+00    102s
   661     -8.71600e+00     -2.46600e+00      8.00000e+00    103s
   667     -8.92900e+00     -2.46600e+00      8.00000e+00    104s
   674     -8.71500e+00     -2.46600e+00      8.00000e+00    105s
   681     -8.60500e+00     -2.46600e+00      8.00000e+00    106s
   688     -8.85500e+00     -2.46600e+00      8.00000e+00    107s
   695     -8.77800e+00     -2.46600e+00      8.00000e+00    108s
   701     -8.87800e+00     -2.46600e+00      8.00000e+00    109s
   708     -9.12200e+00     -2.46600e+00      8.00000e+00    110s
   715     -8.75200e+00     -2.46600e+00      8.00000e+00    111s
   722     -9.14400e+00     -2.46600e+00      8.00000e+00    112s
   729     -8.71100e+00     -2.46600e+00      8.00000e+00    114s
   736     -9.25600e+00     -2.46600e+00      8.00000e+00    115s
   743     -8.96700e+00     -2.46600e+00      8.00000e+00    116s
   749     -9.15600e+00     -2.46600e+00      8.00000e+00    117s
   756     -1.03780e+01     -2.46600e+00      8.00000e+00    118s
   762     -9.01300e+00     -2.46600e+00      8.00000e+00    119s
   769     -1.02810e+01     -2.46600e+00      8.00000e+00    120s
   776     -9.50100e+00     -2.46600e+00      8.00000e+00    121s
   783     -9.49000e+00     -2.46600e+00      8.00000e+00    122s
   790     -9.74200e+00     -2.46600e+00      8.00000e+00    123s
   798     -9.26000e+00     -2.46600e+00      8.00000e+00    124s
   806     -1.16330e+01     -2.46600e+00      8.00000e+00    125s
   814     -9.68100e+00     -2.46600e+00      8.00000e+00    127s
   822     -1.02080e+01     -2.46600e+00      8.00000e+00    128s
   829     -1.13900e+01     -2.46600e+00      8.00000e+00    129s
   836     -9.05300e+00     -2.46600e+00      8.00000e+00    130s
   844     -1.16130e+01     -2.46600e+00      8.00000e+00    131s
   852     -9.81500e+00     -2.46600e+00      8.00000e+00    132s
   860     -9.28500e+00     -2.46600e+00      8.00000e+00    133s
   867     -1.02750e+01     -2.46600e+00      8.00000e+00    134s
   875     -8.82900e+00     -2.46600e+00      8.00000e+00    135s
   883     -9.79800e+00     -2.46600e+00      8.00000e+00    136s
   890     -9.92400e+00     -2.46600e+00      8.00000e+00    137s
   898     -8.71000e+00     -2.46600e+00      8.00000e+00    139s
   906     -8.95500e+00     -2.46600e+00      8.00000e+00    140s
   913     -9.11200e+00     -2.46600e+00      8.00000e+00    141s
   921     -9.13400e+00     -2.46600e+00      8.00000e+00    142s
   928     -8.60700e+00     -2.46600e+00      8.00000e+00    143s
   936     -8.62400e+00     -2.46600e+00      8.00000e+00    144s
   944     -8.68500e+00     -2.46600e+00      8.00000e+00    145s
   950     -9.25700e+00     -2.46600e+00      8.00000e+00    146s
   957     -8.68700e+00     -2.46600e+00      8.00000e+00    147s
   963     -8.52400e+00     -2.46600e+00      8.00000e+00    148s
   969     -8.78000e+00     -2.46600e+00      8.00000e+00    149s
   976     -8.86800e+00     -2.46600e+00      8.00000e+00    150s
   983     -8.98200e+00     -2.46600e+00      8.00000e+00    151s
   989     -8.67800e+00     -2.46600e+00      8.00000e+00    153s
   996     -8.90500e+00     -2.46600e+00      8.00000e+00    154s
  1003     -9.20200e+00     -2.46600e+00      8.00000e+00    155s
  1010     -8.90800e+00     -2.46600e+00      8.00000e+00    156s
  1017     -8.97700e+00     -2.46600e+00      8.00000e+00    157s
  1024     -9.25100e+00     -2.46600e+00      8.00000e+00    158s
  1031     -8.77300e+00     -2.46600e+00      8.00000e+00    159s
  1038     -9.23300e+00     -2.46600e+00      8.00000e+00    160s
  1044     -8.96200e+00     -2.46600e+00      8.00000e+00    161s
  1052     -9.03500e+00     -2.46600e+00      8.00000e+00    162s
  1059     -9.42600e+00     -2.46600e+00      8.00000e+00    163s
  1066     -8.81400e+00     -2.46600e+00      8.00000e+00    164s
  1073     -9.02600e+00     -2.46600e+00      8.00000e+00    165s
  1081     -8.29900e+00     -2.46600e+00      8.00000e+00    167s
  1089     -8.48900e+00     -2.46600e+00      8.00000e+00    168s
  1095     -8.96700e+00     -2.46600e+00      8.00000e+00    169s
  1102     -8.95800e+00     -2.46600e+00      8.00000e+00    170s
  1110     -9.25600e+00     -2.46600e+00      8.00000e+00    171s
  1118     -8.97400e+00     -2.46600e+00      8.00000e+00    172s
  1126     -9.28800e+00     -2.46600e+00      8.00000e+00    173s
  1134     -9.04900e+00     -2.46600e+00      8.00000e+00    174s
  1141     -9.10000e+00     -2.46600e+00      8.00000e+00    175s
  1148     -9.26400e+00     -2.46600e+00      8.00000e+00    176s
  1155     -8.99900e+00     -2.46600e+00      8.00000e+00    177s
  1162     -8.62500e+00     -2.46600e+00      8.00000e+00    179s
  1169     -8.61200e+00     -2.46600e+00      8.00000e+00    180s
  1176     -9.03300e+00     -2.46600e+00      8.00000e+00    181s
  1183     -8.67900e+00     -2.46600e+00      8.00000e+00    182s
  1190     -8.92800e+00     -2.46600e+00      8.00000e+00    183s
  1197     -8.95100e+00     -2.46600e+00      8.00000e+00    184s
  1204     -8.56100e+00     -2.46600e+00      8.00000e+00    185s
  1211     -9.00200e+00     -2.46600e+00      8.00000e+00    186s
  1217     -9.35800e+00     -2.46600e+00      8.00000e+00    187s
  1224     -8.94000e+00     -2.46600e+00      8.00000e+00    188s
  1231     -8.92600e+00     -2.46600e+00      8.00000e+00    189s
  1238     -9.56300e+00     -2.46600e+00      8.00000e+00    191s
  1245     -8.68200e+00     -2.46600e+00      8.00000e+00    192s
  1251     -8.98300e+00     -2.46600e+00      8.00000e+00    193s
  1258     -8.36400e+00     -2.46600e+00      8.00000e+00    194s
  1264     -8.92100e+00     -2.46600e+00      8.00000e+00    195s
  1271     -9.31600e+00     -2.46600e+00      8.00000e+00    196s
  1277     -8.85000e+00     -2.46600e+00      8.00000e+00    197s
  1283     -8.97000e+00     -2.46600e+00      8.00000e+00    198s
  1289     -8.52700e+00     -2.46600e+00      8.00000e+00    199s
  1296     -8.79700e+00     -2.46600e+00      8.00000e+00    200s
  1303     -8.85900e+00     -2.46600e+00      8.00000e+00    201s
  1310     -9.21800e+00     -2.46600e+00      8.00000e+00    202s
  1316     -8.85800e+00     -2.46600e+00      8.00000e+00    204s
  1323     -8.67000e+00     -2.46600e+00      8.00000e+00    205s
  1330     -8.93500e+00     -2.46600e+00      8.00000e+00    206s
  1337     -9.00400e+00     -2.46600e+00      8.00000e+00    207s
  1343     -9.36100e+00     -2.46600e+00      8.00000e+00    208s
  1350     -8.38200e+00     -2.46600e+00      8.00000e+00    209s
  1357     -8.90800e+00     -2.46600e+00      8.00000e+00    210s
  1363     -9.01100e+00     -2.46600e+00      8.00000e+00    211s
  1370     -8.96800e+00     -2.46600e+00      8.00000e+00    213s
  1377     -8.56000e+00     -2.46600e+00      8.00000e+00    214s
  1384     -8.98000e+00     -2.46600e+00      8.00000e+00    215s
  1391     -9.05500e+00     -2.46600e+00      8.00000e+00    216s
  1398     -9.02900e+00     -2.46600e+00      8.00000e+00    217s
  1405     -8.60700e+00     -2.46600e+00      8.00000e+00    218s
  1412     -9.31400e+00     -2.46600e+00      8.00000e+00    219s
  1418     -9.09100e+00     -2.46600e+00      8.00000e+00    220s
  1425     -8.96500e+00     -2.46600e+00      8.00000e+00    221s
  1431     -9.09300e+00     -2.46600e+00      8.00000e+00    222s
  1437     -8.63200e+00     -2.46600e+00      8.00000e+00    223s
  1444     -9.38100e+00     -2.46600e+00      8.00000e+00    225s
  1450     -8.72100e+00     -2.46600e+00      8.00000e+00    226s
  1456     -9.23000e+00     -2.46600e+00      8.00000e+00    227s
  1463     -8.99000e+00     -2.46600e+00      8.00000e+00    228s
  1470     -8.71900e+00     -2.46600e+00      8.00000e+00    229s
  1476     -9.04300e+00     -2.46600e+00      8.00000e+00    230s
  1482     -9.23000e+00     -2.46600e+00      8.00000e+00    231s
  1489     -9.06700e+00     -2.46600e+00      8.00000e+00    232s
  1496     -8.96800e+00     -2.46600e+00      8.00000e+00    233s
  1503     -9.06600e+00     -2.46600e+00      8.00000e+00    234s
  1510     -9.52000e+00     -2.46600e+00      8.00000e+00    235s
  1517     -8.70000e+00     -2.46600e+00      8.00000e+00    237s
  1524     -8.90000e+00     -2.46600e+00      8.00000e+00    238s
  1531     -8.50000e+00     -2.46600e+00      8.00000e+00    239s
  1538     -9.05300e+00     -2.46600e+00      8.00000e+00    240s
  1544     -8.84400e+00     -2.46600e+00      8.00000e+00    241s
  1551     -9.00200e+00     -2.46600e+00      8.00000e+00    242s
  1558     -9.08900e+00     -2.46600e+00      8.00000e+00    243s
  1565     -9.24100e+00     -2.46600e+00      8.00000e+00    244s
  1572     -9.44200e+00     -2.46600e+00      8.00000e+00    245s
  1579     -8.64700e+00     -2.46600e+00      8.00000e+00    246s
  1586     -8.94400e+00     -2.46600e+00      8.00000e+00    247s
  1593     -8.88800e+00     -2.46600e+00      8.00000e+00    248s
  1599     -9.20300e+00     -2.46600e+00      8.00000e+00    249s
  1606     -1.04510e+01     -2.46600e+00      8.00000e+00    250s
  1613     -8.99400e+00     -2.46600e+00      8.00000e+00    252s
  1620     -1.02500e+01     -2.46600e+00      8.00000e+00    253s
  1627     -9.08900e+00     -2.46600e+00      8.00000e+00    254s
  1634     -9.60000e+00     -2.46600e+00      8.00000e+00    255s
  1641     -1.01790e+01     -2.46600e+00      8.00000e+00    256s
  1648     -9.14600e+00     -2.46600e+00      8.00000e+00    257s
  1655     -1.11170e+01     -2.46600e+00      8.00000e+00    258s
  1662     -9.38900e+00     -2.46600e+00      8.00000e+00    259s
  1669     -1.19530e+01     -2.46600e+00      8.00000e+00    260s
  1676     -9.33800e+00     -2.46600e+00      8.00000e+00    261s
  1682     -1.11830e+01     -2.46600e+00      8.00000e+00    262s
  1689     -1.01450e+01     -2.46600e+00      8.00000e+00    264s
  1696     -9.70900e+00     -2.46600e+00      8.00000e+00    265s
  1703     -9.42300e+00     -2.46600e+00      8.00000e+00    266s
  1709     -9.76900e+00     -2.46600e+00      8.00000e+00    267s
  1716     -9.49200e+00     -2.46600e+00      8.00000e+00    268s
  1723     -9.08400e+00     -2.46600e+00      8.00000e+00    269s
  1730     -1.01840e+01     -2.46600e+00      8.00000e+00    270s
  1736     -8.89000e+00     -2.46600e+00      8.00000e+00    271s
  1743     -1.04780e+01     -2.46600e+00      8.00000e+00    272s
  1750     -9.18500e+00     -2.46600e+00      8.00000e+00    273s
  1757     -9.14000e+00     -2.46600e+00      8.00000e+00    274s
  1764     -9.03800e+00     -2.46600e+00      8.00000e+00    275s
  1771     -8.75300e+00     -2.46600e+00      8.00000e+00    277s
  1778     -9.09200e+00     -2.46600e+00      8.00000e+00    278s
  1785     -9.26900e+00     -2.46600e+00      8.00000e+00    279s
  1792     -8.97500e+00     -2.46600e+00      8.00000e+00    280s
  1799     -8.46500e+00     -2.46600e+00      8.00000e+00    281s
  1806     -8.97700e+00     -2.46600e+00      8.00000e+00    282s
  1812     -9.29400e+00     -2.46600e+00      8.00000e+00    283s
  1819     -8.94700e+00     -2.46600e+00      8.00000e+00    284s
  1826     -9.14800e+00     -2.46600e+00      8.00000e+00    285s
  1833     -8.34200e+00     -2.46600e+00      8.00000e+00    287s
  1840     -8.91100e+00     -2.46600e+00      8.00000e+00    288s
  1846     -9.23500e+00     -2.46600e+00      8.00000e+00    289s
  1852     -8.96700e+00     -2.46600e+00      8.00000e+00    290s
  1859     -9.17600e+00     -2.46600e+00      8.00000e+00    291s
  1866     -8.81400e+00     -2.46600e+00      8.00000e+00    292s
  1873     -9.15600e+00     -2.46600e+00      8.00000e+00    293s
  1880     -9.14000e+00     -2.46600e+00      8.00000e+00    294s
  1886     -9.08900e+00     -2.46600e+00      8.00000e+00    295s
  1893     -8.76300e+00     -2.46600e+00      8.00000e+00    296s
  1899     -9.72600e+00     -2.46600e+00      8.00000e+00    297s
  1905     -8.65600e+00     -2.46600e+00      8.00000e+00    298s
  1912     -9.05300e+00     -2.46600e+00      8.00000e+00    300s
  1919     -9.38600e+00     -2.46600e+00      8.00000e+00    301s
  1926     -9.06100e+00     -2.46600e+00      8.00000e+00    302s
  1933     -9.13200e+00     -2.46600e+00      8.00000e+00    303s
  1940     -9.00800e+00     -2.46600e+00      8.00000e+00    304s
  1947     -9.00400e+00     -2.46600e+00      8.00000e+00    305s
  1954     -9.21300e+00     -2.46600e+00      8.00000e+00    306s
  1960     -9.18600e+00     -2.46600e+00      8.00000e+00    307s
  1967     -9.32300e+00     -2.46600e+00      8.00000e+00    308s
  1974     -8.59600e+00     -2.46600e+00      8.00000e+00    310s
  1981     -9.31100e+00     -2.46600e+00      8.00000e+00    311s
  1988     -9.20700e+00     -2.46600e+00      8.00000e+00    312s
  1995     -9.09300e+00     -2.46600e+00      8.00000e+00    313s
  2002     -8.98500e+00     -2.46600e+00      8.00000e+00    314s
  2009     -9.49900e+00     -2.46600e+00      8.00000e+00    315s
  2016     -9.83300e+00     -2.46600e+00      8.00000e+00    316s
  2022     -9.49000e+00     -2.46600e+00      8.00000e+00    317s
  2028     -9.37700e+00     -2.46600e+00      8.00000e+00    318s
  2035     -9.06500e+00     -2.46600e+00      8.00000e+00    319s
  2042     -9.60300e+00     -2.46600e+00      8.00000e+00    320s
  2049     -9.33700e+00     -2.46600e+00      8.00000e+00    321s
  2056     -1.00140e+01     -2.46600e+00      8.00000e+00    322s
  2063     -8.92700e+00     -2.46600e+00      8.00000e+00    323s
  2069     -9.51300e+00     -2.46600e+00      8.00000e+00    324s
  2075     -9.31800e+00     -2.46600e+00      8.00000e+00    325s
  2082     -1.03050e+01     -2.46600e+00      8.00000e+00    326s
  2089     -9.48900e+00     -2.46600e+00      8.00000e+00    328s
  2096     -1.00350e+01     -2.46600e+00      8.00000e+00    329s
  2102     -9.53300e+00     -2.46600e+00      8.00000e+00    330s
