==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           6
Number of edges:              15
Number of partitions:         4

Density (%):                  100
Name of instance:             seed1_band_pen_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1     -7.53200e+01     -7.53200e+01      8.00000e+00      1s
     6     -7.15790e+01     -6.99370e+01      9.00000e+00      2s
    11     -7.39100e+01     -6.99370e+01      9.00000e+00      3s
    17     -7.45920e+01     -6.99370e+01      9.00000e+00      5s
    22     -7.27060e+01     -6.99370e+01      9.00000e+00      6s
    28     -7.47290e+01     -6.99370e+01      9.00000e+00      7s
    33     -7.43640e+01     -6.99370e+01      9.00000e+00      8s
    39     -7.46080e+01     -6.99370e+01      9.00000e+00      9s
    44     -7.52060e+01     -6.99370e+01      9.00000e+00     10s
    50     -7.44640e+01     -6.99370e+01      9.00000e+00     11s
    56     -1.26573e+02     -6.99370e+01      9.00000e+00     12s
    62     -7.35400e+01     -6.65630e+01      9.00000e+00     13s
    68     -1.36236e+02     -6.65630e+01      9.00000e+00     14s
    74     -7.21130e+01     -6.65630e+01      9.00000e+00     16s
    80     -1.26010e+02     -6.65630e+01      9.00000e+00     17s
    86     -6.75950e+01     -6.65630e+01      9.00000e+00     18s
    91     -1.34019e+02     -6.65630e+01      9.00000e+00     19s
    97     -7.46370e+01     -6.65630e+01      9.00000e+00     20s
   102     -1.20464e+02     -6.65630e+01      9.00000e+00     21s
   108     -1.27010e+02     -6.65630e+01      9.00000e+00     22s
   114     -7.14010e+01     -6.65630e+01      9.00000e+00     23s
   120     -4.26700e+01     -4.26700e+01      9.00000e+00     24s
   126     -1.06149e+02     -3.94970e+01      9.00000e+00     25s
   131     -1.49568e+02     -3.94970e+01      9.00000e+00     26s
   137     -7.35060e+01     -3.94970e+01      9.00000e+00     27s
   143     -5.58660e+01     -3.94970e+01      9.00000e+00     28s
   149     -7.42150e+01     -3.82060e+01      9.00000e+00     30s
   155     -7.20260e+01     -3.82060e+01      9.00000e+00     31s
   161     -6.23660e+01     -3.82060e+01      9.00000e+00     32s
   167     -1.33654e+02     -3.82060e+01      9.00000e+00     33s
   173     -8.43020e+01     -3.82060e+01      9.00000e+00     34s
   178     -7.50170e+01     -3.82060e+01      9.00000e+00     35s
   183     -6.00730e+01     -3.82060e+01      9.00000e+00     36s
   189     -1.08411e+02     -3.82060e+01      9.00000e+00     38s
   195     -1.22200e+02     -3.82060e+01      9.00000e+00     39s
   200     -7.50600e+01     -3.82060e+01      9.00000e+00     40s
   205     -1.03051e+02     -3.82060e+01      9.00000e+00     41s
   210     -8.29540e+01     -3.82060e+01      9.00000e+00     42s
   215     -8.22990e+01     -3.82060e+01      9.00000e+00     43s
   221     -8.49450e+01     -3.82060e+01      9.00000e+00     44s
   226     -7.91860e+01     -3.82060e+01      9.00000e+00     45s
   232     -1.01007e+02     -3.82060e+01      9.00000e+00     46s
   237     -7.31990e+01     -3.82060e+01      9.00000e+00     47s
   243     -9.39210e+01     -3.82060e+01      9.00000e+00     48s
   248     -7.60230e+01     -3.82060e+01      9.00000e+00     49s
   253     -8.14870e+01     -3.82060e+01      9.00000e+00     50s
   259     -8.19180e+01     -3.82060e+01      9.00000e+00     52s
   265     -8.81280e+01     -3.82060e+01      9.00000e+00     53s
   271     -9.36010e+01     -3.82060e+01      9.00000e+00     54s
   277     -8.17030e+01     -3.82060e+01      9.00000e+00     55s
   283     -8.39280e+01     -3.82060e+01      9.00000e+00     56s
   288     -7.92800e+01     -3.82060e+01      9.00000e+00     57s
   294     -9.87900e+01     -3.82060e+01      9.00000e+00     58s
   299     -7.47540e+01     -3.82060e+01      9.00000e+00     59s
   305     -8.72530e+01     -3.82060e+01      9.00000e+00     61s
   310     -7.85480e+01     -3.82060e+01      9.00000e+00     62s
   316     -8.52280e+01     -3.82060e+01      9.00000e+00     63s
   321     -8.34450e+01     -3.82060e+01      9.00000e+00     64s
   327     -8.08490e+01     -3.82060e+01      9.00000e+00     65s
   332     -8.59700e+01     -3.82060e+01      9.00000e+00     66s
   337     -7.47730e+01     -3.82060e+01      9.00000e+00     67s
   342     -9.17240e+01     -3.82060e+01      9.00000e+00     68s
   348     -7.63430e+01     -3.82060e+01      9.00000e+00     70s
   354     -8.30200e+01     -3.82060e+01      9.00000e+00     71s
   360     -7.83490e+01     -3.82060e+01      9.00000e+00     72s
   365     -7.50270e+01     -3.82060e+01      9.00000e+00     73s
   370     -8.19280e+01     -3.82060e+01      9.00000e+00     74s
   375     -7.46660e+01     -3.82060e+01      9.00000e+00     75s
   380     -9.09180e+01     -3.82060e+01      9.00000e+00     76s
   386     -7.43820e+01     -3.82060e+01      9.00000e+00     77s
   391     -7.98460e+01     -3.82060e+01      9.00000e+00     78s
   397     -7.71360e+01     -3.82060e+01      9.00000e+00     79s
   402     -7.62540e+01     -3.82060e+01      9.00000e+00     81s
   408     -8.39990e+01     -3.82060e+01      9.00000e+00     82s
   413     -7.46290e+01     -3.82060e+01      9.00000e+00     83s
   418     -8.26320e+01     -3.82060e+01      9.00000e+00     84s
   423     -7.60830e+01     -3.82060e+01      9.00000e+00     85s
   428     -7.68100e+01     -3.82060e+01      9.00000e+00     86s
   433     -8.03330e+01     -3.82060e+01      9.00000e+00     87s
   439     -7.60640e+01     -3.82060e+01      9.00000e+00     88s
   445     -8.03870e+01     -3.82060e+01      9.00000e+00     89s
   450     -7.52580e+01     -3.82060e+01      9.00000e+00     90s
   455     -7.67590e+01     -3.82060e+01      9.00000e+00     92s
   461     -7.68670e+01     -3.82060e+01      9.00000e+00     93s
   466     -7.76440e+01     -3.82060e+01      9.00000e+00     94s
   472     -7.54790e+01     -3.82060e+01      9.00000e+00     95s
   477     -7.60560e+01     -3.82060e+01      9.00000e+00     96s
   483     -7.59910e+01     -3.82060e+01      9.00000e+00     97s
   489     -7.27790e+01     -3.82060e+01      9.00000e+00     98s
   494     -7.88060e+01     -3.82060e+01      9.00000e+00     99s
   499     -7.42100e+01     -3.82060e+01      9.00000e+00    100s
   504     -7.91300e+01     -3.82060e+01      9.00000e+00    101s
   509     -7.63150e+01     -3.82060e+01      9.00000e+00    102s
   515     -7.44570e+01     -3.82060e+01      9.00000e+00    104s
   521     -7.84120e+01     -3.82060e+01      9.00000e+00    105s
   526     -7.52390e+01     -3.82060e+01      9.00000e+00    106s
   531     -8.16330e+01     -3.82060e+01      9.00000e+00    107s
   535     -7.68440e+01     -3.82060e+01      9.00000e+00    108s
   541     -7.49340e+01     -3.82060e+01      9.00000e+00    109s
   546     -7.75300e+01     -3.82060e+01      9.00000e+00    110s
   552     -7.59190e+01     -3.82060e+01      9.00000e+00    111s
   558     -7.47950e+01     -3.82060e+01      9.00000e+00    113s
   563     -7.38580e+01     -3.82060e+01      9.00000e+00    114s
   569     -7.83110e+01     -3.82060e+01      9.00000e+00    115s
   574     -7.47010e+01     -3.82060e+01      9.00000e+00    116s
   579     -7.62850e+01     -3.82060e+01      9.00000e+00    117s
   584     -7.34500e+01     -3.82060e+01      9.00000e+00    118s
   589     -7.42890e+01     -3.82060e+01      9.00000e+00    119s
   594     -7.79680e+01     -3.82060e+01      9.00000e+00    120s
   600     -7.35730e+01     -3.82060e+01      9.00000e+00    121s
   605     -7.63100e+01     -3.82060e+01      9.00000e+00    122s
   611     -7.43500e+01     -3.82060e+01      9.00000e+00    123s
   616     -7.55390e+01     -3.82060e+01      9.00000e+00    124s
   621     -7.22360e+01     -3.82060e+01      9.00000e+00    125s
   626     -7.15390e+01     -3.82060e+01      9.00000e+00    126s
   632     -7.56760e+01     -3.82060e+01      9.00000e+00    128s
