==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              20
Number of partitions:         4

Density (%):                  95
Name of instance:             seed1_band_pen_new_naive
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           2.0
Gates Error Probability:      0.0
Naive Penalty Coef:           True
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -2.84509e+02     -2.84509e+02     -2.30000e+01      2s
     1     -2.77505e+02     -2.77505e+02     -1.80000e+01      4s
     2     -2.82678e+02     -2.77505e+02     -1.50000e+01      5s
     3     -2.79457e+02     -2.77505e+02     -1.50000e+01      7s
     5     -2.77830e+02     -2.77505e+02      2.00000e+00      9s
     6     -2.80214e+02     -2.77505e+02      2.00000e+00     10s
     7     -2.80549e+02     -2.77505e+02      2.00000e+00     12s
     8     -2.74217e+02     -2.74217e+02      2.00000e+00     13s
     9     -2.79941e+02     -2.74217e+02      3.00000e+00     14s
    10     -2.88466e+02     -2.74217e+02      3.00000e+00     15s
    11     -2.80001e+02     -2.74217e+02      3.00000e+00     17s
    12     -2.84303e+02     -2.74217e+02      3.00000e+00     19s
    14     -2.78536e+02     -2.74217e+02      3.00000e+00     21s
    15     -2.86495e+02     -2.74217e+02      3.00000e+00     22s
    16     -2.77168e+02     -2.74217e+02      3.00000e+00     24s
    17     -2.82273e+02     -2.74217e+02      3.00000e+00     25s
    18     -2.80401e+02     -2.74217e+02      3.00000e+00     26s
    19     -2.79657e+02     -2.74217e+02      3.00000e+00     28s
    20     -2.80381e+02     -2.74217e+02      3.00000e+00     30s
    21     -2.79614e+02     -2.74217e+02      3.00000e+00     31s
    23     -2.85425e+02     -2.74217e+02      3.00000e+00     33s
    24     -2.81258e+02     -2.74217e+02      3.00000e+00     35s
    25     -2.84628e+02     -2.74217e+02      3.00000e+00     37s
    26     -2.79281e+02     -2.74217e+02      3.00000e+00     38s
    28     -2.79660e+02     -2.74069e+02      3.00000e+00     40s
    29     -2.73617e+02     -2.73617e+02      3.00000e+00     42s
    30     -2.80733e+02     -2.73617e+02      3.00000e+00     43s
    31     -2.74616e+02     -2.73617e+02      3.00000e+00     45s
    32     -2.78360e+02     -2.73617e+02      3.00000e+00     46s
    33     -2.78166e+02     -2.73617e+02      3.00000e+00     47s
    34     -2.79914e+02     -2.73617e+02      3.00000e+00     49s
    35     -2.73780e+02     -2.73617e+02      3.00000e+00     50s
    37     -2.80599e+02     -2.73617e+02      3.00000e+00     53s
    38     -2.82938e+02     -2.73617e+02      3.00000e+00     54s
    39     -2.86038e+02     -2.73617e+02      3.00000e+00     56s
    40     -2.81565e+02     -2.73617e+02      3.00000e+00     58s
    42     -2.80354e+02     -2.73617e+02      3.00000e+00     60s
    43     -2.83399e+02     -2.73617e+02      3.00000e+00     62s
    44     -2.83044e+02     -2.73617e+02      3.00000e+00     63s
    46     -2.87230e+02     -2.73617e+02      3.00000e+00     65s
    47     -2.73757e+02     -2.73617e+02      3.00000e+00     67s
    48     -2.82841e+02     -2.73617e+02      3.00000e+00     69s
    49     -2.77457e+02     -2.73617e+02      3.00000e+00     70s
    50     -2.76844e+02     -2.73617e+02      3.00000e+00     71s
    51     -2.47002e+02     -2.47002e+02      3.00000e+00     73s
    52     -2.25191e+02     -2.25191e+02      3.00000e+00     74s
    53     -2.15040e+02     -2.15040e+02      3.00000e+00     76s
    55     -2.21652e+02     -2.15040e+02      3.00000e+00     78s
    56     -2.40168e+02     -2.15040e+02      3.00000e+00     80s
    57     -2.63633e+02     -2.15040e+02      3.00000e+00     82s
    59     -2.80662e+02     -2.15040e+02      3.00000e+00     84s
    60     -2.82141e+02     -2.15040e+02      3.00000e+00     85s
    61     -2.79084e+02     -2.15040e+02      3.00000e+00     87s
    62     -2.72139e+02     -2.15040e+02      3.00000e+00     88s
    63     -2.87796e+02     -2.15040e+02      3.00000e+00     89s
    64     -3.08849e+02     -2.15040e+02      3.00000e+00     91s
    65     -3.31199e+02     -2.15040e+02      3.00000e+00     92s
    66     -3.55919e+02     -2.15040e+02      3.00000e+00     94s
    67     -3.91369e+02     -2.15040e+02      3.00000e+00     95s
    68     -4.03031e+02     -2.15040e+02      3.00000e+00     97s
    69     -4.25314e+02     -2.15040e+02      3.00000e+00     99s
    70     -4.21591e+02     -2.15040e+02      3.00000e+00    100s
    71     -4.11613e+02     -2.15040e+02      3.00000e+00    101s
    72     -3.76366e+02     -2.15040e+02      3.00000e+00    103s
    73     -3.37423e+02     -2.15040e+02      3.00000e+00    105s
    74     -2.94734e+02     -2.15040e+02      3.00000e+00    106s
    75     -2.59905e+02     -2.15040e+02      3.00000e+00    107s
    76     -2.36403e+02     -2.15040e+02      3.00000e+00    109s
    77     -2.18952e+02     -2.15040e+02      3.00000e+00    110s
    78     -2.16446e+02     -2.15040e+02      3.00000e+00    112s
    80     -2.26559e+02     -2.15040e+02      3.00000e+00    114s
    81     -2.61110e+02     -2.15040e+02      3.00000e+00    116s
    82     -2.63188e+02     -2.15040e+02      3.00000e+00    117s
    83     -2.72170e+02     -2.15040e+02      3.00000e+00    118s
    84     -2.73480e+02     -2.15040e+02      3.00000e+00    120s
    85     -2.65267e+02     -2.15040e+02      3.00000e+00    121s
    86     -2.72543e+02     -2.15040e+02      3.00000e+00    123s
    87     -2.82535e+02     -2.15040e+02      3.00000e+00    124s
    89     -3.16002e+02     -2.15040e+02      3.00000e+00    127s
    90     -3.37558e+02     -2.15040e+02      3.00000e+00    128s
    91     -3.74708e+02     -2.15040e+02      3.00000e+00    130s
    93     -4.18156e+02     -2.15040e+02      3.00000e+00    132s
