==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           7
Number of edges:              20
Number of partitions:         4

Density (%):                  95
Name of instance:             seed1_band_pen_tight
Is planar:                    False
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       QUBO
Peel:                         False
Decompose:                    False
Fold:                         False

Penalty Multiplier:           1.0
Gates Error Probability:      0.0
Naive Penalty Coef:           False
QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     0     -1.64970e+01     -1.64970e+01      2.00000e+00      1s
     2     -1.69602e+01     -1.64970e+01      4.00000e+00      3s
     4     -1.71318e+01     -1.64970e+01      4.00000e+00      4s
     6     -1.72172e+01     -1.64970e+01      4.00000e+00      6s
     8     -1.65248e+01     -1.64970e+01      4.00000e+00      8s
    10     -1.64282e+01     -1.64282e+01      5.00000e+00      9s
    12     -1.72028e+01     -1.64282e+01      5.00000e+00     11s
    14     -1.70715e+01     -1.64282e+01      5.00000e+00     12s
    16     -1.70673e+01     -1.64282e+01      5.00000e+00     14s
    18     -1.69880e+01     -1.64282e+01      5.00000e+00     15s
    20     -1.68940e+01     -1.64282e+01      5.00000e+00     16s
    22     -1.73068e+01     -1.64282e+01      5.00000e+00     18s
    24     -1.71403e+01     -1.64282e+01      5.00000e+00     19s
    26     -1.68715e+01     -1.64282e+01      6.00000e+00     21s
    28     -1.69552e+01     -1.64282e+01      6.00000e+00     22s
    30     -1.69123e+01     -1.64282e+01      6.00000e+00     24s
    32     -1.65895e+01     -1.64282e+01      6.00000e+00     25s
    34     -1.71820e+01     -1.64282e+01      6.00000e+00     27s
    36     -1.73607e+01     -1.64282e+01      6.00000e+00     28s
    38     -1.69545e+01     -1.64282e+01      6.00000e+00     29s
    40     -1.72172e+01     -1.64282e+01      6.00000e+00     31s
    42     -1.72243e+01     -1.64282e+01      6.00000e+00     32s
    44     -1.72870e+01     -1.64282e+01      6.00000e+00     34s
    46     -1.73813e+01     -1.64282e+01      6.00000e+00     35s
    48     -1.72207e+01     -1.64282e+01      6.00000e+00     37s
    50     -1.68803e+01     -1.64282e+01      6.00000e+00     38s
    52     -8.73300e+00     -8.73300e+00      6.00000e+00     39s
    54     -6.44125e+00     -6.44125e+00      6.00000e+00     41s
    56     -8.73850e+00     -6.44125e+00      6.00000e+00     43s
    58     -1.24090e+01     -6.44125e+00      6.00000e+00     44s
    60     -1.44475e+01     -6.44125e+00      6.00000e+00     46s
    62     -1.65197e+01     -6.44125e+00      6.00000e+00     47s
    64     -2.13715e+01     -6.44125e+00      6.00000e+00     49s
    66     -2.79567e+01     -6.44125e+00      6.00000e+00     50s
    68     -3.46965e+01     -6.44125e+00      6.00000e+00     52s
    70     -3.67005e+01     -6.44125e+00      6.00000e+00     53s
    72     -3.07140e+01     -6.44125e+00      6.00000e+00     55s
    74     -1.98095e+01     -6.44125e+00      6.00000e+00     57s
    76     -9.94725e+00     -6.44125e+00      6.00000e+00     58s
    78     -6.32250e+00     -6.32250e+00      6.00000e+00     60s
    80     -8.19900e+00     -6.32250e+00      6.00000e+00     61s
    82     -1.12215e+01     -6.32250e+00      6.00000e+00     63s
    84     -1.40600e+01     -6.32250e+00      6.00000e+00     64s
    86     -1.62225e+01     -6.32250e+00      6.00000e+00     66s
    88     -1.92742e+01     -6.32250e+00      6.00000e+00     67s
    90     -2.57823e+01     -6.32250e+00      6.00000e+00     69s
    92     -3.29997e+01     -6.32250e+00      6.00000e+00     70s
    94     -3.62103e+01     -6.32250e+00      6.00000e+00     72s
    96     -3.30655e+01     -6.32250e+00      6.00000e+00     74s
