==================================================
Instance parameters
--------------------------------------------------
Number of vertices:           24
Number of edges:              66
Number of partitions:         2

Density (%):                  24
Name of instance:             seed1_band_fold
Is planar:                    True
==================================================

==================================================
Solver parameters
--------------------------------------------------
Method:                       R-QUBO
Peel:                         False
Decompose:                    False

QAOA Num Levels:              1
QAOA Scipy Optimizer:         brute
==================================================

  iter        avg-obj        best avg-obj       best-obj      time
     1      5.20400e+00      5.34100e+00      2.00000e+01      1s
     5      4.93000e+00      5.34100e+00      2.20000e+01      2s
     9      5.08000e+00      5.34100e+00      2.20000e+01      4s
    13      5.08500e+00      5.42000e+00      2.20000e+01      5s
    17      5.11600e+00      5.42000e+00      2.20000e+01      6s
    21      4.86600e+00      5.42000e+00      2.20000e+01      7s
    24      4.84500e+00      5.42000e+00      2.20000e+01      8s
    28      5.17400e+00      5.42000e+00      2.20000e+01     10s
    32      4.92100e+00      5.42000e+00      2.20000e+01     11s
    36      5.04900e+00      5.42000e+00      2.20000e+01     12s
    40      5.03400e+00      5.42000e+00      2.20000e+01     14s
    44      5.20400e+00      5.42000e+00      2.20000e+01     15s
    48      4.97100e+00      5.42000e+00      2.20000e+01     16s
    52      5.46600e+00      5.46600e+00      2.20000e+01     17s
    56      4.85600e+00      5.72800e+00      2.20000e+01     19s
    60      4.28100e+00      5.72800e+00      2.20000e+01     20s
    64      5.45900e+00      5.72800e+00      2.20000e+01     21s
    67      5.15000e+00      5.72800e+00      2.20000e+01     22s
    71      4.26300e+00      5.72800e+00      2.20000e+01     24s
    74      4.68800e+00      5.72800e+00      2.20000e+01     25s
    78      5.41700e+00      5.72800e+00      2.20000e+01     26s
    82      4.32200e+00      5.72800e+00      2.20000e+01     27s
    86      4.65700e+00      5.72800e+00      2.20000e+01     29s
    90      5.94700e+00      5.94700e+00      2.20000e+01     30s
    94      4.33500e+00      5.94700e+00      2.20000e+01     31s
    98      4.54300e+00      5.94700e+00      2.20000e+01     32s
   102      5.92800e+00      5.94700e+00      2.20000e+01     34s
   106      4.43700e+00      6.43500e+00      2.20000e+01     35s
   110      3.95600e+00      6.43500e+00      2.20000e+01     36s
   114      5.92700e+00      6.43500e+00      2.20000e+01     38s
   118      4.37400e+00      6.43500e+00      2.20000e+01     39s
   122      3.68500e+00      6.43500e+00      2.20000e+01     40s
   126      5.93100e+00      6.43500e+00      2.20000e+01     42s
   130      4.85400e+00      6.43500e+00      2.20000e+01     43s
   134      3.49500e+00      6.43500e+00      2.20000e+01     44s
   137      5.22600e+00      6.43500e+00      2.20000e+01     45s
   140      5.74600e+00      6.43500e+00      2.20000e+01     46s
   143      4.35700e+00      6.43500e+00      2.20000e+01     47s
   146      3.43800e+00      6.43500e+00      2.20000e+01     48s
   149      4.83300e+00      6.43500e+00      2.20000e+01     50s
   152      6.16200e+00      6.43500e+00      2.20000e+01     51s
   156      4.57000e+00      6.43500e+00      2.20000e+01     52s
   160      3.33400e+00      6.43500e+00      2.20000e+01     53s
   164      6.04500e+00      6.43500e+00      2.20000e+01     54s
   168      4.26900e+00      6.43500e+00      2.20000e+01     56s
   172      3.01700e+00      6.43500e+00      2.20000e+01     57s
   176      5.96300e+00      6.43500e+00      2.20000e+01     58s
   180      4.38500e+00      6.43500e+00      2.20000e+01     60s
   184      2.96200e+00      6.43500e+00      2.20000e+01     61s
   188      6.06800e+00      6.43500e+00      2.20000e+01     62s
   192      4.62300e+00      6.43500e+00      2.20000e+01     63s
   196      2.73500e+00      6.43500e+00      2.20000e+01     65s
   200      5.20200e+00      6.43500e+00      2.20000e+01     66s
   203      6.09000e+00      6.43500e+00      2.20000e+01     67s
   207      3.46500e+00      6.43500e+00      2.20000e+01     68s
   211      3.88900e+00      6.43500e+00      2.20000e+01     70s
   214      6.12500e+00      6.43500e+00      2.20000e+01     71s
   217      5.23300e+00      6.43500e+00      2.20000e+01     72s
   221      2.92800e+00      6.43500e+00      2.20000e+01     73s
   225      5.24000e+00      6.43500e+00      2.20000e+01     74s
   229      5.57500e+00      6.43500e+00      2.20000e+01     76s
   233      3.29500e+00      6.43500e+00      2.20000e+01     77s
   237      5.21200e+00      6.43500e+00      2.20000e+01     78s
   241      5.60200e+00      6.43500e+00      2.20000e+01     80s
   245      2.71100e+00      6.43500e+00      2.20000e+01     81s
   249      5.10900e+00      6.43500e+00      2.20000e+01     82s
   253      5.83300e+00      6.43500e+00      2.20000e+01     84s
   257      3.57700e+00      6.43500e+00      2.20000e+01     85s
   261      4.06200e+00      6.43500e+00      2.20000e+01     86s
   265      6.00400e+00      6.43500e+00      2.20000e+01     87s
   269      3.63200e+00      6.43500e+00      2.20000e+01     89s
   272      3.38100e+00      6.43500e+00      2.20000e+01     90s
   276      5.99700e+00      6.43500e+00      2.20000e+01     91s
   280      4.66400e+00      6.43500e+00      2.20000e+01     92s
   284      3.23700e+00      6.43500e+00      2.20000e+01     94s
   287      5.42900e+00      6.43500e+00      2.20000e+01     95s
   290      5.89800e+00      6.43500e+00      2.20000e+01     96s
   293      4.19100e+00      6.43500e+00      2.20000e+01     97s
   296      3.14500e+00      6.43500e+00      2.20000e+01     98s
   300      4.93200e+00      6.43500e+00      2.20000e+01     99s
   304      5.72000e+00      6.43500e+00      2.20000e+01    101s
   307      4.10700e+00      6.43500e+00      2.20000e+01    102s
   310      3.75500e+00      6.43500e+00      2.20000e+01    103s
   313      5.43800e+00      6.43500e+00      2.20000e+01    104s
   317      5.38500e+00      6.43500e+00      2.20000e+01    105s
   321      3.59900e+00      6.43500e+00      2.20000e+01    106s
   325      5.41200e+00      6.43500e+00      2.20000e+01    107s
   329      5.53600e+00      6.43500e+00      2.20000e+01    109s
   332      3.53300e+00      6.43500e+00      2.20000e+01    110s
   336      4.45300e+00      6.43500e+00      2.20000e+01    111s
   340      6.04100e+00      6.43500e+00      2.20000e+01    112s
   344      3.84600e+00      6.43500e+00      2.20000e+01    114s
   347      3.74300e+00      6.43500e+00      2.20000e+01    115s
   351      5.60400e+00      6.43500e+00      2.20000e+01    116s
   354      5.59000e+00      6.43500e+00      2.20000e+01    117s
   358      3.88400e+00      6.43500e+00      2.20000e+01    118s
   361      4.31500e+00      6.43500e+00      2.20000e+01    120s
   365      5.63600e+00      6.43500e+00      2.20000e+01    121s
   368      5.01300e+00      6.43500e+00      2.20000e+01    122s
   372      4.11800e+00      6.43500e+00      2.20000e+01    123s
   376      5.37300e+00      6.43500e+00      2.20000e+01    124s
   380      4.97800e+00      6.43500e+00      2.20000e+01    126s
   384      4.24600e+00      6.43500e+00      2.20000e+01    127s
   388      5.73600e+00      6.43500e+00      2.20000e+01    128s
   392      5.22000e+00      6.43500e+00      2.20000e+01    130s
   396      4.17300e+00      6.43500e+00      2.20000e+01    131s
   400      4.86200e+00      6.43500e+00      2.20000e+01    132s
   404      5.74200e+00      6.43500e+00      2.20000e+01    134s
   408      4.45200e+00      6.43500e+00      2.20000e+01    135s
   412      5.02600e+00      6.43500e+00      2.20000e+01    136s
   416      5.90300e+00      6.43500e+00      2.20000e+01    138s
   419      4.88700e+00      6.43500e+00      2.20000e+01    139s
   423      4.66400e+00      6.43500e+00      2.20000e+01    140s
   427      5.48900e+00      6.43500e+00      2.20000e+01    141s
   431      5.10500e+00      6.43500e+00      2.20000e+01    142s
   434      4.85100e+00      6.43500e+00      2.20000e+01    144s
   437      5.26100e+00      6.43500e+00      2.20000e+01    145s
   440      5.97500e+00      6.43500e+00      2.20000e+01    146s
   443      4.70700e+00      6.43500e+00      2.20000e+01    147s
   446      4.24700e+00      6.43500e+00      2.20000e+01    148s
   449      5.07700e+00      6.43500e+00      2.20000e+01    149s
   452      5.36200e+00      6.43500e+00      2.20000e+01    150s
   455      5.29700e+00      6.43500e+00      2.20000e+01    151s
   458      5.03300e+00      6.43500e+00      2.20000e+01    152s
   462      5.29700e+00      6.43500e+00      2.20000e+01    153s
   466      5.51500e+00      6.43500e+00      2.20000e+01    154s
   470      4.84500e+00      6.43500e+00      2.20000e+01    156s
   474      4.78400e+00      6.43500e+00      2.20000e+01    157s
   478      5.42900e+00      6.43500e+00      2.20000e+01    158s
   482      4.77100e+00      6.43500e+00      2.20000e+01    160s
   486      5.00800e+00      6.43500e+00      2.20000e+01    161s
   490      5.84800e+00      6.43500e+00      2.20000e+01    162s
   494      4.77900e+00      6.43500e+00      2.20000e+01    164s
   497      4.65600e+00      6.43500e+00      2.20000e+01    165s
   500      4.89200e+00      6.43500e+00      2.20000e+01    166s
   504      5.23900e+00      6.43500e+00      2.20000e+01    167s
   507      5.03100e+00      6.43500e+00      2.20000e+01    168s
   511      5.03600e+00      6.43500e+00      2.20000e+01    169s
   515      5.20300e+00      6.43500e+00      2.20000e+01    171s
   519      4.90100e+00      6.43500e+00      2.20000e+01    172s
   522      4.73100e+00      6.43500e+00      2.20000e+01    173s
   525      4.97600e+00      6.43500e+00      2.20000e+01    174s
   529      5.46300e+00      6.43500e+00      2.20000e+01    175s
   533      5.04300e+00      6.43500e+00      2.20000e+01    177s
   537      5.09700e+00      6.43500e+00      2.20000e+01    178s
   541      5.29000e+00      6.43500e+00      2.20000e+01    179s
   545      5.20300e+00      6.43500e+00      2.20000e+01    181s
   549      4.73300e+00      6.43500e+00      2.20000e+01    182s
   552      5.04300e+00      6.43500e+00      2.20000e+01    183s
   555      5.08100e+00      6.43500e+00      2.20000e+01    184s
   558      4.98900e+00      6.43500e+00      2.40000e+01    185s
   562      4.86100e+00      6.43500e+00      2.40000e+01    186s
   566      5.01400e+00      6.43500e+00      2.40000e+01    188s
   569      5.07900e+00      6.43500e+00      2.40000e+01    189s
   572      5.33500e+00      6.43500e+00      2.40000e+01    190s
   575      4.94500e+00      6.43500e+00      2.40000e+01    191s
   578      5.16200e+00      6.43500e+00      2.40000e+01    192s
   581      5.32000e+00      6.43500e+00      2.40000e+01    193s
   584      4.73700e+00      6.43500e+00      2.40000e+01    194s
   588      5.10500e+00      6.43500e+00      2.40000e+01    195s
   591      4.92500e+00      6.43500e+00      2.40000e+01    196s
   594      5.00900e+00      6.43500e+00      2.40000e+01    197s
   597      4.81200e+00      6.43500e+00      2.40000e+01    198s
   601      4.97100e+00      6.43500e+00      2.40000e+01    199s
   605      4.85900e+00      6.43500e+00      2.40000e+01    201s
   608      5.22100e+00      6.43500e+00      2.40000e+01    202s
   611      5.16100e+00      6.43500e+00      2.40000e+01    203s
   615      4.72900e+00      6.43500e+00      2.40000e+01    204s
   618      4.98600e+00      6.43500e+00      2.40000e+01    205s
   622      5.19800e+00      6.43500e+00      2.40000e+01    207s
   626      4.67000e+00      6.43500e+00      2.40000e+01    208s
   629      4.78700e+00      6.43500e+00      2.40000e+01    209s
   633      5.23900e+00      6.43500e+00      2.40000e+01    210s
